Orthogroup	Alyssum_gmelinii	Cardamine_hirsuta
OG0000000	Ag046G4528700, Ag013G1557700, Ag033G3510800, Ag004G0752300, Ag037G4141800, Ag048G4661000, Ag034G3877500, Ag017G2425100	CARHR219240, CARHR166210
OG0000000	Ag017G2413700, Ag016G2404700, Ag018G2474800, Ag004G0601400, Ag033G3558200, Ag032G3454800	CARHR219900, CARHR034550
OG0000000	Ag045G4516900, Ag044G4496600, Ag078G5351600, Ag066G5137400, Ag013G1386400, Ag033G3486500, Ag020G2571600, Ag013G1635500	CARHR153350
OG0000008	Ag005G0786100	CARHR284250, CARHR101910, CARHR159360, CARHR217630
OG0000008	Ag027G3054100	CARHR183140
OG0000008	Ag001G0025300	CARHR291920, CARHR221030, CARHR117380, CARHR217880, CARHR161310, CARHR161290, CARHR161300, CARHR161340, CARHR161350, CARHR051890, CARHR217020, CARHR131120, CARHR164530, CARHR288680, CARHR103530, CARHR257810, CARHR218380, CARHR259120, CARHR119350, CARHR214330, CARHR286130, CARHR178960
OG0000008	Ag033G3526400	CARHR118910, CARHR216990, CARHR111800
OG0000009	Ag002G0216700, Ag075G5300000, Ag004G0685200	CARHR145720
OG0000009	Ag027G3009300	CARHR091740
OG0000011	Ag015G2211300	CARHR218510
OG0000015	Ag012G1294500, Ag048G4644700, Ag011G1263600, Ag066G5170100, Ag019G2552700, Ag018G2438800, Ag076G5308600, Ag002G0203200, Ag058G4974300, Ag024G2875100	CARHR110600
OG0000021	Ag013G1488900, Ag031G3408800	CARHR146600
OG0000022	Ag002G0155300	CARHR048840
OG0000022	Ag002G0133100, Ag034G3959000, Ag031G3344400, Ag002G0130300, Ag002G0130100, Ag002G0130000	CARHR055270
OG0000022	Ag002G0160300, Ag002G0160500	CARHR048820, CARHR051020, CARHR048770
OG0000022	Ag034G3829100	CARHR013000
OG0000022	Ag024G2896000	CARHR046360, CARHR046370
OG0000022	Ag006G0805800, Ag058G4977300, Ag022G2695300	CARHR213210
OG0000022	Ag014G2040000	CARHR091960
OG0000024	Ag013G1663800	CARHR030400
OG0000024	Ag031G3235600	CARHR030420
OG0000024	Ag052G4846900	CARHR213730
OG0000024	Ag013G1754200	CARHR062310, CARHR168020, CARHR167830, CARHR030470, CARHR148710, CARHR030440, CARHR030410, CARHR045190
OG0000026	Ag063G5074400, Ag063G5074600, Ag020G2577200, Ag030G3131700, Ag002G0272200, Ag055G4904800, Ag003G0347700, Ag014G2059100, Ag016G2402300, Ag016G2403500, Ag053G4869800, Ag287G5488300, Ag015G2272200, Ag023G2829200, Ag013G1736700, Ag015G2272100, Ag016G2403600, Ag025G2906900, Ag031G3406200, Ag063G5074500, Ag063G5074300, Ag016G2402400	CARHR104160
OG0000027	Ag021G2619200	CARHR264010, CARHR255080, CARHR255070, CARHR255050
OG0000027	Ag021G2619800	CARHR255040
OG0000027	Ag021G2619900	CARHR255010, CARHR263990, CARHR255060, CARHR254990
OG0000027	Ag077G5324400	CARHR057450
OG0000027	Ag077G5325100, Ag033G3496300, Ag033G3642400	CARHR230510
OG0000027	Ag021G2620200	CARHR254870
OG0000027	Ag093G5459100, Ag033G3498600, Ag002G0200100, Ag077G5325600	CARHR230300
OG0000028	Ag034G4010900	CARHR028790
OG0000028	Ag078G5387500	CARHR267520, CARHR267660
OG0000030	Ag014G2144800, Ag014G2145600, Ag014G2146200, Ag014G2146400, Ag014G2146900, Ag014G2147100, Ag014G2147000, Ag014G2146700, Ag014G2145800, Ag014G2145100, Ag014G2144300, Ag014G2147700	CARHR060010, CARHR059990, CARHR134370
OG0000030	Ag014G1952600, Ag014G1958800, Ag014G1958700, Ag014G1965000, Ag042G4396900, Ag042G4397700, Ag042G4398200, Ag014G1952300, Ag014G1952400	CARHR025790, CARHR162370, CARHR260760, CARHR260790
OG0000030	Ag014G2099300, Ag027G3062200, Ag014G1975300	CARHR158520, CARHR158510, CARHR158530, CARHR088150
OG0000030	Ag013G1357800	CARHR088860, CARHR095910, CARHR026350
OG0000030	Ag014G1839700, Ag014G1840100	CARHR154640
OG0000032	Ag037G4132500	CARHR158150, CARHR057520, CARHR108030, CARHR217640
OG0000032	Ag005G0786000	CARHR287070, CARHR115000, CARHR258320, CARHR152520, CARHR154280, CARHR217870, CARHR103550, CARHR183020, CARHR149880
OG0000032	Ag011G1160200, Ag011G1160300, Ag011G1160400	CARHR266460
OG0000034	Ag093G5459200, Ag033G3498700	CARHR230270, CARHR230290
OG0000034	Ag033G3477100, Ag052G4847100	CARHR055320, CARHR230240
OG0000034	Ag048G4579800	CARHR228000, CARHR228050, CARHR228010, CARHR228060, CARHR228080, CARHR228070, CARHR289950
OG0000034	Ag033G3500200, Ag093G5460400	CARHR230230, CARHR230200
OG0000034	Ag033G3498800, Ag093G5459400	CARHR230540, CARHR230590, CARHR230570, CARHR230620, CARHR230650
OG0000035	Ag061G5042200, Ag007G0851700, Ag007G0851600, Ag015G2256800, Ag031G3385600	CARHR034500, CARHR120350, CARHR104490
OG0000035	Ag023G2841600, Ag033G3643700, Ag036G4119400, Ag002G0276700, Ag036G4121400	CARHR034790
OG0000042	Ag015G2214400	CARHR116060
OG0000042	Ag011G1070600	CARHR260310
OG0000042	Ag013G1341100	CARHR285900
OG0000042	Ag009G0976800, Ag006G0824100	CARHR181500
OG0000043	Ag020G2574500	CARHR098760
OG0000043	Ag036G4114100	CARHR288090
OG0000043	Ag013G1650200	CARHR216370
OG0000044	Ag087G5424800	CARHR116340
OG0000046	Ag019G2498100	CARHR159300, CARHR215510, CARHR037550, CARHR118760, CARHR104690, CARHR258020, CARHR150330
OG0000046	Ag004G0691700	CARHR159290, CARHR150320, CARHR273180, CARHR286710, CARHR217190, CARHR117470
OG0000048	Ag034G3744100, Ag013G1648400, Ag016G2390700, Ag013G1573400, Ag013G1573000, Ag013G1626000, Ag013G1648500, Ag013G1647900	CARHR125110
OG0000048	Ag032G3445200, Ag048G4573000, Ag013G1577300, Ag013G1657800	CARHR126110
OG0000050	Ag019G2535000, Ag013G1454200, Ag002G0129500, Ag014G1805000, Ag002G0202200, Ag015G2221900, Ag015G2264900, Ag025G2919100, Ag014G2113900	CARHR154060
OG0000050	Ag031G3328800, Ag019G2527600, Ag020G2554600	CARHR071180, CARHR153550
OG0000051	Ag034G3687900	CARHR002800
OG0000051	Ag003G0386800	CARHR137510
OG0000051	Ag003G0386200	CARHR137530
OG0000051	Ag003G0387400, Ag003G0387300, Ag003G0387500, Ag003G0387800, Ag003G0387600, Ag003G0387700	CARHR127280
OG0000051	Ag003G0385100, Ag003G0385000, Ag003G0384900	CARHR137540
OG0000052	Ag032G3434200, Ag032G3433000	CARHR148050, CARHR278920, CARHR148010, CARHR065350
OG0000055	Ag034G4065400	CARHR100810, CARHR107470, CARHR177430, CARHR192030
OG0000055	Ag014G2041700	CARHR092560, CARHR092720, CARHR094260, CARHR107830, CARHR149830, CARHR108270
OG0000055	Ag014G2046500, Ag014G2046000, Ag014G2045800, Ag001G0027100	CARHR111010
OG0000056	Ag002G0180000	CARHR155600
OG0000059	Ag038G4156200	CARHR104020
OG0000060	Ag004G0636900, Ag004G0629900	CARHR132050
OG0000060	Ag016G2302600, Ag013G1610000	CARHR154770
OG0000061	Ag025G2916200, Ag025G2916400, Ag025G2916000, Ag025G2915500, Ag025G2917200, Ag025G2915700, Ag025G2913000, Ag002G0098300	CARHR228580
OG0000061	Ag007G0932800, Ag024G2852400, Ag002G0098400, Ag025G2913600	CARHR270010
OG0000061	Ag025G2914700	CARHR039590
OG0000061	Ag013G1627600	CARHR123140
OG0000061	Ag056G4940400	CARHR151510, CARHR219570
OG0000065	Ag003G0361000	CARHR214320
OG0000065	Ag016G2372900, Ag016G2372400	CARHR059130, CARHR059070, CARHR059140, CARHR059270, CARHR059250
OG0000065	Ag016G2372600	CARHR059360, CARHR263420
OG0000066	Ag004G0438400	CARHR202910, CARHR279310
OG0000066	Ag034G3780100	CARHR279320, CARHR202900
OG0000066	Ag048G4702700	CARHR202310
OG0000066	Ag011G1062500	CARHR246640
OG0000068	Ag011G1073300, Ag011G1073200, Ag014G1989500, Ag011G1073900	CARHR210960
OG0000069	Ag048G4643500	CARHR264470
OG0000069	Ag031G3335200, Ag031G3335500, Ag031G3335400	CARHR070150
OG0000070	Ag039G4215000	CARHR010350, CARHR145510, CARHR145520, CARHR286680, CARHR145480, CARHR145500
OG0000070	Ag034G3976800	CARHR020650
OG0000070	Ag048G4685000	CARHR069500
OG0000072	Ag039G4320700	CARHR153090, CARHR049910, CARHR219260, CARHR119870, CARHR260200
OG0000075	Ag011G1157100, Ag011G1157200, Ag011G1157900, Ag011G1158100, Ag011G1157500, Ag011G1157400, Ag011G1157700, Ag011G1157800, Ag011G1157600, Ag048G4682200, Ag011G1050300, Ag011G1158000, Ag034G3817800, Ag001G0065600, Ag001G0065500, Ag001G0065400	CARHR247180
OG0000075	Ag021G2601300	CARHR247150
OG0000075	Ag011G1119800, Ag011G1120100, Ag011G1120000	CARHR247160
OG0000076	Ag011G1037000	CARHR247830
OG0000076	Ag006G0792900, Ag025G2903400, Ag013G1628100, Ag013G1627300, Ag013G1626200, Ag006G0795200, Ag013G1628200, Ag013G1627800, Ag011G1200000	CARHR260300
OG0000076	Ag013G1400700	CARHR176370
OG0000077	Ag033G3566700	CARHR176910, CARHR176920, CARHR177280, CARHR112190, CARHR254980, CARHR254940, CARHR177080
OG0000077	Ag034G3937600, Ag034G3937000, Ag001G0019700, Ag025G2944900	CARHR288740, CARHR145630
OG0000078	Ag014G1810600	CARHR077950
OG0000078	Ag014G1809300, Ag014G1810300	CARHR077940
OG0000078	Ag014G1810500	CARHR077910
OG0000079	Ag018G2444300, Ag022G2658800	CARHR151670, CARHR119610
OG0000081	Ag034G4022300	CARHR217030
OG0000081	Ag019G2512100, Ag066G5159500, Ag002G0249600, Ag043G4447600, Ag014G2017300	CARHR264280
OG0000081	Ag013G1532900, Ag015G2210200, Ag033G3619800, Ag034G3937400, Ag066G5128300, Ag050G4763200, Ag033G3590000, Ag011G1174500	CARHR258030
OG0000086	Ag025G2922800	CARHR214870
OG0000089	Ag004G0519800	CARHR189700
OG0000089	Ag055G4906500, Ag004G0479400	CARHR155480
OG0000089	Ag013G1621300	CARHR122890
OG0000089	Ag013G1488000	CARHR200860
OG0000089	Ag016G2360800	CARHR178800
OG0000089	Ag033G3591100	CARHR227450
OG0000089	Ag023G2824600	CARHR128920
OG0000089	Ag048G4693300	CARHR069200
OG0000090	Ag013G1764600, Ag056G4937000, Ag003G0343600, Ag068G5212400, Ag002G0264300, Ag048G4621900, Ag019G2531000, Ag006G0823200, Ag013G1384300	CARHR116840, CARHR259920
OG0000091	Ag004G0570300	CARHR192340, CARHR192330
OG0000095	Ag016G2362700, Ag016G2305100, Ag024G2851600, Ag006G0800000, Ag016G2308200, Ag006G0799900	CARHR117030, CARHR118620
OG0000095	Ag039G4205200	CARHR117880, CARHR117220
OG0000096	Ag002G0154900	CARHR120290, CARHR120300, CARHR266870, CARHR084920, CARHR248580
OG0000096	Ag044G4496300	CARHR092810
OG0000096	Ag002G0165500	CARHR159090, CARHR101800, CARHR101790, CARHR120380
OG0000098	Ag013G1485800, Ag021G2621100, Ag004G0531500	CARHR103960
OG0000098	Ag040G4345100	CARHR046250
OG0000098	Ag004G0482500, Ag004G0482700, Ag014G2044400	CARHR174970
