Orthogroup	Alyssum_gmelinii	Euclidium_syriacum
OG0000000	Ag067G5184800, Ag001G0043700, Ag062G5062000	ESY9_g43741_DN1_SP0_c0.t1
OG0000000	Ag015G2212200, Ag003G0412200, Ag039G4234000, Ag027G3008000, Ag067G5180300, Ag033G3494500	ESY22_g40756_DN3_SP0_c0.t1
OG0000000	Ag071G5244500, Ag014G1982800, Ag013G1560600	ESY7_g16163_DN2_SP0_c0.t1
OG0000000	Ag051G4809400, Ag012G1326800	ESY14_g19959_DN1_SP0_c0.t1
OG0000000	Ag017G2413700, Ag016G2404700, Ag018G2474800, Ag004G0601400, Ag033G3558200, Ag032G3454800	ESY7_g16535_DN2_SP0_c0.t1, ESY20_g12791_DN2_SP0_c0.t1
OG0000000	Ag034G3958400, Ag016G2362000, Ag076G5315100, Ag058G4984200, Ag063G5070800, Ag002G0202300, Ag078G5360800, Ag016G2390300, Ag014G2113800, Ag039G4294900, Ag016G2393600	ESY6_g47093_DN2_SP0_c0.t1
OG0000000	Ag058G4977700	ESY17_g39043_DN1_SP0_c0.t1
OG0000002	Ag027G3030200, Ag013G1414500	ESY9_g43349_DN2_SP0_c0.t1
OG0000003	Ag022G2672700, Ag014G2084900	ESY8_g60366_DN2_SP0_c0.t1
OG0000003	Ag067G5203100	ESY9_g43283_DN2_SP0_c0.t1
OG0000003	Ag014G1978400, Ag039G4231800, Ag011G1040600, Ag016G2400500, Ag014G1921200, Ag049G4724200	ESY2_g37194_DN1_SP0_c0.t1
OG0000004	Ag033G3561100	ESY9_g43878_DN2_SP0_c0.t1
OG0000004	Ag010G0992800, Ag014G1774700	ESY3_g27908_DN2_SP0_c72.t1, ESY3_g29030_DN1_SP0_c59.t1, ESY2_g38064_DN2_SP0_c54.t1
OG0000004	Ag066G5158800	ESY3_g28075_DN1_SP0_c100.t1, ESY15_g65683_DN1_SP0_c52.t1, ESY13_g56188_DN3_SP0_c88.t1
OG0000005	Ag025G2943500	ESY8_g60803_DN3_SP0_c6.t1
OG0000005	Ag078G5366100	ESY1_g7388_DN1_SP0_c0.t1
OG0000007	Ag003G0374300	ESY9_g43616_DN3_SP0_c12.t1
OG0000008	Ag027G3059500	ESY15_g64840_DN3_SP0_c0.t1, ESY1_g7826_DN2_SP0_c27.t1
OG0000009	Ag034G3970500, Ag034G3983500	ESY2_g34470_DN1_SP0_c0.t1
OG0000009	Ag004G0738200	ESY2_g34418_DN2_SP0_c0.t1
OG0000009	Ag050G4781200, Ag014G2149700	ESY6_g47366_DN1_SP0_c0.t1
OG0000009	Ag027G3020200, Ag048G4712500, Ag088G5430400, Ag013G1719200, Ag066G5147100, Ag014G2109800, Ag078G5397100	ESY2_g36311_DN2_SP0_c0.t1
OG0000011	Ag015G2211300	ESY12_g51066_DN2_SP0_c0.t1, ESY1_g9462_DN1_SP0_c0.t1
OG0000011	Ag062G5062600, Ag036G4099700, Ag055G4926900, Ag031G3381800, Ag031G3386200, Ag001G0035100, Ag013G1448000, Ag039G4298900, Ag021G2607700, Ag004G0775500, Ag011G1129700	ESY8_g60782_DN3_SP0_c0.t1
OG0000011	Ag027G3007700	ESY11_g53520_DN3_SP0_c81.t1, ESY1_g6775_DN3_SP0_c50.t1, ESY10_g15411_DN3_SP0_c44.t1, ESY9_g45243_DN3_SP0_c0.t1, ESY7_g17507_DN3_SP0_c53.t1, ESY1_g5998_DN3_SP0_c100.t1, ESY4_g26319_DN3_SP0_c0.t1
OG0000015	Ag034G3936100	ESY7_g16245_DN2_SP0_c0.t1
OG0000015	Ag012G1294500	ESY13_g56277_DN2_SP0_c0.t1, ESY17_g40192_DN2_SP0_c0.t1, ESY13_g57357_DN1_SP0_c0.t1, ESY5_g676_DN2_SP0_c0.t1, ESY4_g23838_DN1_SP0_c0.t1
OG0000015	Ag076G5308600	ESY4_g23101_DN1_SP0_c72.t1
OG0000015	Ag058G4974300	ESY13_g56278_DN1_SP0_c1.t1
OG0000015	Ag024G2875100	ESY11_g53315_DN2_SP0_c0.t1
OG0000020	Ag016G2337300, Ag068G5227400, Ag060G5002800, Ag014G2139700, Ag001G0002100, Ag013G1354100, Ag034G3996700, Ag078G5375900, Ag036G4119800, Ag019G2511100, Ag025G2915300, Ag017G2430400, Ag041G4354300, Ag013G1396100, Ag067G5206100, Ag022G2668600, Ag064G5103400, Ag023G2811600, Ag011G1267500	ESY18_g63699_DN3_SP0_c0.t1, ESY9_g44479_DN2_SP0_c0.t1, ESY17_g39372_DN3_SP0_c44.t1, ESY11_g52417_DN3_SP0_c0.t1
