Orthogroup	Alyssum_gmelinii	Conringia_planisiliqua
OG0000000	Ag067G5184800, Ag001G0043700	CP15_g35524_DN2_SP0_c.t1
OG0000000	Ag062G5062000	CP6_g9755_DN1_SP0_c.t1
OG0000000	Ag015G2212200, Ag003G0412200, Ag039G4234000, Ag027G3008000, Ag067G5180300, Ag033G3494500	CP7_g44628_DN3_SP0_c.t1
OG0000000	Ag071G5244500, Ag014G1982800, Ag013G1560600	CP24_g46939_DN1_SP0_c.t1
OG0000000	Ag046G4528700, Ag013G1557700, Ag033G3510800, Ag004G0752300, Ag037G4141800, Ag048G4661000, Ag034G3877500, Ag017G2425100	CP18_g12262_DN2_SP0_c.t1, CP2_g50571_DN2_SP0_c.t1, CP3_g14987_DN2_SP0_c.t1
OG0000000	Ag017G2413700, Ag016G2404700, Ag018G2474800, Ag004G0601400, Ag033G3558200, Ag032G3454800	CP18_g11997_DN3_SP0_c.t1
OG0000000	Ag028G3079600, Ag058G4972900, Ag034G4051300, Ag022G2647900	CP18_g12259_DN2_SP0_c.t1
OG0000000	Ag036G4123700	CP27_g41816_DN1_SP0_c.t1, CP9_g27694_DN1_SP0_c.t1
OG0000000	Ag011G1252700	CP5_g2400_DN1_SP0_c.t1
OG0000000	Ag055G4904400	CP27_g41817_DN2_SP0_c.t1, CP84_g51831_DN2_SP0_c.t1, CP17_g5536_DN3_SP0_c.t1, CP3_g14602_DN2_SP0_c.t1
OG0000000	Ag048G4660900	CP2_g50561_DN2_SP0_c.t1
OG0000000	Ag055G4901500, Ag013G1366000, Ag011G1209700, Ag014G2027100	CP3_g14989_DN1_SP0_c.t1
OG0000000	Ag058G4977700	CP6_g8047_DN1_SP0_c.t1, CP6_g8613_DN2_SP0_c.t1, CP15_g35744_DN2_SP0_c.t1, CP18_g11729_DN2_SP0_c.t1, CP1_g39877_DN1_SP0_c.t1
OG0000000	Ag044G4496600	CP9_g27797_DN2_SP0_c.t1
OG0000000	Ag078G5351600	CP28_g34012_DN1_SP0_c.t1, CP25_g55831_DN3_SP0_c.t1
OG0000000	Ag066G5137400	CP12_g30577_DN2_SP0_c.t1, CP6_g9323_DN3_SP0_c.t1
OG0000000	Ag020G2571600, Ag013G1635500	CP36_g50963_DN2_SP0_c.t1
OG0000000	Ag067G5173700	CP2_g49699_DN2_SP0_c.t1
OG0000002	Ag027G3030200	CP3_g16153_DN2_SP0_c.t1
OG0000003	Ag005G0787400	CP5_g2027_DN3_SP0_c.t1, CP2_g50573_DN1_SP0_c.t1, CP36_g50971_DN3_SP0_c.t1, CP5_g3096_DN1_SP0_c.t1
OG0000003	Ag022G2672700, Ag014G2084900	CP10_g44057_DN2_SP0_c.t1, CP12_g31265_DN3_SP0_c.t1, CP15_g36147_DN2_SP0_c.t1, CP3_g15821_DN1_SP0_c.t1, CP5_g1517_DN2_SP0_c.t1, CP8_g52677_DN2_SP0_c.t1, CP2_g50567_DN2_SP0_c.t1
OG0000003	Ag067G5203100	CP50_g6563_DN2_SP0_c.t1, CP26_g51313_DN1_SP0_c.t1, CP12_g31418_DN3_SP0_c.t1, CP9_g27952_DN2_SP0_c.t1, CP15_g34583_DN2_SP0_c.t1, CP15_g34567_DN1_SP0_c.t1, CP15_g34636_DN1_SP0_c.t1, CP15_g34623_DN2_SP0_c.t1, CP3_g16075_DN1_SP0_c.t1, CP6_g8581_DN1_SP0_c.t1, CP26_g51160_DN1_SP0_c.t1, CP13_g20625_DN2_SP0_c.t1, CP3_g15709_DN2_SP0_c.t1, CP14_g22797_DN2_SP0_c.t1, CP3_g14977_DN3_SP0_c.t1, CP21_g10913_DN3_SP0_c.t1, CP15_g34654_DN1_SP0_c.t1, CP15_g34596_DN2_SP0_c.t1
OG0000003	Ag004G0525300	CP9_g27953_DN3_SP0_c.t1, CP3_g16740_DN2_SP0_c.t1, CP5_g1881_DN3_SP0_c.t1, CP26_g51312_DN2_SP0_c.t1, CP50_g6564_DN3_SP0_c.t1
OG0000003	Ag014G1978400, Ag039G4231800, Ag011G1040600, Ag016G2400500, Ag014G1921200, Ag049G4724200	CP15_g34739_DN2_SP0_c.t1, CP15_g34597_DN1_SP0_c.t1, CP15_g34655_DN1_SP0_c.t1, CP3_g14978_DN3_SP0_c.t1, CP3_g15708_DN2_SP0_c.t1, CP12_g31581_DN1_SP0_c.t1, CP12_g31525_DN1_SP0_c.t1
OG0000003	Ag025G2976100	CP13_g20572_DN1_SP0_c.t1
OG0000003	Ag013G1682200, Ag011G1271000	CP4_g26010_DN1_SP0_c.t1, CP6_g7989_DN2_SP0_c.t1
OG0000003	Ag011G1183800	CP21_g11065_DN2_SP0_c.t1, CP24_g47341_DN1_SP0_c.t1, CP18_g12232_DN3_SP0_c.t1
OG0000004	Ag014G1774700	CP17_g5889_DN1_SP0_c.t1, CP1_g39400_DN3_SP0_c.t1, CP1_g39844_DN3_SP0_c.t1
OG0000005	Ag025G2943500	CP12_g30974_DN2_SP0_c.t1
OG0000005	Ag011G1235500	CP25_g56009_DN2_SP0_c.t1
OG0000008	Ag027G3059500	CP15_g34920_DN2_SP0_c.t1
OG0000008	Ag005G0786100	CP27_g41699_DN2_SP0_c.t1, CP8_g52854_DN2_SP0_c.t1
OG0000008	Ag027G3054100	CP14_g23480_DN3_SP0_c.t1
OG0000008	Ag001G0025300	CP7_g44274_DN3_SP0_c.t1
OG0000009	Ag014G2149700	CP18_g12171_DN2_SP0_c.t1
OG0000009	Ag040G4348900, Ag088G5430700	CP3_g16492_DN1_SP0_c.t1
