protein	mRNA	gene
XP_013603595.1	XM_013748141.1	LOC106310879
XP_013603664.1	XM_013748210.1	LOC106310879
XP_013603733.1	XM_013748279.1	LOC106310879
XP_013603800.1	XM_013748346.1	LOC106310879
XP_013601718.1	XM_013746264.1	LOC106309201
XP_013601724.1	XM_013746270.1	LOC106309208
XP_013618716.1	XM_013763262.1	LOC106325228
XP_013637055.1	XM_013781601.1	LOC106342611
XP_013609863.1	XM_013754409.1	LOC106316504
XP_013604098.1	XM_013748644.1	LOC106311447
XP_013604089.1	XM_013748635.1	LOC106311447
XP_013604103.1	XM_013748649.1	LOC106311447
XP_013604109.1	XM_013748655.1	LOC106311471
XP_013586376.1	XM_013730922.1	LOC106295121
XP_013617976.1	XM_013762522.1	LOC106324578
XP_013593397.1	XM_013737943.1	LOC106301522
XP_013622363.1	XM_013766909.1	LOC106328463
XP_013638760.1	XM_013783306.1	LOC106343941
XP_013636265.1	XM_013780811.1	LOC106342031
XP_013610775.1	XM_013755321.1	LOC106317510
XP_013610783.1	XM_013755329.1	LOC106317520
XP_013589798.1	XM_013734344.1	LOC106298159
XP_013589721.1	XM_013734267.1	LOC106298159
XP_013589871.1	XM_013734417.1	LOC106298159
XP_013608148.1	XM_013752694.1	LOC106314884
XP_013608140.1	XM_013752686.1	LOC106314877
XP_013605252.1	XM_013749798.1	LOC106312318
XP_013589847.1	XM_013734393.1	LOC106298288
XP_013620941.1	XM_013765487.1	LOC106327351
XP_013620755.1	XM_013765301.1	LOC106327211
XP_013622375.1	XM_013766921.1	LOC106328471
XP_013587967.1	XM_013732513.1	LOC106296383
XP_013596280.1	XM_013740826.1	LOC106304405
XP_013596272.1	XM_013740818.1	LOC106304405
XP_013596288.1	XM_013740834.1	LOC106304421
XP_013596300.1	XM_013740846.1	LOC106304428
XP_013596260.1	XM_013740806.1	LOC106304394
XP_013594891.1	XM_013739437.1	LOC106303071
XP_013617665.1	XM_013762211.1	LOC106324198
XP_013617669.1	XM_013762215.1	LOC106324198
XP_013597712.1	XM_013742258.1	LOC106305826
XP_013607272.1	XM_013751818.1	LOC106313890
XP_013607255.1	XM_013751801.1	LOC106313876
XP_013607263.1	XM_013751809.1	LOC106313876
XP_013588013.1	XM_013732559.1	LOC106296421
XP_013588009.1	XM_013732555.1	LOC106296421
XP_013592835.1	XM_013737381.1	LOC106301070
XP_013594784.1	XM_013739330.1	LOC106302932
XP_013600406.1	XM_013744952.1	LOC106307868
XP_013593015.1	XM_013737561.1	LOC106301210
XP_013635926.1	XM_013780472.1	LOC106341750
XP_013635916.1	XM_013780462.1	LOC106341750
XP_013599253.1	XM_013743799.1	LOC106306981
XP_013583314.1	XM_013727860.1	LOC106292248
XP_013583318.1	XM_013727864.1	LOC106292248
XP_013583309.1	XM_013727855.1	LOC106292248
XP_013594955.1	XM_013739501.1	LOC106303159
XP_013639488.1	XM_013784034.1	LOC106344714
XP_013600822.1	XM_013745368.1	LOC106308200
XP_013602451.1	XM_013746997.1	LOC106309852
XP_013602462.1	XM_013747008.1	LOC106309852
XP_013622394.1	XM_013766940.1	LOC106328490
XP_013602439.1	XM_013746985.1	LOC106309841
XP_013602527.1	XM_013747073.1	LOC106309888
XP_013602707.1	XM_013747253.1	LOC106309972
XP_013602641.1	XM_013747187.1	LOC106309972
XP_013618964.1	XM_013763510.1	LOC106325459
XP_013589764.1	XM_013734310.1	LOC106298227
XP_013594725.1	XM_013739271.1	LOC106302861
XP_013593201.1	XM_013737747.1	LOC106301365
XP_013596340.1	XM_013740886.1	LOC106304470
XP_013596333.1	XM_013740879.1	LOC106304470
XP_013616766.1	XM_013761312.1	LOC106323148
XP_013608551.1	XM_013753097.1	LOC106315365
XP_013622407.1	XM_013766953.1	LOC106328498
XP_013608538.1	XM_013753084.1	LOC106315350
XP_013608544.1	XM_013753090.1	LOC106315350
XP_013610750.1	XM_013755296.1	LOC106317481
XP_013626631.1	XM_013771177.1	LOC106332671
XP_013594795.1	XM_013739341.1	LOC106302943
XP_013590106.1	XM_013734652.1	LOC106298513
XP_013617134.1	XM_013761680.1	LOC106323575
XP_013617133.1	XM_013761679.1	LOC106323575
XP_013617129.1	XM_013761675.1	LOC106323575
XP_013585873.1	XM_013730419.1	LOC106294767
XP_013594471.1	XM_013739017.1	LOC106302524
XP_013593112.1	XM_013737658.1	LOC106301291
XP_013638561.1	XM_013783107.1	LOC106343794
XP_013638280.1	XM_013782826.1	LOC106343571
XP_013622093.1	XM_013766639.1	LOC106328235
