protein	mRNA	gene
XP_024004643.1	XM_024148875.1	LOC18029060
XP_024004642.1	XM_024148874.1	LOC18029060
XP_024004639.1	XM_024148871.1	LOC18029060
XP_024004640.1	XM_024148872.1	LOC18029060
XP_024004641.1	XM_024148873.1	LOC18029060
XP_024005192.1	XM_024149424.1	LOC18028175
XP_006411598.1	XM_006411535.1	LOC18028116
XP_024004682.1	XM_024148914.1	LOC18028117
XP_006411600.1	XM_006411537.2	LOC18028117
XP_006411599.2	XM_006411536.2	LOC18028119
XP_006411601.1	XM_006411538.2	LOC18028118
XP_024005294.1	XM_024149526.1	LOC18028120
XP_006411603.1	XM_006411540.2	LOC18028120
XP_024005295.1	XM_024149527.1	LOC18028120
XP_006411605.1	XM_006411542.2	LOC18028121
XP_006411607.2	XM_006411544.2	LOC18028782
XP_006411608.1	XM_006411545.1	LOC18028783
XP_006411610.1	XM_006411547.2	LOC18028784
XP_006411609.1	XM_006411546.2	LOC18028784
XP_006411611.1	XM_006411548.2	LOC18028785
XP_024005357.1	XM_024149589.1	LOC18028785
XP_024005356.1	XM_024149588.1	LOC18028786
XP_006411615.1	XM_006411552.2	LOC18028787
XP_006411617.1	XM_006411554.2	LOC18028788
XP_006411616.1	XM_006411553.2	LOC18028790
XP_006411618.2	XM_006411555.2	LOC18028789
XP_024005354.1	XM_024149586.1	LOC18028789
XP_024005355.1	XM_024149587.1	LOC18028789
XP_024005358.1	XM_024149590.1	LOC18028791
XP_006411619.1	XM_006411556.2	LOC18028791
XP_006411620.1	XM_006411557.2	LOC18028792
XP_024004493.1	XM_024148725.1	LOC18028793
XP_024005603.1	XM_024149835.1	LOC18028794
XP_006411622.1	XM_006411559.2	LOC18028794
XP_006411624.1	XM_006411561.2	LOC18028795
XP_006411623.1	XM_006411560.2	LOC18028795
XP_024005146.1	XM_024149378.1	LOC18028795
XP_024005147.1	XM_024149379.1	LOC18028795
XP_024005148.1	XM_024149380.1	LOC18028795
XP_006411625.1	XM_006411562.2	LOC18028796
XP_006411626.1	XM_006411563.2	LOC18028797
XP_006411627.1	XM_006411564.2	LOC18028798
XP_006411628.1	XM_006411565.2	LOC18028799
XP_006411630.1	XM_006411567.2	LOC18028800
XP_024004532.1	XM_024148764.1	LOC18028802
XP_006411634.1	XM_006411571.2	LOC18028803
XP_006411636.1	XM_006411573.2	LOC18028804
XP_006411637.1	XM_006411574.2	LOC18028804
XP_024005127.1	XM_024149359.1	LOC18028804
XP_006411635.1	XM_006411572.2	LOC18028804
XP_006411638.1	XM_006411575.2	LOC18028362
XP_024005862.1	XM_024150094.1	LOC18028362
XP_006411640.1	XM_006411577.2	LOC18028363
XP_006411639.1	XM_006411576.2	LOC18028365
XP_024004708.1	XM_024148940.1	LOC18028364
XP_006411641.1	XM_006411578.2	LOC18028364
XP_024004709.1	XM_024148941.1	LOC18028364
XP_006411643.1	XM_006411580.2	LOC18028366
XP_006411644.1	XM_006411581.2	LOC18028367
XP_024004701.1	XM_024148933.1	LOC18028368
XP_006411647.1	XM_006411584.2	LOC18028369
XP_006411646.1	XM_006411583.2	LOC18028371
XP_006411648.1	XM_006411585.2	LOC18028370
XP_024004702.1	XM_024148934.1	LOC18028370
XP_006411649.1	XM_006411586.2	LOC18028372
XP_006411650.1	XM_006411587.2	LOC18028373
XP_006411651.1	XM_006411588.2	LOC18028374
XP_006411652.1	XM_006411589.2	LOC18028375
XP_006411653.1	XM_006411590.2	LOC18028376
XP_006411654.1	XM_006411591.2	LOC18028377
XP_006411655.1	XM_006411592.2	LOC18028378
XP_006411656.1	XM_006411593.2	LOC18028379
XP_006411657.1	XM_006411594.2	LOC18028380
XP_006411658.2	XM_006411595.2	LOC18028381
XP_006411659.1	XM_006411596.2	LOC18028382
XP_006411660.1	XM_006411597.2	LOC18028383
