protein	mRNA	gene
XP_006303364.2	XM_006303302.2	LOC17897069
XP_006306188.1	XM_006306126.2	LOC17897192
XP_006306047.1	XM_006305985.2	LOC17897156
XP_023644679.1	XM_023788911.1	LOC111832476
XP_023644677.1	XM_023788909.1	LOC17896974
XP_023644678.1	XM_023788910.1	LOC111832475
XP_006306997.1	XM_006306935.2	LOC17900261
XP_023633292.1	XM_023777524.1	LOC17900889
XP_006304159.2	XM_006304097.2	LOC17900296
XP_023644716.1	XM_023788948.1	LOC17897847
XP_006306896.2	XM_006306834.2	LOC17900623
XP_006305182.2	XM_006305120.2	LOC17898295
XP_023644718.1	XM_023788950.1	LOC17899035
XP_023644717.1	XM_023788949.1	LOC17897391
XP_006303247.1	XM_006303185.2	LOC17897391
XP_023645988.1	XM_023790220.1	LOC17897544
XP_006306283.1	XM_006306221.2	LOC17897544
XP_023645987.1	XM_023790219.1	LOC17897544
XP_006304581.1	XM_006304519.2	LOC17897769
XP_023632887.1	XM_023777119.1	LOC17897769
XP_023632849.1	XM_023777081.1	LOC17898434
XP_023645584.1	XM_023789816.1	LOC17897924
XP_023645583.1	XM_023789815.1	LOC17897924
XP_023645585.1	XM_023789817.1	LOC17899538
XP_023645586.1	XM_023789818.1	LOC111832576
XP_006306995.2	XM_006306933.2	LOC17899751
XP_006306940.1	XM_006306878.2	LOC17900887
XP_023632640.1	XM_023776872.1	LOC17900887
XP_023633010.1	XM_023777242.1	LOC17900711
XP_023633011.1	XM_023777243.1	LOC111828700
XP_006305964.1	XM_006305902.2	LOC17897967
XP_006307695.1	XM_006307633.2	LOC17900110
XP_023644738.1	XM_023788970.1	LOC17897722
XP_006306736.1	XM_006306674.2	LOC17899678
XP_023644739.1	XM_023788971.1	LOC17899786
XP_006307077.2	XM_006307015.2	LOC17900212
XP_023645364.1	XM_023789596.1	LOC17900212
XP_006307173.1	XM_006307111.2	LOC17898469
XP_023645366.1	XM_023789598.1	LOC17898469
XP_006305215.1	XM_006305153.2	LOC17899645
XP_023645367.1	XM_023789599.1	LOC17899645
XP_006306838.2	XM_006306776.2	LOC17899216
XP_006303692.1	XM_006303630.2	LOC17897977
XP_006305307.1	XM_006305245.2	LOC17899782
XP_006306162.1	XM_006306100.2	LOC17897019
XP_023633250.1	XM_023777482.1	LOC17896759
XP_023633255.1	XM_023777487.1	LOC111828756
XP_023633257.1	XM_023777489.1	LOC111828756
XP_023633256.1	XM_023777488.1	LOC111828756
XP_023633253.1	XM_023777485.1	LOC111828755
XP_023633254.1	XM_023777486.1	LOC111828755
XP_023633251.1	XM_023777483.1	LOC111828755
XP_006303236.1	XM_006303174.2	LOC17899430
XP_023633249.1	XM_023777481.1	LOC17897533
XP_023633248.1	XM_023777480.1	LOC17897533
XP_023633247.1	XM_023777479.1	LOC17897533
XP_023633246.1	XM_023777478.1	LOC17897533
XP_006303685.1	XM_006303623.2	LOC17897533
XP_006304383.1	XM_006304321.2	LOC17899775
XP_023645093.1	XM_023789325.1	LOC17898102
XP_006304659.1	XM_006304597.2	LOC17897246
