protein	mRNA	gene
XP_013735299.1	XM_013879845.3	LOC106438593
XP_013735275.1	XM_013879821.3	LOC106438593
XP_013735291.1	XM_013879837.3	LOC106438593
XP_013735310.1	XM_013879856.3	LOC106438617
XP_013735322.1	XM_013879868.2	LOC106438626
XP_048633288.1	XM_048777331.1	LOC106438638
XP_048633321.1	XM_048777364.1	LOC106438651
XP_013658388.2	XM_013802934.3	LOC106360195
NP_001302568.1	NM_001315639.1	LOC106438679
XP_013735396.1	XM_013879942.3	LOC106438688
XP_022550104.1	XM_022694383.2	LOC111202016
XP_048633332.1	XM_048777375.1	LOC111202016
XP_048633341.1	XM_048777384.1	LOC106416206
XP_048633350.1	XM_048777393.1	LOC106345161
XP_013743219.2	XM_013887765.3	LOC106434002
XP_013737098.2	XM_013881644.3	LOC106434002
XP_048633361.1	XM_048777404.1	LOC106452042
XP_013649481.2	XM_013794027.3	LOC106351011
XP_048633356.1	XM_048777399.1	LOC125607891
XP_048590929.1	XM_048734972.1	LOC106417472
XP_013735362.2	XM_013879908.3	LOC106438661
XP_022553321.2	XM_022697600.2	LOC111203609
XP_022553897.1	XM_022698176.2	LOC111203940
XP_048633373.1	XM_048777416.1	LOC125607905
XP_022566284.2	XM_022710563.2	LOC111210280
XP_048633389.1	XM_048777432.1	LOC106445788
XP_048633400.1	XM_048777443.1	LOC125607921
XP_048633402.1	XM_048777445.1	LOC125607921
XP_048590931.1	XM_048734974.1	LOC125575847
XP_022548577.1	XM_022692856.2	LOC111201029
XP_048633412.1	XM_048777455.1	LOC106438009
XP_013734878.2	XM_013879424.3	LOC106438009
XP_013733370.2	XM_013877916.3	LOC106434003
XP_048633446.1	XM_048777489.1	LOC106440639
XP_048633431.1	XM_048777474.1	LOC106440639
XP_048633426.1	XM_048777469.1	LOC106440639
XP_048633422.1	XM_048777465.1	LOC106440639
XP_048633420.1	XM_048777463.1	LOC106440639
XP_048633434.1	XM_048777477.1	LOC106440639
XP_048633435.1	XM_048777478.1	LOC106440639
XP_048633443.1	XM_048777486.1	LOC106440639
XP_048633439.1	XM_048777482.1	LOC106440639
XP_048633449.1	XM_048777492.1	LOC106440639
XP_048590934.1	XM_048734977.1	LOC106425144
XP_013746809.1	XM_013891355.3	LOC106449276
