Orthogroup	Brassica_napus	Noccaea_praecox
OG0000000	XP_048611822.1	Np007G401540, Np010G434720
OG0000000	XP_048622406.1	Np002G098530, Np005G303500, Np004G209310, Np005G297590, Np007G399430
OG0000000	XP_048605189.1, XP_048609263.1	Np005G293490
OG0000000	XP_048621624.1, XP_048626126.1, XP_048609471.1	Np003G167670, Np002G107260, Np004G207890
OG0000002	XP_048622693.1, XP_048620045.1, XP_048618608.1, XP_022568397.1, XP_048599624.1, XP_013739144.1	Np008G427560
OG0000002	XP_022565049.2	Np002G105760, Np008G427550, Np003G178530, Np001G043410, Np002G102940, Np001G043030
OG0000002	XP_048615984.1, XP_048624738.1, XP_048610196.1, XP_048606838.1, XP_048600341.1, XP_048623910.1	Np004G254710, Np004G202200, Np002G101770, Np004G226500, Np002G102920
OG0000002	XP_013730849.1	Np002G103600, Np002G105770, Np011G436400, Np008G426050
OG0000002	XP_013689910.2	Np001G043040
OG0000002	XP_022566326.2	Np007G405440
OG0000002	XP_048626784.1, XP_013732945.1	Np002G105650
OG0000003	XP_048623767.1, XP_048617123.1, XP_048613209.1, XP_013650755.2, XP_048629524.1, XP_048627545.1, XP_048599996.1, XP_048611684.1, XP_048604999.1, XP_048605785.1, XP_048605458.1, XP_013717832.1	Np005G296980
OG0000003	XP_048628762.1, XP_048628164.1, XP_048630693.1	Np008G429060, Np001G031010, Np002G099380
OG0000003	XP_048622366.1	Np001G029010
OG0000003	XP_048627572.1, XP_048627497.1, XP_048630683.1, XP_048627321.1, XP_048630695.1, XP_048628607.1, XP_048629617.1, XP_048619971.1	Np001G030960
OG0000003	XP_022552131.1, XP_013669317.2	Np006G354000, Np006G347320, Np006G346740, Np006G353400
OG0000003	XP_013658381.1, XP_013751798.1	Np007G402470
OG0000003	XP_048627106.1	Np009G429910
OG0000003	XP_048627963.1	Np006G346690
OG0000003	XP_048630645.1, XP_013669098.1, XP_048611542.1	Np003G170760
OG0000004	XP_048593472.1, XP_048633069.1	Np002G100200
OG0000004	XP_013720023.2, XP_048605758.1, XP_048613516.1	Np002G110370
OG0000004	XP_013709365.2, XP_013689957.1	Np005G318460
OG0000004	XP_048596464.1	Np001G046240
OG0000004	XP_013738880.1	Np001G038320
OG0000004	XP_048599985.1, XP_013649372.1, XP_013650878.1, XP_048593474.1, XP_013720997.1, XP_013694423.1, XP_048624048.1, XP_013739852.2	Np005G311750, Np001G063050, Np004G215690, Np004G212780, Np005G309410, Np001G021660, Np005G303650
OG0000004	XP_048593435.1, XP_048605496.1, XP_048591490.1, XP_048633068.1, XP_048627306.1, XP_048606736.1, XP_048638523.1, XP_048613061.1, XP_048609142.1, XP_048624264.1, XP_048609510.1, XP_048604054.1, XP_048637040.1, XP_022564339.1, XP_048596459.1, XP_048609324.1, XP_048600258.1, XP_048601936.1, XP_048625046.1, XP_048613115.1, XP_048596422.1, XP_048605045.1, XP_048596553.1, XP_048593220.1, XP_048600502.1, XP_048590778.1, XP_048591563.1, XP_048633725.1, XP_022570140.2, XP_048592847.1	Np006G322460, Np007G418310
OG0000005	XP_022548621.1, XP_013674511.1, XP_013658926.1, XP_013653962.1	Np003G178290, Np001G012920
OG0000005	XP_013673764.3, XP_048622638.1, XP_013739679.2, XP_013729746.2	Np007G395340
OG0000005	XP_013669691.1, XP_048617358.1, XP_013709376.2, XP_022556970.2, XP_048602067.1, XP_048591522.1, XP_048621914.1, XP_048613106.1, XP_048599212.1, XP_022557398.2, XP_048599189.1, XP_048615609.1, XP_013746138.2, XP_013751397.2, XP_022575814.1, XP_013739634.2, XP_013703270.2, XP_013739903.1	Np004G197010
OG0000005	XP_048591512.1	Np006G359670, Np001G029160, Np001G037420
OG0000005	XP_048630058.1	Np001G041480, Np003G174230, Np001G015150, Np001G036410
OG0000005	XP_048626850.1, XP_013665497.1, XP_013709689.1, XP_048605197.1, XP_048611727.1, XP_048596344.1	Np001G068320
OG0000005	XP_048608242.1	Np004G203550, Np005G265280
OG0000005	XP_048599804.1, XP_022564309.1, XP_048627733.1	Np002G098830
OG0000005	XP_048599654.1, XP_013713504.1, XP_013658645.2	Np001G012890, Np001G012870
OG0000005	XP_013718672.1	Np001G029170
OG0000005	XP_022557495.1, XP_048623614.1	Np008G427710
OG0000006	XP_048609003.1	Np002G092120
OG0000006	XP_022552029.1, XP_048613774.1, XP_048622367.1, XP_048631659.1, XP_048603250.1, XP_048637106.1, XP_048598904.1, XP_013695575.2, XP_048610916.1, XP_048620445.1, XP_048610124.1, XP_048632505.1, XP_048623319.1, XP_048600356.1, XP_048625945.1, XP_013723589.1, XP_022570193.2, XP_048618736.1, XP_048602106.1, XP_048607511.1, XP_048632021.1, XP_048597905.1, XP_048636872.1, XP_048591253.1, XP_048615872.1, XP_048606696.1, XP_048617198.1, XP_048623373.1, XP_022564863.1, XP_048624591.1, XP_048624595.1, XP_048602119.1, XP_048615643.1, XP_013699761.3	Np003G145740
OG0000006	XP_048606830.1, XP_048614443.1, XP_048618668.1, XP_048620440.1, XP_048609298.1, XP_048599813.1, XP_013750505.1, XP_048602265.1, XP_048601378.1, XP_048620827.1, XP_048608711.1, XP_048624937.1, XP_048600452.1, XP_048624466.1, XP_048610413.1, XP_048602951.1, XP_048606056.1, XP_048595700.1, XP_048635061.1, XP_048623828.1, XP_048610917.1, XP_048601765.1, XP_048618116.1, XP_048617042.1, XP_048616274.1, XP_048620254.1, XP_048637522.1, XP_048610064.1, XP_048613014.1, XP_048615096.1, XP_048603562.1, XP_048600215.1, XP_022576063.2, XP_048633966.1	Np005G313160
OG0000006	XP_048593351.1, XP_048633298.1, XP_048623979.1, XP_048612781.1, XP_048613045.1, XP_048606909.1, XP_048625987.1, XP_048606381.1	Np008G427000
OG0000007	XP_048621886.1, XP_013751838.3, XP_048605509.1, XP_013726320.2, XP_048599635.1	Np006G357400, Np005G299740
OG0000007	XP_013700020.1, XP_048635088.1	Np007G402900, Np001G003900
OG0000007	XP_022569889.1	Np005G307400
OG0000007	XP_013657892.1	Np003G129790, Np005G315800, Np003G152970
OG0000007	XP_013689641.1, XP_013658605.2	Np007G402890
OG0000007	XP_013694951.1	Np004G201210
OG0000007	XP_048632995.1, XP_048634091.1, XP_013658983.1	Np002G092690
OG0000007	XP_048605398.1, XP_013713691.1	Np001G031480
OG0000007	XP_022553380.1	Np006G356870
OG0000008	XP_048596271.1	Np005G291850
OG0000008	XP_048605193.1	Np002G102670
OG0000008	XP_048615675.1, XP_048627521.1, XP_048600989.1, XP_013649895.1, XP_048593291.1, XP_048637651.1, XP_048634041.1, XP_048599181.1, XP_048607915.1, XP_048607904.1, XP_013717411.2, XP_013691111.2, XP_013722649.1, XP_048633127.1, XP_048599584.1, XP_048603850.1, XP_048614138.1, XP_022548693.2, XP_022557716.2, XP_048612002.1, XP_048612005.1, XP_048630290.1, XP_048637523.1, XP_048605750.1, XP_048630899.1, XP_048612699.1, XP_048611975.1, XP_048622867.1, XP_022549239.1, XP_048615069.1, XP_048622956.1, XP_048621207.1, XP_048605224.1, XP_048622188.1, XP_022574272.2, XP_048593363.1, XP_048623066.1, XP_022565168.1, XP_048619957.1	Np005G307780, Np002G103180
OG0000008	XP_048619954.1	Np007G406420
OG0000008	XP_048634097.1, XP_048613323.1, XP_048608334.1, XP_048606350.1, XP_048601609.1, XP_048622948.1, XP_048605748.1, XP_048594969.1, XP_048622433.1, XP_048616725.1, XP_048606607.1, XP_048606670.1, XP_048614737.1, XP_048612049.1, XP_048620060.1, XP_013751877.2, XP_048603863.1, XP_048623691.1, XP_048626080.1, XP_048604782.1, XP_048622536.1, XP_048631227.1, XP_048602312.1, XP_048615107.1, XP_048625201.1, XP_048628471.1, XP_048637540.1, XP_022567851.2, XP_048615493.1, XP_048619151.1, XP_022565888.1, XP_048619083.1, XP_048597022.1, XP_013658616.2, XP_048623802.1, XP_048627537.1	Np001G053530
OG0000010	XP_048621486.1	Np009G430520
OG0000010	XP_048611974.1, XP_048618623.1	Np002G095240
OG0000011	XP_048623044.1, XP_048620286.1, XP_048590890.1, XP_048599992.1, XP_048620029.1, XP_048611560.1, XP_048615750.1	Np001G009230, Np006G351190
OG0000011	XP_048611936.1, XP_022570022.2, XP_048610411.1, XP_048613120.1, XP_022564313.2, XP_048615529.1, XP_048623978.1, XP_048598115.1, XP_013739031.1	Np003G163940
OG0000012	XP_048613104.1	Np006G343630, Np002G100520
OG0000012	XP_048591476.1	Np005G318540, Np002G106560
OG0000012	XP_013668675.1, XP_048596413.1, XP_048624078.1, XP_048599976.1, XP_048633092.1, XP_048596371.1	Np006G354320, Np004G217870, Np006G359410, Np005G284210
OG0000012	XP_022552307.2	Np002G117990
OG0000012	XP_048623638.1	Np002G100750
OG0000012	XP_022553364.1, XP_048613450.1, XP_013709255.2, XP_013745893.1, XP_048616717.1	Np002G095110, Np002G111240
OG0000012	XP_048604901.1	Np002G106990
