Orthogroup	Brassica_napus	Eutrema_salsugineum
OG0000000	XP_048605327.1	XP_024014993.1
OG0000000	XP_048596306.1, XP_013669519.2, XP_048604928.1, XP_048620124.1, XP_048600598.1, XP_048633279.1, XP_013728730.2, XP_048598145.1, XP_048593431.1, XP_013659995.1, XP_048615615.1, XP_013645609.2, XP_048591404.1, XP_013694115.1, XP_048594901.1	XP_024016564.1
OG0000000	XP_048605189.1, XP_048609263.1	XP_024010464.1, XP_024010442.1, XP_024015847.1, XP_024009247.1, XP_024014224.1
OG0000002	XP_048622693.1, XP_048620045.1, XP_048618608.1, XP_022568397.1, XP_048599624.1, XP_013739144.1	XP_024006551.1
OG0000002	XP_022565049.2	XP_024013349.1, XP_024007240.1
OG0000002	XP_048624137.1, XP_048605110.1, XP_013678027.1, XP_013699413.2, XP_048605922.1, XP_013704005.2, XP_013705046.2, XP_013743402.2, XP_022554443.2, XP_022557545.2, XP_048602403.1, XP_048603537.1, XP_048604763.1, XP_048605599.1, XP_048606467.1, XP_048606492.1, XP_048608321.1, XP_048613262.1, XP_048614401.1, XP_048615840.1, XP_048618038.1, XP_048621685.1, XP_048622894.1, XP_048619508.1, XP_048623072.1, XP_048624199.1, XP_048624223.1, XP_048624554.1, XP_048619988.1, XP_048604876.1, XP_022564570.2, XP_022557418.2, XP_048605038.1	XP_024013294.1
OG0000002	XP_048599943.1, XP_013739462.1, XP_013673932.1, XP_048622631.1	XP_024013097.1
OG0000002	XP_022566326.2	XP_024010604.1, XP_024009251.1, XP_024009451.1, XP_024010357.1, XP_024015134.1, XP_024014549.1, XP_024010591.1, XP_024011258.1, XP_024016116.1, XP_024010553.1, XP_024013954.1, XP_024013993.1, XP_024016193.1, XP_024013210.1, XP_024015869.1, XP_024009904.1, XP_024010307.1, XP_024015923.1, XP_024013058.1
OG0000003	XP_048630494.1	XP_006391417.2, XP_024011134.1
OG0000003	XP_048612037.1, XP_048604599.1, XP_013700336.2, XP_013709251.1	XP_024013113.1, XP_024016241.1
OG0000003	XP_013713350.1	XP_024013903.1
OG0000003	XP_013729530.2, XP_022560082.1, XP_013729306.2, XP_022567565.1	XP_006404995.2
OG0000003	XP_013723216.2, XP_048599891.1, XP_048621360.1, XP_048605811.1, XP_013751647.1, XP_048605647.1	XP_024013358.1
OG0000003	XP_048605472.1	XP_006402217.2
OG0000003	XP_022575815.1, XP_048599772.1	XP_024016125.1
OG0000003	XP_022573072.1	XP_024013775.1
OG0000003	XP_048623767.1, XP_048617123.1, XP_048613209.1, XP_013650755.2, XP_048629524.1, XP_048627545.1, XP_048599996.1, XP_048611684.1, XP_048604999.1, XP_048605785.1, XP_048605458.1, XP_013717832.1	XP_024010582.1, XP_024013222.1, XP_024009444.1, XP_024007247.1
OG0000003	XP_048628762.1, XP_048628164.1, XP_048630693.1	XP_024009086.1, XP_024016190.1, XP_024013070.1, XP_024016232.1, XP_024007244.1, XP_024009447.1, XP_024011359.1, XP_024009254.1, XP_024016210.1, XP_024010672.1, XP_024011237.1
OG0000003	XP_048622366.1	XP_024006599.1, XP_024006505.1, XP_024016350.1
OG0000003	XP_048627572.1, XP_048627497.1, XP_048630683.1, XP_048627321.1, XP_048630695.1, XP_048628607.1, XP_048629617.1, XP_048619971.1	XP_024016833.1
OG0000003	XP_048611587.1	XP_024015858.1
OG0000003	XP_048619938.1	XP_024016386.1, XP_024014880.1
OG0000003	XP_048627963.1	XP_024016373.1
OG0000003	XP_048628244.1, XP_048628243.1, XP_048628350.1, XP_048630864.1, XP_048628796.1, XP_048627881.1, XP_048628805.1, XP_048590783.1	XP_024013095.1, XP_024007283.1, XP_024009480.1, XP_024009250.1, XP_024016376.1, XP_024010624.1, XP_024013376.1, XP_024007271.1, XP_024009449.1
OG0000003	XP_013688944.1, XP_048631221.1, XP_048629910.1, XP_048628610.1, XP_048628617.1, XP_048611574.1	XP_024013092.1
OG0000003	XP_048630645.1, XP_013669098.1, XP_048611542.1	XP_024009493.1
OG0000003	XP_048628470.1	XP_024014542.1, XP_024015830.1, XP_024014507.1, XP_024016342.1, XP_024010922.1, XP_024009400.1, XP_024011364.1, XP_024011296.1
OG0000003	XP_048628351.1	XP_024013060.1
OG0000004	XP_048593472.1, XP_048633069.1	XP_024014707.1
OG0000004	XP_013720023.2, XP_048605758.1, XP_048613516.1	XP_024013148.1
OG0000004	XP_048630790.1, XP_048635080.1	XP_024006398.1
OG0000004	XP_048634043.1, XP_048599890.1, XP_048622927.1, XP_048598122.1, XP_048626290.1, XP_013709134.2, XP_022562623.2	XP_024014264.1
OG0000004	XP_048599985.1, XP_013649372.1, XP_013650878.1, XP_048593474.1, XP_013720997.1	XP_024014000.1, XP_024010207.1, XP_024004991.1, XP_024013215.1, XP_024004047.1, XP_024008096.1, XP_024016872.1
OG0000004	XP_013694423.1, XP_048624048.1, XP_013739852.2	XP_024008027.1
OG0000005	XP_048615628.1	XP_006391314.1
OG0000005	XP_048591448.1	XP_024014484.1, XP_024013044.1, XP_024009292.1
OG0000005	XP_013699684.2	XP_024016212.1, XP_024011403.1
OG0000005	XP_013673764.3, XP_048622638.1, XP_013739679.2, XP_013729746.2	XP_024010394.1
OG0000005	XP_013729497.1, XP_048615948.1, XP_013665527.2, XP_048631460.1, XP_022569212.1, XP_013657649.1, XP_048598401.1, XP_048632940.1, XP_013645014.2, XP_013713423.1, XP_013668888.1, XP_048599649.1, XP_048621848.1, XP_013651316.1, XP_048626999.1, XP_048590909.1, XP_022562640.1, XP_048633723.1, XP_013710782.1, XP_022568759.2, XP_048601948.1, XP_013651180.1, XP_048590917.1, XP_013738879.2, XP_022564438.1, XP_048615786.1, XP_048596248.1, XP_048613305.1, XP_013745364.2, XP_048610016.1, XP_048606207.1, XP_048622690.1, XP_048593354.1	XP_024009751.1
OG0000005	XP_013669691.1, XP_048617358.1, XP_013709376.2, XP_022556970.2, XP_048602067.1, XP_048591522.1, XP_048621914.1, XP_048613106.1, XP_048599212.1, XP_022557398.2, XP_048599189.1, XP_048615609.1, XP_013746138.2, XP_013751397.2, XP_022575814.1, XP_013739634.2, XP_013703270.2, XP_013739903.1	XP_024015914.1
OG0000005	XP_048604677.1, XP_013699975.1	XP_024004860.1, XP_024006562.1
OG0000005	XP_048608242.1	XP_006404467.1
OG0000005	XP_048613553.1	XP_024004939.1
OG0000005	XP_048599654.1, XP_013713504.1, XP_013658645.2	XP_024016213.1
OG0000005	XP_022566666.1	XP_024016332.1
OG0000005	XP_048623614.1	XP_024014912.1
OG0000005	XP_048611997.1	XP_024004039.1
OG0000006	XP_048615643.1	XP_024009190.1
OG0000006	XP_013699761.3	XP_024015267.1
OG0000006	XP_013747307.1	XP_024013889.1
OG0000006	XP_048606681.1	XP_024004051.1
OG0000006	XP_048603704.1, XP_048596481.1	XP_024013573.1, XP_024016256.1, XP_024016234.1, XP_024011269.1, XP_024007956.1, XP_024013311.1
OG0000006	XP_048611470.1, XP_048604740.1, XP_013704285.1	XP_024006790.1, XP_024014672.1
OG0000006	XP_022553496.1, XP_048591653.1, XP_048610451.1, XP_048612141.1, XP_048624568.1, XP_022549981.2, XP_022552001.1, XP_048601748.1, XP_048606946.1, XP_048609380.1, XP_048610801.1	XP_024011210.1
OG0000006	XP_048595865.1	XP_024008087.1
OG0000006	XP_048606830.1	XP_024006104.1, XP_024004744.1
OG0000006	XP_048614443.1, XP_048618668.1	XP_024013221.1, XP_024016233.1, XP_024015025.1, XP_024013606.1
OG0000006	XP_048620440.1, XP_048609298.1, XP_048599813.1, XP_013750505.1, XP_048602265.1	XP_024004172.1
OG0000006	XP_048601378.1, XP_048620827.1	XP_024004112.1
OG0000006	XP_048608711.1, XP_048624937.1, XP_048600452.1, XP_048624466.1	XP_024005863.1
OG0000006	XP_048595700.1, XP_048635061.1, XP_048623828.1	XP_024004241.1
OG0000006	XP_048620254.1	XP_024009204.1, XP_024014376.1, XP_024007289.1, XP_024006867.1
OG0000006	XP_048615096.1, XP_048603562.1	XP_024006274.1, XP_024008018.1, XP_024010318.1
OG0000006	XP_048600215.1	XP_024014636.1
OG0000007	XP_048637624.1, XP_048624133.1, XP_013650931.1, XP_013679317.2, XP_048611547.1, XP_013674098.1, XP_048604662.1	XP_024011324.1
OG0000007	XP_048624140.1	XP_024004899.1
OG0000007	XP_048591447.1, XP_048605541.1, XP_013678969.2, XP_048596342.1, XP_048621839.1, XP_022549722.2, XP_013658576.2, XP_013745771.2, XP_013690321.2, XP_048599593.1, XP_048599664.1	XP_024009288.1
OG0000008	XP_048605305.1	XP_024011354.1, XP_024004796.1, XP_024014490.1, XP_024015964.1
OG0000008	XP_013679543.2	XP_024015912.1
OG0000008	XP_048602098.1, XP_013729777.3, XP_048614654.1, XP_048613386.1, XP_013726652.1, XP_048634180.1	XP_024013171.1, XP_024010288.1, XP_024007970.1
OG0000008	XP_013732053.2	XP_024006405.1, XP_024010291.1
OG0000008	XP_048615501.1	XP_024014781.1, XP_024006483.1
OG0000008	XP_048615493.1, XP_048619151.1, XP_022565888.1, XP_048619083.1	XP_024010377.1, XP_024010217.1
OG0000010	XP_022560075.1	XP_024014048.1, XP_006408809.2
OG0000010	XP_013745801.1, XP_048615585.1, XP_022567036.1	XP_024011382.1
OG0000010	XP_048605091.1	XP_024005930.1, XP_024013196.1
OG0000010	YP_717137.1	XP_024011402.1, XP_024006535.1
OG0000011	XP_048590890.1	XP_024009191.1
OG0000011	XP_048599992.1, XP_048620029.1	XP_024007975.1, XP_024004037.1, XP_024013982.1, XP_024016238.1, XP_024014463.1
OG0000011	XP_048615750.1	XP_024004034.1
OG0000011	XP_022557390.1	XP_024009752.1
OG0000011	XP_013659705.2, XP_048599380.1, XP_048637426.1, XP_048624045.1, XP_048620495.1, XP_048605761.1, XP_013738651.1, XP_048620327.1, XP_013653955.2, XP_048598012.1, XP_048598119.1, XP_013665132.2, XP_048623694.1, XP_048621704.1, XP_048615584.1, XP_048622963.1, XP_022560000.2, XP_022556483.2, XP_022552299.1, XP_048622694.1, XP_022552139.2, XP_013658487.1, XP_048623617.1, XP_048635024.1, XP_048599617.1, XP_048612614.1, XP_048600528.1, XP_013690055.1, XP_048623729.1, XP_048602105.1, XP_013726425.1, XP_048622519.1, XP_022571427.1, XP_048611788.1, XP_013673712.1, XP_048613543.1, XP_013646120.2, XP_013723816.1	XP_024004173.1, XP_024008034.1, XP_024010329.1, XP_024010628.1, XP_024004872.1, XP_024007768.1
OG0000011	XP_048611936.1, XP_022570022.2, XP_048610411.1, XP_048613120.1, XP_022564313.2, XP_048615529.1, XP_048623978.1, XP_048598115.1, XP_013739031.1	XP_024004156.1, XP_024009442.1, XP_024005001.1, XP_024011320.1, XP_024004073.1, XP_024004925.1, XP_024006105.1, XP_024006278.1, XP_024007953.1, XP_024015281.1, XP_024006611.1, XP_024011358.1, XP_024016363.1, XP_024004052.1
OG0000011	XP_013669164.1	XP_024006076.1, XP_024004111.1, XP_024013978.1, XP_024010663.1
OG0000011	XP_022564938.2, XP_048605143.1, XP_013694454.1, XP_048615558.1, XP_048620274.1, XP_048630039.1, XP_013694905.1, XP_048599633.1, XP_013658351.1, XP_013700275.2, XP_048623742.1, XP_022557706.2, XP_048605310.1, XP_013674260.2, XP_013673871.2, XP_013711594.2, XP_048599938.1, XP_048599866.1, XP_022556449.1, XP_013668512.1, XP_048604715.1, XP_022562514.1, XP_013721125.1, XP_048596352.1, XP_013745969.2, XP_048596557.1, XP_048599923.1, XP_048622827.1, XP_048637633.1, XP_013700423.1, XP_048605917.1, XP_048624119.1, XP_013665471.2, XP_048620021.1, XP_048601344.1, XP_048616593.1, XP_013673600.2, XP_022557474.2, XP_048603707.1, XP_022569514.1, XP_048638510.1, XP_013721574.1, XP_048605555.1, XP_022571312.1, XP_013668590.2, XP_048605160.1, XP_013711654.1, XP_048630989.1, XP_048599557.1, XP_048615826.1, XP_048612540.1, XP_013668567.2	XP_024004769.1, XP_024016352.1, XP_006390305.1
OG0000011	XP_048615923.1, XP_013694209.2	XP_024004169.1, XP_024013911.1, XP_024005329.1, XP_024004088.1, XP_024013590.1, XP_024007964.1, XP_024004313.1, XP_024006880.1, XP_024015027.1, XP_024011205.1, XP_024007772.1, XP_024008044.1, XP_024013764.1, XP_024010049.1, XP_024006429.1, XP_024004131.1, XP_024004751.1, XP_024014256.1
OG0000011	XP_048611431.1, XP_013674395.2	XP_024010196.1
OG0000012	XP_048613104.1	XP_024016167.1
OG0000012	XP_048591476.1	XP_024013199.1
OG0000012	XP_013679472.1, XP_048630875.1, XP_048604176.1, XP_048637502.1	XP_024005031.1
OG0000012	XP_013646143.2	XP_024007959.1
OG0000012	XP_022552307.2	XP_024009473.1
OG0000012	XP_048623638.1, XP_022553364.1, XP_048613450.1, XP_013709255.2, XP_013745893.1, XP_048616717.1, XP_048605550.1, XP_013729012.2, XP_048604901.1	XP_024004033.1
OG0000012	XP_013738772.1, XP_013729011.2, XP_013694866.2, XP_013745892.1, XP_048602192.1, XP_048603410.1, XP_048628529.1, XP_048628532.1, XP_048627388.1, XP_048616616.1	XP_024016113.1
OG0000012	XP_013708269.2, XP_048621865.1, XP_048599599.1, XP_048605626.1, XP_048623965.1, XP_013689439.2, XP_013694857.2, XP_048623929.1, XP_048599867.1, XP_048605149.1, XP_048623958.1, XP_013688786.1, XP_048611444.1, XP_048613196.1, XP_048599881.1, XP_048622618.1, XP_022569359.2, XP_013658500.2	XP_024010406.1
OG0000012	XP_048633986.1, XP_048605079.1, XP_048604933.1, XP_013645445.1	XP_024006560.1
OG0000012	XP_048604739.1	XP_024013230.1
OG0000012	XP_048630404.1, XP_022549155.2, XP_048615829.1	XP_024009936.1, XP_024006513.1
OG0000013	XP_013700535.1, XP_013700318.1, XP_048615689.1, XP_013673894.2, XP_048620109.1, XP_013713592.1, XP_048603843.1, XP_048603078.1, XP_048617046.1, XP_048626973.1, XP_048600408.1, XP_048605631.1, XP_048622706.1, XP_013651736.2, XP_013665254.2	XP_024010313.1
OG0000013	XP_013673830.1	XP_024006579.1, XP_024009314.1, XP_024016326.1, XP_024016199.1, XP_024016225.1, XP_024011229.1
OG0000013	XP_048605032.1	XP_024011336.1, XP_024007272.1
OG0000013	XP_048605773.1	XP_024009217.1, XP_024010471.1
OG0000013	XP_013669126.1, XP_013657861.1, XP_013680128.1, XP_048623792.1, XP_048627540.1, XP_048627019.1, XP_013654293.1, XP_013719470.1, XP_048628567.1, XP_013673938.1, XP_048599702.1, XP_048623790.1, XP_013657845.1, XP_013674358.1, XP_048611696.1, XP_013731674.1, XP_048620209.1, XP_048622591.1, XP_048613189.1, XP_013680096.1, XP_048599805.1, XP_048590782.1, XP_013695068.1, XP_048611913.1, XP_013709233.2, XP_013700181.2, XP_013715874.2, XP_048623780.1, XP_048622700.1, XP_048611935.1, XP_048604998.1, XP_048604852.1, XP_048611575.1, XP_048626950.1, XP_013745730.1, XP_013689885.1, XP_013709546.1, XP_048623897.1, XP_013658724.1, XP_048599858.1, XP_048626494.1, XP_048637553.1, XP_048613190.1, XP_048595147.1, XP_048611591.1, XP_013695057.1, XP_048622786.1, XP_048605855.1, XP_048596261.1, XP_048619839.1, XP_048599844.1, XP_048605676.1, XP_013705952.3, XP_048599685.1, XP_048605016.1, XP_048613311.1, XP_048605019.1, XP_048608870.1, XP_013689149.2, XP_048604885.1, XP_048599929.1, XP_048613405.1, XP_013721758.1, XP_048611835.1, XP_013689890.1, XP_048627565.1, XP_048598108.1, XP_013720996.1, XP_013654288.1, XP_013688904.1, XP_048611534.1, XP_048599780.1, XP_013700321.1	XP_024016668.1, XP_024004795.1, XP_024015926.1, XP_024006469.1, XP_024007909.1, XP_024006481.1, XP_024010423.1, XP_024016274.1
OG0000013	XP_013651123.1, XP_013699897.1, XP_013729113.2, XP_048608937.1, XP_048619944.1	XP_024015867.1
OG0000013	XP_013699883.2, XP_013654290.1, XP_022558217.1, XP_048611650.1, XP_048605932.1, XP_013699887.1, XP_013645659.1, XP_022566330.1	XP_024010399.1, XP_024010409.1, XP_024006434.1, XP_024016308.1
OG0000014	XP_048611538.1	XP_024016530.1
OG0000014	XP_048593366.1, XP_013658387.1, XP_013674050.1, XP_013673957.1, XP_013665229.1, XP_013729439.2, XP_048611726.1, XP_013704117.1, XP_022562283.2, XP_013658625.2, XP_013650466.1	XP_024006397.1
OG0000014	XP_048622974.1	XP_024016104.1
OG0000014	XP_048605138.1, XP_048625982.1, XP_013704133.1, XP_048604637.1	XP_024006609.1
OG0000014	XP_048626508.1	XP_024004022.1, XP_024009402.1
OG0000014	XP_048611805.1, XP_048615723.1, XP_013650803.1	XP_024004866.1
OG0000014	XP_013708671.1, XP_048624069.1, XP_013658227.1, XP_048599863.1, XP_048604671.1, XP_048624017.1, XP_048604978.1, XP_048613067.1, XP_013689140.2, XP_048615831.1, XP_048620011.1, XP_048613476.1, XP_048629487.1, XP_048615614.1, XP_048622743.1, XP_048623549.1, XP_048611837.1, XP_048622934.1, XP_048619919.1	XP_024009964.1
OG0000014	XP_048605886.1, XP_048591470.1	XP_024006624.1
OG0000014	XP_013739829.1, XP_013654467.2	XP_024013371.1, XP_024016228.1
OG0000015	XP_048622603.1	XP_024012449.1
OG0000015	XP_048627782.1, XP_048595751.1, XP_048607541.1	XP_024006904.1
OG0000015	XP_048623927.1, XP_013645200.2, XP_048611390.1, XP_048606234.1	XP_024009420.1
OG0000015	XP_048616951.1, XP_013751521.1	XP_024007917.1
OG0000015	XP_048599610.1	XP_024014590.1
OG0000015	XP_048595752.1, XP_048605580.1	XP_024006143.1
OG0000017	XP_048592801.1, XP_048620235.1, XP_048599118.1, XP_048594622.1, XP_022546269.2, XP_013715010.1	XP_024016132.1
OG0000017	XP_048615612.1, XP_048610757.1, XP_022559532.2	XP_024010776.1, XP_024011342.1, XP_024013985.1, XP_024014689.1, XP_024014221.1
OG0000019	XP_013673926.1, XP_022551193.1	XP_024003642.1
OG0000019	XP_048621485.1	XP_024016548.1, XP_024004876.1, XP_024003759.1
