Orthogroup	Brassica_napus	Brassica_oleracea
OG0000000	XP_048623796.1, XP_048630077.1, XP_048612038.1	XP_013623778.1, XP_013601532.1, XP_013602945.1
OG0000000	XP_048608765.1, XP_013717677.1	XP_013632334.1, XP_013615033.1, XP_013635049.1, XP_013634393.1
OG0000000	XP_013742199.2, XP_022552099.2, XP_048602423.1, XP_048601883.1, XP_013700776.2, XP_048610814.1, XP_022557457.2, XP_048621525.1, XP_048629703.1, XP_048630076.1, XP_013653834.3, XP_013652645.3, XP_048599758.1	XP_013624193.1
OG0000000	XP_013646109.3	XP_013639617.1
OG0000000	XP_048611822.1	XP_013624387.1, XP_013624852.1, XP_013633000.1
OG0000000	XP_048622406.1	XP_013624469.1, XP_013632641.1, XP_013614693.1
OG0000000	XP_048593480.1, XP_048596517.1, XP_048634183.1, XP_048612628.1	XP_013594448.1
OG0000000	XP_048627567.1, XP_048627466.1, XP_048630614.1, XP_048627477.1, XP_048630686.1, XP_048629081.1, XP_048627742.1, XP_048611410.1	XP_013633089.1
OG0000000	XP_048596306.1, XP_013669519.2	XP_013639729.1
OG0000000	XP_048605189.1, XP_048609263.1	XP_013639281.1
OG0000000	XP_013673978.2	XP_013601721.1
OG0000000	XP_048634956.1, XP_048617343.1, XP_013658727.2, XP_048638333.1, XP_013739503.2, XP_013669656.1, XP_048605185.1, XP_048635006.1, XP_048609119.1, XP_048632974.1	XP_013594661.1
OG0000000	XP_048599815.1	XP_013624916.1
OG0000000	XP_048596434.1, XP_048633106.1, XP_048599601.1, XP_048622962.1, XP_048611457.1, XP_048615726.1, XP_048609430.1	XP_013617590.1
OG0000000	XP_013730002.2, XP_048638475.1, XP_048637474.1, XP_013654353.2, XP_048613448.1, XP_048634924.1	XP_013633044.1
OG0000000	XP_013650497.2, XP_013645047.1, XP_022566278.2	XP_013624478.1
OG0000000	XP_013708996.2, XP_048622901.1, XP_013654443.2, XP_048605703.1, XP_048630710.1	XP_013594857.1, XP_013601901.1
OG0000000	XP_022556310.1	XP_013617473.1
OG0000000	XP_048599740.1	XP_013601242.1, XP_013601368.1
OG0000000	XP_013676819.2, XP_048614904.1, XP_022569515.1, XP_013720075.3	XP_013594627.1
OG0000000	XP_048622155.1, XP_048594846.1, XP_048627981.1, XP_048604862.1, XP_048621926.1, XP_048600318.1	XP_013632935.1
OG0000000	XP_048622627.1, XP_048623922.1	XP_013608060.1
OG0000000	XP_048622713.1	XP_013632971.1
OG0000000	XP_048610906.1	XP_013639847.1
OG0000000	XP_022563908.1	XP_013594978.1
OG0000000	XP_048634050.1	XP_013616947.1
OG0000000	XP_048618529.1	XP_013639843.1
OG0000002	XP_022558213.1	XP_013613445.1
OG0000002	XP_048622693.1, XP_048620045.1, XP_048618608.1, XP_022568397.1, XP_048599624.1, XP_013739144.1	XP_013617483.1, XP_013617539.1
OG0000002	XP_022565049.2	XP_013624531.1, XP_013624816.1, XP_013617594.1, XP_013617547.1, XP_013614472.1, XP_013632700.1, XP_013639598.1
OG0000002	XP_048601867.1	XP_013632991.1
OG0000002	XP_013730849.1	XP_013589182.1
