Orthogroup	Brassica_napus	Alyssum_gmelinii
OG0000000	XP_048593480.1, XP_048596517.1, XP_048634183.1, XP_048612628.1, XP_048627567.1, XP_048627466.1, XP_048630614.1, XP_048627477.1, XP_048630686.1, XP_048629081.1, XP_048627742.1, XP_048611410.1	Ag006G573260
OG0000000	XP_048635065.1, XP_048596306.1, XP_013669519.2, XP_048604928.1, XP_048620124.1, XP_048600598.1, XP_048633279.1, XP_013728730.2, XP_048598145.1, XP_048593431.1, XP_013659995.1, XP_048615615.1, XP_013645609.2, XP_048591404.1, XP_013694115.1, XP_048594901.1, XP_022557450.2	Ag004G340890, Ag001G084200
OG0000000	XP_013650497.2, XP_013645047.1, XP_022566278.2, XP_013708996.2, XP_048622901.1, XP_013654443.2, XP_048605703.1, XP_048630710.1, XP_022556310.1, XP_048599740.1, XP_048610442.1, XP_048612193.1, XP_013676819.2, XP_048614904.1, XP_022569515.1, XP_013720075.3	Ag002G196660
OG0000000	XP_022549851.1	Ag003G248650, Ag004G363090
OG0000000	XP_048634050.1	Ag002G167150
OG0000000	XP_048599884.1, XP_013718283.1	Ag007G637890, Ag001G032720
OG0000002	XP_013730849.1	Ag005G410720
OG0000003	XP_048630494.1	Ag001G024370
OG0000003	XP_048628762.1, XP_048628164.1, XP_048630693.1	Ag007G617260
OG0000003	XP_022552131.1, XP_013669317.2	Ag007G591720
OG0000003	XP_048620084.1	Ag003G271610
OG0000003	XP_048627106.1, XP_048612100.1	Ag004G365940
OG0000003	XP_048627963.1	Ag001G046010
OG0000003	XP_048620014.1, XP_048629521.1, XP_048629519.1, XP_048620066.1, XP_048637535.1, XP_048627980.1, XP_048593358.1, XP_048627912.1, XP_048629520.1, XP_048596408.1, XP_048613491.1, XP_048611562.1, XP_048630520.1, XP_022557580.1, XP_048627743.1, XP_048613357.1, XP_013688944.1, XP_048631221.1, XP_048629910.1, XP_048628610.1, XP_048628617.1, XP_048611574.1, XP_048630645.1, XP_013669098.1, XP_048611542.1, XP_048628470.1, XP_048634045.1, XP_048635161.1, XP_048628351.1	Ag007G647490
OG0000004	XP_048630790.1, XP_048635080.1	Ag005G473260, Ag001G034430, Ag003G239450
OG0000004	XP_048591457.1	Ag008G684310
OG0000004	XP_048634043.1, XP_048599890.1, XP_048622927.1, XP_048598122.1, XP_048626290.1, XP_013709134.2, XP_022562623.2	Ag005G427550
OG0000004	XP_048593435.1, XP_048605496.1, XP_048591490.1, XP_048633068.1, XP_048627306.1, XP_048606736.1, XP_048638523.1, XP_048613061.1, XP_048609142.1, XP_048624264.1, XP_048609510.1, XP_048604054.1, XP_048637040.1, XP_022564339.1, XP_048596459.1, XP_048609324.1, XP_048600258.1, XP_048601936.1, XP_048625046.1, XP_048613115.1, XP_048596422.1, XP_048605045.1, XP_048596553.1, XP_048593220.1, XP_048600502.1, XP_048590778.1, XP_048591563.1, XP_048633725.1, XP_022570140.2, XP_048592847.1	Ag006G503330
OG0000005	XP_013713475.1, XP_013658836.1	Ag008G703520
OG0000005	XP_013699684.2	Ag007G610690
OG0000005	XP_048634185.1, XP_013650490.2, XP_013668599.2, XP_013669340.1, XP_013658945.2, XP_048611304.1, XP_048622965.1, XP_048596320.1, XP_048602704.1, XP_013720458.1, XP_048626877.1, XP_048594904.1, XP_013739148.2, XP_013713578.1	Ag003G254660
OG0000005	XP_048622755.1, XP_048631394.1, XP_013650434.2	Ag005G414560, Ag002G110220, Ag005G402610
OG0000005	XP_048604677.1, XP_013699975.1	Ag007G583430, Ag005G451500, Ag005G435920, Ag003G226760
OG0000005	XP_048608242.1	Ag006G527380
OG0000005	XP_048613553.1	Ag005G402580, Ag007G622540
OG0000005	XP_048599804.1	Ag008G663850, Ag004G399930
OG0000005	XP_022564309.1	Ag002G157290, Ag001G061510
OG0000005	XP_048627733.1	Ag004G314920
OG0000005	XP_013728940.1, XP_013709795.2	Ag002G157300
OG0000005	XP_013700236.1	Ag003G219140, Ag007G614800
OG0000005	XP_048611997.1	Ag001G040530
OG0000005	XP_048601578.1	Ag004G380930, Ag002G153530, Ag002G106450, Ag002G110480, Ag004G343590, Ag005G404130
OG0000007	XP_013704198.1	Ag005G467300
OG0000007	XP_013700020.1, XP_048635088.1	Ag003G244530, Ag008G714080, Ag002G134780, Ag004G397570, Ag006G558070, Ag005G410540
OG0000007	XP_022569889.1	Ag007G600770, Ag006G520860, Ag004G322400, Ag002G115840, Ag008G694060, Ag006G551070, Ag003G220220
OG0000007	XP_013657892.1	Ag003G269320
OG0000007	XP_013689641.1	Ag007G627650, Ag001G052980, Ag007G623070, Ag003G244540
OG0000007	XP_048609270.1	Ag008G681210
OG0000007	XP_013694951.1, XP_022569685.1, XP_013674205.2, XP_048634083.1, XP_048606175.1, XP_048611825.1, XP_048620110.1, XP_013704630.2, XP_048632995.1, XP_048634091.1, XP_013658983.1, XP_048598085.1, XP_013658904.1, XP_048605398.1, XP_013713691.1	Ag006G520850, Ag003G220210
OG0000007	XP_022553380.1	Ag004G330770, Ag002G136200, Ag001G003030
OG0000007	XP_048637520.1, XP_048628012.1, XP_048635094.1, XP_022565607.2	Ag002G132800
OG0000008	XP_013705001.2, XP_048620224.1	Ag005G451490
OG0000008	XP_048628475.1, XP_048590797.1	Ag002G152740, Ag007G618090, Ag001G039140
OG0000008	XP_048615501.1	Ag007G618290, Ag001G044380, Ag008G677680, Ag004G365860
OG0000008	XP_048634791.1, XP_013673836.1, XP_048592068.1	Ag001G065030, Ag001G070290
OG0000008	XP_048615493.1, XP_048619151.1, XP_022565888.1, XP_048619083.1	Ag004G391490, Ag001G055480, Ag001G024870, Ag002G143690, Ag005G427440, Ag002G180130, Ag003G281500
OG0000008	XP_048597022.1, XP_013658616.2, XP_048623802.1, XP_048627537.1	Ag001G015890
OG0000011	XP_048623044.1, XP_048620286.1, XP_048590890.1	Ag008G699310
OG0000012	XP_048613104.1	Ag007G638410
OG0000012	XP_013679472.1, XP_048630875.1, XP_048604176.1	Ag003G250900
OG0000012	XP_048602192.1, XP_048603410.1, XP_048628529.1, XP_048628532.1, XP_048627388.1, XP_048616616.1	Ag003G250910
OG0000012	XP_048619941.1	Ag001G026980
OG0000012	XP_048599789.1, XP_048596427.1, XP_022568711.1, XP_022557732.1	Ag002G161720
OG0000013	XP_013673830.1	Ag004G396400, Ag004G380450
OG0000013	XP_048605032.1, XP_048604687.1, XP_048605139.1, XP_048605122.1, XP_048617118.1, XP_048609588.1, XP_013694773.1	Ag001G041140
OG0000014	XP_048611538.1	Ag008G691080
OG0000014	XP_013654467.2	Ag001G020750
OG0000015	XP_022553445.1, XP_048611374.1	Ag002G110750
OG0000015	XP_048627782.1, XP_048595751.1, XP_048607541.1	Ag008G676660
OG0000015	XP_048623927.1, XP_013645200.2, XP_048611390.1, XP_048606234.1	Ag008G687430
OG0000015	XP_048604728.1	Ag004G376340
OG0000015	XP_048616944.1	Ag008G675720
OG0000019	XP_048621485.1	Ag006G545360
OG0000019	XP_048604600.1, XP_048615740.1	Ag007G613770, Ag002G147220, Ag003G285010
OG0000019	XP_013704389.3, XP_013717169.2, XP_022547619.1, XP_022547620.1	Ag007G642200, Ag006G545350
OG0000019	XP_022552294.1	Ag003G257300, Ag008G690690
OG0000020	XP_048630843.1, XP_048624068.1, XP_022567211.2	Ag002G113970
OG0000020	XP_013694335.2	Ag005G440730
OG0000020	XP_022549023.2, XP_013723822.1, XP_013657903.1, XP_013723556.1, XP_048611901.1, XP_048605534.1, XP_013674065.2, XP_048634951.1, XP_048591547.1, XP_013650843.2, XP_013718148.1, XP_013668768.2, XP_013668767.1, XP_048615651.1, XP_048613478.1, XP_013709420.1, XP_048609050.1, XP_013679762.2, XP_048637046.1, XP_048627992.1, XP_048628108.1, XP_048613522.1, XP_048596430.1, XP_048633083.1, XP_048622997.1, XP_048591443.1, XP_013673878.1, XP_048608892.1, XP_048612046.1, XP_013673528.1, XP_048593409.1, XP_048591396.1, XP_013746230.1, XP_013688741.2, XP_013713236.1, XP_013700399.2, XP_013650665.1, XP_048618574.1, XP_048610003.1, XP_048620217.1, XP_013713189.2, XP_048613489.1, XP_013699955.2, XP_048619850.1, XP_013705031.1, XP_013713624.2, XP_048617270.1, XP_048632936.1, XP_048595713.1, XP_048612579.1, XP_048598102.1, XP_048634137.1	Ag003G281030, Ag003G281020
OG0000021	XP_013694633.1	Ag008G685590
OG0000021	XP_048635125.1, XP_048615863.1	Ag002G135150
OG0000021	XP_048596309.1, XP_048626541.1	Ag005G443540
