Orthogroup	Brassica_napus	Erysimum_linariifolium
OG0000000	XP_048613195.1	El005G264600
OG0000000	XP_013650497.2, XP_013645047.1, XP_022566278.2, XP_013708996.2, XP_048622901.1, XP_013654443.2, XP_048605703.1, XP_048630710.1, XP_022556310.1, XP_048599740.1, XP_048610442.1, XP_048612193.1, XP_013676819.2, XP_048614904.1, XP_022569515.1, XP_013720075.3	El005G264610
OG0000000	XP_022563908.1	El003G159590
OG0000000	XP_048634050.1	El004G210980, El005G262990, El005G263050, El005G264050, El003G177780
OG0000002	XP_022566414.1, XP_022558213.1	El004G212920
OG0000002	XP_048623762.1	El004G212930
OG0000002	XP_022565049.2	El004G208640
OG0000002	XP_048624137.1, XP_048605110.1, XP_013678027.1, XP_013699413.2, XP_048605922.1, XP_013704005.2, XP_013705046.2, XP_013743402.2, XP_022554443.2, XP_022557545.2, XP_048602403.1, XP_048603537.1, XP_048604763.1, XP_048605599.1, XP_048606467.1, XP_048606492.1, XP_048608321.1, XP_048613262.1, XP_048614401.1, XP_048615840.1, XP_048618038.1, XP_048621685.1, XP_048622894.1, XP_048619508.1, XP_048623072.1, XP_048624199.1, XP_048624223.1, XP_048624554.1, XP_048619988.1, XP_048604876.1, XP_022564570.2, XP_022557418.2, XP_048605038.1	El006G293750
OG0000003	XP_048630494.1	El003G189560, El002G128770
OG0000003	XP_022573072.1	El004G210360
OG0000003	XP_013745520.2	El007G351530
OG0000003	XP_048611587.1	El003G181050
OG0000003	XP_013658381.1, XP_013751798.1	El006G306960
OG0000004	XP_048593472.1, XP_048633069.1	El002G127280
OG0000004	XP_013720023.2, XP_048605758.1, XP_048613516.1	El001G079820
OG0000004	XP_048599890.1, XP_048622927.1, XP_048598122.1, XP_048626290.1, XP_013709134.2, XP_022562623.2	El001G052930, El004G230860, El003G157040, El005G268240
OG0000004	XP_048620167.1, XP_013668578.2, XP_048608449.1, XP_048590919.1, XP_048628328.1, XP_022573038.2, XP_013738903.1, XP_013723746.2, XP_048613577.1, XP_048605567.1, XP_013745811.1, XP_048623656.1, XP_048629721.1, XP_048626338.1, XP_013709365.2, XP_013689957.1, XP_013709295.1, XP_048596464.1, XP_013738880.1	El005G268230
OG0000004	XP_013751510.1	El006G301060
OG0000005	XP_048615628.1, XP_048591448.1, XP_013713475.1, XP_013658836.1	El001G038630
OG0000005	XP_022564533.1	El005G258250, El003G177260, El001G065660
OG0000005	XP_048591512.1	El003G186250, El001G082120
OG0000005	XP_013650434.2	El001G081400
OG0000005	XP_048626850.1, XP_013665497.1, XP_013709689.1, XP_048605197.1, XP_048611727.1, XP_048596344.1, XP_048637311.1, XP_048621840.1, XP_048630649.1, XP_048613426.1, XP_048591270.1, XP_048633020.1, XP_048606173.1, XP_048620322.1, XP_022553759.1, XP_013739997.1, XP_013722776.3, XP_048593504.1, XP_013728385.1, XP_048596130.1, XP_048626384.1, XP_022559081.2	El002G096830
OG0000005	XP_048604677.1, XP_013699975.1	El002G122730
OG0000005	XP_048608242.1	El003G167150
OG0000005	XP_048613553.1	El002G123530
OG0000005	XP_048599804.1, XP_022564309.1, XP_048627733.1	El002G120930, El007G348880
OG0000005	XP_048599654.1, XP_013713504.1, XP_013658645.2	El002G122720
OG0000005	XP_013718672.1	El007G349440, El001G070000
