Orthogroup	Brassica_napus	Cardamine_amara
OG0000000	XP_048622406.1	evm.model.RL_6.1375
OG0000000	XP_013658077.1	evm.model.RL_6.904, evm.model.RL_8.1136
OG0000000	XP_048621624.1, XP_048626126.1, XP_048609471.1	evm.model.RL_2.920, evm.model.RL_4.662, evm.model.RL_6.582
OG0000000	XP_022563908.1	evm.model.RL_1.2840, evm.model.RL_3.692, evm.model.RL_5.2512
OG0000000	XP_048618529.1	evm.model.RL_8.1072
OG0000000	XP_048599884.1, XP_013718283.1	evm.model.RL_2.1335
OG0000002	XP_022558213.1	evm.model.RL_5.2510
OG0000002	XP_048623762.1	evm.model.RL_1.3299
OG0000002	XP_022565049.2	evm.model.RL_7.2046, evm.model.RL_4.1699, evm.model.RL_7.2065
OG0000002	XP_048601867.1	evm.model.RL_4.153
OG0000002	XP_013679867.3	evm.model.RL_2.2031
OG0000002	XP_013689910.2	evm.model.RL_3.619, evm.model.RL_3.842, evm.model.RL_8.341, evm.model.RL_5.754, evm.model.RL_2.2032, evm.model.RL_4.152, evm.model.RL_8.607
OG0000003	XP_048623031.1	evm.model.RL_5.2420
OG0000003	XP_048630494.1	evm.model.RL_2.1084
OG0000003	XP_048627572.1, XP_048627497.1, XP_048630683.1, XP_048627321.1, XP_048630695.1, XP_048628607.1, XP_048629617.1, XP_048619971.1	evm.model.RL_2.667, evm.model.RL_2.693, evm.model.RL_7.2022, evm.model.RL_2.688, evm.model.RL_8.1019, evm.model.RL_8.1021, evm.model.RL_1.2656, evm.model.RL_8.1024, evm.model.RL_1.2650, evm.model.RL_8.1013
OG0000003	XP_048611587.1	evm.model.RL_6.633
OG0000003	XP_048626828.1	evm.model.RL_5.2419
OG0000003	XP_022552131.1, XP_013669317.2	evm.model.RL_6.1194
OG0000003	XP_048631220.1, XP_048627963.1	evm.model.RL_6.652
OG0000003	XP_048628610.1, XP_048628617.1, XP_048611574.1	evm.model.RL_7.2059, evm.model.RL_6.676
OG0000003	XP_048630645.1, XP_013669098.1, XP_048611542.1	evm.model.RL_1.2633
OG0000004	XP_048593472.1, XP_048633069.1	evm.model.RL_2.303
OG0000005	XP_048591448.1	evm.model.RL_2.975, evm.model.RL_4.402
OG0000005	XP_013713475.1, XP_013658836.1	evm.model.RL_4.816, evm.model.RL_4.229
OG0000005	XP_048591512.1	evm.model.RL_2.1105
OG0000005	XP_048630058.1	evm.model.RL_1.1903
OG0000005	XP_048599804.1, XP_022564309.1, XP_048627733.1	evm.model.RL_1.3117
OG0000005	XP_048599654.1, XP_013713504.1, XP_013658645.2	evm.model.RL_1.1904, evm.model.RL_2.461
OG0000005	XP_048601578.1	evm.model.RL_2.1096
OG0000006	XP_048609003.1	evm.model.RL_6.444
OG0000006	XP_048603704.1, XP_048596481.1	evm.model.RL_1.2522
OG0000006	XP_022553496.1, XP_048591653.1, XP_048610451.1, XP_048612141.1, XP_048624568.1, XP_022549981.2, XP_022552001.1, XP_048601748.1, XP_048606946.1, XP_048609380.1, XP_048610801.1	evm.model.RL_2.3087, evm.model.RL_5.3322
OG0000006	XP_048606830.1	evm.model.RL_1.817, evm.model.RL_2.785
OG0000006	XP_048601765.1	evm.model.RL_4.552
OG0000006	XP_048593388.1, XP_048609348.1, XP_048609347.1, XP_013665085.2, XP_048613183.1, XP_048631151.1, XP_048621605.1, XP_048621349.1, XP_048612104.1, XP_048602935.1, XP_048607098.1, XP_048602894.1, XP_022557024.2, XP_048631548.1, XP_013739847.3, XP_048597124.1, XP_048632399.1, XP_048629681.1	evm.model.RL_5.2330
OG0000007	XP_022569889.1	evm.model.RL_2.1094
OG0000007	XP_013689641.1	evm.model.RL_2.508
OG0000007	XP_048609270.1	evm.model.RL_4.333, evm.model.RL_4.870, evm.model.RL_4.1691, evm.model.RL_7.1568, evm.model.RL_5.674, evm.model.RL_4.1223
OG0000007	XP_048606193.1, XP_048599926.1, XP_048608923.1, XP_048637623.1, XP_022549744.1, XP_013694951.1, XP_022569685.1, XP_013674205.2, XP_048634083.1, XP_048606175.1, XP_048611825.1, XP_048620110.1, XP_013704630.2, XP_048632995.1, XP_048634091.1, XP_013658983.1, XP_048598085.1, XP_013658904.1, XP_048605398.1, XP_013713691.1	evm.model.RL_2.539
OG0000007	XP_048624246.1, XP_013709372.2, XP_022553380.1	evm.model.RL_2.2279
OG0000007	XP_048591447.1, XP_048605541.1, XP_013678969.2, XP_048596342.1, XP_048621839.1, XP_022549722.2, XP_013658576.2, XP_013745771.2, XP_013690321.2, XP_048599593.1, XP_048599664.1	evm.model.RL_2.556
OG0000008	XP_048605193.1, XP_048602098.1, XP_013729777.3, XP_048614654.1, XP_048613386.1, XP_013726652.1, XP_048634180.1, XP_048615675.1, XP_048627521.1, XP_048600989.1, XP_013649895.1, XP_048593291.1, XP_048637651.1, XP_048634041.1, XP_048599181.1, XP_048607915.1, XP_048607904.1, XP_013717411.2, XP_013691111.2, XP_013722649.1, XP_048633127.1, XP_048599584.1, XP_048603850.1, XP_048614138.1, XP_022548693.2, XP_022557716.2, XP_048612002.1, XP_048612005.1, XP_048630290.1, XP_048637523.1, XP_048605750.1, XP_048630899.1, XP_048612699.1, XP_048611975.1, XP_048622867.1, XP_022549239.1, XP_048615069.1, XP_048622956.1, XP_048621207.1, XP_048605224.1, XP_048622188.1, XP_022574272.2, XP_048593363.1, XP_048623066.1, XP_022565168.1, XP_048619957.1	evm.model.RL_4.1914
OG0000010	XP_022560075.1	evm.model.RL_6.734, evm.model.RL_8.1076
OG0000010	XP_048605625.1	evm.model.RL_5.2592
OG0000010	XP_048602259.1	evm.model.RL_2.396
OG0000010	XP_013689750.1	evm.model.RL_5.2483
OG0000010	XP_048622602.1, XP_048605413.1	evm.model.RL_2.723
OG0000010	XP_013745801.1, XP_048615585.1, XP_022567036.1, XP_048605091.1	evm.model.RL_4.113
OG0000010	XP_048611974.1	evm.model.RL_1.2848
OG0000011	XP_013659705.2, XP_048599380.1, XP_048637426.1, XP_048624045.1, XP_048620495.1, XP_048605761.1, XP_013738651.1, XP_048620327.1, XP_013653955.2, XP_048598012.1, XP_048598119.1, XP_013665132.2, XP_048623694.1, XP_048621704.1, XP_048615584.1, XP_048622963.1, XP_022560000.2, XP_022556483.2, XP_022552299.1, XP_048622694.1, XP_022552139.2, XP_013658487.1, XP_048623617.1, XP_048635024.1, XP_048599617.1, XP_048612614.1, XP_048600528.1, XP_013690055.1, XP_048623729.1, XP_048602105.1, XP_013726425.1, XP_048622519.1, XP_022571427.1, XP_048611788.1, XP_013673712.1, XP_048613543.1, XP_013646120.2, XP_013723816.1, XP_048611936.1, XP_022570022.2, XP_048610411.1, XP_048613120.1, XP_022564313.2, XP_048615529.1, XP_048623978.1, XP_048598115.1, XP_013739031.1, XP_013669164.1, XP_022564938.2, XP_048605143.1, XP_013694454.1, XP_048615558.1, XP_048620274.1, XP_048630039.1, XP_013694905.1, XP_048599633.1, XP_013658351.1, XP_013700275.2, XP_048623742.1, XP_022557706.2, XP_048605310.1, XP_013674260.2, XP_013673871.2, XP_013711594.2, XP_048599938.1, XP_048599866.1, XP_022556449.1, XP_013668512.1, XP_048604715.1, XP_022562514.1, XP_013721125.1, XP_048596352.1, XP_013745969.2, XP_048596557.1, XP_048599923.1, XP_048622827.1, XP_048637633.1, XP_013700423.1, XP_048605917.1, XP_048624119.1, XP_013665471.2, XP_048620021.1, XP_048601344.1, XP_048616593.1, XP_013673600.2, XP_022557474.2, XP_048603707.1, XP_022569514.1, XP_048638510.1, XP_013721574.1, XP_048605555.1, XP_022571312.1, XP_013668590.2, XP_048605160.1, XP_013711654.1, XP_048630989.1, XP_048599557.1, XP_048615826.1, XP_048612540.1, XP_013668567.2, XP_048615923.1, XP_013694209.2	evm.model.RL_6.446
OG0000012	XP_048613104.1	evm.model.RL_4.165
OG0000012	XP_048630875.1, XP_048604176.1	evm.model.RL_7.2040
OG0000012	XP_048633152.1	evm.model.RL_5.2583
OG0000012	XP_022552307.2	evm.model.RL_6.730, evm.model.RL_5.2582
OG0000012	XP_048605550.1, XP_013729012.2	evm.model.RL_2.748
OG0000012	XP_048596427.1	evm.model.RL_3.685
OG0000012	XP_048622736.1, XP_013708269.2, XP_048621865.1, XP_048599599.1, XP_048605626.1, XP_048623965.1, XP_013689439.2, XP_013694857.2, XP_048623929.1, XP_048599867.1, XP_048605149.1, XP_048623958.1, XP_013688786.1, XP_048611444.1, XP_048613196.1, XP_048599881.1, XP_048622618.1, XP_022569359.2, XP_013658500.2	evm.model.RL_2.3
OG0000013	XP_013700535.1, XP_013700318.1, XP_048615689.1, XP_013673894.2, XP_048620109.1, XP_013713592.1, XP_048603843.1, XP_048603078.1, XP_048617046.1, XP_048626973.1, XP_048600408.1, XP_048605631.1, XP_048622706.1, XP_013651736.2, XP_013665254.2	evm.model.RL_3.807, evm.model.RL_3.1357, evm.model.RL_4.820, evm.model.RL_2.791, evm.model.RL_6.523, evm.model.RL_4.704, evm.model.RL_2.641
OG0000013	XP_013673830.1	evm.model.RL_2.759, evm.model.RL_7.1969, evm.model.RL_3.1358
OG0000013	XP_013669126.1, XP_013657861.1, XP_013680128.1, XP_048623792.1, XP_048627540.1, XP_048627019.1, XP_013654293.1, XP_013719470.1, XP_048628567.1, XP_013673938.1, XP_048599702.1, XP_048623790.1, XP_013657845.1, XP_013674358.1, XP_048611696.1, XP_013731674.1, XP_048620209.1, XP_048622591.1, XP_048613189.1, XP_013680096.1, XP_048599805.1, XP_048590782.1, XP_013695068.1, XP_048611913.1, XP_013709233.2, XP_013700181.2, XP_013715874.2, XP_048623780.1, XP_048622700.1, XP_048611935.1, XP_048604998.1, XP_048604852.1, XP_048611575.1, XP_048626950.1, XP_013745730.1, XP_013689885.1, XP_013709546.1, XP_048623897.1, XP_013658724.1, XP_048599858.1, XP_048626494.1, XP_048637553.1, XP_048613190.1, XP_048595147.1, XP_048611591.1, XP_013695057.1, XP_048622786.1, XP_048605855.1, XP_048596261.1, XP_048619839.1, XP_048599844.1, XP_048605676.1, XP_013705952.3, XP_048599685.1, XP_048605016.1, XP_048613311.1, XP_048605019.1, XP_048608870.1, XP_013689149.2, XP_048604885.1, XP_048599929.1, XP_048613405.1, XP_013721758.1, XP_048611835.1, XP_013689890.1, XP_048627565.1, XP_048598108.1, XP_013720996.1, XP_013654288.1, XP_013688904.1, XP_048611534.1, XP_048599780.1, XP_013700321.1	evm.model.RL_7.2034, evm.model.RL_2.725, evm.model.RL_2.397
OG0000013	XP_013651123.1, XP_013699897.1, XP_013729113.2, XP_048608937.1, XP_048619944.1	evm.model.RL_6.796
OG0000014	XP_022552432.1	evm.model.RL_3.2282
OG0000014	XP_048593366.1, XP_013658387.1, XP_013674050.1, XP_013673957.1, XP_013665229.1, XP_013729439.2, XP_048611726.1, XP_013704117.1, XP_022562283.2, XP_013658625.2, XP_013650466.1	evm.model.RL_1.2917
OG0000014	XP_013708671.1, XP_048624069.1, XP_013658227.1, XP_048599863.1, XP_048604671.1, XP_048624017.1, XP_048604978.1, XP_048613067.1, XP_013689140.2, XP_048615831.1, XP_048620011.1, XP_048613476.1	evm.model.RL_3.2283
OG0000015	XP_048622603.1	evm.model.RL_4.1006
OG0000015	XP_048613565.1, XP_048634846.1, XP_048611773.1, XP_048616950.1, XP_048602698.1, XP_048622170.1	evm.model.RL_7.2535
OG0000015	XP_048623927.1, XP_013645200.2, XP_048611390.1, XP_048606234.1	evm.model.RL_1.2714
OG0000015	XP_048595752.1, XP_048605580.1	evm.model.RL_8.879
OG0000017	XP_048615612.1, XP_048610757.1, XP_022559532.2	evm.model.RL_7.1516
OG0000017	XP_048603682.1	evm.model.RL_3.2130
OG0000019	XP_048621485.1	evm.model.RL_7.2531
OG0000019	XP_022557639.1, XP_048592640.1, XP_048625519.1, XP_013658536.1, XP_048593485.1, XP_048624077.1	evm.model.RL_1.2654
OG0000019	XP_022564361.1, XP_048596600.1, XP_013745161.1, XP_048620186.1, XP_048604827.1, XP_022571038.1, XP_022562585.2, XP_048593373.1, XP_013658360.2, XP_013674258.2, XP_048596246.1	evm.model.RL_7.2268
OG0000020	XP_013694335.2	evm.model.RL_8.674
OG0000020	XP_048605650.1	evm.model.RL_8.1178
