Orthogroup	Brassica_napus	Conringia_planisiliqua
OG0000000	XP_048621624.1, XP_048626126.1, XP_048609471.1	CP17_g5889_DN1_SP0_c.t1, CP1_g39400_DN3_SP0_c.t1, CP1_g39844_DN3_SP0_c.t1
OG0000000	XP_022563908.1, XP_048634050.1, XP_048618529.1, XP_048611829.1	CP3_g15530_DN1_SP0_c.t1
OG0000002	XP_022565049.2	CP25_g55807_DN3_SP0_c.t1, CP1_g39210_DN2_SP0_c.t1, CP42_g27257_DN3_SP0_c.t1, CP4_g26489_DN1_SP0_c.t1
OG0000002	XP_013730849.1	CP13_g20669_DN2_SP0_c.t1
OG0000003	XP_048623031.1	CP3_g15228_DN2_SP0_c.t1
OG0000003	XP_048626828.1	CP1_g39873_DN1_SP0_c.t1
OG0000003	XP_048620084.1	CP12_g30974_DN2_SP0_c.t1
OG0000004	XP_048593472.1, XP_048633069.1	CP2_g49699_DN2_SP0_c.t1
OG0000004	XP_048630790.1, XP_048635080.1	CP36_g50963_DN2_SP0_c.t1
OG0000004	XP_048634043.1	CP6_g8147_DN1_SP0_c.t1
OG0000004	XP_048599890.1, XP_048622927.1, XP_048598122.1, XP_048626290.1, XP_013709134.2, XP_022562623.2	CP1_g40632_DN1_SP0_c.t1, CP3_g15136_DN1_SP0_c.t1
OG0000004	XP_048599985.1, XP_013649372.1, XP_013650878.1, XP_048593474.1, XP_013720997.1	CP5_g2283_DN1_SP0_c.t1, CP3_g15925_DN2_SP0_c.t1, CP15_g34707_DN2_SP0_c.t1
OG0000004	XP_013694423.1, XP_048624048.1, XP_013739852.2	CP21_g10514_DN2_SP0_c.t1
OG0000005	XP_048599618.1	CP17_g5422_DN1_SP0_c.t1
OG0000005	XP_013673764.3, XP_048622638.1, XP_013739679.2, XP_013729746.2	CP1_g39903_DN2_SP0_c.t1, CP3_g15091_DN1_SP0_c.t1
OG0000005	XP_048622755.1, XP_048631394.1, XP_013650434.2	CP3_g16492_DN1_SP0_c.t1
OG0000005	XP_048613426.1, XP_048591270.1, XP_048633020.1, XP_048606173.1, XP_048620322.1, XP_022553759.1, XP_013739997.1	CP4_g26834_DN1_SP0_c.t1
OG0000005	XP_048604677.1, XP_013699975.1	CP4_g26233_DN2_SP0_c.t1
OG0000005	XP_048613553.1	CP15_g34531_DN3_SP0_c.t1
OG0000005	XP_048599804.1, XP_022564309.1, XP_048627733.1	CP18_g12172_DN1_SP0_c.t1
OG0000005	XP_048599654.1, XP_013713504.1, XP_013658645.2	CP4_g26231_DN1_SP0_c.t1
OG0000005	XP_013718672.1	CP9_g27889_DN1_SP0_c.t1
OG0000005	XP_022557495.1, XP_048623614.1	CP4_g26940_DN2_SP0_c.t1
OG0000005	XP_048611997.1	CP6_g9755_DN1_SP0_c.t1
OG0000005	XP_048601578.1	CP9_g27694_DN1_SP0_c.t1
OG0000006	XP_048601765.1, XP_048618116.1, XP_048617042.1, XP_048616274.1, XP_048620254.1, XP_048637522.1, XP_048610064.1	CP8_g52162_DN2_SP0_c.t1
OG0000007	XP_013700020.1, XP_048635088.1	CP18_g11997_DN3_SP0_c.t1
OG0000007	XP_022569889.1	CP2_g50571_DN2_SP0_c.t1
OG0000007	XP_013657892.1	CP3_g14987_DN2_SP0_c.t1, CP5_g2400_DN1_SP0_c.t1
OG0000007	XP_013713348.1, XP_013713792.1	CP8_g52615_DN2_SP0_c.t1
OG0000007	XP_048603717.1	CP42_g27277_DN1_SP0_c.t1
OG0000007	XP_048609270.1	CP8_g52821_DN1_SP0_c.t1
OG0000007	XP_013669482.2	CP6_g8175_DN3_SP0_c.t1
OG0000007	XP_048606193.1, XP_048599926.1, XP_048608923.1, XP_048637623.1, XP_022549744.1, XP_013694951.1, XP_022569685.1, XP_013674205.2, XP_048634083.1, XP_048606175.1, XP_048611825.1, XP_048620110.1, XP_013704630.2, XP_048632995.1, XP_048634091.1, XP_013658983.1, XP_048598085.1, XP_013658904.1, XP_048605398.1, XP_013713691.1	CP2_g50561_DN2_SP0_c.t1
OG0000007	XP_013699864.2, XP_013673581.2, XP_048624114.1, XP_013689634.1, XP_013723992.2, XP_013694206.1, XP_048623693.1, XP_048624136.1, XP_048605578.1, XP_048627392.1, XP_048606192.1, XP_013731064.2, XP_048608898.1, XP_048627245.1, XP_048596526.1, XP_013658564.2, XP_013668733.2, XP_013659695.2, XP_013694544.2, XP_048632958.1, XP_013660781.1, XP_048604778.1, XP_048615950.1, XP_013649395.2	CP24_g47107_DN1_SP0_c.t1
OG0000007	XP_048624140.1	CP5_g2387_DN3_SP0_c.t1, CP7_g44192_DN2_SP0_c.t1
OG0000007	XP_013709372.2, XP_022553380.1	CP1_g40811_DN1_SP0_c.t1
OG0000007	XP_048591447.1	CP3_g15795_DN1_SP0_c.t1
OG0000007	XP_013726547.1	CP5_g2382_DN2_SP0_c.t1
OG0000007	XP_013688737.1	CP9_g27696_DN1_SP0_c.t1
OG0000007	XP_048637520.1	CP1_g40809_DN2_SP0_c.t1
OG0000007	XP_048628012.1, XP_048635094.1, XP_022565607.2	CP9_g28197_DN3_SP0_c.t1
OG0000008	XP_048596271.1	CP14_g23480_DN3_SP0_c.t1
OG0000008	XP_048605305.1	CP5_g2806_DN2_SP0_c.t1
OG0000008	XP_022547630.2	CP27_g41699_DN2_SP0_c.t1
OG0000010	XP_048611974.1, XP_048618623.1	CP24_g47323_DN2_SP0_c.t1
OG0000010	YP_717137.1	CP17_g5733_DN1_SP0_c.t1
OG0000012	XP_048613104.1	CP35_g52033_DN3_SP0_c.t1
OG0000013	XP_013700535.1, XP_013700318.1, XP_048615689.1, XP_013673894.2, XP_048620109.1, XP_013713592.1, XP_048603843.1, XP_048603078.1, XP_048617046.1, XP_048626973.1, XP_048600408.1, XP_048605631.1, XP_048622706.1, XP_013651736.2, XP_013665254.2	CP26_g51269_DN2_SP0_c.t1
OG0000013	XP_013673830.1	CP14_g22654_DN2_SP0_c.t1
OG0000015	XP_022553445.1	CP18_g12234_DN1_SP0_c.t1, CP7_g44210_DN2_SP0_c.t1, CP7_g44211_DN2_SP0_c.t1
OG0000015	XP_048607541.1	CP3_g15512_DN1_SP0_c.t1
OG0000015	XP_048613565.1, XP_048634846.1, XP_048611773.1, XP_048616950.1, XP_048602698.1, XP_048622170.1	CP22_g17112_DN1_SP0_c.t1, CP7_g44359_DN2_SP0_c.t1, CP9_g27744_DN1_SP0_c.t1
