Orthogroup	Cardamine_glauca	Capsella_rubella
OG0000000	Cg005G1542700	XP_023644490.1
OG0000000	Cg002G0506900	XP_023637681.1
OG0000000	Cg002G0574500	XP_023634268.1, XP_023644256.1
OG0000000	Cg004G1415700	XP_023632892.1
OG0000002	Cg001G0121200	XP_023638855.1
OG0000003	Cg008G2696300, Cg007G2280100	XP_023641338.1
OG0000004	Cg014G3042600	XP_023644517.1, XP_023638874.1
OG0000004	Cg004G1187900	XP_023639960.1, XP_023633832.1
OG0000005	Cg006G1917400	XP_023639598.1
OG0000007	Cg006G1865000, Cg001G0098100, Cg005G1765200	XP_023640317.1
OG0000007	Cg008G2911000	XP_023635039.1
OG0000008	Cg002G0653600	XP_023641963.1, XP_023644880.1, XP_006303816.2, XP_023633343.1, XP_023633617.1, XP_006305876.2
OG0000008	Cg002G0565700	XP_023638567.1
OG0000009	Cg005G1717900, Cg003G0717800, Cg005G1769300	XP_023640352.1
OG0000009	Cg008G2845600	XP_006292284.1
OG0000011	Cg008G2919200, Cg002G0664700, Cg003G0778000	XP_023644226.1
OG0000011	Cg005G1679200	XP_006298993.2, XP_023637233.1, XP_023641182.1, XP_006288329.2
OG0000014	Cg001G0103300	XP_023638462.1, XP_023634279.1
OG0000015	Cg007G2289100	XP_023636914.1
OG0000016	Cg005G1715500	XP_023634145.1
OG0000018	Cg003G0814300	XP_023639601.1, XP_023641956.1
OG0000020	Cg004G1313600	XP_006279199.1
OG0000021	Cg006G1871200	XP_023634269.1, XP_023637241.1, XP_023637954.1, XP_006303531.2, XP_023644562.1, XP_023641377.1
OG0000021	Cg006G1912000, Cg004G1333000	XP_023634431.1, XP_023644454.1, XP_023641962.1, XP_023641378.1, XP_023637243.1, XP_023642574.1
OG0000022	Cg001G0134600	XP_006283550.1
OG0000022	Cg007G2277400	XP_006302102.1
OG0000022	Cg007G2258400	XP_023643559.1
OG0000022	Cg001G0385000	XP_023635463.1
OG0000022	Cg004G1232100	XP_006297483.1
OG0000024	Cg006G1959100, Cg006G1958900, Cg006G1959600, Cg006G1959000, Cg006G1959800, Cg006G1959300	XP_023632988.1, XP_023644421.1, XP_023644420.1, XP_023632644.1, XP_023632643.1, XP_023644419.1
OG0000024	Cg001G0380300	XP_023644529.1
OG0000024	Cg002G0647900	XP_023633039.1
OG0000024	Cg002G0447000, Cg002G0448700	XP_023633004.1, XP_023639207.1
OG0000025	Cg007G2444400	XP_023636962.1
OG0000025	Cg005G1690200, Cg004G1264500	XP_023636110.1
OG0000027	Cg003G0758600	XP_023635858.1, XP_006289355.2, XP_006286462.1
OG0000027	Cg003G0758500	XP_006287218.1
