Orthogroup	Cardamine_glauca	Brassica_oleracea
OG0000000	Cg005G1732700, Cg005G1732800, Cg005G1732600, Cg005G1732500, Cg005G1732900, Cg008G2794500	XP_013594726.1, XP_013633348.1, XP_013601000.1, XP_013625538.1, XP_013594959.1, XP_013627809.1, XP_013601491.1, XP_013625599.1, XP_013589527.1, XP_013629098.1, XP_013639526.1, XP_013595181.1, XP_013594888.1
OG0000000	Cg003G0947300	XP_013589224.1
OG0000000	Cg005G1542700	XP_013639798.1
OG0000000	Cg001G0384000	XP_013589426.1, XP_013608138.1, XP_013601226.1
OG0000000	Cg003G0793800	XP_013594889.1
OG0000000	Cg002G0506900	XP_013589383.1, XP_013589700.1, XP_013601857.1, XP_013622853.1, XP_013601345.1, XP_013632715.1, XP_013634222.1, XP_013623801.1, XP_013595032.1, XP_013589172.1, XP_013589702.1, XP_013617761.1, XP_013624139.1, XP_013600971.1, XP_013594922.1, XP_013639569.1, XP_013639421.1
OG0000000	Cg002G0574500	XP_013624532.1, XP_013624835.1, XP_013589327.1, XP_013633450.1
OG0000000	Cg007G2381100	XP_013617747.1, XP_013625011.1, XP_013583433.1, XP_013601125.1, XP_013608309.1, XP_013617255.1, XP_013624915.1, XP_013595166.1
OG0000000	Cg004G1415700	XP_013632878.1
OG0000002	Cg001G0121200	XP_013601696.1, XP_013617415.1, XP_013601104.1, XP_013604825.1, XP_013624612.1
OG0000002	Cg002G0472400, Cg005G1504200	XP_013594451.1, XP_013608132.1, XP_013617459.1, XP_013624531.1
OG0000003	Cg008G2696300, Cg007G2280100	XP_013589605.1, XP_013624294.1
OG0000003	Cg006G1905700	XP_013624336.1, XP_013594483.1, XP_013632484.1, XP_013616875.1, XP_013589405.1, XP_013595187.1
OG0000003	Cg001G0274200, Cg002G0686800	XP_013601139.1
OG0000003	Cg001G0323400, Cg008G2981700	XP_013617246.1, XP_013601220.1
OG0000004	Cg008G2652500	XP_013639674.1, XP_013607775.1
OG0000004	Cg014G3042600	XP_013624852.1, XP_013624387.1, XP_013633000.1
OG0000004	Cg004G1187900	XP_013616947.1, XP_013639729.1, XP_013583420.1, XP_013639281.1, XP_013601721.1, XP_013601368.1, XP_013624478.1, XP_013617170.1
OG0000004	Cg011G3014900, Cg001G0291700, Cg002G0631600, Cg001G0232800, Cg005G1551600	XP_013601294.1
OG0000005	Cg005G1502300	XP_013617438.1
OG0000005	Cg007G2394000	XP_013615225.1
OG0000005	Cg008G2853000, Cg008G2868800, Cg006G1917300	XP_013624826.1
OG0000007	Cg008G2926400	XP_013634604.1, XP_013617289.1
OG0000007	Cg008G2911000	XP_013603784.1, XP_013635455.1
OG0000007	Cg001G0210800	XP_013623981.1
OG0000007	Cg002G0590800	XP_013617071.1
OG0000008	Cg002G0653600	XP_013617721.1, XP_013617143.1, XP_013633025.1, XP_013594960.1, XP_013639786.1, XP_013601568.1, XP_013614821.1, XP_013608259.1, XP_013584735.1, XP_013639639.1
