Orthogroup	Cardamine_glauca	Noccaea_praecox
OG0000000	Cg005G1732700, Cg005G1732800, Cg005G1732600, Cg005G1732500, Cg005G1732900, Cg008G2794500	Np006G3574100, Np005G2997500, Np001G0689700
OG0000000	Cg006G1881000	Np003G1708100, Np006G3568800
OG0000000	Cg001G0315700	Np006G3485200
OG0000000	Cg007G2381100	Np001G0404400, Np005G3184700, Np001G0462400
OG0000000	Cg004G1415700	Np002G1002000
OG0000002	Cg001G0121200	Np002G1017600
OG0000002	Cg002G0472400, Cg005G1504200	Np002G1056700, Np003G1705400, Np002G0924900, Np009G4293000, Np002G1029600, Np006G3468100
OG0000003	Cg008G2696300, Cg007G2280100	Np007G3935700
OG0000003	Cg006G1905700	Np005G3039000
OG0000003	Cg001G0323400, Cg008G2981700	Np003G1737800
OG0000004	Cg014G3042600	Np005G2950600, Np010G4347300, Np007G4015400
OG0000004	Cg002G0566400, Cg004G1175600, Cg008G2960200, Cg001G0254800, Cg008G2671600, Cg008G2922100, Cg007G2351100, Cg005G1719500, Cg004G1384700, Cg002G0576600, Cg002G0577700	Np004G2079000, Np003G1676800
OG0000004	Cg004G1187900	Np005G2935100, Np005G2935000
OG0000005	Cg005G1502300	Np006G3534100, Np006G3467500, Np006G3473300, Np006G3540100
OG0000005	Cg008G2853000, Cg008G2868800, Cg006G1917300	Np006G3440400
OG0000005	Cg004G1316700, Cg001G0326200, Cg001G0340800	Np003G1689900, Np005G2966500
OG0000005	Cg006G1917000, Cg006G1876300	Np001G0487100
OG0000007	Cg008G2926400	Np008G4270000, Np002G0921200
OG0000008	Cg002G0653600	Np005G2918600, Np002G1026800, Np002G1031900, Np005G3077900
OG0000008	Cg007G2406600, Cg002G0593900	Np002G0964800
OG0000008	Cg002G0512100, Cg002G0565700	Np001G0535300
OG0000009	Cg005G1711000	Np001G0683200
OG0000009	Cg005G1717900, Cg003G0717800, Cg005G1769300	Np003G1663900, Np001G0129200, Np003G1783000
OG0000009	Cg008G2845600	Np006G3566400
OG0000011	Cg003G0778000	Np001G0276300
OG0000011	Cg005G1679200	Np001G0493800, Np007G3831300, Np007G4255400
OG0000011	Cg005G1679100	Np001G0276200
OG0000012	Cg005G1703300	Np005G2960400, Np001G0263300, Np005G2658400
OG0000012	Cg004G1402400	Np001G0263200
OG0000015	Cg001G0251200	Np001G0295000, Np001G0361200
OG0000016	Cg002G0591300	Np002G0990700, Np002G0970700, Np006G3586500, Np007G3998400
OG0000016	Cg005G1715500	Np002G0990500
OG0000018	Cg003G0814300	Np003G1756100, Np007G3967900, Np007G4036300, Np002G0985200, Np005G3035000, Np005G2964000, Np002G1076400
OG0000022	Cg001G0385000	Np005G3189900
OG0000023	Cg003G0880200	Np006G3415000
OG0000023	Cg007G2371000	Np002G1065700, Np005G3185500
OG0000023	Cg003G1048300, Cg006G1990600, Cg003G0860500, Cg007G2541200, Cg014G3040300	Np004G2177800
OG0000023	Cg006G2067800	Np005G3091400
OG0000024	Cg006G1963900, Cg006G1963800	Np004G2150800
OG0000024	Cg002G0447000, Cg002G0448700	Np001G0579500, Np001G0579400
OG0000025	Cg005G1690200, Cg004G1264500	Np003G1727000
OG0000027	Cg003G0758800, Cg003G0758600	Np003G1806500
OG0000027	Cg001G0172400	Np005G2841300
OG0000027	Cg001G0171700	Np005G2840800, Np005G2838800
OG0000027	Cg001G0171600	Np005G2840200
OG0000028	Cg003G0981300	Np003G1643200
OG0000028	Cg007G2581000, Cg001G0051700	Np006G3533600, Np006G3532900, Np006G3474900, Np006G3473800, Np006G3703700, Np006G3698600, Np003G1462900, Np006G3474200, Np006G3698100, Np006G3696700
OG0000028	Cg006G2183100	Np001G0479800, Np001G0480000
OG0000028	Cg003G0941300	Np003G1832500
OG0000030	Cg006G1982700	Np001G0090700
OG0000030	Cg006G2154000	Np004G2249500, Np004G2249800
OG0000031	Cg003G0842000	Np002G0985700, Np005G2850000
OG0000032	Cg001G0339700	Np005G3033300, Np004G2084500, Np002G1024100, Np004G2084400, Np005G3033400
OG0000034	Cg001G0172000	Np005G2840700, Np005G2840600
OG0000034	Cg001G0172200, Cg001G0172300	Np005G2841400
OG0000034	Cg001G0172500	Np005G2839700, Np005G2840900
