Orthogroup	Cardamine_glauca	Arabis_alpina
OG0000002	Cg001G0121200	Aa_G973590.h1.t1, Aa_G523140.h1.t1, Aa_G139860.h1.t1, Aa_G544990.h1.t1
OG0000002	Cg002G0472400, Cg005G1504200	Aa_G166190.h1.t1, Aa_G871860.h1.t1, Aa_G879130.h1.t1, Aa_G251820.h1.t1, Aa_G700320.h1.t1, Aa_G179770.h1.t1, Aa_G940570.h1.t1, Aa_G202640.h1.t1
OG0000003	Cg006G1905700	Aa_G505500.h1.t1
OG0000004	Cg005G1712500, Cg005G1670400, Cg002G0621600, Cg001G0187300, Cg004G1344800, Cg008G2898200, Cg004G1359700, Cg004G1347000, Cg003G0835900, Cg006G1875200, Cg006G1877400, Cg007G2356200, Cg005G1738500, Cg005G1738100, Cg005G1737900	Aa_G305790.h1.t1
OG0000005	Cg007G2394000	Aa_G834150.h1.t1, Aa_G80970.h1.t1, Aa_G4640.h1.t1, Aa_G619980.h2.t1, Aa_G619980.h1.t1, Aa_G125480.h1.t1, Aa_G409540.h1.t1
OG0000005	Cg008G2853000, Cg008G2868800, Cg006G1917300	Aa_G249080.h1.t1, Aa_G249080.h2.t1
OG0000008	Cg002G0512100, Cg002G0565700	Aa_G302250.h1.t1
OG0000012	Cg005G1703300	Aa_G57270.h1.t1, Aa_G57260.h1.t1, Aa_G57300.h1.t1, Aa_G57280.h1.t1
OG0000014	Cg001G0103300	Aa_G227980.h1.t1, Aa_G848940.h1.t1, Aa_G286860.h1.t1, Aa_G162930.h1.t1, Aa_G7690.h1.t1
OG0000015	Cg001G0251200	Aa_G982290.h1.t1
OG0000016	Cg001G0284700	Aa_G1030250.h1.t1, Aa_G540.h1.t1, Aa_G280.h1.t1
OG0000018	Cg003G0814300	Aa_G290190.h1.t1
OG0000020	Cg004G1313600	Aa_G135640.h1.t1
OG0000022	Cg001G0385000, Cg004G1232100	Aa_G97120.h1.t1
OG0000023	Cg006G2067800	Aa_G297380.h1.t1
OG0000024	Cg002G0447000, Cg002G0448700	Aa_G565550.h1.t1, Aa_G614530.h1.t1, Aa_G511000.h1.t1, Aa_G14060.h1.t1
OG0000025	Cg007G2444400, Cg005G1690200, Cg004G1264500	Aa_G387540.h1.t1
OG0000027	Cg003G0758700	Aa_G643320.h1.t1
OG0000027	Cg001G0170600	Aa_G200970.h1.t1
OG0000027	Cg001G0171100	Aa_G92870.h1.t1, Aa_G92760.h1.t1, Aa_G494730.h1.t1
OG0000027	Cg001G0171400	Aa_G200950.h1.t1, Aa_G200910.h1.t1
OG0000027	Cg003G0757800	Aa_G597270.h1.t1
OG0000027	Cg001G0171700	Aa_G191740.h1.t1
OG0000027	Cg001G0171600	Aa_G200830.h1.t1
OG0000028	Cg003G0981300	Aa_G687010.h2.t1, Aa_G687010.h3.t1, Aa_G687010.h1.t1, Aa_G687040.h1.t1, Aa_G604290.h1.t1, Aa_G604300.h1.t1
OG0000028	Cg007G2581000, Cg001G0051700, Cg006G2183100, Cg003G0941300	Aa_G123410.h1.t1, Aa_G71570.h1.t1, Aa_G123400.h1.t1
OG0000029	Cg007G2405400, Cg007G2364600, Cg001G0384100	Aa_G248570.h1.t1
OG0000030	Cg002G0532900	Aa_G522160.h1.t1, Aa_G425920.h1.t1, Aa_G89020.h1.t1
OG0000032	Cg001G0339700	Aa_G209100.h1.t1
OG0000034	Cg001G0172000	Aa_G782810.h1.t1, Aa_G619140.h1.t1
OG0000034	Cg001G0172500	Aa_G191730.h1.t1
OG0000034	Cg001G0190400	Aa_G58870.h2.t1, Aa_G58870.h1.t1, Aa_G58900.h1.t1, Aa_G58880.h1.t1, Aa_G58910.h1.t1, Aa_G317980.h1.t1
OG0000034	Cg001G0190500	Aa_G58920.h1.t1
OG0000034	Cg001G0172700	Aa_G191690.h1.t1
OG0000043	Cg003G0842100	Aa_G30.h1.t1
OG0000044	Cg001G0233900	Aa_G639660.h1.t1
OG0000044	Cg004G1386600	Aa_G208050.h1.t1
OG0000044	Cg008G2973900, Cg003G0745700	Aa_G313590.h1.t1
OG0000044	Cg004G1380900	Aa_G33030.h1.t1
OG0000044	Cg013G3024300	Aa_G791970.h1.t1
OG0000050	Cg006G1961200, Cg003G0717600	Aa_G263310.h1.t1, Aa_G634370.h1.t1, Aa_G7430.h1.t1
OG0000051	Cg006G2232100	Aa_G217710.h1.t1, Aa_G818500.h2.t1, Aa_G818500.h1.t1, Aa_G18920.h1.t1
OG0000051	Cg013G3025800, Cg005G1600400	Aa_G599340.h1.t1
OG0000051	Cg003G0782100	Aa_G271540.h1.t1
OG0000052	Cg002G0501500	Aa_G521750.h1.t1
OG0000056	Cg007G2283600, Cg007G2285200	Aa_G534290.h1.t1
OG0000056	Cg007G2283700	Aa_G615080.h1.t1
OG0000056	Cg007G2284900, Cg007G2285100	Aa_G643840.h1.t1, Aa_G487430.h1.t1, Aa_G594110.h1.t1, Aa_G488310.h1.t1, Aa_G643830.h1.t1, Aa_G594100.h1.t1
OG0000056	Cg002G0557700	Aa_G162440.h1.t1
OG0000058	Cg005G1680800, Cg005G1670600, Cg002G0582900, Cg004G1300700, Cg006G1919800, Cg005G1665800, Cg002G0608700, Cg004G1336800, Cg005G1744500, Cg008G2877000, Cg001G0339300, Cg007G2347400, Cg004G1359500, Cg004G1359600, Cg007G2327500, Cg002G0648900	Aa_G527390.h1.t1
OG0000060	Cg005G1558200	Aa_G257700.h6.t1
OG0000060	Cg002G0489100	Aa_G197130.h3.t1
OG0000060	Cg003G0990300, Cg002G0570000	Aa_G367650.h5.t1
OG0000060	Cg005G1647300	Aa_G318860.h4.t1
OG0000060	Cg002G0566100	Aa_G550780.h6.t1
OG0000060	Cg006G2185800	Aa_G257700.h3.t1
OG0000061	Cg004G1379900	Aa_G496010.h1.t1, Aa_G380720.h1.t1
OG0000061	Cg005G1455400	Aa_G235680.h1.t1
