Orthogroup	Cardamine_glauca	Brassica_rapa
OG0000000	Cg005G1732700, Cg005G1732800, Cg005G1732600, Cg005G1732500, Cg005G1732900, Cg008G2794500	XP_009139680.2, XP_009119930.2, XP_009128546.1
OG0000000	Cg003G0947300	XP_009123079.1
OG0000000	Cg005G1542700	XP_009123632.2, XP_009150012.1, XP_033128757.1, XP_009106474.1
OG0000000	Cg001G0384000	XP_009150345.1
OG0000000	Cg003G0793800	XP_033146952.1
OG0000000	Cg002G0506900	XP_033143372.1, XP_009140188.1, XP_009150035.2, XP_018514383.1, XP_033148610.1, XP_009150816.2, XP_009103791.2, XP_009103405.1
OG0000000	Cg002G0574500	XP_009140393.1, XP_033148554.1, XP_009113628.1, XP_033146231.1, XP_009127418.1
OG0000000	Cg007G2381100	XP_033147264.1, XP_033134838.1, XP_033130352.1, XP_033142250.1, XP_009114092.1, XP_009138592.1, XP_009103531.2
OG0000000	Cg004G1415700	XP_009124577.2
OG0000003	Cg006G1905700	XP_033145314.1, XP_009145336.1
OG0000003	Cg001G0323400, Cg008G2981700	XP_033136094.1
OG0000004	Cg008G2652500	XP_033142309.1
OG0000004	Cg014G3042600	XP_033148227.1, XP_033141775.1, XP_033140426.1, XP_033141600.1, XP_033131490.1, XP_033129333.1, XP_033132866.1, XP_033139421.1, XP_033146851.1, XP_033143942.1, XP_033137068.1, XP_033132321.1, XP_033132255.1, XP_033128096.1, XP_033139470.1, XP_033139367.1
OG0000004	Cg002G0566400, Cg004G1175600, Cg008G2960200, Cg001G0254800, Cg008G2671600, Cg008G2922100, Cg007G2351100, Cg005G1719500, Cg004G1384700, Cg002G0576600, Cg002G0577700	XP_033138950.1, XP_033130324.1
OG0000004	Cg004G1187900	XP_033142456.1, XP_033145865.1, XP_033139403.1, XP_033134206.1, XP_033129935.1, XP_033139196.1, XP_033134263.1, XP_033133987.1, XP_033131609.1
OG0000007	Cg006G1865000, Cg001G0098100, Cg005G1765200	XP_033140542.1
OG0000007	Cg004G1331500	XP_033131877.1
OG0000008	Cg002G0653600	XP_033143195.1, XP_033141059.1, XP_033147295.1, XP_033148559.1, XP_033129403.1, XP_033143620.1, XP_033138365.1, XP_033147243.1, XP_033145226.1, XP_033139890.1, XP_033129084.1, XP_033145197.1, XP_018513989.2, XP_033129879.1, XP_033140569.1, XP_033140184.1
OG0000008	Cg002G0512100, Cg002G0565700	XP_009115858.3
OG0000009	Cg003G0834900	XP_033139461.1
OG0000009	Cg005G1717900, Cg003G0717800, Cg005G1769300	XP_009117702.1, XP_009147334.1, XP_009135550.2, XP_033134013.1, XP_009113005.2, XP_033131870.1, XP_009102722.2, XP_009129720.1, XP_009124848.1, XP_009140864.1, XP_009139318.2, XP_018509100.1, XP_009146774.1
OG0000009	Cg008G2845600	XP_009109961.2, XP_033148561.1, XP_009139324.1
OG0000011	Cg003G0778000	XP_033128807.1
OG0000011	Cg005G1679200	XP_009138607.1, XP_033134171.1, XP_018511598.1, XP_009144754.1, XP_009121335.1, XP_009119519.1, XP_009152174.1, XP_033146667.1, XP_033143848.1, XP_033134783.1, XP_033132530.1
OG0000011	Cg005G1679100	XP_033131097.1, XP_033133861.1, XP_018512770.1, XP_033128536.1
