Orthogroup	Cardamine_glauca	Alyssum_gmelinii
OG0000000	Cg005G1732700, Cg005G1732800, Cg005G1732600, Cg005G1732500, Cg005G1732900, Cg008G2794500	Ag071G5244500, Ag014G1982800, Ag013G1560600
OG0000000	Cg003G0947300	Ag017G2413700, Ag016G2404700, Ag018G2474800, Ag004G0601400, Ag033G3558200, Ag032G3454800
OG0000000	Cg003G0820400, Cg001G0384000	Ag028G3079600, Ag058G4972900, Ag034G4051300, Ag022G2647900
OG0000000	Cg006G1881000	Ag036G4123700
OG0000000	Cg003G0793800	Ag054G4887300
OG0000000	Cg002G0506900	Ag077G5323300, Ag003G0363000, Ag013G1740700, Ag055G4904400
OG0000000	Cg002G0574500	Ag052G4861800, Ag004G0706900, Ag033G3514900, Ag018G2438300, Ag032G3442900, Ag016G2353100, Ag067G5186800, Ag031G3358900, Ag047G4548700, Ag013G1396900, Ag016G2398200, Ag013G1719000, Ag014G2113700, Ag016G2347700
OG0000000	Cg001G0315700	Ag058G4977700
OG0000000	Cg004G1415700	Ag067G5173700
OG0000002	Cg002G0472400, Cg005G1504200	Ag027G3030200, Ag013G1414500
OG0000003	Cg006G1905700	Ag005G0787400
OG0000003	Cg003G0916000	Ag004G0503900, Ag004G0543600, Ag031G3303800
OG0000003	Cg004G1341600, Cg005G1702400, Cg001G0274200, Cg002G0686800	Ag022G2672700, Ag014G2084900
OG0000003	Cg001G0323400, Cg008G2981700	Ag013G1682200, Ag011G1271000
OG0000004	Cg008G2652500, Cg014G3042600	Ag033G3561100
OG0000004	Cg005G1712500, Cg005G1670400, Cg002G0621600, Cg001G0187300, Cg004G1344800, Cg008G2898200, Cg004G1359700, Cg004G1347000, Cg003G0835900, Cg006G1875200, Cg006G1877400, Cg007G2356200, Cg005G1738500, Cg005G1738100, Cg005G1737900	Ag014G1801700, Ag035G4075300, Ag012G1323700, Ag071G5244600, Ag012G1283500, Ag054G4887800, Ag042G4418600, Ag014G2066300, Ag034G4033900, Ag038G4153200, Ag024G2851700, Ag068G5218800, Ag004G0700600
OG0000004	Cg002G0566400, Cg004G1175600, Cg008G2960200, Cg001G0254800, Cg008G2671600, Cg008G2922100, Cg007G2351100, Cg005G1719500, Cg004G1384700, Cg002G0576600, Cg002G0577700	Ag010G0992800, Ag014G1774700
