Orthogroup	Cardamine_glauca	Euclidium_syriacum
OG0000000	Cg005G1732700, Cg005G1732800, Cg005G1732600, Cg005G1732500, Cg005G1732900, Cg008G2794500	ESY7_g16163_DN2_SP0_c0.t1
OG0000000	Cg003G0947300	ESY7_g16535_DN2_SP0_c0.t1, ESY20_g12791_DN2_SP0_c0.t1
OG0000000	Cg001G0315700	ESY17_g39043_DN1_SP0_c0.t1
OG0000002	Cg001G0121200, Cg002G0472400, Cg005G1504200	ESY9_g43349_DN2_SP0_c0.t1
OG0000003	Cg008G2696300, Cg007G2280100	ESY7_g19226_DN2_SP0_c46.t1
OG0000004	Cg014G3042600	ESY9_g43878_DN2_SP0_c0.t1
OG0000004	Cg002G0566400, Cg004G1175600, Cg008G2960200, Cg001G0254800, Cg008G2671600, Cg008G2922100, Cg007G2351100, Cg005G1719500, Cg004G1384700, Cg002G0576600, Cg002G0577700	ESY3_g27908_DN2_SP0_c72.t1, ESY3_g29030_DN1_SP0_c59.t1, ESY2_g38064_DN2_SP0_c54.t1
OG0000004	Cg011G3014900, Cg001G0291700, Cg002G0631600, Cg001G0232800, Cg005G1551600	ESY15_g65683_DN1_SP0_c52.t1
OG0000005	Cg008G2853000, Cg008G2868800, Cg006G1917300	ESY1_g7388_DN1_SP0_c0.t1
OG0000007	Cg006G1865000, Cg001G0098100, Cg005G1765200, Cg008G2926400, Cg008G2911000, Cg001G0210800, Cg002G0590800, Cg006G1891100, Cg004G1331500	ESY9_g43616_DN3_SP0_c12.t1
OG0000009	Cg003G0834900	ESY6_g47492_DN1_SP0_c0.t1
OG0000009	Cg007G2452800	ESY23_g520_DN2_SP0_c0.t1, ESY2_g33779_DN2_SP0_c0.t1, ESY4_g25202_DN1_SP0_c0.t1
OG0000009	Cg005G1737500	ESY17_g40133_DN1_SP0_c0.t1
OG0000011	Cg008G2919200, Cg002G0664700, Cg003G0778000	ESY5_g2565_DN1_SP0_c0.t1
OG0000011	Cg005G1679200	ESY11_g53520_DN3_SP0_c81.t1, ESY1_g6775_DN3_SP0_c50.t1, ESY10_g15411_DN3_SP0_c44.t1, ESY9_g45243_DN3_SP0_c0.t1, ESY7_g17507_DN3_SP0_c53.t1, ESY1_g5998_DN3_SP0_c100.t1, ESY4_g26319_DN3_SP0_c0.t1
OG0000011	Cg005G1679100	ESY6_g46861_DN2_SP0_c63.t1
OG0000015	Cg001G0251200	ESY7_g16245_DN2_SP0_c0.t1
OG0000015	Cg008G2857400	ESY10_g14906_DN2_SP0_c0.t1, ESY4_g24528_DN1_SP0_c0.t1, ESY13_g56278_DN1_SP0_c1.t1
OG0000016	Cg001G0284700	ESY1_g9010_DN1_SP0_c0.t1
OG0000020	Cg004G1313600	ESY18_g63699_DN3_SP0_c0.t1, ESY9_g44479_DN2_SP0_c0.t1, ESY17_g39372_DN3_SP0_c44.t1, ESY11_g52417_DN3_SP0_c0.t1
