Orthogroup	Cardamine_glauca	Cardamine_hirsuta
OG0000000	Cg003G0947300	CARHR219900, CARHR034550
OG0000000	Cg005G1542700	CARHR228880, CARHR142010
OG0000007	Cg008G2926400	CARHR121710, CARHR180980, CARHR287750, CARHR115290, CARHR256390, CARHR262640, CARHR216870
OG0000007	Cg008G2911000	CARHR058800, CARHR052910, CARHR152010, CARHR154010
OG0000007	Cg006G1891100	CARHR060230, CARHR133710, CARHR271640, CARHR058320
OG0000007	Cg004G1331500	CARHR266890
OG0000008	Cg002G0593800	CARHR258310, CARHR217850
OG0000008	Cg002G0653600	CARHR183140
OG0000008	Cg007G2406600, Cg002G0593900	CARHR103540
OG0000008	Cg002G0512100	CARHR161310, CARHR161290, CARHR161300
OG0000008	Cg002G0565700	CARHR161340
OG0000009	Cg007G2452800	CARHR034640, CARHR017910
OG0000009	Cg008G2845600	CARHR114650
OG0000011	Cg008G2919200, Cg002G0664700, Cg003G0778000	CARHR259400
OG0000015	Cg007G2289100, Cg004G1297400, Cg008G2857400	CARHR110600
OG0000021	Cg006G1871200	CARHR146600
OG0000022	Cg001G0134600	CARHR234420
OG0000022	Cg007G2277400	CARHR049170
OG0000022	Cg007G2272800, Cg007G2270400, Cg007G2272900, Cg007G2273000	CARHR048440, CARHR047970
OG0000022	Cg007G2258400	CARHR046360
OG0000022	Cg001G0385000	CARHR213210
OG0000022	Cg004G1232100	CARHR091960
OG0000024	Cg006G1959100, Cg006G1958900, Cg006G1959600, Cg006G1959000, Cg006G1959800, Cg006G1959300	CARHR174240
OG0000024	Cg001G0380300	CARHR213730
OG0000024	Cg006G1963900, Cg006G1963800	CARHR062310
OG0000024	Cg002G0447000, Cg002G0448700	CARHR168020, CARHR167830
OG0000025	Cg007G2444400	CARHR288360
OG0000027	Cg003G0758800	CARHR264010, CARHR255080
OG0000027	Cg003G0758600	CARHR255070, CARHR255050
OG0000027	Cg003G0758500	CARHR255040
OG0000027	Cg001G0170600	CARHR057450
OG0000027	Cg001G0171100	CARHR230500
OG0000027	Cg001G0171400	CARHR230410
OG0000027	Cg003G0757800	CARHR254870
OG0000027	Cg001G0171900	CARHR230300
OG0000027	Cg001G0171700	CARHR230280, CARHR230310, CARHR055330, CARHR230350, CARHR230440, CARHR230330, CARHR230640, CARHR230340
OG0000028	Cg003G0981300	CARHR285330
OG0000028	Cg007G2581000	CARHR242050
OG0000028	Cg003G0941300	CARHR028780, CARHR203520
OG0000030	Cg004G1261500	CARHR060010, CARHR059990
OG0000030	Cg004G1264800	CARHR134370
OG0000030	Cg006G1982700	CARHR162370
OG0000030	Cg001G0286900	CARHR260760, CARHR260790
OG0000030	Cg002G0532900	CARHR158520, CARHR158510, CARHR158530
OG0000032	Cg007G2363000	CARHR101900, CARHR266440, CARHR116050, CARHR284910, CARHR106310, CARHR182600, CARHR114460, CARHR159330
OG0000032	Cg001G0339700	CARHR287070, CARHR115000, CARHR258320, CARHR152520, CARHR154280, CARHR217870, CARHR103550, CARHR183020, CARHR149880
OG0000032	Cg007G2361600	CARHR266450
OG0000034	Cg001G0172000	CARHR230270, CARHR230290
OG0000034	Cg001G0172500	CARHR055320, CARHR230240
OG0000034	Cg001G0190400	CARHR228050, CARHR228010, CARHR228060, CARHR228080, CARHR228070
OG0000034	Cg001G0190500	CARHR289950
OG0000034	Cg001G0172700	CARHR230230, CARHR230200
OG0000039	Cg001G0195900	CARHR184170
OG0000042	Cg007G2325300	CARHR181500
OG0000043	Cg014G3034000	CARHR220690
OG0000043	Cg002G0640800	CARHR098760
OG0000044	Cg001G0233900	CARHR223510
OG0000044	Cg008G2891700	CARHR031690
OG0000044	Cg004G1386600	CARHR175160
OG0000044	Cg008G2973600	CARHR175090
OG0000044	Cg008G2897600	CARHR175260
OG0000044	Cg013G3024300	CARHR116330
OG0000046	Cg001G0284200	CARHR159300, CARHR215510, CARHR037550, CARHR118760, CARHR104690, CARHR258020, CARHR150330, CARHR116100, CARHR183570, CARHR057390, CARHR107370, CARHR152970
OG0000050	Cg007G2389100, Cg006G1872200	CARHR154060
OG0000050	Cg006G1961200, Cg003G0717600	CARHR071180, CARHR153550
OG0000051	Cg006G2232100	CARHR002800
OG0000051	Cg005G1506300	CARHR137510
OG0000051	Cg013G3025800, Cg005G1600400	CARHR127280
OG0000051	Cg005G1723400	CARHR137550, CARHR137540
OG0000051	Cg003G0782100	CARHR260850
OG0000052	Cg002G0657800	CARHR148060
OG0000052	Cg007G2494300	CARHR065210, CARHR065340
OG0000052	Cg002G0501500	CARHR162490
OG0000052	Cg002G0537500	CARHR157840
OG0000054	Cg008G2918900	CARHR259190
OG0000055	Cg004G1287600	CARHR098050, CARHR100840, CARHR222490, CARHR100820
OG0000055	Cg004G1288100, Cg004G1288500, Cg004G1288300, Cg004G1288700, Cg004G1288200	CARHR096180, CARHR096160
OG0000055	Cg004G1239300	CARHR092560, CARHR092720
OG0000055	Cg004G1232400	CARHR092150, CARHR092000
