Orthogroup	Cardamine_glauca	Arabidopsis_thaliana
OG0000003	Cg006G1905700	AT1G43760.1
OG0000007	Cg006G1865000	AT2G13770.1
OG0000021	Cg006G1912000, Cg004G1333000	AT3G31925.1
OG0000022	Cg001G0134600	AT4G26800.2
OG0000022	Cg007G2277400	AT1G62680.1
OG0000022	Cg007G2272800, Cg007G2270400, Cg007G2272900, Cg007G2273000	AT1G63070.1
OG0000022	Cg007G2258400	AT1G64583.1
OG0000022	Cg001G0385000	AT5G41170.1
OG0000022	Cg004G1232100	AT3G16710.1
OG0000024	Cg006G1959100, Cg006G1958900, Cg006G1959600, Cg006G1959000, Cg006G1959800, Cg006G1959300	AT1G31080.1, AT1G31090.1, AT1G67130.1, AT1G30920.1, AT5G42430.1
OG0000024	Cg002G0447000, Cg002G0448700	AT3G56890.1, AT3G57580.1, AT3G57590.1
OG0000027	Cg003G0758600	AT4G11470.2
OG0000027	Cg001G0170600	AT4G23320.3
OG0000027	Cg003G0758900	AT4G11460.1
OG0000027	Cg001G0171100	AT4G23250.2
OG0000027	Cg001G0171400	AT4G23200.1
OG0000027	Cg003G0757800	AT4G11530.1
OG0000027	Cg001G0171900	AT4G23190.1
OG0000027	Cg001G0171700	AT4G23210.3, AT4G23300.1
OG0000028	Cg003G0981300	AT4G13680.1
OG0000030	Cg004G1270000	AT5G60560.2, AT3G20030.1
OG0000030	Cg004G1261500	AT1G67450.1
OG0000030	Cg006G1982700	AT1G25150.1, AT1G25055.1, AT1G25211.1, AT1G24800.1, AT1G24881.1
OG0000030	Cg002G0532900	AT1G54550.1, AT3G49510.1, AT3G49520.1
OG0000030	Cg005G1472200	AT4G17200.1
OG0000034	Cg001G0172000	AT4G23180.1
OG0000034	Cg001G0190400	AT4G21400.1
OG0000034	Cg001G0190500	AT4G21410.3
OG0000034	Cg001G0172600	AT4G23140.2
OG0000034	Cg001G0170800	AT4G23310.1
OG0000034	Cg001G0172700	AT4G23130.2
OG0000040	Cg008G2847400, Cg008G2861900	AT2G19146.1, AT1G50080.1
OG0000044	Cg008G2897600	AT5G46470.1
OG0000044	Cg004G1380900	AT5G22690.2
