Orthogroup	Cardamine_glauca	Cochlearia_excelsa
OG0000000	Cg005G1542700	g15642
OG0000000	Cg002G0506900	g4407, g12767, g32529, g14904, g23387, g17148, g557, g16965, g14625, g13935, g31989, g1635, g14365, g47735, g1361, g10755, g37592, g39292, g4630, g41809, g41811, g1664, g47712, g1393, g31899, g26833, g41879, g46860, g14950, g30821, g7470, g17871, g24558, g2149, g2379
OG0000000	Cg001G0315700	g53079, g43739, g16627
OG0000000	Cg007G2381100	g44562, g51061, g1238, g44545, g28474, g44506, g29058, g23419, g19097, g2263
OG0000002	Cg001G0121200	g45380, g30785, g36477, g19234, g2906, g17597, g30784, g50260, g23112, g10785, g13170, g49645, g38313, g17830, g38094, g18733, g51782, g51654, g53783, g22354, g25505, g4702, g49476, g47321, g22754, g40394, g6620, g24144, g44741, g28463, g36764, g17951, g52049, g10783, g54223, g47322, g50479, g22753, g1903, g3746, g17293, g28808, g36550, g2075, g51102, g19055, g14321, g49632, g49475, g41842, g41535, g12570, g45323, g23052, g6837, g29104, g38549, g1173, g4356, g3134, g24273, g31606, g31905, g24143, g12828, g5461, g42699, g19117
OG0000002	Cg002G0472400, Cg005G1504200	g11234, g13620, g25759, g5204, g43183, g50380, g36398, g6668, g13329, g17143, g23133, g2533, g42581, g19246, g29102, g53818, g35831, g54196, g18045, g22726, g5655, g53912, g22441, g43884, g51104, g47320, g38468, g39577, g40258, g23771, g52214, g49137, g47542, g26461, g4894, g16056, g36079, g50077, g3932, g28791, g41750, g16868, g39578, g50949, g32031, g54127, g51347, g43933, g43961, g37679, g25411, g23774, g4011, g14412, g50453, g53950, g45382, g23050
OG0000003	Cg006G1905700	g14063
OG0000003	Cg001G0274200, Cg002G0686800	g18621
OG0000003	Cg001G0323400, Cg008G2981700	g37408, g4680, g45852, g48285, g35551, g39300, g41607, g2783, g14645, g26213, g52072, g37684, g32875, g43390, g11178, g53942, g4056, g32055, g3715
OG0000004	Cg008G2652500	g1377
OG0000004	Cg014G3042600	g42410, g1669, g8852, g8926, g33256, g8658, g27882, g42971, g52490, g11635, g26594, g26034, g30059
OG0000004	Cg005G1712500	g18221, g8678, g51092, g10991, g52741, g52421, g21073
OG0000004	Cg002G0566400, Cg004G1175600, Cg008G2960200, Cg001G0254800, Cg008G2671600, Cg008G2922100, Cg007G2351100, Cg005G1719500, Cg004G1384700, Cg002G0576600, Cg002G0577700	g30215, g8478, g34832, g22569, g21980, g3591, g32844, g52627, g21889
