Orthogroup	Arabis_alpina	Conringia_planisiliqua
OG0000000	Aa_G175710.h1.t1	CP7_g44628_DN3_SP0_c.t1
OG0000002	Aa_G222330.h1.t1	CP13_g20493_DN3_SP0_c.t1
OG0000002	Aa_G504380.h1.t1, Aa_G843080.h1.t1	CP4_g26880_DN1_SP0_c.t1
OG0000003	Aa_G505500.h1.t1	CP2_g50573_DN1_SP0_c.t1, CP36_g50971_DN3_SP0_c.t1, CP5_g3096_DN1_SP0_c.t1
OG0000009	Aa_G430190.h1.t1	CP29_g21990_DN1_SP0_c.t1
OG0000011	Aa_G396980.h1.t1	CP9_g27503_DN1_SP0_c.t1, CP14_g23601_DN2_SP0_c.t1
OG0000011	Aa_G277650.h1.t1	CP47_g21270_DN3_SP0_c.t1
OG0000015	Aa_G533220.h1.t1, Aa_G183280.h1.t1	CP2_g50727_DN3_SP0_c.t1
OG0000015	Aa_G982290.h1.t1	CP12_g31767_DN3_SP0_c.t1
OG0000015	Aa_G260070.h1.t1, Aa_G564630.h1.t1, Aa_G115590.h1.t1	CP8_g52640_DN2_SP0_c.t1
OG0000015	Aa_G592580.h1.t1, Aa_G411050.h1.t1, Aa_G121380.h1.t1, Aa_G212210.h1.t1	CP9_g27629_DN1_SP0_c.t1
OG0000015	Aa_G962140.h1.t1	CP1_g39589_DN1_SP0_c.t1, CP6_g9040_DN3_SP0_c.t1, CP14_g23836_DN3_SP0_c.t1, CP16_g55483_DN2_SP0_c.t1, CP27_g41927_DN1_SP0_c.t1
OG0000015	Aa_G12580.h1.t1, Aa_G1870.h1.t1, Aa_G564620.h1.t1, Aa_G201940.h1.t1, Aa_G367160.h1.t1, Aa_G253910.h1.t1, Aa_G1010780.h1.t1, Aa_G461040.h1.t1, Aa_G413430.h1.t1, Aa_G252900.h1.t1	CP9_g27744_DN1_SP0_c.t1
OG0000016	Aa_G1030250.h1.t1, Aa_G540.h1.t1, Aa_G280.h1.t1, Aa_G590.h1.t1	CP24_g47422_DN2_SP0_c.t1
OG0000020	Aa_G135640.h1.t1	CP17_g5482_DN2_SP0_c.t1, CP27_g41901_DN3_SP0_c.t1, CP35_g52005_DN3_SP0_c.t1, CP1_g40651_DN3_SP0_c.t1
OG0000022	Aa_G319760.h1.t1	CP2_g49169_DN2_SP0_c.t1
OG0000023	Aa_G50170.h1.t1, Aa_G297380.h1.t1	CP35_g52033_DN3_SP0_c.t1
OG0000024	Aa_G565550.h1.t1, Aa_G614530.h1.t1, Aa_G511000.h1.t1, Aa_G14060.h1.t1	CP3_g13494_DN2_SP0_c.t1
OG0000026	Aa_G283920.h1.t1, Aa_G56940.h1.t1, Aa_G262080.h1.t1	CP9_g27992_DN1_SP0_c.t1, CP15_g35167_DN2_SP0_c.t1, CP8_g52460_DN2_SP0_c.t1, CP9_g27945_DN1_SP0_c.t1, CP17_g5295_DN1_SP0_c.t1, CP18_g12003_DN1_SP0_c.t1, CP14_g23883_DN1_SP0_c.t1, CP15_g34866_DN2_SP0_c.t1, CP56_g20967_DN2_SP0_c.t1, CP12_g31227_DN2_SP0_c.t1, CP6_g8601_DN2_SP0_c.t1, CP1_g41347_DN1_SP0_c.t1, CP6_g9661_DN1_SP0_c.t1, CP13_g20695_DN2_SP0_c.t1, CP25_g55850_DN1_SP0_c.t1, CP16_g55449_DN3_SP0_c.t1, CP219_g10340_DN3_SP0_c.t1, CP1_g40152_DN3_SP0_c.t1, CP1_g38419_DN3_SP0_c.t1, CP2_g49629_DN3_SP0_c.t1, CP1_g40281_DN2_SP0_c.t1, CP12_g31175_DN2_SP0_c.t1, CP17_g5981_DN2_SP0_c.t1, CP12_g31566_DN2_SP0_c.t1, CP15_g35230_DN3_SP0_c.t1, CP21_g11165_DN2_SP0_c.t1, CP4_g26254_DN2_SP0_c.t1, CP25_g55796_DN1_SP0_c.t1, CP13_g20398_DN1_SP0_c.t1, CP17_g5856_DN1_SP0_c.t1, CP6_g7632_DN3_SP0_c.t1, CP16_g55625_DN3_SP0_c.t1, CP18_g12549_DN3_SP0_c.t1, CP5_g3431_DN3_SP0_c.t1, CP1_g41249_DN1_SP0_c.t1, CP102_g10409_DN2_SP0_c.t1, CP14_g23630_DN1_SP0_c.t1, CP13_g20685_DN1_SP0_c.t1, CP148_g19023_DN1_SP0_c.t1, CP103_g21015_DN2_SP0_c.t1, CP98_g41599_DN2_SP0_c.t1, CP3_g16126_DN1_SP0_c.t1, CP14_g23220_DN3_SP0_c.t1
OG0000027	Aa_G200950.h1.t1, Aa_G200910.h1.t1	CP16_g55470_DN3_SP0_c.t1
OG0000028	Aa_G123410.h1.t1, Aa_G71570.h1.t1, Aa_G123400.h1.t1	CP10_g43844_DN3_SP0_c.t1
OG0000029	Aa_G248570.h1.t1	CP27_g41814_DN2_SP0_c.t1, CP4_g26144_DN2_SP0_c.t1
OG0000029	Aa_G288600.h1.t1, Aa_G637980.h1.t1, Aa_G988890.h1.t1	CP15_g35523_DN1_SP0_c.t1, CP24_g47108_DN1_SP0_c.t1
OG0000030	Aa_G522160.h1.t1, Aa_G425920.h1.t1, Aa_G89020.h1.t1	CP10_g43630_DN1_SP0_c.t1, CP2_g49394_DN2_SP0_c.t1
OG0000032	Aa_G209100.h1.t1	CP1_g40427_DN2_SP0_c.t1
OG0000035	Aa_G7660.h1.t1	CP14_g23646_DN2_SP0_c.t1, CP14_g23679_DN2_SP0_c.t1, CP117_g56225_DN2_SP0_c.t1, CP103_g21003_DN2_SP0_c.t1, CP63_g12714_DN2_SP0_c.t1
OG0000035	Aa_G275180.h1.t1	CP1_g40830_DN2_SP0_c.t1, CP4_g26781_DN3_SP0_c.t1, CP24_g46983_DN2_SP0_c.t1, CP3_g16137_DN3_SP0_c.t1
OG0000035	Aa_G54410.h1.t1	CP26_g51196_DN1_SP0_c.t1
OG0000035	Aa_G9270.h1.t1	CP4_g26190_DN3_SP0_c.t1
OG0000035	Aa_G246010.h1.t1	CP7_g44169_DN2_SP0_c.t1, CP4_g26175_DN2_SP0_c.t1
OG0000038	Aa_G117940.h1.t1	CP29_g22117_DN1_SP0_c.t1
OG0000042	Aa_G963460.h1.t1, Aa_G338960.h1.t1, Aa_G347570.h1.t1, Aa_G618610.h1.t1, Aa_G125500.h1.t1, Aa_G834810.h1.t1	CP8_g52167_DN3_SP0_c.t1, CP5_g3067_DN2_SP0_c.t1, CP37_g11368_DN3_SP0_c.t1
OG0000042	Aa_G67230.h1.t1	CP37_g11369_DN1_SP0_c.t1
OG0000042	Aa_G528960.h1.t1	CP6_g9833_DN1_SP0_c.t1
OG0000043	Aa_G30.h1.t1	CP15_g35835_DN2_SP0_c.t1
OG0000044	Aa_G685510.h1.t1	CP13_g19861_DN2_SP0_c.t1, CP13_g19860_DN2_SP0_c.t1
OG0000044	Aa_G791980.h1.t1	CP2_g50531_DN2_SP0_c.t1, CP13_g19858_DN3_SP0_c.t1
OG0000048	Aa_G154560.h1.t1	CP9_g28258_DN1_SP0_c.t1, CP4_g25547_DN2_SP0_c.t1
OG0000048	Aa_G7360.h1.t1, Aa_G393810.h1.t1, Aa_G274300.h1.t1	CP3_g14428_DN3_SP0_c.t1, CP12_g30253_DN2_SP0_c.t1, CP12_g30252_DN1_SP0_c.t1
OG0000048	Aa_G584300.h1.t1	CP4_g25641_DN3_SP0_c.t1, CP4_g25622_DN2_SP0_c.t1, CP13_g20135_DN3_SP0_c.t1
OG0000050	Aa_G560070.h1.t1, Aa_G559960.h1.t1, Aa_G637230.h1.t1	CP3_g15240_DN2_SP0_c.t1, CP5_g3337_DN1_SP0_c.t1
OG0000050	Aa_G263310.h1.t1, Aa_G634370.h1.t1, Aa_G7430.h1.t1	CP5_g3335_DN2_SP0_c.t1, CP3_g15241_DN1_SP0_c.t1, CP21_g11182_DN2_SP0_c.t1
OG0000051	Aa_G399340.h1.t1	CP4_g24481_DN3_SP0_c.t1
OG0000051	Aa_G592860.h1.t1	CP1_g36582_DN3_SP0_c.t1, CP2_g49248_DN2_SP0_c.t1
OG0000052	Aa_G465260.h1.t1, Aa_G247990.h1.t1, Aa_G247980.h1.t1, Aa_G247970.h1.t1, Aa_G696490.h1.t1	CP13_g19766_DN3_SP0_c.t1
OG0000052	Aa_G521750.h1.t1	CP3_g14092_DN3_SP0_c.t1
OG0000052	Aa_G4800.h1.t1	CP7_g44259_DN3_SP0_c.t1
OG0000055	Aa_G5070.h1.t1	CP10_g42516_DN3_SP0_c.t1
OG0000056	Aa_G615090.h1.t1	CP2_g49032_DN3_SP0_c.t1, CP2_g49030_DN3_SP0_c.t1
OG0000056	Aa_G47070.h1.t1, Aa_G534300.h1.t1, Aa_G488300.h1.t1	CP2_g49072_DN2_SP0_c.t1
