Orthogroup	Arabis_alpina	Noccaea_praecox
OG0000000	Aa_G175710.h1.t1	Np003G1264600
OG0000002	Aa_G417360.h1.t1, Aa_G109850.h1.t1	Np008G4260500
OG0000002	Aa_G871860.h1.t1, Aa_G879130.h1.t1, Aa_G251820.h1.t1, Aa_G700320.h1.t1, Aa_G179770.h1.t1, Aa_G940570.h1.t1, Aa_G202640.h1.t1	Np002G1029600, Np006G3468100
OG0000002	Aa_G497900.h1.t1, Aa_G169610.h1.t1, Aa_G62810.h1.t1, Aa_G534810.h1.t1, Aa_G722140.h1.t1, Aa_G211950.h2.t1, Aa_G211950.h1.t1, Aa_G884540.h1.t1, Aa_G181880.h1.t1, Aa_G945300.h1.t1, Aa_G1002640.h1.t1, Aa_G441820.h1.t1, Aa_G919120.h1.t1, Aa_G934630.h1.t1, Aa_G396950.h1.t1, Aa_G36530.h1.t1, Aa_G571690.h1.t1, Aa_G17980.h1.t1, Aa_G55520.h1.t1, Aa_G450290.h1.t1, Aa_G920110.h1.t1, Aa_G177660.h1.t1, Aa_G395200.h1.t1, Aa_G272260.h1.t1, Aa_G272260.h2.t1, Aa_G473920.h1.t1, Aa_G671100.h1.t1, Aa_G294770.h1.t1, Aa_G277830.h1.t1, Aa_G202910.h1.t1	Np001G0430400, Np007G4054400
OG0000003	Aa_G505500.h1.t1	Np005G3039000
OG0000005	Aa_G249080.h1.t1, Aa_G249080.h2.t1	Np006G3440400
OG0000007	Aa_G188000.h1.t1, Aa_G596260.h1.t1, Aa_G437570.h1.t1	Np003G1457500
OG0000007	Aa_G727680.h1.t1	Np005G3131700
OG0000008	Aa_G302250.h1.t1	Np001G0535300
OG0000009	Aa_G326720.h1.t1	Np002G1195700
OG0000012	Aa_G57270.h1.t1, Aa_G57260.h1.t1, Aa_G57300.h1.t1, Aa_G57280.h1.t1	Np003G1639500, Np005G2960400, Np001G0263300, Np005G2658400
OG0000012	Aa_G1031570.h1.t1	Np001G0263200
OG0000015	Aa_G982290.h1.t1	Np001G0295000
OG0000015	Aa_G12580.h1.t1, Aa_G1870.h1.t1, Aa_G564620.h1.t1, Aa_G201940.h1.t1, Aa_G367160.h1.t1, Aa_G253910.h1.t1, Aa_G1010780.h1.t1, Aa_G461040.h1.t1, Aa_G413430.h1.t1, Aa_G252900.h1.t1	Np007G4026300
OG0000016	Aa_G590.h1.t1	Np009G4311500
OG0000020	Aa_G135640.h1.t1	Np007G3964100, Np003G1663000, Np005G2821900, Np005G2821200
OG0000022	Aa_G291980.h1.t1, Aa_G291990.h1.t1, Aa_G291960.h1.t1, Aa_G328340.h1.t1	Np004G2449100
OG0000022	Aa_G97120.h1.t1	Np005G3189900
OG0000023	Aa_G297380.h1.t1	Np005G2845400, Np003G1695200, Np006G3508300, Np007G4040200, Np005G3091400, Np004G2182900, Np006G3436400, Np002G1005200
OG0000024	Aa_G565560.h1.t1, Aa_G381220.h1.t1	Np002G0932100
OG0000024	Aa_G737030.h1.t1, Aa_G731070.h1.t1	Np004G2007800
OG0000024	Aa_G565550.h1.t1, Aa_G614530.h1.t1, Aa_G511000.h1.t1, Aa_G14060.h1.t1	Np001G0579500, Np001G0579400
OG0000024	Aa_G230140.h1.t1	Np004G2148800, Np004G2148600, Np005G2717400
OG0000025	Aa_G387540.h1.t1	Np003G1713300, Np006G3544700, Np003G1727000
OG0000026	Aa_G283920.h1.t1, Aa_G56940.h1.t1, Aa_G262080.h1.t1	Np001G0460600, Np001G0205400, Np002G1009300, Np006G3527300, Np001G0460700, Np003G1715000
OG0000027	Aa_G522580.h1.t1	Np005G2839100
OG0000027	Aa_G191740.h1.t1	Np005G2840800
OG0000027	Aa_G200830.h1.t1	Np005G2840200
OG0000028	Aa_G687010.h2.t1, Aa_G687010.h3.t1, Aa_G687010.h1.t1, Aa_G687040.h1.t1, Aa_G604290.h1.t1, Aa_G604300.h1.t1	Np003G1643200
OG0000028	Aa_G123410.h1.t1, Aa_G71570.h1.t1, Aa_G123400.h1.t1	Np006G3533600, Np006G3532900, Np006G3474900, Np006G3473800, Np006G3703700, Np006G3698600, Np003G1462900, Np006G3474200, Np006G3698100, Np006G3696700, Np001G0479800, Np001G0480000, Np003G1832500, Np007G3822800, Np007G3818000, Np007G3823400
OG0000028	Aa_G553200.h1.t1	Np003G1604900
OG0000030	Aa_G152820.h1.t1	Np004G2250000
OG0000032	Aa_G209100.h1.t1	Np005G3033300, Np004G2084500, Np002G1024100, Np004G2084400, Np005G3033400
OG0000034	Aa_G782810.h1.t1, Aa_G619140.h1.t1	Np005G2840700, Np005G2840600
OG0000034	Aa_G191730.h1.t1	Np005G2840900
OG0000034	Aa_G191700.h1.t1	Np005G2841600
OG0000034	Aa_G191690.h1.t1	Np005G2841700
OG0000035	Aa_G44290.h1.t1	Np004G2088100, Np005G3165600
OG0000035	Aa_G417510.h1.t1	Np002G0894300
OG0000035	Aa_G9270.h1.t1	Np002G0910400
OG0000035	Aa_G246010.h1.t1	Np005G2829500, Np004G2306200, Np004G2311400, Np004G2256500
OG0000035	Aa_G195780.h1.t1	Np007G3930700
OG0000038	Aa_G117940.h1.t1	Np007G3978400
OG0000042	Aa_G273270.h1.t1, Aa_G517310.h1.t1, Aa_G660430.h1.t1, Aa_G361630.h1.t1, Aa_G569810.h1.t1, Aa_G61910.h1.t1	Np006G3478400
OG0000043	Aa_G30.h1.t1	Np005G2957000, Np002G0951900
OG0000046	Aa_G882110.h35.t1, Aa_G882110.h11.t1, Aa_G882110.h19.t1, Aa_G882110.h5.t1, Aa_G882110.h24.t1, Aa_G882110.h29.t1, Aa_G882110.h7.t1, Aa_G882110.h33.t1, Aa_G882110.h21.t1, Aa_G882110.h12.t1, Aa_G882110.h30.t1, Aa_G882110.h27.t1, Aa_G882110.h34.t1, Aa_G882110.h25.t1, Aa_G882110.h1.t1, Aa_G882110.h14.t1, Aa_G882110.h9.t1, Aa_G882110.h8.t1, Aa_G882110.h23.t1, Aa_G882110.h13.t1, Aa_G882110.h3.t1, Aa_G882110.h26.t1, Aa_G882110.h32.t1, Aa_G882110.h16.t1, Aa_G882110.h18.t1, Aa_G882110.h22.t1, Aa_G882110.h15.t1, Aa_G882110.h2.t1, Aa_G882110.h10.t1, Aa_G882110.h17.t1, Aa_G882110.h6.t1, Aa_G882110.h31.t1, Aa_G882110.h4.t1, Aa_G882110.h20.t1, Aa_G882110.h28.t1, Aa_G675110.h1.t1	Np002G0812000, Np006G3271700, Np002G0901300, Np007G3942200, Np006G3533700, Np004G2173800, Np007G4037000, Np003G1635500, Np004G2079600, Np005G3093000, Np006G3271600, Np007G4080200, Np005G3032100, Np004G2183100, Np004G2290100, Np002G1005100, Np004G2334400
OG0000047	Aa_G631350.h1.t1	Np002G1005500
OG0000048	Aa_G43710.h1.t1	Np006G3644800, Np002G0926400
OG0000050	Aa_G263310.h1.t1, Aa_G634370.h1.t1, Aa_G7430.h1.t1	Np001G0129000, Np001G0129100, Np001G0128800, Np004G2259400, Np004G2435300, Np001G0374100, Np006G3597400
OG0000051	Aa_G217710.h1.t1, Aa_G818500.h2.t1, Aa_G818500.h1.t1, Aa_G18920.h1.t1	Np004G2552100, Np007G3843500, Np007G3849300, Np004G2593300, Np003G1312800, Np003G1313100, Np003G1316200, Np004G2360300
OG0000051	Aa_G399340.h1.t1	Np006G3285300, Np006G3285400
OG0000051	Aa_G592860.h1.t1	Np002G1156400, Np002G1163000, Np002G1166000, Np002G1168200, Np002G1168100, Np002G1156700, Np002G1164000
OG0000051	Aa_G678670.h1.t1	Np002G1229200
OG0000051	Aa_G599340.h1.t1	Np006G3285800, Np006G3285900, Np006G3286000
OG0000051	Aa_G271540.h1.t1	Np006G3284800, Np006G3284200, Np006G3284000
OG0000052	Aa_G465260.h1.t1, Aa_G247990.h1.t1, Aa_G247980.h1.t1, Aa_G247970.h1.t1	Np002G0839600
OG0000055	Aa_G659190.h1.t1	Np007G3923100, Np007G3922500
