Orthogroup	Arabis_alpina	Cochlearia_excelsa
OG0000000	Aa_G175710.h1.t1	g54172, g11781, g52096, g4660, g33143, g43301
OG0000002	Aa_G417360.h1.t1, Aa_G109850.h1.t1	g12053, g52853, g57, g36475, g33085, g32227
OG0000002	Aa_G504380.h1.t1, Aa_G843080.h1.t1	g12708
OG0000002	Aa_G973590.h1.t1	g45380
OG0000002	Aa_G523140.h1.t1, Aa_G139860.h1.t1	g30785, g36477, g19234, g2906, g17597, g30784, g50260, g23112, g10785, g13170, g49645, g38313
OG0000002	Aa_G544990.h1.t1	g17830, g38094
OG0000002	Aa_G201640.h1.t1, Aa_G517450.h1.t1, Aa_G841100.h1.t1, Aa_G891490.h1.t1, Aa_G380080.h1.t1, Aa_G876490.h1.t1	g34980, g53784
OG0000002	Aa_G166190.h1.t1	g49137, g47542, g26461, g4894, g16056
OG0000002	Aa_G871860.h1.t1, Aa_G879130.h1.t1, Aa_G251820.h1.t1, Aa_G700320.h1.t1, Aa_G179770.h1.t1, Aa_G940570.h1.t1, Aa_G202640.h1.t1	g28791, g41750
OG0000002	Aa_G645190.h1.t1	g28128, g35851, g3258, g32516
OG0000003	Aa_G505500.h1.t1	g14063
OG0000004	Aa_G305790.h1.t1	g48661, g33568, g18221, g8678, g51092, g10991, g52741, g52421, g21073, g42791, g34845, g30252, g9059, g9287, g52509, g9224, g36650, g21099, g52367, g20888, g21409, g43220
OG0000005	Aa_G418640.h1.t1	g53525, g15922, g34539
OG0000005	Aa_G834150.h1.t1, Aa_G80970.h1.t1, Aa_G4640.h1.t1	g18936, g17827, g50217
OG0000005	Aa_G619980.h2.t1, Aa_G619980.h1.t1, Aa_G125480.h1.t1, Aa_G409540.h1.t1	g34342
OG0000005	Aa_G249080.h1.t1, Aa_G249080.h2.t1	g49127, g41144
OG0000005	Aa_G169510.h1.t1	g34553, g33523, g19890, g30141
OG0000007	Aa_G711210.h1.t1	g23854
OG0000007	Aa_G188000.h1.t1, Aa_G596260.h1.t1	g47006, g45886, g50470
OG0000007	Aa_G727680.h1.t1	g47000, g11663, g32442, g35394, g34804
OG0000009	Aa_G430190.h1.t1	g32059, g53845
OG0000011	Aa_G396980.h1.t1	g6794, g51199, g2482, g2714, g11450, g46138, g50714
OG0000011	Aa_G103560.h1.t1	g27930
OG0000011	Aa_G277650.h1.t1	g41576
OG0000012	Aa_G57270.h1.t1, Aa_G57260.h1.t1, Aa_G57300.h1.t1, Aa_G57280.h1.t1	g24724
OG0000012	Aa_G378160.h1.t1, Aa_G870430.h1.t1	g1458, g24832, g50752
OG0000014	Aa_G102160.h1.t1, Aa_G108660.h1.t1	g21528, g48055, g34423, g3243
OG0000014	Aa_G17450.h1.t1	g2094
OG0000014	Aa_G192810.h1.t1	g53295, g42951
OG0000015	Aa_G982290.h1.t1	g35711
OG0000015	Aa_G260070.h1.t1, Aa_G564630.h1.t1, Aa_G115590.h1.t1	g21108, g34944, g15605, g11217, g2750, g34949, g11475
OG0000015	Aa_G592580.h1.t1, Aa_G411050.h1.t1, Aa_G121380.h1.t1, Aa_G212210.h1.t1	g36461, g634, g23355
OG0000015	Aa_G962140.h1.t1	g42908, g43716, g41967
OG0000015	Aa_G12580.h1.t1, Aa_G1870.h1.t1, Aa_G564620.h1.t1, Aa_G201940.h1.t1, Aa_G367160.h1.t1, Aa_G253910.h1.t1, Aa_G1010780.h1.t1, Aa_G461040.h1.t1	g2748, g23354, g15603
OG0000015	Aa_G522550.h1.t1	g26035, g11220
OG0000016	Aa_G540.h1.t1, Aa_G280.h1.t1	g43402, g14661, g3657
OG0000018	Aa_G290190.h1.t1	g16469, g34439, g48986, g3743, g49012, g26519, g30022, g23502, g4849, g25360, g26719, g25294, g43878, g34841, g33366, g21491, g33152, g34250, g53691, g26369, g29897, g3993, g17778, g52768, g49067, g39618, g42096, g6426, g52467, g14846, g30011, g7406, g27683, g24833, g33167, g14319, g53830, g54018, g33615, g33160, g52739, g50728, g34848, g24900, g50695, g30162, g42481, g3368, g39190, g8013, g30224, g41267, g2551, g22227, g35899, g43953, g3470, g52664, g14471, g26335
