Orthogroup	Arabis_alpina	Alyssum_gmelinii
OG0000000	Aa_G175710.h1.t1	Ag015G2212200, Ag003G0412200, Ag039G4234000, Ag027G3008000, Ag067G5180300, Ag033G3494500
OG0000002	Aa_G166190.h1.t1, Aa_G871860.h1.t1, Aa_G879130.h1.t1, Aa_G251820.h1.t1, Aa_G700320.h1.t1, Aa_G179770.h1.t1, Aa_G940570.h1.t1, Aa_G202640.h1.t1	Ag027G3030200
OG0000003	Aa_G505500.h1.t1	Ag005G0787400
OG0000004	Aa_G305790.h1.t1	Ag014G1801700, Ag035G4075300, Ag012G1323700, Ag071G5244600, Ag012G1283500, Ag054G4887800, Ag042G4418600, Ag014G2066300, Ag034G4033900, Ag038G4153200, Ag024G2851700, Ag068G5218800, Ag004G0700600
OG0000005	Aa_G249080.h1.t1, Aa_G249080.h2.t1	Ag078G5366100
OG0000008	Aa_G302250.h1.t1	Ag001G0025300
OG0000009	Aa_G326720.h1.t1	Ag004G0738200
OG0000011	Aa_G396980.h1.t1	Ag015G2211300
OG0000015	Aa_G982290.h1.t1	Ag034G3936100
OG0000015	Aa_G522550.h1.t1	Ag024G2875100
OG0000020	Aa_G135640.h1.t1	Ag016G2337300, Ag068G5227400, Ag060G5002800, Ag014G2139700, Ag001G0002100, Ag013G1354100, Ag034G3996700, Ag078G5375900, Ag036G4119800, Ag019G2511100, Ag025G2915300, Ag017G2430400, Ag041G4354300, Ag013G1396100, Ag067G5206100, Ag022G2668600, Ag064G5103400, Ag023G2811600, Ag011G1267500
OG0000022	Aa_G830960.h1.t1	Ag002G0160300, Ag002G0160500
OG0000022	Aa_G22660.h1.t1	Ag024G2896000
OG0000022	Aa_G97120.h1.t1	Ag006G0805800, Ag058G4977300, Ag022G2695300, Ag014G2040000
OG0000023	Aa_G297380.h1.t1	Ag039G4287100, Ag014G2100500, Ag054G4895500, Ag002G0253500, Ag004G0626900, Ag043G4432400, Ag013G1395400, Ag044G4498400, Ag010G1003500
OG0000024	Aa_G565560.h1.t1, Aa_G381220.h1.t1	Ag013G1663800
OG0000024	Aa_G737030.h1.t1, Aa_G731070.h1.t1	Ag031G3235600
OG0000024	Aa_G565550.h1.t1, Aa_G614530.h1.t1, Aa_G511000.h1.t1, Aa_G14060.h1.t1, Aa_G230140.h1.t1	Ag013G1754200
OG0000025	Aa_G387540.h1.t1	Ag015G2255100, Ag067G5188200, Ag030G3132300, Ag002G0276000, Ag054G4878700, Ag011G1115100, Ag066G5134600, Ag066G5170900, Ag064G5112200
OG0000026	Aa_G283920.h1.t1, Aa_G56940.h1.t1, Aa_G262080.h1.t1	Ag013G1736700, Ag015G2272100, Ag016G2403600, Ag025G2906900, Ag031G3406200, Ag063G5074500, Ag063G5074300, Ag016G2402400
