Orthogroup	Arabis_alpina	Cardamine_glauca
OG0000002	Aa_G973590.h1.t1, Aa_G523140.h1.t1, Aa_G139860.h1.t1, Aa_G544990.h1.t1	Cg001G0121200
OG0000002	Aa_G166190.h1.t1, Aa_G871860.h1.t1, Aa_G879130.h1.t1, Aa_G251820.h1.t1, Aa_G700320.h1.t1, Aa_G179770.h1.t1, Aa_G940570.h1.t1, Aa_G202640.h1.t1	Cg002G0472400, Cg005G1504200
OG0000003	Aa_G505500.h1.t1	Cg006G1905700
OG0000004	Aa_G305790.h1.t1	Cg005G1712500, Cg005G1670400, Cg002G0621600, Cg001G0187300, Cg004G1344800, Cg008G2898200, Cg004G1359700, Cg004G1347000, Cg003G0835900, Cg006G1875200, Cg006G1877400, Cg007G2356200, Cg005G1738500, Cg005G1738100, Cg005G1737900
OG0000005	Aa_G834150.h1.t1, Aa_G80970.h1.t1, Aa_G4640.h1.t1, Aa_G619980.h2.t1, Aa_G619980.h1.t1, Aa_G125480.h1.t1, Aa_G409540.h1.t1	Cg007G2394000
OG0000005	Aa_G249080.h1.t1, Aa_G249080.h2.t1	Cg008G2853000, Cg008G2868800, Cg006G1917300
OG0000008	Aa_G302250.h1.t1	Cg002G0512100, Cg002G0565700
OG0000012	Aa_G57270.h1.t1, Aa_G57260.h1.t1, Aa_G57300.h1.t1, Aa_G57280.h1.t1	Cg005G1703300
OG0000014	Aa_G227980.h1.t1, Aa_G848940.h1.t1, Aa_G286860.h1.t1, Aa_G162930.h1.t1, Aa_G7690.h1.t1	Cg001G0103300
OG0000015	Aa_G982290.h1.t1	Cg001G0251200
OG0000016	Aa_G1030250.h1.t1, Aa_G540.h1.t1, Aa_G280.h1.t1	Cg001G0284700
OG0000018	Aa_G290190.h1.t1	Cg003G0814300
OG0000020	Aa_G135640.h1.t1	Cg004G1313600
OG0000022	Aa_G97120.h1.t1	Cg001G0385000, Cg004G1232100
OG0000023	Aa_G297380.h1.t1	Cg006G2067800
OG0000024	Aa_G565550.h1.t1, Aa_G614530.h1.t1, Aa_G511000.h1.t1, Aa_G14060.h1.t1	Cg002G0447000, Cg002G0448700
OG0000025	Aa_G387540.h1.t1	Cg007G2444400, Cg005G1690200, Cg004G1264500
OG0000027	Aa_G643320.h1.t1	Cg003G0758700
OG0000027	Aa_G200970.h1.t1	Cg001G0170600
OG0000027	Aa_G92870.h1.t1, Aa_G92760.h1.t1, Aa_G494730.h1.t1	Cg001G0171100
OG0000027	Aa_G200950.h1.t1, Aa_G200910.h1.t1	Cg001G0171400
OG0000027	Aa_G597270.h1.t1	Cg003G0757800
OG0000027	Aa_G191740.h1.t1	Cg001G0171700
OG0000027	Aa_G200830.h1.t1	Cg001G0171600
OG0000028	Aa_G687010.h2.t1, Aa_G687010.h3.t1, Aa_G687010.h1.t1, Aa_G687040.h1.t1, Aa_G604290.h1.t1, Aa_G604300.h1.t1	Cg003G0981300
OG0000028	Aa_G123410.h1.t1, Aa_G71570.h1.t1, Aa_G123400.h1.t1	Cg007G2581000, Cg001G0051700, Cg006G2183100, Cg003G0941300
OG0000029	Aa_G248570.h1.t1	Cg007G2405400, Cg007G2364600, Cg001G0384100
OG0000030	Aa_G522160.h1.t1, Aa_G425920.h1.t1, Aa_G89020.h1.t1	Cg002G0532900
OG0000032	Aa_G209100.h1.t1	Cg001G0339700
OG0000034	Aa_G782810.h1.t1, Aa_G619140.h1.t1	Cg001G0172000
OG0000034	Aa_G191730.h1.t1	Cg001G0172500
OG0000034	Aa_G58870.h2.t1, Aa_G58870.h1.t1, Aa_G58900.h1.t1, Aa_G58880.h1.t1, Aa_G58910.h1.t1, Aa_G317980.h1.t1	Cg001G0190400
OG0000034	Aa_G58920.h1.t1	Cg001G0190500
OG0000034	Aa_G191690.h1.t1	Cg001G0172700
OG0000043	Aa_G30.h1.t1	Cg003G0842100
OG0000044	Aa_G639660.h1.t1	Cg001G0233900
OG0000044	Aa_G208050.h1.t1	Cg004G1386600
OG0000044	Aa_G313590.h1.t1	Cg008G2973900, Cg003G0745700
OG0000044	Aa_G33030.h1.t1	Cg004G1380900
OG0000044	Aa_G791970.h1.t1	Cg013G3024300
OG0000050	Aa_G263310.h1.t1, Aa_G634370.h1.t1, Aa_G7430.h1.t1	Cg006G1961200, Cg003G0717600
OG0000051	Aa_G217710.h1.t1, Aa_G818500.h2.t1, Aa_G818500.h1.t1, Aa_G18920.h1.t1	Cg006G2232100
