Orthogroup	Arabis_alpina	Rorippa_islandica
OG0000002	Aa_G179770.h1.t1	Roisl.0014s0086.1.p, Roisl.0083s0030.1.p, Roisl.0032s0054.1.p, Roisl.0041s0032.1.p
OG0000002	Aa_G645190.h1.t1	Roisl.0047s0024.1.p
OG0000003	Aa_G505500.h1.t1	Roisl.0058s0055.1.p
OG0000005	Aa_G460620.h1.t1	Roisl.0214s0118.1.p, Roisl.0214s0138.1.p
OG0000007	Aa_G596260.h1.t1	Roisl.0064s0008.1.p
OG0000008	Aa_G302250.h1.t1	Roisl.0046s1128.1.p, Roisl.0046s1132.1.p, Roisl.0046s1119.1.p
OG0000011	Aa_G396980.h1.t1	Roisl.0008s0052.1.p
OG0000012	Aa_G57270.h1.t1, Aa_G57260.h1.t1, Aa_G57300.h1.t1, Aa_G57280.h1.t1	Roisl.0031s0101.1.p, Roisl.0213s0834.1.p, Roisl.0013s0173.1.p, Roisl.0046s1019.1.p, Roisl.0007s0348.1.p, Roisl.0005s0302.1.p, Roisl.0074s0629.1.p, Roisl.0080s0608.1.p, Roisl.0115s0531.1.p, Roisl.0032s0103.1.p, Roisl.0006s0203.1.p, Roisl.0020s0178.1.p, Roisl.0024s0027.1.p, Roisl.0091s0798.1.p, Roisl.0189s0072.1.p, Roisl.0027s0111.1.p, Roisl.0028s0041.1.p, Roisl.0210s1889.1.p, Roisl.0091s0194.1.p, Roisl.0204s0043.1.p, Roisl.0056s0007.1.p
OG0000012	Aa_G727670.h1.t1	Roisl.0011s0567.1.p
OG0000014	Aa_G102160.h1.t1, Aa_G108660.h1.t1	Roisl.0082s0067.1.p
