Orthogroup	Capsella_rubella	Aethionema_saxatile
OG0000000	XP_023632701.1	As006G148660, As007G164610, As002G036700, As010G230770, As002G040030
OG0000003	XP_023645768.1, XP_023639625.1, XP_023643366.1	As008G191470
OG0000003	XP_023636063.1	As012G279580
OG0000004	XP_023638968.1, XP_006300431.2, XP_023632892.1, XP_023635799.1	As007G177100
OG0000004	XP_023633818.1	As010G231160
OG0000005	XP_023634342.1	As001G006250
OG0000006	XP_023634292.1, XP_023643356.1, XP_023644418.1, XP_023640335.1, XP_023633251.1, XP_023636143.1, XP_023633686.1, XP_023640302.1, XP_023643663.1, XP_023636902.1, XP_023641719.1, XP_023637544.1, XP_023640317.1, XP_023635150.1, XP_023634518.1, XP_023644453.1, XP_023644546.1, XP_023639048.1, XP_023641260.1, XP_023644414.1, XP_023635039.1	As010G228090
OG0000010	XP_023639612.1	As004G091500
OG0000010	XP_023636068.1	As002G038660, As004G091490, As006G148670, As002G039770, As010G231130, As011G259140, As002G039560, As002G039570
OG0000012	XP_023636242.1	As007G176710
OG0000013	XP_023638858.1	As003G066310
OG0000014	XP_023636038.1	As007G177950
OG0000015	XP_023633382.1	As010G225860
OG0000017	XP_023638851.1, XP_023638850.1	As003G068220
OG0000017	XP_006302668.2	As006G147350, As006G144790, As012G280790, As001G010690
OG0000017	XP_023636109.1	As011G261070, As010G227380
OG0000017	XP_023644234.1, XP_023642646.1, XP_023636041.1, XP_023633702.1, XP_023644500.1, XP_023633829.1, XP_023644232.1	As001G011040, As001G011370, As005G109760, As003G065780
OG0000019	XP_023641372.1	As009G203070
OG0000020	XP_023634318.1	As001G015310, As011G260550, As007G165150, As001G010310, As001G015320
OG0000023	XP_006284983.1	As003G061360
OG0000023	XP_006287240.1, XP_006289052.2, XP_023635860.1	As004G084560, As004G084580, As004G084570
OG0000023	XP_023634688.1	As003G061280
OG0000023	XP_023634702.1	As003G061350
OG0000026	XP_023644550.1, XP_023641958.1, XP_023644451.1, XP_023634078.1, XP_023644235.1, XP_023636040.1	As007G165250
OG0000031	XP_006301194.2, XP_006300860.1, XP_006302102.1	As001G032000
OG0000031	XP_023636761.1	As009G202600
OG0000031	XP_023635463.1, XP_006297483.1, XP_006283550.1	As006G134510
OG0000033	XP_006283285.1	As003G061230, As003G061200, As003G061190, As003G061240
OG0000033	XP_023634856.1	As003G059410, As003G059430, As003G059400
OG0000033	XP_023634701.1, XP_006283273.1, XP_006283145.1, XP_006283283.1, XP_006284972.1, XP_023635576.1, XP_006291260.2	As003G061210, As003G061160
OG0000033	XP_006287210.1	As004G086230
OG0000034	XP_023636243.1	As011G258840
OG0000036	XP_023644496.1	As010G230940, As008G183620, As012G280180, As011G261090
OG0000038	XP_006296301.2	As009G211050, As009G210990, As009G210820
OG0000038	XP_023643361.1	As007G157540
OG0000043	XP_023640334.1	As002G039460
OG0000043	XP_023634647.1	As010G230440, As005G110900
OG0000048	XP_006298876.1	As006G137100, As006G137070, As006G137030
OG0000048	XP_006300074.1	As006G136970
OG0000048	XP_006296650.2	As006G137110, As006G137010, As006G136980
OG0000048	XP_006286648.1, XP_006289998.1, XP_006289391.1, XP_006290038.2, XP_023636207.1, XP_006289130.1, XP_006286674.1, XP_006289917.1	As001G017720, As001G017740, As001G017730, As001G017710
OG0000055	XP_006292456.1	As001G022050
OG0000066	XP_006284727.1, XP_006302978.1, XP_006284722.1, XP_006288773.2	As002G052230
OG0000066	XP_006304375.1	As007G156090
OG0000066	XP_006301260.2, XP_006304637.1, XP_006292533.1	As005G118450
OG0000067	XP_006289556.2, XP_023637280.1	As011G256070, As011G256050
OG0000070	XP_023634145.1	As010G229730
OG0000073	XP_023635630.1, XP_006282434.2, XP_006296267.1, XP_023636310.1	As006G137430
OG0000073	XP_023634969.1, XP_023636248.1	As002G034500, As002G034570, As002G034640
OG0000078	XP_023634352.1	As004G095030
OG0000079	XP_006297834.2, XP_006297586.1, XP_006293285.1, XP_006290714.1, XP_023639082.1, XP_006291126.2, XP_006290346.1, XP_006285033.2, XP_006285578.1, XP_006286115.1, XP_023635365.1, XP_006285901.1, XP_006285558.1, XP_006283699.2, XP_023634418.1, XP_006292365.1	As012G285110
OG0000082	XP_023639594.1	As011G260840
OG0000083	XP_023643800.1, XP_006290619.2, XP_023644310.1, XP_006299320.2, XP_006299852.1, XP_023639559.1, XP_006293700.1, XP_006293701.1, XP_006295969.1, XP_006299638.1	As006G138550
OG0000086	XP_006301805.1, XP_006301207.1, XP_006301336.1, XP_006301472.1, XP_006301343.1, XP_006301176.1, XP_006301855.1, XP_006306169.1, XP_006301107.1, XP_006301675.1, XP_006301967.1, XP_006301373.1, XP_006279222.1, XP_006279224.1, XP_006301148.1, XP_006300412.1, XP_006279227.1, XP_006301177.1, XP_006301746.1, XP_006301302.1, XP_006279223.1, XP_006281741.1	As009G216030, As009G216300, As009G216040
OG0000087	XP_006287738.1	As010G222260
OG0000087	XP_006294210.1	As006G128780
OG0000087	XP_006292748.1, XP_006291122.1	As010G224130
OG0000087	XP_006289933.1	As002G051000
OG0000087	XP_006281513.1	As004G086530
OG0000087	XP_006283733.1	As003G058850
OG0000087	XP_006302256.1	As010G237710
OG0000088	XP_023640385.1, XP_006296540.2, XP_023639002.1, XP_023637739.1, XP_023639072.1	As010G225400, As010G225450, As010G225490, As010G225520, As010G223920
OG0000089	XP_006287952.1	As002G053510
OG0000089	XP_006297920.1	As011G250900
OG0000089	XP_006282193.1, XP_006291307.1	As010G224530, As005G115200
