Orthogroup	Capsella_rubella	Cardamine_glauca
OG0000000	XP_023638874.1	Cg004G132730
OG0000000	XP_023644517.1	Cg008G288880
OG0000003	XP_023640321.1, XP_023639598.1, XP_023633718.1	Cg006G209840
OG0000003	XP_023640434.1, XP_023642103.1	Cg001G032840
OG0000004	XP_023632892.1, XP_023635799.1	Cg004G154080
OG0000004	XP_023644510.1	Cg005G167340
OG0000005	XP_006292284.1	Cg008G308830
OG0000005	XP_023634342.1	Cg005G185830
OG0000006	XP_023643663.1	Cg008G312070
OG0000007	XP_023633614.1	Cg001G041960, Cg003G089200
OG0000007	XP_023644256.1	Cg003G086130
OG0000008	XP_023638567.1	Cg002G060890
OG0000010	XP_023636068.1	Cg006G205490
OG0000013	XP_023644225.1	Cg002G065810
OG0000014	XP_023641911.1	Cg008G312030
OG0000014	XP_023636038.1	Cg007G266660
OG0000017	XP_023638100.1, XP_023644447.1, XP_023640322.1, XP_023633554.1, XP_006301549.2, XP_023644230.1, XP_023638121.1	Cg004G142150
OG0000018	XP_023637954.1	Cg003G095700
OG0000018	XP_023638098.1, XP_023633350.1	Cg006G204250, Cg003G087690, Cg003G087660
OG0000019	XP_023633028.1, XP_023638113.1, XP_023641372.1	Cg008G308170
OG0000021	XP_023641338.1	Cg003G100100
OG0000023	XP_006284983.1	Cg001G017560
OG0000023	XP_006283253.1	Cg001G017610, Cg001G017600
OG0000023	XP_006287218.1	Cg003G082320
OG0000023	XP_006285954.1	Cg001G017750
OG0000023	XP_023634702.1	Cg001G017660
OG0000025	XP_023634475.1	Cg003G106740
OG0000025	XP_006285133.1, XP_006292343.1, XP_006291347.1	Cg001G005300
OG0000026	XP_023636110.1	Cg005G183380
OG0000027	XP_023632988.1, XP_023644420.1, XP_023644421.1, XP_023632644.1, XP_023632643.1, XP_023644419.1	Cg006G214900, Cg006G214890, Cg006G214810, Cg006G214840, Cg006G214870, Cg006G214820, Cg006G214800
OG0000027	XP_023644529.1	Cg001G041530
OG0000027	XP_023633039.1	Cg002G070600
OG0000027	XP_023632980.1, XP_023632975.1, XP_023632970.1	Cg006G215350, Cg006G215360
OG0000028	XP_023636106.1, XP_023638859.1, XP_023644241.1, XP_023633373.1, XP_023638123.1, XP_023644257.1, XP_023644242.1, XP_023634002.1, XP_023638860.1, XP_023633615.1, XP_023641909.1	Cg001G041970
OG0000031	XP_006300875.1	Cg007G247230, Cg007G246930
OG0000031	XP_006302102.1	Cg007G247710
OG0000031	XP_023635463.1	Cg001G042060
OG0000031	XP_006297483.1	Cg004G133170
OG0000031	XP_023643559.1	Cg007G245660
OG0000033	XP_006283285.1	Cg001G017700
OG0000033	XP_023634692.1	Cg001G017740, Cg001G017730
OG0000033	XP_006283297.1, XP_006301684.1, XP_006285944.1, XP_023634693.1, XP_023634678.1	Cg001G017780
OG0000033	XP_023634856.1	Cg001G019630
OG0000033	XP_006283273.1, XP_006283145.1	Cg001G017580
OG0000033	XP_023635576.1	Cg001G017790
OG0000033	XP_006287210.1	Cg003G079950, Cg003G094060
OG0000034	XP_023635220.1	Cg002G066600
OG0000036	XP_023644496.1	Cg008G323260
OG0000036	XP_023640345.1, XP_023634265.1, XP_023640320.1, XP_023643584.1, XP_023640315.1, XP_023636058.1, XP_023644147.1, XP_023634034.1, XP_023644470.1	Cg002G062800
OG0000036	XP_023636060.1	Cg005G182230, Cg005G181070
OG0000038	XP_006296301.2	Cg005G159520
OG0000038	XP_023633386.1	Cg003G103850
OG0000038	XP_023643364.1, XP_023637669.1	Cg008G320600
OG0000038	XP_023635611.1	Cg001G007650
OG0000038	XP_023637684.1, XP_023637652.1	Cg008G320560
OG0000038	XP_023643361.1	Cg002G052970
OG0000039	XP_023644219.1	Cg004G126960, Cg005G180100, Cg002G062370, Cg002G062340
OG0000040	XP_023632886.1, XP_023632793.1, XP_006303634.1	Cg006G217350
OG0000040	XP_006305030.1	Cg006G235040
