Orthogroup	Cochlearia_excelsa	Rorippa_islandica
OG0000000	g14627, g14949, g4309	Roisl.0185s0067.1.p
OG0000000	g34710, g46576	Roisl.0053s0186.1.p
OG0000000	g15642	Roisl.0012s0255.1.p, Roisl.0053s0040.1.p
OG0000000	g14417	Roisl.0023s0049.1.p, Roisl.0214s0436.1.p, Roisl.0214s0718.1.p, Roisl.0047s0012.1.p
OG0000000	g53018, g52608, g29057	Roisl.0038s0044.1.p, Roisl.0022s0187.1.p, Roisl.0210s1364.1.p
OG0000000	g25560, g14010, g2958, g51905, g52688, g4646, g53415, g25281, g16626	Roisl.0185s0050.1.p, Roisl.0185s0025.1.p, Roisl.0006s0325.1.p, Roisl.0214s0371.1.p, Roisl.0005s0243.1.p, Roisl.0083s0016.1.p, Roisl.0037s0056.1.p
OG0000000	g53079, g43739, g16627	Roisl.0020s0052.1.p
OG0000000	g14424, g36335, g24433, g25323, g18049, g47718, g34709, g4497, g26082, g48927, g1710, g51108, g47070, g43826, g49581, g54001, g52927, g54256, g38083, g2287, g14237, g42083, g4557, g53247, g34457, g4555, g49069, g36273, g5773, g24974, g35002, g51196, g51906, g42028, g26236, g5187, g16421, g2957, g32683, g38285, g41764, g11448, g14009, g53488, g24758, g37816, g4647, g16228, g1650, g4603, g33021, g53553, g474, g53928, g43468, g31046, g45106, g24897, g34861, g52921, g13894, g26632, g16472, g53084, g17875, g36758, g23493	Roisl.0020s0162.1.p, Roisl.0213s0727.1.p
OG0000000	g44562, g51061, g1238, g44545, g28474, g44506, g29058, g23419, g19097, g2263, g30907	Roisl.0213s0280.1.p
OG0000002	g13093, g26238, g53437, g9948, g22268, g41801, g38312, g31092, g50475, g49477, g22706, g20017, g36478, g4705, g24147, g56, g19235, g5458, g4202, g36769, g6617, g22858, g22281, g40197, g16025, g35637, g22483, g29768, g37989, g39923, g47601, g28189, g19054, g31608, g5152, g36551, g5878, g51652, g43320, g32846, g18735, g3257	Roisl.0006s0264.1.p
OG0000002	g16055, g23051, g18890, g45322	Roisl.0012s0025.1.p
OG0000002	g36393, g17831	Roisl.0038s0052.1.p, Roisl.0184s0176.1.p
OG0000002	g51104, g47320, g38468	Roisl.0213s0015.1.p
OG0000002	g39577, g40258, g23771, g52214	Roisl.0008s0085.1.p
OG0000002	g50077	Roisl.0204s0005.1.p
OG0000002	g3932	Roisl.0188s0060.1.p, Roisl.0040s0101.1.p
OG0000002	g28791, g41750	Roisl.0012s0044.1.p, Roisl.0200s0037.1.p, Roisl.0210s2181.1.p, Roisl.0014s0020.1.p, Roisl.0111s0033.1.p, Roisl.0022s0019.1.p, Roisl.0076s0006.1.p, Roisl.0214s0254.1.p, Roisl.0066s0414.1.p, Roisl.0006s0156.1.p, Roisl.0014s0086.1.p, Roisl.0083s0030.1.p, Roisl.0032s0054.1.p, Roisl.0041s0032.1.p
OG0000002	g3258, g32516	Roisl.0047s0024.1.p
OG0000003	g14063	Roisl.0058s0055.1.p
OG0000003	g18622, g25137, g6810, g1448, g45682, g1467, g38320, g49844, g25134, g35681, g14225, g41636, g18621, g47160, g49473, g40050, g26165	Roisl.0075s0224.1.p, Roisl.0011s0302.1.p, Roisl.0210s0002.1.p, Roisl.0053s0016.1.p
OG0000003	g24632	Roisl.0046s0266.1.p, Roisl.0013s0148.1.p, Roisl.0184s0125.1.p, Roisl.0191s0324.1.p, Roisl.0184s0019.1.p, Roisl.0041s0045.1.p, Roisl.0209s0112.1.p, Roisl.0111s0003.1.p
OG0000003	g42622	Roisl.0015s0133.1.p, Roisl.0017s0491.1.p, Roisl.0179s0077.1.p, Roisl.0058s0001.1.p
OG0000003	g46643, g3725, g24106	Roisl.0198s0065.1.p, Roisl.0179s0091.1.p, Roisl.0214s0894.1.p
OG0000004	g30215, g8478, g34832, g22569, g21980, g3591, g32844, g52627, g21889	Roisl.0022s0436.1.p
OG0000005	g41974	Roisl.0040s0022.1.p, Roisl.0036s0006.1.p
OG0000005	g49126, g35025, g4314, g3006, g14436, g25221, g43590	Roisl.0006s0578.1.p
OG0000005	g36078	Roisl.0046s0518.1.p
OG0000005	g21085, g8878, g21778, g22562, g21750, g53237, g33681, g48434, g38758, g15439, g48097, g30184, g21769, g38943, g38685, g15405, g21658, g21626, g15483, g9357	Roisl.0195s0004.1.p
OG0000005	g49196	Roisl.0025s0107.1.p
OG0000005	g15073	Roisl.0027s0145.1.p
OG0000005	g33153, g15339, g49854, g21989	Roisl.0189s0112.1.p
OG0000005	g20095, g15381	Roisl.0082s0055.1.p, Roisl.0072s0015.1.p, Roisl.0083s0019.1.p, Roisl.0048s0032.1.p, Roisl.0015s0171.1.p, Roisl.0185s0098.1.p, Roisl.0040s0024.1.p, Roisl.0082s0029.1.p, Roisl.0210s2094.1.p, Roisl.0210s2173.1.p, Roisl.0023s0063.1.p, Roisl.0075s0018.1.p
OG0000005	g33923, g37457, g8422, g20735	Roisl.0082s0003.1.p, Roisl.0194s0063.1.p
OG0000005	g15105	Roisl.0201s0014.1.p, Roisl.0087s0005.1.p, Roisl.0014s0007.1.p, Roisl.0087s0007.1.p
OG0000005	g33817	Roisl.0195s0029.1.p
OG0000005	g38749, g30982, g52986, g15294, g38775, g42420, g20721, g39054, g25312, g15593, g33983	Roisl.0010s0028.1.p
OG0000005	g20377, g9593	Roisl.0211s0001.1.p, Roisl.0010s0029.1.p, Roisl.0082s0007.1.p, Roisl.0209s0534.1.p, Roisl.0213s0012.1.p
OG0000005	g42395	Roisl.0210s2163.1.p, Roisl.0083s0041.1.p
OG0000005	g34569, g22532, g39129, g8465, g21266	Roisl.0206s0002.1.p
OG0000005	g22559	Roisl.0075s0007.1.p
OG0000005	g42483	Roisl.0185s0041.1.p
OG0000005	g38606	Roisl.0061s0001.1.p, Roisl.0077s0002.1.p, Roisl.0087s0026.1.p, Roisl.0184s0028.1.p
OG0000005	g24932, g6068, g49093, g4528, g9435	Roisl.0061s0007.1.p
OG0000005	g51377, g36656, g52100, g46847, g12379, g32106	Roisl.0033s0009.1.p
OG0000007	g47006, g45886, g50470	Roisl.0064s0008.1.p
OG0000008	g5353, g35020, g27856, g27175, g1942	Roisl.0082s0661.1.p
OG0000008	g52586	Roisl.0036s0059.1.p
OG0000008	g26783	Roisl.0014s0140.1.p, Roisl.0025s0028.1.p, Roisl.0072s0014.1.p, Roisl.0053s0439.1.p
OG0000008	g29630, g27680, g4391, g43762, g33124	Roisl.0066s0187.1.p, Roisl.0066s0390.1.p, Roisl.0050s0011.1.p
OG0000008	g27995	Roisl.0213s0742.1.p, Roisl.0188s0051.1.p
OG0000008	g37068, g26784, g43729	Roisl.0066s0428.1.p, Roisl.0066s0426.1.p, Roisl.0008s0018.1.p
OG0000008	g4483	Roisl.0014s0141.1.p
OG0000008	g11343	Roisl.0027s0062.1.p, Roisl.0058s0016.1.p
OG0000008	g33123	Roisl.0022s0261.1.p
OG0000008	g39484, g13991	Roisl.0014s0136.1.p, Roisl.0214s0127.1.p, Roisl.0179s0096.1.p, Roisl.0033s0081.1.p, Roisl.0005s0371.1.p, Roisl.0020s0039.1.p, Roisl.0189s0101.1.p
OG0000011	g6794, g51199, g2482, g2714, g11450, g46138, g50714	Roisl.0008s0052.1.p
OG0000011	g19902, g18315	Roisl.0204s0130.1.p
OG0000012	g6006, g41912	Roisl.0214s0631.1.p
