Orthogroup	Cochlearia_excelsa	Brassica_rapa
OG0000000	g22659	XP_033138771.1
OG0000000	g15642	XP_009123632.2, XP_009150012.1, XP_033128757.1, XP_009106474.1
OG0000000	g4652, g42066	XP_033139405.1, XP_033133908.1, XP_033139542.1, XP_033134352.1, XP_033141135.1, XP_033131653.1, XP_033136613.1, XP_033143400.1, XP_033131005.1, XP_033136774.1, XP_033131803.1, XP_033131796.1, XP_033131795.1, XP_033132141.1, XP_033141150.1, XP_033143342.1, XP_033132082.1, XP_033131560.1, XP_033132135.1, XP_033148733.1, XP_033135014.1, XP_033138739.1, XP_033148515.1, XP_033131337.1, XP_033143353.1, XP_033143430.1
OG0000000	g36335	XP_033130110.1
OG0000000	g34709, g4497, g26082, g48927	XP_033129351.1, XP_009117187.1
OG0000000	g44562, g51061, g1238, g44545, g28474, g44506, g29058, g23419, g19097, g2263	XP_033147264.1, XP_033134838.1, XP_033130352.1, XP_033142250.1, XP_009114092.1, XP_009138592.1, XP_009103531.2
OG0000000	g30907	XP_033134325.1, XP_033135924.1
OG0000002	g16055, g23051, g18890, g45322	XP_033138748.1
OG0000002	g28128, g35851, g3258, g32516	XP_033148076.1, XP_033134169.1
OG0000003	g14063	XP_033145314.1, XP_009145336.1
OG0000003	g51436, g50080, g50933, g49020	XP_033147757.1, XP_018509111.1, XP_033133957.1, XP_033145281.1, XP_033134016.1
OG0000003	g25137	XP_009123480.1
OG0000003	g6810, g1448	XP_033129481.1, XP_033134448.1, XP_033143250.1
OG0000003	g25134, g35681, g14225, g41636	XP_018510870.2
OG0000003	g24632	XP_033129527.1
OG0000003	g42622	XP_033129372.1
OG0000003	g37408, g4680, g45852, g48285, g35551, g39300, g41607, g2783, g14645, g26213, g52072, g37684, g32875, g43390, g11178, g53942, g4056, g32055, g3715	XP_033136094.1
OG0000003	g46643, g3725, g24106	XP_033146211.1, XP_033142170.1, XP_033143214.1, XP_033131873.1, XP_033146253.1, XP_009113517.1
OG0000004	g1377	XP_033142309.1
OG0000004	g42410, g1669, g8852, g8926, g33256, g8658, g27882, g42971, g52490, g11635, g26594, g26034, g30059	XP_033148227.1, XP_033141775.1, XP_033140426.1, XP_033141600.1, XP_033131490.1, XP_033129333.1, XP_033132866.1, XP_033139421.1, XP_033146851.1, XP_033143942.1, XP_033137068.1, XP_033132321.1, XP_033132255.1, XP_033128096.1, XP_033139470.1, XP_033139367.1
OG0000004	g52367, g20888, g21409, g43220	XP_033140624.1
OG0000004	g30215, g8478, g34832, g22569, g21980, g3591, g32844, g52627, g21889	XP_033138950.1, XP_033130324.1
