Orthogroup	Cochlearia_excelsa	Camelina_sativa
OG0000000	g34710, g46576	XP_010413204.1
OG0000000	g23875, g4482	XP_010419000.1, XP_010431245.1
OG0000000	g15642	XP_019097419.1, XP_019093315.1, XP_010419097.1, XP_010445866.1, XP_010513025.1, XP_010431244.1, XP_019089229.1
OG0000000	g14417	XP_010412832.1
OG0000000	g53018, g52608, g29057	XP_010490225.1, XP_010431586.1
OG0000000	g25560, g14010, g2958, g51905, g52688, g4646, g53415, g25281, g16626	XP_010412393.1, XP_019093318.1, XP_010436852.1
OG0000000	g14626	XP_010518602.1
OG0000000	g4407, g12767, g32529, g14904, g23387, g17148, g557, g16965, g14625, g13935, g31989, g1635, g14365, g47735, g1361, g10755, g37592, g39292	XP_010507236.1, XP_010513760.1, XP_010495271.1
OG0000000	g2380	XP_019098248.1, XP_019093248.1, XP_019092295.1
OG0000000	g14424	XP_010424208.1
OG0000000	g36335	XP_019092328.1, XP_019087439.1, XP_010456766.1
OG0000000	g34709, g4497, g26082, g48927	XP_010418558.1, XP_010489824.1, XP_019102134.1, XP_010436305.1, XP_010495246.1
OG0000000	g3283, g14651, g4075, g42183, g41805, g31286, g53554, g25561, g25201, g53774, g1649, g1657, g16219, g4653, g35401, g26200, g42029, g24646, g15042, g47937, g16448, g26041, g12832, g32880, g24793, g18671, g41057, g35660	XP_019082488.1
OG0000000	g44562, g51061, g1238, g44545, g28474, g44506, g29058, g23419, g19097, g2263	XP_010473903.1, XP_010512944.1, XP_019099570.1
OG0000000	g14416, g10434, g12783, g43405, g3096	XP_010419021.1, XP_010490159.1, XP_010474601.1, XP_019095662.1
OG0000002	g9947, g35122, g12827, g22517, g22299	XP_019096180.1
OG0000002	g54221, g22707, g40366, g33609, g51791	XP_010457030.1, XP_010420641.1
OG0000002	g16254	XP_019085487.1
OG0000002	g54223, g47322, g50479, g22753, g1903, g3746	XP_019101801.1, XP_019100799.1, XP_010431635.1, XP_010456767.1
OG0000002	g3134, g24273, g31606, g31905, g24143	XP_010513476.1, XP_010484771.1
OG0000002	g22481, g22300, g26182	XP_010475671.1, XP_010480715.1
OG0000002	g43884	XP_010468482.1, XP_010419143.1, XP_010424375.1, XP_010430672.1
OG0000002	g50077	XP_010506877.1
OG0000002	g28791, g41750	XP_010424742.1, XP_010495565.1
OG0000002	g16868, g39578, g50949, g32031, g54127, g51347, g43933, g43961, g37679, g25411, g23774, g4011, g14412, g50453, g53950	XP_019096313.1
OG0000002	g45382, g23050	XP_010413056.1, XP_010501936.1, XP_019082648.1, XP_010445318.1, XP_019096392.1, XP_010462569.1, XP_010412811.1, XP_010495640.1, XP_019086824.1
OG0000002	g28128, g35851	XP_010495465.1
OG0000002	g3258, g32516	XP_010513345.1
OG0000003	g14063	XP_019095265.1, XP_010468638.1, XP_019085542.1, XP_019096508.1, XP_019082748.1
OG0000003	g51436, g50080, g50933, g49020	XP_010462886.1, XP_010418651.1, XP_010481131.1, XP_010431573.1, XP_010463260.1, XP_010446053.1
OG0000003	g18622	XP_010436564.1
OG0000003	g25137	XP_019082654.1
OG0000003	g45682, g1467	XP_010419362.1, XP_019094392.1
OG0000003	g38320, g49844	XP_010490042.1, XP_010412489.1
OG0000003	g25134	XP_010418577.1, XP_010501871.1, XP_010501997.1
OG0000003	g18621	XP_010445721.1
OG0000003	g47160, g49473, g40050, g26165	XP_010445560.1
OG0000003	g24632	XP_010418675.1
OG0000003	g42621	XP_010445963.1, XP_010418736.1
OG0000003	g14202	XP_019087502.1, XP_010462838.1
OG0000003	g39352, g43844, g39389	XP_010463164.1, XP_019090146.1, XP_010473202.1
OG0000003	g42622	XP_019087435.1
OG0000003	g12346, g2655, g14239, g52812	XP_019089220.1
OG0000003	g26213, g52072	XP_010446092.1
OG0000003	g46643, g3725, g24106	XP_019089103.1, XP_010468560.1, XP_010446081.1
OG0000004	g1377	XP_010446038.1
OG0000004	g42410, g1669, g8852, g8926, g33256, g8658, g27882, g42971, g52490, g11635, g26594, g26034, g30059	XP_010484959.1, XP_019098112.1, XP_010451376.1, XP_010468186.1, XP_010501684.1
OG0000004	g33193, g3782, g9018, g37863	XP_019096716.1
OG0000004	g9287, g52509, g9224, g36650, g21099	XP_010488713.1
OG0000004	g52367, g20888, g21409, g43220	XP_019098283.1
OG0000004	g30215, g8478, g34832, g22569, g21980, g3591, g32844, g52627, g21889	XP_019096757.1
OG0000004	g48660, g3805, g12233, g8324, g33593, g33825, g30503, g3496, g27039, g30161, g9209, g42645, g48261, g41664, g49210, g26280, g14798, g33617, g33194, g33196, g49131, g52631, g33159, g33162	XP_019096480.1
OG0000004	g54140, g1368, g34921, g5669, g14984, g15061, g20703, g35818, g33600, g26147, g15064, g38611, g51042, g35409, g35603	XP_010424301.1
OG0000004	g32763	XP_019084411.1, XP_010445388.1, XP_010501566.1, XP_010507019.1
OG0000004	g3356, g49005, g48658, g4299, g19817, g52410, g42564	XP_010518611.1
OG0000004	g21492, g48652, g53446, g48258, g26620, g4470	XP_010518461.1
