Orthogroup	Cochlearia_excelsa	Arabidopsis_arenosa
OG0000000	g47736	jg6465
OG0000000	g14627, g14949, g4309	jg16911, jg12161, jg21611
OG0000000	g45448	jg32942
OG0000000	g22659	jg11905
OG0000000	g23875, g4482	jg21574, jg5404, jg14512, jg7218
OG0000000	g14424, g36335, g24433, g25323, g18049, g47718, g34709, g4497, g26082, g48927, g1710, g51108, g47070, g43826, g49581, g54001, g52927, g54256, g38083, g2287, g14237, g42083, g4557, g53247, g34457, g4555, g49069, g36273, g5773, g24974, g35002, g51196, g51906, g42028, g26236, g5187, g16421, g2957, g32683, g38285, g41764, g11448, g14009, g53488, g24758, g37816, g4647, g16228, g1650, g4603, g33021, g53553, g474, g53928, g43468, g31046, g45106, g24897, g34861, g52921, g13894, g26632, g16472, g53084, g17875, g36758, g23493	jg27616
OG0000002	g12053, g52853, g57, g36475, g33085, g32227	jg11830
OG0000002	g50076, g39920, g43321, g35849, g15943, g22279	jg12347
OG0000002	g45380	jg21985
OG0000002	g54223, g47322, g50479, g22753, g1903, g3746	jg21988
OG0000003	g43053	jg19451
OG0000003	g46643, g3725, g24106	jg17386, jg13577, jg12206, jg20194, jg17562
OG0000004	g42389, g15495	jg13997
OG0000004	g30215, g8478, g34832, g22569, g21980, g3591, g32844, g52627, g21889	jg12072, jg12472, jg1749
OG0000004	g48700, g20926, g15557, g42275, g8925, g8257, g28585, g16658, g39214, g39216, g48656, g1668, g8853, g30531	jg21092
OG0000004	g21492, g48652, g53446, g48258, g26620, g4470, g34565, g14368, g32653, g50172, g19951	jg17418
OG0000004	g8542	jg27456
OG0000004	g26364, g35195, g3554, g33447, g33443, g52439	jg72, jg27337, jg20829, jg32155, jg32817, jg21191, jg8262, jg27197
OG0000005	g43589, g4576, g20561, g20558	jg14786
OG0000005	g20377, g9593, g42395, g34569, g22532, g39129, g8465, g21266, g22559, g42483, g48250, g20618, g15722, g33484, g7968, g53646, g21207, g38606, g24932, g6068, g49093, g4528, g9435	jg1672
OG0000008	g49591	jg20324
OG0000009	g1267, g50707, g54239, g22012, g2983, g47996, g6090, g43671, g9847, g53582	jg1846, jg6872
OG0000009	g44250	jg13874, jg12267, jg12278
OG0000011	g6794, g51199, g2482, g2714, g11450, g46138, g50714	jg33383, jg21637
OG0000011	g18071, g2721, g42559, g4725, g47538	jg13840
OG0000011	g16592, g1020	jg26287
OG0000011	g41576	jg13651
OG0000011	g48, g50936	jg16702
OG0000011	g43707, g27825, g18316, g6080	jg13839
OG0000011	g450, g26627, g32634	jg21692
OG0000011	g24975	jg6805
OG0000012	g24724	jg27079
OG0000014	g15648, g3344, g15533, g22676, g53459, g25144, g49032, g52662, g35616, g50919, g33646, g12078, g52545, g35669, g14831, g24737, g46898, g25054, g45988, g53995, g27320, g24931, g24782, g1434, g42927, g51017, g13624, g47253, g45228, g14612, g43201, g43093, g53227, g6177, g4257, g35984, g2095, g18595, g15004, g12644, g53953, g25610, g41826, g14315, g1435, g44036, g3444, g18386, g3924, g43038, g24783, g17330, g10083, g17957, g20318, g43877, g52305, g16685, g26742, g25224, g30068, g14080, g18103, g11525, g41336, g53461, g3729, g3878, g27931, g21347, g33516, g21561, g43841, g4698, g24841, g19968, g35457, g4281, g36237, g44064, g30053, g15860, g25878, g50939, g3050, g24630, g27919, g25736, g49808, g40898, g44711, g46753, g17634, g18274, g13740, g37170, g42723, g50987, g11187, g34943, g32917, g16004, g14815, g35744, g35846, g14356, g16078, g16306, g53882, g35355, g4138, g22487, g22288, g42653, g21439, g21148, g30713, g42688, g52575, g35661, g1379, g18846, g18000, g50963, g6129, g24133, g5069, g47267, g30755, g43741, g37171, g21529, g19673, g30054, g35755, g41485, g35087, g18651, g52427, g4943, g26611	jg1574
OG0000014	g19840	jg11731
OG0000015	g42908, g43716, g41967, g26998, g24843, g14643, g12672, g5446, g48095, g26670	jg11869
OG0000015	g3363	jg32432
OG0000015	g43089	jg6861
OG0000015	g16377	jg11868, jg21314
OG0000017	g30038, g48861, g14716, g41612, g22553, g41591, g41917, g42730, g33087, g4586, g4118, g8531, g53693, g22539, g38773, g22282, g15584, g42729, g30512, g15505, g34207, g16197, g15658, g38826, g20856, g16242	jg6914
OG0000018	g9246, g16755	jg42
OG0000018	g33005, g53278, g19683, g22234, g51731, g34890, g3864, g10611, g28170, g22394, g33570, g53344, g35609, g51672, g49114, g49115, g30157, g43714, g28244, g43633, g17767, g35905, g2894, g43959, g41522, g3546, g48225, g53242, g30072	jg2924
OG0000020	g32689, g14805	jg27354
OG0000020	g33390, g4583, g39315, g14557, g17020, g24610, g21115, g9914, g35675, g23910, g6802, g46328, g31759, g51013, g17279, g1555, g19143, g35267, g34284, g46224, g6170, g31341, g4158, g25001, g4232, g46949, g53154, g2974, g49408, g25430, g25192, g31804, g43284, g49587, g36899, g2975, g3672, g27829, g32994, g1556, g34853, g4345, g51012, g19142, g14558, g53153, g29187, g49407, g42003, g43352, g14036, g52007, g15607, g14750, g7898, g33120, g4343, g3057, g52970, g51052, g47797, g32655, g44074, g50650, g43479, g2953, g41998, g23595, g2979, g33121, g41997, g6214, g3359, g14581	jg2142
OG0000020	g34543	jg6884, jg7335
OG0000020	g3669	jg11846
OG0000020	g4186	jg27355, jg11845, jg11780, jg21044, jg32221, jg11614, jg1479, jg1901, jg6982, jg14690, jg6883, jg32222, jg15995
OG0000021	g33125, g14567, g25750	jg25715
OG0000022	g17118	jg9770
OG0000022	g5030	jg5495
OG0000022	g40889	jg645, jg586, jg583, jg572, jg642
OG0000022	g40888	jg638
OG0000022	g40751	jg372
OG0000022	g13269	jg12744, jg25741
OG0000023	g3443, g34449, g34444	jg1550, jg27237, jg27744
OG0000023	g6328, g34729	jg12454
OG0000023	g21395	jg3735
OG0000024	g43450	jg17071
OG0000024	g22601	jg18272
OG0000024	g43469	jg31712
OG0000024	g2269	jg15695, jg15696, jg15770, jg15771, jg14278
OG0000025	g14806, g32688	jg27352
OG0000027	g25723	jg7521
OG0000027	g25717, g25713, g48941, g48949	jg7523
