Orthogroup	Cochlearia_excelsa	Cardamine_glauca
OG0000000	g15642	Cg005G1542700
OG0000000	g4407, g12767, g32529, g14904, g23387, g17148, g557, g16965, g14625, g13935, g31989, g1635, g14365, g47735, g1361, g10755, g37592, g39292, g4630, g41809, g41811, g1664, g47712, g1393, g31899, g26833, g41879, g46860, g14950, g30821, g7470, g17871, g24558, g2149, g2379	Cg002G0506900
OG0000000	g53079, g43739, g16627	Cg001G0315700
OG0000000	g44562, g51061, g1238, g44545, g28474, g44506, g29058, g23419, g19097, g2263	Cg007G2381100
OG0000002	g45380, g30785, g36477, g19234, g2906, g17597, g30784, g50260, g23112, g10785, g13170, g49645, g38313, g17830, g38094, g18733, g51782, g51654, g53783, g22354, g25505, g4702, g49476, g47321, g22754, g40394, g6620, g24144, g44741, g28463, g36764, g17951, g52049, g10783, g54223, g47322, g50479, g22753, g1903, g3746, g17293, g28808, g36550, g2075, g51102, g19055, g14321, g49632, g49475, g41842, g41535, g12570, g45323, g23052, g6837, g29104, g38549, g1173, g4356, g3134, g24273, g31606, g31905, g24143, g12828, g5461, g42699, g19117	Cg001G0121200
OG0000002	g11234, g13620, g25759, g5204, g43183, g50380, g36398, g6668, g13329, g17143, g23133, g2533, g42581, g19246, g29102, g53818, g35831, g54196, g18045, g22726, g5655, g53912, g22441, g43884, g51104, g47320, g38468, g39577, g40258, g23771, g52214, g49137, g47542, g26461, g4894, g16056, g36079, g50077, g3932, g28791, g41750, g16868, g39578, g50949, g32031, g54127, g51347, g43933, g43961, g37679, g25411, g23774, g4011, g14412, g50453, g53950, g45382, g23050	Cg002G0472400, Cg005G1504200
OG0000003	g14063	Cg006G1905700
OG0000003	g18621	Cg001G0274200, Cg002G0686800
OG0000003	g37408, g4680, g45852, g48285, g35551, g39300, g41607, g2783, g14645, g26213, g52072, g37684, g32875, g43390, g11178, g53942, g4056, g32055, g3715	Cg001G0323400, Cg008G2981700
OG0000004	g1377	Cg008G2652500
OG0000004	g42410, g1669, g8852, g8926, g33256, g8658, g27882, g42971, g52490, g11635, g26594, g26034, g30059	Cg014G3042600
OG0000004	g18221, g8678, g51092, g10991, g52741, g52421, g21073	Cg005G1712500
OG0000004	g30215, g8478, g34832, g22569, g21980, g3591, g32844, g52627, g21889	Cg002G0566400, Cg004G1175600, Cg008G2960200, Cg001G0254800, Cg008G2671600, Cg008G2922100, Cg007G2351100, Cg005G1719500, Cg004G1384700, Cg002G0576600, Cg002G0577700
OG0000004	g33631, g43176, g15592, g4171, g14802, g15021, g34561, g26667, g14313, g33258, g43654, g42520, g29885, g4102, g33569, g9309, g43377, g43378, g35386, g48663, g21402, g9399, g21492, g48652, g53446, g48258, g26620, g4470, g34565, g14368, g32653, g50172, g19951, g16396, g30119, g33584, g8542, g34135, g42650, g49072, g24928, g8860, g21489, g4436, g9343, g33583, g3511, g48666, g48519, g42149, g52504, g26364, g35195, g3554, g33447, g33443, g52439, g30683, g11402, g42267, g4097, g35533, g26378, g25248, g4110, g26383, g33093, g52754, g15980, g52602, g15019, g32855, g16275, g33029	Cg004G1187900
OG0000004	g53542	Cg011G3014900, Cg001G0291700, Cg002G0631600, Cg001G0232800, Cg005G1551600
OG0000005	g25223, g41973	Cg006G1917400
OG0000005	g41900	Cg005G1502300
OG0000005	g18936, g17827, g50217, g34342	Cg007G2394000
OG0000005	g49127, g41144	Cg008G2853000, Cg008G2868800, Cg006G1917300
OG0000005	g22475, g21100, g15220	Cg004G1316700, Cg001G0326200, Cg001G0340800
OG0000005	g33153, g15339, g49854, g21989, g20095, g15381	Cg001G0307500
OG0000005	g51377, g36656, g52100, g46847, g12379, g32106	Cg006G1917000, Cg006G1876300
OG0000007	g4635	Cg006G1865000, Cg001G0098100, Cg005G1765200
OG0000007	g24723, g1457, g35540	Cg004G1331500
OG0000008	g35255, g34273, g25872, g26783, g29630, g27680, g4391, g43762, g33124	Cg002G0653600
OG0000009	g1267, g50707, g54239, g22012, g2983, g47996, g6090, g43671, g9847, g53582	Cg003G0834900
OG0000009	g36085, g14872, g26760	Cg007G2452800
OG0000009	g23664	Cg005G1728900
OG0000009	g3832, g54192, g31394, g30358, g44061, g36068	Cg008G2714900
OG0000009	g10580, g39986, g32058	Cg005G1711000
OG0000009	g11275, g53238, g41488, g4401, g4394, g44957	Cg005G1717900, Cg003G0717800, Cg005G1769300
OG0000011	g18071, g2721, g42559, g4725, g47538	Cg008G2919200, Cg002G0664700, Cg003G0778000
OG0000011	g450, g26627, g32634	Cg005G1679200
OG0000011	g24975	Cg005G1679100
OG0000014	g18001, g43148, g43743	Cg001G0103300
OG0000015	g35711, g1865, g12584, g7633, g12284, g26669, g5447, g48096, g4042, g4014, g39164, g21912, g30179, g14948, g12283, g35471, g16154, g26107, g17276, g2986, g25292, g34684, g35217, g7329, g39702	Cg001G0251200
OG0000015	g38798, g8683	Cg007G2289100
OG0000015	g16377	Cg004G1297400
OG0000015	g40286, g1778	Cg008G2857400
OG0000016	g26414, g33049, g43980, g16018, g33075, g33082, g6383, g33103, g41983, g4182, g14664, g20467, g34722, g30434, g30429, g21277, g25157	Cg002G0591300
OG0000016	g15828, g15815, g15878	Cg005G1715500
OG0000016	g53235, g6385, g43402, g14661, g3657	Cg001G0284700
OG0000018	g16177, g16042, g30020, g19811, g42269, g33163, g35707, g33621, g38595, g9170, g39203, g9232, g30079, g20922, g8680, g43303, g22450, g49080, g20884, g34255, g30334, g35739, g35715, g3557, g3800, g1406, g1731, g34303, g45124, g36592, g30241, g22178, g22177, g42074, g15587, g26133, g49000, g33242, g48916, g46455, g52653, g21880, g41722, g34939, g34229, g43876, g53716, g41538, g11427, g38783, g34799, g53178, g33713, g49263, g42960, g3085, g25310, g15011, g49060, g36788, g19945, g48662, g52301, g25141, g34307, g4841, g34516, g15876, g22231, g15499, g33620, g26661, g14696, g4267, g52726, g11575, g52999, g34386, g16152, g4546, g5989, g35625, g4708, g34558, g15594, g14708, g22069, g36940, g30064, g35434, g42919, g3581, g32708, g43865, g34852, g53011, g52932, g20839, g24984, g35494, g53447, g42604, g26425, g48079, g38645, g21507, g3213, g36483, g33660, g35277, g16169, g14733, g43020, g43092, g25006, g15498, g54033, g1407, g20677, g8188, g49057, g49056, g38762, g53569, g8939, g16491, g22537, g22046, g1729, g35908, g32840, g42346, g43905, g53010, g32489, g26514, g52990, g52987, g48009, g33241, g52654, g15742, g16751, g34866, g35060, g48247, g27553, g3558, g48244, g34442, g30195, g42250, g52934, g48669, g26576, g4468, g22464, g30032, g30047, g52647, g6407, g26316, g53069, g8943, g53755, g49089, g19964, g3536, g26493, g26492, g3678, g26578, g43385, g16469, g34439, g48986, g3743, g49012, g26519, g30022, g23502, g4849, g25360, g26719, g25294, g43878, g34841, g33366, g21491, g33152, g34250, g53691, g26369, g29897, g3993, g17778, g52768, g49067, g39618, g42096, g6426, g52467, g14846, g30011, g7406, g27683, g24833, g33167, g14319, g53830, g54018, g33615, g33160, g52739, g50728, g34848, g24900, g50695, g30162, g42481, g3368, g39190, g8013, g30224, g41267, g2551, g22227, g35899, g43953, g3470, g52664, g14471, g26335, g25254, g16179, g41562, g22550, g22233, g36333, g51872, g10045, g3788, g41300, g3052, g46951, g4132, g14713, g44445, g30380, g3149, g44213, g11173, g35438, g30219, g9246, g16755, g33005, g53278, g19683, g22234, g51731, g34890, g3864, g10611, g28170, g22394, g33570, g53344, g35609, g51672, g49114, g49115, g30157, g43714, g28244, g43633, g17767, g35905, g2894, g43959, g41522, g3546, g48225, g53242, g30072, g17238, g26234, g3502, g26941, g42198, g15667, g7964, g33415, g26503, g6763, g49011, g8483, g19797, g22151, g4429, g25015, g53118, g3760, g25775, g17839, g35215, g26838, g11598, g33221, g14706, g33225, g52456, g35650, g35203, g24985, g20288, g20299, g52791, g52787, g20292, g46456, g42075, g42793, g33271, g16557, g2552, g2892, g21934, g53172, g48196, g38493, g35478	Cg003G0814300
OG0000020	g32689, g14805	Cg004G1313600
OG0000020	g41994	Cg008G2915200, Cg003G0729100
OG0000021	g33125, g14567, g25750	Cg006G1912000, Cg004G1333000
OG0000022	g17118	Cg001G0134600
OG0000022	g40889	Cg007G2277400
OG0000022	g40751	Cg007G2258400
OG0000022	g13269	Cg001G0385000, Cg004G1232100
OG0000023	g15662, g32787	Cg003G0880200
OG0000023	g14801, g15067	Cg007G2371000
OG0000023	g42217	Cg003G0882200
OG0000023	g52732	Cg006G1902200
OG0000023	g6328	Cg006G2067800
OG0000024	g2269	Cg002G0447000, Cg002G0448700
OG0000025	g17280, g46637, g25246, g50791	Cg007G2444400
OG0000027	g43193, g48946	Cg003G0758800
