Orthogroup	Cochlearia_excelsa	Noccaea_praecox
OG0000000	g14949, g4309	Np002G1063700, Np003G1750900
OG0000000	g6388, g14958	Np007G4029000
OG0000000	g54172, g11781, g52096, g4660, g33143, g43301	Np003G1264600
OG0000000	g40877, g32052, g11718, g40053	Np001G0383200
OG0000000	g53079, g43739, g16627	Np006G3485200
OG0000000	g44562, g51061, g1238, g44545, g28474, g44506, g29058, g23419, g19097, g2263	Np001G0404400, Np005G3184700, Np001G0462400
OG0000000	g30907	Np005G3184600
OG0000000	g14416, g10434, g12783, g43405, g3096	Np002G1103800, Np006G3557600, Np002G0968700, Np001G0205900
OG0000002	g54221, g22707, g40366, g33609, g51791, g16254	Np005G2965700
OG0000002	g12053, g52853, g57, g36475, g33085, g32227	Np008G4260500, Np002G1057800, Np002G1036100, Np011G4364100
OG0000002	g2531, g12890	Np008G4275700
OG0000002	g54223, g47322, g50479, g22753, g1903, g3746	Np002G1017600
OG0000002	g51104, g47320, g38468, g39577, g40258, g23771, g52214	Np002G1056700
OG0000002	g36079	Np003G1705400, Np002G0924900
OG0000002	g50077, g3932	Np009G4293000
OG0000002	g28791, g41750	Np002G1029600, Np006G3468100
OG0000002	g39437, g26239	Np002G1029300, Np004G2265100, Np002G1017700, Np004G2022100, Np004G2547200
OG0000003	g14063	Np005G3039000
OG0000003	g42621, g14202, g39352, g43844, g39389	Np006G3523600
OG0000003	g12346, g2655, g14239, g52812	Np003G1349400
OG0000003	g26213, g52072	Np003G1737800
OG0000003	g46643, g3725, g24106	Np002G1201600, Np007G4024900, Np003G1475700, Np002G1099700, Np003G1482700
OG0000004	g42410, g1669, g8852, g8926, g33256, g8658	Np005G2950600
OG0000004	g27882, g42971, g52490, g11635, g26594, g26034, g30059	Np010G4347300, Np007G4015400
OG0000004	g30215, g8478, g34832, g22569, g21980, g3591, g32844, g52627, g21889	Np004G2079000, Np003G1676800
OG0000004	g21983, g42984, g20893, g26400, g20569, g25307, g35496, g22187, g30034, g35136, g53148, g26496, g23263, g19433, g53231, g5034, g16879, g34609, g30041, g8348, g18470, g43270, g20927, g21387, g53257, g32762, g25182, g53206, g53402, g42012, g49243, g19888, g15221, g48834, g14943, g8471, g3588, g40872, g15611, g20848, g42568, g33231, g52412, g35580, g35834, g15847, g15509, g42990, g32807, g49050, g3533, g43274, g49066, g15473, g48262, g4602, g48198, g44460, g26367, g33388, g52326, g8598, g21125, g22323	Np002G1072700
OG0000004	g54140, g1368, g34921, g5669, g14984, g15061, g20703, g35818, g33600, g26147, g15064, g38611, g51042, g35409, g35603	Np004G2202000
OG0000004	g16396, g30119	Np005G2935100
OG0000004	g30683, g11402, g42267, g4097, g35533, g26378, g25248, g4110, g26383, g33093, g52754	Np005G2935000
OG0000004	g15895, g33141, g34291, g3426	Np004G2093200
OG0000004	g6262	Np007G3994400, Np005G2976000
OG0000005	g49126, g35025, g4314, g3006, g14436, g25221, g43590	Np006G3606800
OG0000005	g21085, g8878, g21778, g22562, g21750, g53237, g33681, g48434, g38758, g15439, g48097, g30184, g21769, g38943, g38685, g15405, g21658, g21626, g15483, g9357	Np006G3467000
OG0000005	g8861, g22053, g42458, g42535, g48454, g20472, g21554, g16181, g20634, g3529	Np003G1728300
OG0000005	g4552, g14576	Np007G4024700
OG0000005	g41900	Np006G3534100, Np006G3467500, Np006G3473300, Np006G3540100
OG0000005	g41972	Np001G0487000
OG0000005	g35024, g42611, g49127, g41144	Np006G3440400
OG0000005	g21883	Np006G3465300
OG0000005	g22475, g21100, g15220	Np003G1689900, Np005G2966500
OG0000005	g22045, g52507, g34171, g39040, g26581	Np009G4291700, Np008G4277700, Np001G0383300
OG0000005	g38647, g8887, g38787, g20781, g20429, g15199, g38927, g21070, g38625, g21166, g15225, g33699, g15167, g38944, g30416, g45939, g7984, g34641, g30595, g22591, g42464, g9347, g42519, g20942, g39056, g16442, g21798, g21724, g20611, g15105, g33817	Np012G4370200, Np004G2223900
OG0000005	g52529, g34186, g52750, g20522, g20506, g21234, g21565, g21201, g38763, g20998, g42487, g21045, g33957	Np003G1690000, Np009G4304700, Np011G4366100, Np011G4368000
OG0000005	g17328, g35826, g35008, g30488, g34187, g20543, g52364, g36810	Np004G2216500, Np004G2220500, Np004G2217900
OG0000005	g20023, g9605	Np003G1727100
OG0000005	g38749, g30982, g52986	Np005G2940800, Np006G3455900
OG0000005	g15294, g38775, g42420, g20721, g39054, g25312, g15593, g33983	Np009G4299700
OG0000005	g20377, g9593, g42395, g34569, g22532, g39129, g8465, g21266, g22559, g42483, g48250, g20618, g15722, g33484, g7968, g53646, g21207, g38606, g24932, g6068, g49093, g4528, g9435	Np003G1685100
OG0000005	g51377, g36656, g52100, g46847, g12379, g32106	Np001G0487100
OG0000007	g4218, g9032, g16483, g4033, g40546, g42738, g47006, g45886, g50470, g596, g49751	Np003G1457500
OG0000007	g47000, g11663, g32442, g35394, g34804	Np005G3131700
OG0000008	g26783	Np005G2918600, Np002G1026800
OG0000008	g27995, g37068, g26784, g43729, g49593, g4483	Np002G0964800
OG0000009	g2982	Np002G0805000
OG0000009	g50155, g5748, g1727	Np001G0414800, Np003G1742400, Np001G0151500, Np001G0364100
