Orthogroup	Cochlearia_excelsa	Arabidopsis_lyrata_Rawat
OG0000000	g14627, g14949, g4309, g8694, g53158	AL6G27580
OG0000000	g23875, g4482	AL7G44730
OG0000000	g15642	AL3G23500, AL3G28120, AL7G39870, AL1G31370, AL5G15620, AL7G44660, AL3G50410, AL47U10020
OG0000000	g11716, g40876, g40054	AL2G28000
OG0000000	g53018, g52608, g29057	AL3G15150
OG0000000	g4407, g12767, g32529, g14904, g23387, g17148, g557, g16965, g14625, g13935, g31989, g1635, g14365, g47735, g1361, g10755, g37592, g39292	AL2G10230, AL4G12690, AL532U10010, AL8G16910
OG0000000	g53079, g43739, g16627	AL3G48680
OG0000000	g34709, g4497, g26082, g48927	AL4G39790
OG0000000	g45106, g24897, g34861, g52921, g13894, g26632	AL8G17890
OG0000000	g23493	AL6G49130
OG0000000	g3283, g14651, g4075, g42183, g41805, g31286, g53554, g25561, g25201, g53774, g1649, g1657, g16219, g4653, g35401, g26200, g42029, g24646, g15042, g47937, g16448, g26041, g12832, g32880, g24793, g18671, g41057, g35660	AL1G43930
OG0000000	g44562, g51061, g1238, g44545, g28474, g44506	AL7G52320, AL7G41970, AL7G39420, AL9U11110, AL5G16040
OG0000000	g29058, g23419, g19097, g2263	AL6G34180
OG0000000	g30907	AL8G39910, AL1G63670
OG0000000	g14416, g10434, g12783, g43405, g3096	AL7G47010
OG0000000	g41948	AL7G35400
OG0000002	g12053, g52853, g57, g36475, g33085, g32227	AL3G37080, AL1G57360
OG0000002	g45380	AL4G14300
OG0000002	g11234, g13620, g25759, g5204, g43183, g50380, g36398, g6668, g13329, g17143, g23133, g2533, g42581, g19246, g29102, g53818, g35831, g54196, g18045, g22726, g5655, g53912, g22441, g43884, g51104, g47320, g38468, g39577, g40258, g23771, g52214, g49137, g47542, g26461, g4894, g16056, g36079, g50077, g3932, g28791, g41750, g16868, g39578, g50949, g32031, g54127, g51347, g43933, g43961, g37679, g25411, g23774, g4011, g14412, g50453, g53950, g45382, g23050	AL8G20200
OG0000003	g18622	AL1G46060, AL4G47110, AL6G10850
OG0000003	g25137	AL8G41490, AL4G39950, AL363U10020
OG0000003	g45682, g1467	AL7G48880
OG0000003	g24632	AL4G19540
OG0000003	g14202	AL2G17040
OG0000003	g39352, g43844, g39389	AL3G36170
OG0000003	g34726	AL3G42620
OG0000003	g41610, g51431, g41609	AL481U10010
OG0000003	g12346, g2655, g14239, g52812	AL3G46190
OG0000003	g53942, g4056, g32055, g3715	AL668U10010, AL2G31940
OG0000004	g42410, g1669, g8852, g8926, g33256, g8658, g27882, g42971, g52490, g11635, g26594, g26034, g30059	AL1G59120
OG0000004	g15065	AL5G28990
OG0000004	g33193, g3782, g9018, g37863	AL2G22640
OG0000004	g48661, g33568, g18221, g8678, g51092, g10991, g52741, g52421, g21073, g42791, g34845, g30252, g9059, g9287, g52509, g9224, g36650, g21099, g52367, g20888, g21409, g43220, g38581, g14594, g39193, g3480, g3485, g30215, g8478, g34832, g22569, g21980, g3591, g32844, g52627, g21889, g36307, g14311, g22564, g16722, g52330, g15795, g30550, g30376, g43381, g43271, g52452, g41990, g52465, g34225, g45199, g9313, g34234, g34239, g9300, g43277, g33824, g48660, g3805, g12233, g8324, g33593, g33825, g30503, g3496, g27039, g30161, g9209, g42645, g48261, g41664, g49210, g26280, g14798, g33617, g33194, g33196, g49131, g52631, g33159, g33162, g8795, g8799, g8814, g42851, g54402, g42876, g54422, g42880, g6413, g42788, g42838, g52873, g38593, g48815, g20696, g44996, g15614, g48195, g24604, g13930, g3519, g50316, g42490, g54130, g36924, g20637, g15496, g19970, g21983, g42984, g20893, g26400, g20569, g25307, g35496, g22187, g30034, g35136, g53148, g26496, g23263, g19433, g53231, g5034, g16879, g34609, g30041, g8348, g18470, g43270, g20927, g21387, g53257, g32762, g25182, g53206, g53402, g42012, g49243, g19888, g15221, g48834, g14943, g8471, g3588, g40872, g15611, g20848, g42568, g33231, g52412, g35580, g35834, g15847, g15509, g42990, g32807, g49050, g3533, g43274, g49066, g15473, g48262, g4602, g48198, g44460, g26367, g33388, g52326, g8598, g21125, g22323, g9185, g43736, g38628, g52657, g22577, g35938, g20554, g3532, g21616, g16001, g22041, g9161, g14835, g32831, g30173, g16047, g9043, g44884, g54140, g1368, g34921, g5669, g14984, g15061, g20703, g35818, g33600, g26147, g15064, g38611, g51042, g35409, g35603, g3515, g25767, g15746, g47598, g30366, g30371, g48085, g4721, g53669, g21500, g25180, g52738, g21847	AL7G43300
OG0000004	g3356, g49005, g48658, g4299, g19817, g52410	AL1G57270
OG0000004	g42564	AL8G19530
OG0000004	g15980, g52602, g15019	AL70U10050
OG0000004	g32855	AL4G11460
OG0000004	g15895, g33141, g34291, g3426, g6262	AL6G45170
OG0000004	g53542	AL1G65200
OG0000005	g14824, g15574, g43589, g4576, g20561, g20558	AL4G12740
OG0000005	g39267	AL1G36970
OG0000005	g41974, g49126, g35025, g4314, g3006, g14436, g25221, g43590, g6104, g22734, g24732, g6791	AL8G18430
OG0000005	g3007	AL7G13490
OG0000005	g52866, g10483, g26067, g34544, g15875, g33596, g14065, g35068, g53526, g19913, g53525, g15922, g34539, g43208, g6103, g1720, g25223, g41973	AL97U10030, AL8G11290
OG0000005	g16692, g43737, g50218, g54200	AL4G38100
OG0000005	g36376, g3918, g46047, g53689	AL6G48210, AL2G19230
OG0000005	g21085, g8878, g21778, g22562, g21750, g53237, g33681, g48434, g38758, g15439, g48097, g30184, g21769, g38943, g38685, g15405, g21658, g21626, g15483, g9357, g8861, g22053, g42458, g42535, g48454, g20472, g21554, g16181, g20634, g3529	AL2G18790
OG0000005	g22475, g21100, g15220	AL7G43820, AL7G43690
OG0000005	g21595, g21712	AL8G29360
OG0000005	g15274, g3525, g33153, g15339, g49854, g21989, g20095, g15381	AL3G54340
OG0000005	g17328, g35826	AL3G45600
OG0000005	g35008, g30488, g34187, g20543, g52364, g36810	AL1G65770
