Orthogroup	Rorippa_islandica	Conringia_planisiliqua
OG0000000	Roisl.0185s0067.1.p	CP15_g35524_DN2_SP0_c.t1
OG0000000	Roisl.0204s0096.1.p, Roisl.0185s0075.1.p	CP6_g9755_DN1_SP0_c.t1
OG0000000	Roisl.0046s1371.1.p, Roisl.0091s0126.1.p	CP18_g11997_DN3_SP0_c.t1
OG0000000	Roisl.0053s0186.1.p	CP8_g52821_DN1_SP0_c.t1
OG0000000	Roisl.0210s2160.1.p	CP18_g12259_DN2_SP0_c.t1
OG0000000	Roisl.0053s0185.1.p, Roisl.0046s0703.1.p, Roisl.0210s0593.1.p	CP27_g41816_DN1_SP0_c.t1
OG0000000	Roisl.0185s0050.1.p	CP10_g43899_DN1_SP0_c.t1
OG0000000	Roisl.0185s0025.1.p, Roisl.0006s0325.1.p, Roisl.0214s0371.1.p, Roisl.0005s0243.1.p, Roisl.0083s0016.1.p, Roisl.0037s0056.1.p	CP6_g8175_DN3_SP0_c.t1
OG0000000	Roisl.0020s0052.1.p	CP6_g8047_DN1_SP0_c.t1, CP6_g8613_DN2_SP0_c.t1, CP15_g35744_DN2_SP0_c.t1, CP18_g11729_DN2_SP0_c.t1, CP1_g39877_DN1_SP0_c.t1
OG0000000	Roisl.0082s0610.1.p	CP7_g44193_DN1_SP0_c.t1
OG0000000	Roisl.0020s0162.1.p, Roisl.0213s0727.1.p	CP6_g8147_DN1_SP0_c.t1, CP9_g27797_DN2_SP0_c.t1, CP28_g34012_DN1_SP0_c.t1, CP25_g55831_DN3_SP0_c.t1, CP9_g28197_DN3_SP0_c.t1, CP6_g7625_DN1_SP0_c.t1, CP4_g26146_DN1_SP0_c.t1, CP84_g51830_DN2_SP0_c.t1, CP1_g40809_DN2_SP0_c.t1, CP6_g8492_DN3_SP0_c.t1, CP15_g35528_DN1_SP0_c.t1, CP5_g2122_DN2_SP0_c.t1, CP12_g30577_DN2_SP0_c.t1, CP6_g9323_DN3_SP0_c.t1, CP18_g12295_DN2_SP0_c.t1, CP5_g2382_DN2_SP0_c.t1, CP24_g46940_DN2_SP0_c.t1, CP36_g50963_DN2_SP0_c.t1
OG0000002	Roisl.0006s0264.1.p	CP1_g40005_DN2_SP0_c.t1
OG0000002	Roisl.0012s0025.1.p	CP3_g16174_DN2_SP0_c.t1
OG0000002	Roisl.0038s0052.1.p, Roisl.0184s0176.1.p	CP4_g26879_DN2_SP0_c.t1
OG0000002	Roisl.0213s0015.1.p, Roisl.0008s0085.1.p	CP3_g16153_DN2_SP0_c.t1
OG0000003	Roisl.0058s0055.1.p	CP5_g2027_DN3_SP0_c.t1, CP2_g50573_DN1_SP0_c.t1, CP36_g50971_DN3_SP0_c.t1, CP5_g3096_DN1_SP0_c.t1
OG0000003	Roisl.0075s0224.1.p, Roisl.0011s0302.1.p, Roisl.0210s0002.1.p, Roisl.0053s0016.1.p	CP10_g44057_DN2_SP0_c.t1, CP12_g31265_DN3_SP0_c.t1, CP15_g36147_DN2_SP0_c.t1, CP3_g15821_DN1_SP0_c.t1, CP5_g1517_DN2_SP0_c.t1, CP8_g52677_DN2_SP0_c.t1, CP2_g50567_DN2_SP0_c.t1
OG0000003	Roisl.0083s0012.1.p, Roisl.0213s0877.1.p	CP9_g27952_DN2_SP0_c.t1
OG0000003	Roisl.0058s0052.1.p	CP15_g34583_DN2_SP0_c.t1, CP15_g34567_DN1_SP0_c.t1, CP15_g34636_DN1_SP0_c.t1, CP15_g34623_DN2_SP0_c.t1
OG0000003	Roisl.0189s0151.1.p, Roisl.0214s0907.1.p	CP3_g16075_DN1_SP0_c.t1
