Orthogroup	Rorippa_islandica	Cardamine_glauca
OG0000000	Roisl.0046s1371.1.p, Roisl.0091s0126.1.p	Cg003G0947300
OG0000000	Roisl.0012s0255.1.p, Roisl.0053s0040.1.p	Cg005G1542700
OG0000000	Roisl.0179s0101.1.p, Roisl.0179s0099.1.p	Cg003G0820400
OG0000000	Roisl.0213s0782.1.p	Cg001G0384000
OG0000000	Roisl.0053s0185.1.p	Cg006G1881000
OG0000000	Roisl.0213s0402.1.p	Cg003G0793800
OG0000000	Roisl.0020s0052.1.p	Cg001G0315700
OG0000000	Roisl.0213s0280.1.p	Cg007G2381100
OG0000002	Roisl.0213s0015.1.p, Roisl.0008s0085.1.p, Roisl.0204s0005.1.p, Roisl.0188s0060.1.p, Roisl.0040s0101.1.p, Roisl.0012s0044.1.p, Roisl.0200s0037.1.p, Roisl.0210s2181.1.p, Roisl.0014s0020.1.p, Roisl.0111s0033.1.p, Roisl.0022s0019.1.p, Roisl.0076s0006.1.p, Roisl.0214s0254.1.p, Roisl.0066s0414.1.p, Roisl.0006s0156.1.p, Roisl.0014s0086.1.p, Roisl.0083s0030.1.p, Roisl.0032s0054.1.p, Roisl.0041s0032.1.p	Cg002G0472400, Cg005G1504200
OG0000003	Roisl.0058s0055.1.p	Cg006G1905700
OG0000003	Roisl.0075s0224.1.p, Roisl.0011s0302.1.p, Roisl.0210s0002.1.p, Roisl.0053s0016.1.p	Cg004G1341600, Cg005G1702400, Cg001G0274200, Cg002G0686800
OG0000004	Roisl.0022s0436.1.p	Cg002G0566400, Cg004G1175600, Cg008G2960200, Cg001G0254800, Cg008G2671600, Cg008G2922100, Cg007G2351100, Cg005G1719500, Cg004G1384700, Cg002G0576600, Cg002G0577700
OG0000004	Roisl.0213s0732.1.p	Cg004G1187900
OG0000005	Roisl.0189s0112.1.p, Roisl.0082s0055.1.p, Roisl.0072s0015.1.p, Roisl.0083s0019.1.p, Roisl.0048s0032.1.p, Roisl.0015s0171.1.p, Roisl.0185s0098.1.p, Roisl.0040s0024.1.p, Roisl.0082s0029.1.p, Roisl.0210s2094.1.p, Roisl.0210s2173.1.p, Roisl.0023s0063.1.p, Roisl.0075s0018.1.p	Cg001G0307500
OG0000005	Roisl.0033s0009.1.p	Cg006G1917000, Cg006G1876300
OG0000008	Roisl.0029s0057.1.p, Roisl.0043s0001.1.p	Cg002G0653500, Cg002G0593800
OG0000008	Roisl.0075s0191.1.p, Roisl.0014s0140.1.p, Roisl.0025s0028.1.p, Roisl.0072s0014.1.p, Roisl.0053s0439.1.p, Roisl.0091s0691.1.p, Roisl.0058s0017.1.p, Roisl.0066s0187.1.p, Roisl.0066s0390.1.p, Roisl.0050s0011.1.p	Cg002G0653600
OG0000008	Roisl.0214s0198.1.p	Cg007G2406600, Cg002G0593900
OG0000008	Roisl.0046s1128.1.p	Cg002G0512100
