Orthogroup	Rorippa_islandica	Alyssum_gmelinii
OG0000000	Roisl.0185s0067.1.p	Ag067G5184800, Ag001G0043700
OG0000000	Roisl.0204s0096.1.p, Roisl.0185s0075.1.p	Ag062G5062000
OG0000000	Roisl.0046s1371.1.p, Roisl.0091s0126.1.p	Ag017G2413700, Ag016G2404700, Ag018G2474800, Ag004G0601400, Ag033G3558200, Ag032G3454800
OG0000000	Roisl.0188s0090.1.p	Ag039G4294900, Ag016G2393600
OG0000000	Roisl.0179s0101.1.p, Roisl.0179s0099.1.p, Roisl.0213s0782.1.p, Roisl.0210s2160.1.p	Ag028G3079600, Ag058G4972900, Ag034G4051300, Ag022G2647900
OG0000000	Roisl.0053s0185.1.p, Roisl.0046s0703.1.p, Roisl.0210s0593.1.p	Ag036G4123700
OG0000000	Roisl.0213s0402.1.p	Ag054G4887300
OG0000000	Roisl.0020s0052.1.p	Ag058G4977700
OG0000000	Roisl.0003s0086.1.p	Ag034G3951900, Ag016G2353000
OG0000000	Roisl.0020s0162.1.p, Roisl.0213s0727.1.p	Ag045G4516900, Ag044G4496600, Ag078G5351600, Ag066G5137400, Ag013G1386400, Ag033G3486500, Ag020G2571600, Ag013G1635500
OG0000002	Roisl.0213s0015.1.p, Roisl.0008s0085.1.p, Roisl.0204s0005.1.p, Roisl.0188s0060.1.p, Roisl.0040s0101.1.p, Roisl.0012s0044.1.p, Roisl.0200s0037.1.p, Roisl.0210s2181.1.p, Roisl.0014s0020.1.p, Roisl.0111s0033.1.p, Roisl.0022s0019.1.p, Roisl.0076s0006.1.p, Roisl.0214s0254.1.p, Roisl.0066s0414.1.p, Roisl.0006s0156.1.p, Roisl.0014s0086.1.p, Roisl.0083s0030.1.p, Roisl.0032s0054.1.p, Roisl.0041s0032.1.p	Ag027G3030200
OG0000003	Roisl.0058s0055.1.p	Ag005G0787400
OG0000003	Roisl.0075s0224.1.p, Roisl.0011s0302.1.p, Roisl.0210s0002.1.p, Roisl.0053s0016.1.p	Ag022G2672700, Ag014G2084900
OG0000003	Roisl.0005s0321.1.p, Roisl.0020s0174.1.p, Roisl.0083s0012.1.p, Roisl.0213s0877.1.p, Roisl.0058s0089.1.p, Roisl.0185s0065.1.p, Roisl.0058s0052.1.p, Roisl.0189s0151.1.p, Roisl.0214s0907.1.p, Roisl.0047s0023.1.p, Roisl.0213s0678.1.p, Roisl.0005s0145.1.p, Roisl.0214s0184.1.p, Roisl.0188s0028.1.p, Roisl.0004s0406.1.p, Roisl.0053s0433.1.p, Roisl.0037s0060.1.p, Roisl.0184s0058.1.p, Roisl.0053s0045.1.p, Roisl.0189s0026.1.p, Roisl.0193s0022.1.p, Roisl.0020s0023.1.p, Roisl.0047s0047.1.p, Roisl.0213s0702.1.p, Roisl.0185s0035.1.p, Roisl.0179s0027.1.p, Roisl.0046s0266.1.p, Roisl.0013s0148.1.p, Roisl.0184s0125.1.p, Roisl.0191s0324.1.p, Roisl.0184s0019.1.p, Roisl.0041s0045.1.p, Roisl.0209s0112.1.p, Roisl.0111s0003.1.p, Roisl.0056s0038.1.p, Roisl.0213s0675.1.p, Roisl.0058s0002.1.p, Roisl.0012s0115.1.p, Roisl.0213s0710.1.p, Roisl.0213s0711.1.p, Roisl.0014s0059.1.p, Roisl.0213s0758.1.p	Ag067G5203100
OG0000003	Roisl.0015s0133.1.p, Roisl.0017s0491.1.p, Roisl.0179s0077.1.p, Roisl.0058s0001.1.p	Ag014G1978400, Ag039G4231800, Ag011G1040600, Ag016G2400500, Ag014G1921200, Ag049G4724200
OG0000004	Roisl.0022s0436.1.p	Ag010G0992800, Ag014G1774700
OG0000005	Roisl.0046s0518.1.p	Ag025G2943500
OG0000005	Roisl.0195s0004.1.p	Ag041G4377100
OG0000008	Roisl.0179s0023.1.p	Ag016G2356700
OG0000008	Roisl.0082s0661.1.p, Roisl.0036s0059.1.p	Ag005G0786100
OG0000008	Roisl.0014s0140.1.p, Roisl.0025s0028.1.p, Roisl.0072s0014.1.p, Roisl.0053s0439.1.p	Ag027G3054100
OG0000008	Roisl.0208s0049.1.p, Roisl.0065s0019.1.p, Roisl.0209s0203.1.p, Roisl.0046s1128.1.p, Roisl.0046s1132.1.p, Roisl.0046s1119.1.p, Roisl.0027s0062.1.p, Roisl.0058s0016.1.p, Roisl.0022s0261.1.p, Roisl.0053s0125.1.p	Ag001G0025300
OG0000008	Roisl.0014s0136.1.p, Roisl.0214s0127.1.p, Roisl.0179s0096.1.p, Roisl.0033s0081.1.p, Roisl.0005s0371.1.p, Roisl.0020s0039.1.p, Roisl.0189s0101.1.p	Ag033G3526400
OG0000011	Roisl.0008s0052.1.p	Ag015G2211300
OG0000011	Roisl.0019s0018.1.p	Ag027G3007700
OG0000012	Roisl.0209s0518.1.p	Ag006G0798800
OG0000014	Roisl.0023s0108.1.p	Ag012G1285000
OG0000015	Roisl.0214s0222.1.p, Roisl.0209s0283.1.p	Ag034G3936100
OG0000015	Roisl.0214s0740.1.p	Ag012G1294500
OG0000015	Roisl.0006s0132.1.p	Ag076G5308600
OG0000015	Roisl.0053s0047.1.p	Ag058G4974300
OG0000015	Roisl.0032s0105.1.p	Ag024G2875100
OG0000020	Roisl.0179s0050.1.p, Roisl.0188s0045.1.p, Roisl.0004s0008.1.p, Roisl.0188s0102.1.p, Roisl.0011s0407.1.p, Roisl.0184s0238.1.p, Roisl.0214s0108.1.p, Roisl.0062s0029.1.p, Roisl.0025s0013.1.p, Roisl.0188s0101.1.p, Roisl.0022s0062.1.p, Roisl.0214s0107.1.p, Roisl.0010s0023.1.p, Roisl.0011s0406.1.p, Roisl.0010s0021.1.p, Roisl.0214s0786.1.p, Roisl.0204s0002.1.p, Roisl.0005s0155.1.p, Roisl.0214s0099.1.p, Roisl.0028s0692.1.p, Roisl.0213s0860.1.p, Roisl.0210s0466.1.p, Roisl.0007s0026.1.p, Roisl.0020s0173.1.p, Roisl.0028s0007.1.p, Roisl.0184s0237.1.p, Roisl.0046s1265.1.p, Roisl.0210s2047.1.p, Roisl.0208s0011.1.p, Roisl.0056s0045.1.p, Roisl.0213s0006.1.p, Roisl.0214s0304.1.p, Roisl.0053s0189.1.p, Roisl.0027s0142.1.p	Ag068G5227400
OG0000020	Roisl.0082s0242.1.p	Ag060G5002800, Ag014G2139700, Ag001G0002100, Ag013G1354100, Ag034G3996700, Ag078G5375900, Ag036G4119800, Ag019G2511100, Ag025G2915300, Ag017G2430400, Ag041G4354300, Ag013G1396100, Ag067G5206100, Ag022G2668600, Ag064G5103400, Ag023G2811600, Ag011G1267500
OG0000020	Roisl.0188s0046.1.p	Ag039G4234300
OG0000021	Roisl.0082s0017.1.p, Roisl.0179s0097.1.p, Roisl.0198s0008.1.p, Roisl.0023s0095.1.p, Roisl.0046s0797.1.p, Roisl.0014s0138.1.p, Roisl.0213s0355.1.p, Roisl.0006s0361.1.p, Roisl.0046s0769.1.p, Roisl.0066s0388.1.p, Roisl.0032s0086.1.p, Roisl.0005s0191.1.p, Roisl.0214s0300.1.p, Roisl.0072s0013.1.p, Roisl.0185s0094.1.p, Roisl.0188s0063.1.p, Roisl.0011s0031.1.p, Roisl.0191s0373.1.p, Roisl.0014s0139.1.p, Roisl.0066s0257.1.p	Ag013G1488900, Ag031G3408800
OG0000022	Roisl.0010s0088.1.p	Ag002G0155300
OG0000022	Roisl.0008s0014.1.p, Roisl.0010s0121.1.p	Ag002G0160300, Ag002G0160500
OG0000022	Roisl.0021s0361.1.p	Ag034G3829100
OG0000022	Roisl.0091s0926.1.p, Roisl.0050s0030.1.p, Roisl.0050s0031.1.p	Ag024G2896000
OG0000022	Roisl.0009s0109.1.p	Ag006G0805800, Ag058G4977300, Ag022G2695300
OG0000022	Roisl.0074s0275.1.p	Ag014G2040000
OG0000024	Roisl.0015s0178.1.p	Ag050G4762100, Ag050G4762000, Ag050G4761900, Ag050G4746600, Ag050G4752600, Ag050G4752400, Ag050G4746500, Ag050G4746300, Ag022G2696300, Ag022G2696700, Ag050G4754800, Ag050G4755000, Ag050G4751800, Ag050G4752100, Ag050G4752300
OG0000024	Roisl.0213s0365.1.p, Roisl.0213s0382.1.p, Roisl.0213s0370.1.p, Roisl.0213s0366.1.p, Roisl.0213s0367.1.p, Roisl.0026s0117.1.p, Roisl.0026s0135.1.p, Roisl.0011s0535.1.p, Roisl.0011s0534.1.p, Roisl.0006s0183.1.p	Ag013G1754200
OG0000025	Roisl.0002s0230.1.p, Roisl.0062s0001.1.p, Roisl.0020s0076.1.p	Ag015G2255100
OG0000025	Roisl.0213s0858.1.p, Roisl.0022s0006.1.p	Ag067G5188200, Ag030G3132300
