Orthogroup	Euclidium_syriacum	Cardamine_glauca
OG0000000	ESY3_g29030_DN1_SP0_c59.t1, ESY2_g38064_DN2_SP0_c54.t1, ESY3_g27908_DN2_SP0_c72.t1	Cg008G318220, Cg007G256290, Cg005G186910, Cg004G150450, Cg002G062250
OG0000000	ESY13_g56188_DN3_SP0_c88.t1	Cg002G068740, Cg001G030920, Cg011G329020
OG0000000	ESY7_g17009_DN2_SP0_c60.t1	Cg014G332090, Cg005G186000
OG0000002	ESY9_g43349_DN2_SP0_c0.t1	Cg005G163330
OG0000003	ESY8_g60803_DN3_SP0_c6.t1	Cg006G209840
OG0000003	ESY1_g7089_DN3_SP0_c0.t1	Cg004G144140, Cg001G032830
OG0000005	ESY6_g47366_DN1_SP0_c0.t1	Cg005G185830
OG0000005	ESY1_g10225_DN1_SP0_c0.t1	Cg008G295320, Cg005G188150
OG0000005	ESY6_g47698_DN2_SP0_c100.t1, ESY12_g51083_DN2_SP0_c0.t1	Cg001G022230, Cg003G087270, Cg005G189270
OG0000005	ESY11_g53352_DN1_SP0_c0.t1	Cg006G213190
OG0000007	ESY7_g16535_DN2_SP0_c0.t1	Cg005G188670, Cg005G188650, Cg005G188640, Cg005G188690, Cg005G188630, Cg008G303470, Cg003G103180
OG0000007	ESY16_g61843_DN2_SP0_c0.t1, ESY17_g39043_DN1_SP0_c0.t1	Cg003G084380
OG0000007	ESY19_g41595_DN1_SP0_c0.t1	Cg001G041960, Cg003G089200, Cg002G061850, Cg003G086130, Cg002G054650
OG0000008	ESY15_g64840_DN3_SP0_c0.t1	Cg008G312650, Cg002G071170, Cg002G071180, Cg007G263310, Cg007G263320, Cg002G060890, Cg002G055170
OG0000013	ESY8_g60272_DN2_SP0_c0.t1	Cg007G257070, Cg005G184830, Cg001G029740, Cg002G065810
OG0000015	ESY13_g56278_DN1_SP0_c1.t1, ESY4_g24528_DN1_SP0_c0.t1	Cg008G310160
OG0000017	ESY15_g65203_DN3_SP0_c0.t1	Cg004G142150
OG0000018	ESY4_g26006_DN3_SP0_c0.t1, ESY5_g1040_DN3_SP0_c0.t1, ESY6_g48612_DN3_SP0_c0.t1, ESY7_g17537_DN3_SP0_c0.t1, ESY1_g8552_DN3_SP0_c0.t1, ESY10_g15845_DN3_SP0_c0.t1, ESY6_g48613_DN3_SP0_c0.t1, ESY6_g47610_DN3_SP0_c0.t1, ESY4_g25933_DN3_SP0_c0.t1, ESY9_g43848_DN3_SP0_c0.t1, ESY3_g30023_DN2_SP0_c0.t1, ESY19_g41697_DN3_SP0_c0.t1, ESY6_g45922_DN3_SP0_c0.t1, ESY1_g9704_DN3_SP0_c0.t1, ESY5_g1354_DN3_SP0_c0.t1, ESY6_g47609_DN3_SP0_c0.t1, ESY2_g36889_DN2_SP0_c0.t1, ESY1_g8553_DN3_SP0_c0.t1, ESY2_g36897_DN3_SP0_c0.t1, ESY9_g43847_DN3_SP0_c0.t1, ESY11_g54587_DN3_SP0_c0.t1, ESY6_g47608_DN3_SP0_c0.t1, ESY15_g65477_DN3_SP0_c0.t1	Cg003G095700, Cg006G204250, Cg003G087690, Cg003G087660
OG0000019	ESY5_g2563_DN2_SP0_c0.t1, ESY6_g48254_DN3_SP0_c48.t1, ESY8_g60783_DN3_SP0_c0.t1, ESY5_g2565_DN1_SP0_c0.t1, ESY5_g2564_DN2_SP0_c0.t1	Cg008G308170
