Orthogroup	Euclidium_syriacum	Cardamine_amara
OG0000000	ESY9_g43878_DN2_SP0_c0.t1	evm.model.RL_7.1
OG0000000	ESY3_g29030_DN1_SP0_c59.t1, ESY2_g38064_DN2_SP0_c54.t1, ESY3_g27908_DN2_SP0_c72.t1	evm.model.RL_2.920, evm.model.RL_4.662, evm.model.RL_6.582
OG0000000	ESY3_g28075_DN1_SP0_c100.t1, ESY13_g56188_DN3_SP0_c88.t1	evm.model.RL_1.2840, evm.model.RL_3.692, evm.model.RL_5.2512
OG0000000	ESY7_g17009_DN2_SP0_c60.t1	evm.model.RL_2.1335, evm.model.RL_5.2579, evm.model.RL_3.1102, evm.model.RL_6.1374, evm.model.RL_7.1901, evm.model.RL_2.681
OG0000002	ESY9_g43349_DN2_SP0_c0.t1	evm.model.RL_5.2510, evm.model.RL_3.454, evm.model.RL_1.3300, evm.model.RL_1.3293, evm.model.RL_1.3299, evm.model.RL_7.2046, evm.model.RL_4.1699, evm.model.RL_7.2065, evm.model.RL_4.153, evm.model.RL_2.2031, evm.model.RL_4.3237, evm.model.RL_4.470, evm.model.RL_3.619, evm.model.RL_3.842, evm.model.RL_8.341, evm.model.RL_5.754, evm.model.RL_2.2032, evm.model.RL_4.152, evm.model.RL_8.607
OG0000003	ESY8_g60803_DN3_SP0_c6.t1	evm.model.RL_2.1084
OG0000003	ESY1_g7089_DN3_SP0_c0.t1	evm.model.RL_6.671, evm.model.RL_8.1012, evm.model.RL_2.708
OG0000005	ESY7_g17772_DN2_SP0_c0.t1	evm.model.RL_7.1952, evm.model.RL_8.339
OG0000005	ESY1_g10225_DN1_SP0_c0.t1	evm.model.RL_1.3117
OG0000005	ESY6_g47698_DN2_SP0_c100.t1, ESY12_g51083_DN2_SP0_c0.t1	evm.model.RL_1.1904, evm.model.RL_2.461
OG0000005	ESY11_g53352_DN1_SP0_c0.t1	evm.model.RL_2.1096
