Orthogroup	Euclidium_syriacum	Alyssum_gmelinii
OG0000000	ESY7_g17009_DN2_SP0_c60.t1	Ag007G637890, Ag001G032720, Ag008G692330, Ag002G155080, Ag008G696910, Ag004G338120, Ag005G473460, Ag001G036200, Ag019G743060
OG0000002	ESY9_g43349_DN2_SP0_c0.t1	Ag005G410720, Ag005G437270, Ag005G410710
OG0000003	ESY8_g60803_DN3_SP0_c6.t1	Ag001G024370
OG0000003	ESY1_g7388_DN1_SP0_c0.t1	Ag005G408470
OG0000003	ESY1_g7389_DN1_SP0_c0.t1, ESY33_g12634_DN2_SP0_c75.t1	Ag003G271610
OG0000005	ESY6_g47492_DN1_SP0_c0.t1	Ag006G527380
OG0000005	ESY6_g47366_DN1_SP0_c0.t1	Ag005G402580, Ag007G622540
OG0000005	ESY1_g10225_DN1_SP0_c0.t1	Ag003G254650, Ag008G663850, Ag004G399930, Ag002G157290, Ag001G061510, Ag004G314920
OG0000005	ESY6_g47698_DN2_SP0_c100.t1, ESY12_g51083_DN2_SP0_c0.t1	Ag002G157300, Ag003G219140, Ag007G614800
OG0000005	ESY11_g53352_DN1_SP0_c0.t1	Ag004G380930, Ag002G153530, Ag002G106450, Ag002G110480, Ag004G343590, Ag005G404130
OG0000007	ESY7_g16535_DN2_SP0_c0.t1	Ag003G244530, Ag008G714080, Ag002G134780, Ag004G397570, Ag006G558070, Ag005G410540, Ag007G600770, Ag006G520860, Ag004G322400, Ag002G115840, Ag008G694060, Ag006G551070, Ag003G220220, Ag003G269320
OG0000007	ESY16_g61843_DN2_SP0_c0.t1, ESY17_g39043_DN1_SP0_c0.t1	Ag001G051310, Ag007G627650, Ag001G052980, Ag007G623070, Ag003G244540
OG0000007	ESY2_g36604_DN3_SP0_c0.t1	Ag008G681210
OG0000007	ESY19_g41595_DN1_SP0_c0.t1	Ag003G235240, Ag005G466650, Ag006G520850, Ag003G220210, Ag008G670760, Ag007G590140, Ag003G230710, Ag005G415480, Ag005G466840, Ag007G581080, Ag002G197150, Ag006G545890, Ag001G006450, Ag006G516390, Ag001G011750, Ag004G330770, Ag002G136200, Ag001G003030
OG0000007	ESY6_g47093_DN2_SP0_c0.t1	Ag006G574510, Ag002G195530, Ag002G132070, Ag002G132800
OG0000008	ESY15_g64840_DN3_SP0_c0.t1	Ag007G652280, Ag002G148400, Ag005G451490, Ag002G152740, Ag007G618090, Ag001G039140, Ag007G618290, Ag001G044380, Ag008G677680, Ag004G365860, Ag001G065030, Ag001G070290, Ag005G430580, Ag004G391490, Ag001G055480, Ag001G024870, Ag002G143690, Ag005G427440, Ag002G180130, Ag003G281500, Ag004G382010, Ag007G618910, Ag002G172940, Ag001G015890, Ag005G426820
OG0000012	ESY8_g61320_DN3_SP0_c0.t1	Ag007G621260, Ag005G417190
OG0000013	ESY8_g60272_DN2_SP0_c0.t1	Ag006G559810, Ag004G396400, Ag004G380450, Ag008G708120, Ag001G014560, Ag001G041140
OG0000015	ESY13_g56278_DN1_SP0_c1.t1, ESY4_g24528_DN1_SP0_c0.t1	Ag002G110750
OG0000015	ESY18_g63644_DN2_SP0_c0.t1, ESY14_g21118_DN1_SP0_c0.t1	Ag008G676660
OG0000015	ESY14_g21116_DN2_SP0_c1.t1	Ag008G675720
OG0000017	ESY15_g65203_DN3_SP0_c0.t1	Ag001G058750
OG0000017	ESY15_g65461_DN2_SP0_c0.t1	Ag002G182860
OG0000018	ESY9_g43986_DN3_SP0_c0.t1	Ag007G609170
OG0000019	ESY5_g2563_DN2_SP0_c0.t1	Ag003G276070
OG0000019	ESY24_g33175_DN3_SP0_c2.t1	Ag006G545360
OG0000019	ESY9_g42816_DN3_SP0_c48.t1, ESY8_g60782_DN3_SP0_c0.t1	Ag003G263160, Ag006G497030
OG0000019	ESY1_g6718_DN1_SP0_c0.t1, ESY4_g23292_DN2_SP0_c93.t1, ESY6_g49770_DN3_SP0_c0.t1, ESY17_g39854_DN1_SP0_c100.t1	Ag007G642200, Ag006G545350
OG0000020	ESY22_g40386_DN3_SP0_c42.t1	Ag008G729190
OG0000021	ESY9_g45027_DN2_SP0_c0.t1	Ag008G685590
OG0000021	ESY8_g60366_DN2_SP0_c0.t1	Ag005G443540
OG0000021	ESY9_g43535_DN3_SP0_c0.t1, ESY9_g43536_DN2_SP0_c0.t1, ESY9_g43962_DN2_SP0_c0.t1, ESY17_g39790_DN2_SP0_c0.t1	Ag002G201670
OG0000024	ESY6_g47516_DN2_SP0_c0.t1	Ag005G441710, Ag004G351930, Ag005G445160, Ag002G157990, Ag002G117810, Ag003G279100, Ag003G257540
OG0000025	ESY3_g32269_DN2_SP0_c54.t1, ESY3_g32495_DN3_SP0_c95.t1	Ag003G230310
OG0000026	ESY1_g10661_DN2_SP0_c99.t1	Ag013G741580, Ag002G192470
