Orthogroup	Euclidium_syriacum	Noccaea_praecox
OG0000000	ESY3_g29030_DN1_SP0_c59.t1, ESY2_g38064_DN2_SP0_c54.t1, ESY3_g27908_DN2_SP0_c72.t1	Np003G167670, Np002G107260, Np004G207890
OG0000000	ESY7_g17009_DN2_SP0_c60.t1	Np003G178670, Np010G434710
OG0000002	ESY9_g43349_DN2_SP0_c0.t1	Np008G427560, Np002G102960, Np002G105760, Np008G427550, Np003G178530, Np001G043410, Np002G102940, Np001G043030, Np004G254710, Np004G202200, Np002G101770, Np004G226500, Np002G102920, Np008G427570, Np002G103600, Np002G105770, Np011G436400, Np008G426050, Np005G296560, Np001G043040, Np007G405440, Np002G105650, Np006G346800, Np002G102950, Np009G429290, Np003G170530, Np002G092490, Np002G105660
OG0000003	ESY1_g7089_DN3_SP0_c0.t1	Np003G172810
OG0000005	ESY7_g17772_DN2_SP0_c0.t1	Np004G197000
OG0000005	ESY6_g47492_DN1_SP0_c0.t1	Np004G203550, Np005G265280
OG0000005	ESY1_g10225_DN1_SP0_c0.t1	Np006G352060, Np002G098830, Np002G093480, Np002G088460
OG0000005	ESY6_g47698_DN2_SP0_c100.t1, ESY12_g51083_DN2_SP0_c0.t1	Np001G012890, Np001G012870, Np001G029170, Np008G427710
OG0000007	ESY7_g16535_DN2_SP0_c0.t1	Np006G357400, Np005G299740, Np007G402900, Np001G003900, Np005G307400, Np003G129790, Np005G315800, Np003G152970
OG0000007	ESY13_g56017_DN1_SP0_c0.t1, ESY16_g61843_DN2_SP0_c0.t1, ESY17_g39043_DN1_SP0_c0.t1, ESY3_g27887_DN2_SP0_c0.t1, ESY24_g32948_DN2_SP0_c0.t1, ESY9_g43741_DN1_SP0_c0.t1, ESY9_g42912_DN1_SP0_c0.t1, ESY8_g61001_DN1_SP0_c0.t1, ESY8_g59650_DN3_SP0_c0.t1	Np007G402890
OG0000007	ESY19_g41595_DN1_SP0_c0.t1	Np004G201210, Np004G226300, Np002G092690, Np001G031480, Np006G356870
OG0000008	ESY15_g64840_DN3_SP0_c0.t1	Np005G291850, Np004G226760, Np002G102670, Np005G307780, Np002G103180, Np007G406420, Np002G096480, Np001G053530
OG0000012	ESY8_g61320_DN3_SP0_c0.t1	Np003G169510, Np006G350820
OG0000013	ESY10_g14513_DN2_SP0_c0.t1	Np002G102610, Np001G031780, Np003G168300, Np003G170610, Np003G170420
OG0000013	ESY8_g60272_DN2_SP0_c0.t1	Np005G297160, Np001G055860, Np003G162090, Np001G033350, Np002G120320, Np002G087920, Np007G378740, Np007G378660, Np007G393900, Np002G095230, Np001G029000, Np006G365160, Np004G228140, Np002G102600, Np003G173130, Np004G228920
OG0000015	ESY18_g63644_DN2_SP0_c0.t1, ESY14_g21118_DN1_SP0_c0.t1	Np005G274380
OG0000015	ESY6_g46006_DN2_SP0_c14.t1	Np007G416110
OG0000015	ESY7_g16245_DN2_SP0_c0.t1	Np001G029500
OG0000017	ESY5_g674_DN3_SP0_c68.t1	Np003G171300
OG0000017	ESY11_g52417_DN3_SP0_c0.t1, ESY18_g63699_DN3_SP0_c0.t1, ESY9_g44479_DN2_SP0_c0.t1, ESY17_g39372_DN3_SP0_c44.t1	Np005G282110, Np005G282180, Np007G396400
OG0000018	ESY4_g26006_DN3_SP0_c0.t1, ESY5_g1040_DN3_SP0_c0.t1, ESY6_g48612_DN3_SP0_c0.t1, ESY7_g17537_DN3_SP0_c0.t1, ESY1_g8552_DN3_SP0_c0.t1, ESY10_g15845_DN3_SP0_c0.t1, ESY6_g48613_DN3_SP0_c0.t1, ESY6_g47610_DN3_SP0_c0.t1, ESY4_g25933_DN3_SP0_c0.t1, ESY9_g43848_DN3_SP0_c0.t1, ESY3_g30023_DN2_SP0_c0.t1, ESY19_g41697_DN3_SP0_c0.t1, ESY6_g45922_DN3_SP0_c0.t1, ESY1_g9704_DN3_SP0_c0.t1, ESY5_g1354_DN3_SP0_c0.t1, ESY6_g47609_DN3_SP0_c0.t1, ESY2_g36889_DN2_SP0_c0.t1, ESY1_g8553_DN3_SP0_c0.t1, ESY2_g36897_DN3_SP0_c0.t1, ESY9_g43847_DN3_SP0_c0.t1, ESY11_g54587_DN3_SP0_c0.t1, ESY6_g47608_DN3_SP0_c0.t1, ESY15_g65477_DN3_SP0_c0.t1	Np002G096490, Np002G106410, Np005G301740, Np003G138910, Np007G393420, Np003G172010, Np004G226280, Np003G180600, Np001G028240, Np005G281980, Np003G149980
OG0000019	ESY24_g33175_DN3_SP0_c2.t1	Np001G027630
OG0000019	ESY9_g42816_DN3_SP0_c48.t1, ESY8_g60782_DN3_SP0_c0.t1	Np001G027620
OG0000019	ESY1_g6718_DN1_SP0_c0.t1, ESY4_g23292_DN2_SP0_c93.t1, ESY6_g49770_DN3_SP0_c0.t1, ESY17_g39854_DN1_SP0_c100.t1	Np004G239770, Np007G405080, Np001G027610
OG0000021	ESY9_g45027_DN2_SP0_c0.t1, ESY10_g13998_DN2_SP0_c0.t1	Np005G303890
OG0000021	ESY8_g60366_DN2_SP0_c0.t1, ESY4_g24688_DN1_SP0_c0.t1	Np004G199140
OG0000021	ESY9_g43536_DN2_SP0_c0.t1	Np007G402490, Np003G147560
OG0000023	ESY23_g74_DN3_SP0_c34.t1	Np005G283900
OG0000023	ESY7_g17001_DN1_SP0_c0.t1, ESY9_g42607_DN2_SP0_c68.t1, ESY9_g42764_DN3_SP0_c0.t1	Np005G284010
OG0000024	ESY6_g47516_DN2_SP0_c0.t1	Np003G178520, Np008G426040, Np002G105750, Np001G043400, Np004G229320, Np006G346780, Np002G096560, Np007G405450, Np009G429280, Np002G092500, Np002G100170, Np001G029650, Np002G091590, Np007G393480, Np005G297260, Np002G098230, Np004G229310, Np002G098240, Np006G346770
OG0000025	ESY3_g32269_DN2_SP0_c54.t1	Np003G164310
OG0000025	ESY7_g18156_DN1_SP0_c46.t1	Np003G183240
OG0000026	ESY1_g10661_DN2_SP0_c99.t1	Np006G354460, Np002G101380, Np004G216210, Np003G172690, Np003G171320, Np006G365240
OG0000027	ESY1_g12041_DN3_SP0_c0.t1, ESY7_g16494_DN2_SP0_c0.t1, ESY2_g33352_DN2_SP0_c0.t1, ESY2_g33350_DN2_SP0_c0.t1, ESY8_g58334_DN1_SP0_c0.t1, ESY1_g11290_DN3_SP0_c0.t1, ESY7_g19344_DN3_SP0_c0.t1, ESY12_g51878_DN2_SP0_c0.t1, ESY12_g51910_DN2_SP0_c0.t1, ESY12_g51907_DN2_SP0_c40.t1	Np004G198060, Np004G198040
OG0000028	ESY1_g6329_DN2_SP0_c0.t1	Np003G168060
OG0000028	ESY10_g14733_DN2_SP0_c0.t1	Np006G356860
OG0000029	ESY13_g57677_DN1_SP0_c0.t1	Np001G054440, Np004G209620, Np002G086870, Np011G435770, Np011G435790, Np004G206740, Np004G225200, Np001G048900, Np002G073630, Np002G090000, Np003G169850, Np001G030650, Np001G034960, Np004G225420, Np001G003630, Np001G034950, Np003G172500, Np002G113330, Np005G304980, Np001G058950, Np007G394270, Np003G168210, Np003G168320, Np002G095530, Np004G242790, Np003G126680, Np003G167270, Np003G172510
OG0000035	ESY8_g58304_DN1_SP0_c0.t1	Np002G092640
OG0000035	ESY2_g33720_DN3_SP0_c0.t1, ESY2_g33707_DN3_SP0_c0.t1, ESY2_g33709_DN1_SP0_c0.t1, ESY2_g33725_DN2_SP0_c0.t1, ESY2_g33721_DN1_SP0_c0.t1, ESY20_g13338_DN3_SP0_c0.t1, ESY5_g4613_DN3_SP0_c0.t1, ESY2_g34022_DN3_SP0_c0.t1	Np006G356560
OG0000035	ESY7_g16211_DN2_SP0_c0.t1, ESY1_g10653_DN1_SP0_c0.t1, ESY1_g11291_DN3_SP0_c0.t1, ESY5_g5237_DN2_SP0_c0.t1, ESY5_g5235_DN1_SP0_c0.t1, ESY5_g5227_DN1_SP0_c0.t1, ESY7_g16708_DN2_SP0_c0.t1, ESY8_g58363_DN2_SP0_c0.t1, ESY1_g12276_DN2_SP0_c0.t1, ESY1_g11583_DN2_SP0_c0.t1, ESY1_g11577_DN1_SP0_c0.t1, ESY1_g12282_DN1_SP0_c0.t1, ESY1_g12273_DN2_SP0_c0.t1, ESY5_g5194_DN3_SP0_c0.t1, ESY5_g5166_DN1_SP0_c0.t1, ESY1_g12294_DN3_SP0_c0.t1, ESY1_g12295_DN2_SP0_c0.t1, ESY1_g12145_DN1_SP0_c0.t1	Np005G313520
OG0000036	ESY15_g65727_DN2_SP0_c85.t1	Np006G342180, Np004G233440, Np005G260660
OG0000037	ESY21_g55396_DN1_SP0_c0.t1	Np001G045190, Np001G010230, Np005G278320, Np002G088180, Np002G110300, Np005G302190, Np006G359940
OG0000038	ESY3_g32443_DN3_SP0_c0.t1, ESY3_g32320_DN3_SP0_c0.t1	Np004G226960, Np002G071800, Np001G060270, Np002G077050, Np002G071470, Np002G072440, Np002G074050, Np002G074120, Np002G072020
OG0000040	ESY5_g3539_DN1_SP0_c0.t1, ESY16_g62047_DN2_SP0_c0.t1	Np001G009070
OG0000040	ESY3_g30317_DN3_SP0_c0.t1, ESY2_g38589_DN3_SP0_c0.t1, ESY3_g30319_DN3_SP0_c0.t1, ESY7_g17512_DN3_SP0_c0.t1, ESY3_g30190_DN1_SP0_c0.t1, ESY10_g14483_DN1_SP0_c0.t1, ESY9_g42524_DN2_SP0_c0.t1, ESY23_g305_DN3_SP0_c0.t1, ESY4_g24700_DN2_SP0_c0.t1, ESY5_g3801_DN1_SP0_c0.t1, ESY2_g33562_DN1_SP0_c0.t1, ESY9_g42572_DN2_SP0_c0.t1, ESY5_g4904_DN2_SP0_c0.t1, ESY9_g42497_DN1_SP0_c0.t1, ESY3_g32449_DN2_SP0_c0.t1, ESY3_g30284_DN2_SP0_c0.t1, ESY3_g30320_DN1_SP0_c0.t1	Np004G224970, Np004G224940
OG0000040	ESY3_g32163_DN2_SP0_c0.t1, ESY16_g61826_DN2_SP0_c0.t1, ESY16_g61827_DN2_SP0_c0.t1, ESY3_g30254_DN3_SP0_c0.t1	Np007G407000
OG0000040	ESY9_g42515_DN2_SP0_c0.t1, ESY9_g42498_DN1_SP0_c0.t1	Np004G224990
OG0000041	ESY8_g58625_DN1_SP0_c0.t1	Np003G171490, Np002G100930
OG0000041	ESY11_g52546_DN2_SP0_c0.t1, ESY4_g24970_DN3_SP0_c0.t1, ESY15_g65549_DN2_SP0_c0.t1, ESY18_g64157_DN2_SP0_c0.t1, ESY13_g56315_DN1_SP0_c55.t1, ESY21_g55910_DN1_SP0_c17.t1, ESY13_g56316_DN1_SP0_c0.t1, ESY1_g7853_DN1_SP0_c0.t1	Np006G346660, Np001G024330, Np002G096610, Np004G224690, Np002G098200, Np002G098220, Np002G100090, Np004G224910, Np001G026070, Np004G224180, Np002G107290, Np002G100540, Np004G224900, Np002G112700, Np004G229610, Np003G171480, Np002G102360, Np002G103630, Np003G170330, Np002G122190, Np006G350530
OG0000042	ESY7_g16531_DN2_SP0_c0.t1, ESY7_g17207_DN1_SP0_c0.t1	Np007G420820
OG0000042	ESY9_g43776_DN1_SP0_c0.t1, ESY8_g60365_DN2_SP0_c0.t1, ESY21_g55833_DN2_SP0_c0.t1	Np001G027800
OG0000044	ESY5_g2589_DN3_SP0_c0.t1, ESY14_g21426_DN1_SP0_c0.t1	Np004G238860, Np001G016070, Np004G246570, Np003G173870, Np002G077010, Np005G260670, Np002G121850
OG0000045	ESY1_g10435_DN1_SP0_c0.t1, ESY10_g14768_DN2_SP0_c0.t1, ESY10_g15212_DN1_SP0_c0.t1	Np006G334530
OG0000045	ESY5_g789_DN1_SP0_c0.t1	Np007G389140
OG0000046	ESY4_g26383_DN3_SP0_c53.t1	Np005G313240
OG0000047	ESY3_g28898_DN3_SP0_c0.t1	Np005G282680
OG0000050	ESY1_g11365_DN3_SP0_c59.t1, ESY9_g44155_DN3_SP0_c0.t1, ESY2_g36090_DN3_SP0_c34.t1	Np002G095340
OG0000050	ESY11_g52398_DN3_SP0_c0.t1, ESY9_g43856_DN2_SP0_c0.t1	Np002G094900, Np002G093590, Np001G040200, Np007G402160
OG0000050	ESY17_g40168_DN2_SP0_c0.t1	Np002G095850
OG0000050	ESY14_g20664_DN3_SP0_c0.t1, ESY1_g8355_DN3_SP0_c0.t1	Np002G095350
OG0000050	ESY1_g8354_DN1_SP0_c0.t1, ESY14_g20663_DN3_SP0_c36.t1, ESY9_g44156_DN3_SP0_c0.t1	Np002G099150
OG0000052	ESY5_g5128_DN3_SP0_c0.t1	Np007G384340
OG0000052	ESY5_g2704_DN3_SP0_c0.t1	Np006G328530, Np006G328520
OG0000052	ESY12_g51256_DN3_SP0_c0.t1	Np002G116290, Np002G116590
OG0000052	ESY12_g51336_DN3_SP0_c0.t1	Np006G328590, Np006G328570, Np006G328580
OG0000052	ESY5_g2706_DN3_SP0_c11.t1	Np003G173020
OG0000052	ESY5_g2705_DN3_SP0_c0.t1	Np006G328480
OG0000053	ESY4_g22922_DN2_SP0_c0.t1, ESY3_g29655_DN3_SP0_c0.t1, ESY8_g60186_DN3_SP0_c0.t1, ESY8_g60955_DN2_SP0_c0.t1	Np001G040210, Np005G311290, Np006G327430
OG0000054	ESY5_g2306_DN3_SP0_c0.t1	Np004G255790
OG0000055	ESY3_g31686_DN3_SP0_c0.t1	Np005G313590
OG0000055	ESY2_g33665_DN2_SP0_c0.t1	Np002G119400
OG0000055	ESY2_g33762_DN3_SP0_c0.t1, ESY2_g33775_DN1_SP0_c0.t1, ESY2_g33772_DN2_SP0_c0.t1, ESY2_g33750_DN3_SP0_c0.t1, ESY2_g33773_DN1_SP0_c0.t1, ESY2_g33758_DN3_SP0_c0.t1, ESY2_g33753_DN3_SP0_c0.t1, ESY2_g33752_DN3_SP0_c0.t1, ESY2_g33770_DN3_SP0_c0.t1, ESY2_g33774_DN3_SP0_c0.t1, ESY2_g33763_DN2_SP0_c0.t1, ESY2_g33746_DN3_SP0_c0.t1	Np002G119520, Np002G119220, Np002G119170
OG0000056	ESY9_g44874_DN3_SP0_c0.t1	Np001G021440, Np007G403430, Np004G213540, Np006G359220, Np006G348260, Np006G354660
OG0000057	ESY2_g35556_DN3_SP0_c0.t1	Np007G419120, Np007G419160, Np005G285180
OG0000057	ESY3_g29813_DN1_SP0_c0.t1, ESY16_g61649_DN2_SP0_c0.t1, ESY2_g35559_DN2_SP0_c0.t1, ESY8_g59290_DN2_SP0_c0.t1	Np007G375320
OG0000057	ESY16_g61911_DN3_SP0_c0.t1, ESY3_g30616_DN3_SP0_c0.t1, ESY3_g30019_DN2_SP0_c0.t1	Np007G398210, Np010G435080, Np007G401600
OG0000057	ESY10_g15079_DN3_SP0_c0.t1, ESY9_g43255_DN3_SP0_c0.t1	Np005G317510, Np005G317540
OG0000057	ESY2_g35826_DN2_SP0_c0.t1	Np006G333600, Np006G333860, Np003G187520
