Orthogroup	Euclidium_syriacum	Cardamine_hirsuta
OG0000005	ESY7_g17772_DN2_SP0_c0.t1	CARHR217600
OG0000005	ESY16_g61766_DN2_SP0_c0.t1	CARHR091740, CARHR034120, CARHR056420, CARHR077050
OG0000005	ESY2_g36311_DN2_SP0_c0.t1, ESY2_g33257_DN1_SP0_c0.t1	CARHR059740
OG0000005	ESY6_g47366_DN1_SP0_c0.t1	CARHR248000
OG0000007	ESY7_g16535_DN2_SP0_c0.t1	CARHR034550, CARHR166210, CARHR219900, CARHR219240
OG0000008	ESY15_g64840_DN3_SP0_c0.t1	CARHR114970, CARHR117380, CARHR149870, CARHR046080, CARHR116420, CARHR284250, CARHR288670, CARHR101910, CARHR217630, CARHR159360, CARHR102600, CARHR111800, CARHR114980, CARHR293430, CARHR150550, CARHR215010, CARHR056560, CARHR103540, CARHR258310, CARHR217850, CARHR104250, CARHR181300, CARHR038360, CARHR257900, CARHR286450, CARHR035440, CARHR031010, CARHR117390, CARHR218770, CARHR259120, CARHR257810, CARHR218380, CARHR103530, CARHR115010, CARHR215020, CARHR181140, CARHR034850, CARHR216990, CARHR118910, CARHR217880, CARHR291920, CARHR221030, CARHR161340, CARHR161350, CARHR161300, CARHR161310, CARHR161290, CARHR131120, CARHR217020, CARHR164530, CARHR288680, CARHR051890, CARHR035430, CARHR217860, CARHR286130, CARHR178960, CARHR119350, CARHR214330
OG0000013	ESY8_g60272_DN2_SP0_c0.t1	CARHR218430, CARHR058120, CARHR259710, CARHR057870, CARHR288340, CARHR183500, CARHR181670, CARHR116230, CARHR285000, CARHR287550
OG0000015	ESY18_g63644_DN2_SP0_c0.t1, ESY14_g21118_DN1_SP0_c0.t1	CARHR258200
OG0000015	ESY6_g46006_DN2_SP0_c14.t1	CARHR110600
OG0000017	ESY5_g674_DN3_SP0_c68.t1	CARHR213120
OG0000017	ESY11_g52417_DN3_SP0_c0.t1, ESY18_g63699_DN3_SP0_c0.t1, ESY9_g44479_DN2_SP0_c0.t1, ESY17_g39372_DN3_SP0_c44.t1	CARHR049310, CARHR034150
OG0000018	ESY4_g26006_DN3_SP0_c0.t1, ESY5_g1040_DN3_SP0_c0.t1, ESY6_g48612_DN3_SP0_c0.t1, ESY7_g17537_DN3_SP0_c0.t1, ESY1_g8552_DN3_SP0_c0.t1, ESY10_g15845_DN3_SP0_c0.t1, ESY6_g48613_DN3_SP0_c0.t1, ESY6_g47610_DN3_SP0_c0.t1, ESY4_g25933_DN3_SP0_c0.t1, ESY9_g43848_DN3_SP0_c0.t1, ESY3_g30023_DN2_SP0_c0.t1, ESY19_g41697_DN3_SP0_c0.t1, ESY6_g45922_DN3_SP0_c0.t1, ESY1_g9704_DN3_SP0_c0.t1, ESY5_g1354_DN3_SP0_c0.t1, ESY6_g47609_DN3_SP0_c0.t1, ESY2_g36889_DN2_SP0_c0.t1, ESY1_g8553_DN3_SP0_c0.t1, ESY2_g36897_DN3_SP0_c0.t1, ESY9_g43847_DN3_SP0_c0.t1, ESY11_g54587_DN3_SP0_c0.t1, ESY6_g47608_DN3_SP0_c0.t1, ESY15_g65477_DN3_SP0_c0.t1	CARHR146600
OG0000019	ESY5_g2563_DN2_SP0_c0.t1, ESY6_g48254_DN3_SP0_c48.t1, ESY8_g60783_DN3_SP0_c0.t1, ESY5_g2565_DN1_SP0_c0.t1, ESY5_g2564_DN2_SP0_c0.t1, ESY12_g51066_DN2_SP0_c0.t1	CARHR218510
OG0000019	ESY24_g33175_DN3_SP0_c2.t1	CARHR259400
OG0000020	ESY15_g65701_DN1_SP0_c88.t1	CARHR159320, CARHR180190
OG0000020	ESY3_g28065_DN2_SP0_c0.t1	CARHR217640, CARHR108030
OG0000023	ESY23_g71_DN1_SP0_c28.t1	CARHR254960, CARHR254930
OG0000023	ESY23_g74_DN3_SP0_c34.t1	CARHR230410
OG0000023	ESY9_g42764_DN3_SP0_c0.t1	CARHR254990
OG0000025	ESY3_g32269_DN2_SP0_c54.t1	CARHR100770, CARHR248330, CARHR028790
OG0000025	ESY3_g32495_DN3_SP0_c95.t1	CARHR104940, CARHR242960
OG0000025	ESY7_g18156_DN1_SP0_c46.t1	CARHR285330
OG0000025	ESY4_g25969_DN1_SP0_c10.t1	CARHR203520, CARHR028780
OG0000026	ESY1_g10661_DN2_SP0_c99.t1	CARHR215490
OG0000027	ESY12_g51766_DN1_SP0_c0.t1	CARHR030400
OG0000027	ESY12_g51909_DN2_SP0_c0.t1, ESY2_g33351_DN3_SP0_c0.t1, ESY5_g1897_DN2_SP0_c0.t1, ESY12_g51218_DN3_SP0_c0.t1, ESY20_g13272_DN2_SP0_c0.t1	CARHR030460, CARHR030420, CARHR030890, CARHR031230
OG0000027	ESY4_g26407_DN2_SP0_c0.t1, ESY4_g26408_DN1_SP0_c0.t1, ESY4_g26390_DN2_SP0_c0.t1	CARHR174240
OG0000028	ESY1_g6329_DN2_SP0_c0.t1	CARHR153130
OG0000028	ESY10_g14733_DN2_SP0_c0.t1	CARHR116610, CARHR153140
OG0000029	ESY13_g57677_DN1_SP0_c0.t1	CARHR176810, CARHR154270, CARHR006310, CARHR287350, CARHR287660, CARHR099970, CARHR006250, CARHR183060, CARHR036950, CARHR213600
OG0000030	ESY3_g28214_DN2_SP0_c7.t1, ESY4_g21739_DN1_SP0_c0.t1, ESY19_g41790_DN1_SP0_c0.t1, ESY4_g25239_DN1_SP0_c95.t1	CARHR181500
OG0000035	ESY3_g31841_DN3_SP0_c0.t1, ESY3_g32003_DN2_SP0_c0.t1, ESY3_g32004_DN2_SP0_c0.t1, ESY3_g32002_DN3_SP0_c0.t1, ESY3_g32008_DN1_SP0_c0.t1	CARHR125800
OG0000035	ESY8_g58361_DN2_SP0_c0.t1	CARHR125110, CARHR054750
OG0000035	ESY7_g17294_DN2_SP0_c0.t1, ESY8_g58362_DN3_SP0_c0.t1, ESY8_g58424_DN3_SP0_c0.t1, ESY8_g58304_DN1_SP0_c0.t1	CARHR207670
OG0000035	ESY3_g32506_DN1_SP0_c0.t1, ESY3_g32505_DN1_SP0_c0.t1	CARHR110070, CARHR126120
OG0000035	ESY1_g12282_DN1_SP0_c0.t1	CARHR171660, CARHR219280
OG0000035	ESY1_g12145_DN1_SP0_c0.t1	CARHR127720
OG0000037	ESY21_g55396_DN1_SP0_c0.t1	CARHR220930
OG0000038	ESY3_g32443_DN3_SP0_c0.t1, ESY3_g32320_DN3_SP0_c0.t1	CARHR141500
OG0000038	ESY9_g42631_DN2_SP0_c0.t1	CARHR158480, CARHR158470, CARHR158440, CARHR222700
OG0000040	ESY9_g43210_DN3_SP0_c0.t1, ESY10_g15292_DN3_SP0_c0.t1, ESY5_g4903_DN2_SP0_c0.t1, ESY11_g54038_DN2_SP0_c0.t1, ESY1_g12127_DN1_SP0_c0.t1, ESY9_g42993_DN2_SP0_c0.t1	CARHR260760, CARHR260790
OG0000040	ESY3_g30190_DN1_SP0_c0.t1, ESY10_g14483_DN1_SP0_c0.t1, ESY9_g42524_DN2_SP0_c0.t1, ESY23_g305_DN3_SP0_c0.t1, ESY4_g24700_DN2_SP0_c0.t1	CARHR223790
OG0000040	ESY5_g3801_DN1_SP0_c0.t1, ESY2_g33562_DN1_SP0_c0.t1	CARHR158530
OG0000040	ESY9_g42572_DN2_SP0_c0.t1, ESY5_g4904_DN2_SP0_c0.t1, ESY9_g42497_DN1_SP0_c0.t1, ESY3_g32449_DN2_SP0_c0.t1	CARHR088850
OG0000040	ESY3_g32163_DN2_SP0_c0.t1, ESY16_g61826_DN2_SP0_c0.t1, ESY16_g61827_DN2_SP0_c0.t1, ESY3_g30254_DN3_SP0_c0.t1	CARHR088870
OG0000040	ESY9_g42515_DN2_SP0_c0.t1, ESY9_g42498_DN1_SP0_c0.t1	CARHR026350, CARHR095910, CARHR149840, CARHR088860, CARHR289440
OG0000040	ESY10_g14485_DN3_SP0_c0.t1	CARHR223800
OG0000040	ESY3_g29392_DN3_SP0_c0.t1	CARHR158510, CARHR158520
OG0000040	ESY3_g29331_DN1_SP0_c0.t1, ESY3_g29330_DN1_SP0_c0.t1	CARHR059990, CARHR060010
OG0000044	ESY5_g2589_DN3_SP0_c0.t1	CARHR286710, CARHR217190, CARHR273180
OG0000044	ESY14_g21426_DN1_SP0_c0.t1	CARHR150330
OG0000046	ESY1_g11993_DN3_SP0_c13.t1	CARHR257300
OG0000046	ESY4_g26383_DN3_SP0_c53.t1	CARHR214340
OG0000052	ESY5_g5128_DN3_SP0_c0.t1	CARHR002800
OG0000052	ESY5_g5127_DN3_SP0_c0.t1	CARHR137510
OG0000052	ESY12_g51256_DN3_SP0_c0.t1	CARHR260850
OG0000052	ESY12_g51336_DN3_SP0_c0.t1	CARHR127280
OG0000052	ESY5_g2706_DN3_SP0_c11.t1	CARHR137550, CARHR137540
OG0000053	ESY6_g48253_DN3_SP0_c0.t1, ESY8_g60784_DN3_SP0_c0.t1, ESY11_g53017_DN1_SP0_c0.t1, ESY11_g53896_DN3_SP0_c0.t1, ESY1_g9125_DN2_SP0_c0.t1	CARHR148640, CARHR293330, CARHR118340, CARHR151940
OG0000053	ESY4_g22922_DN2_SP0_c0.t1, ESY3_g29655_DN3_SP0_c0.t1, ESY8_g60186_DN3_SP0_c0.t1, ESY8_g60955_DN2_SP0_c0.t1	CARHR044830
OG0000054	ESY18_g63621_DN3_SP0_c0.t1	CARHR056490
OG0000055	ESY2_g33771_DN2_SP0_c0.t1	CARHR050320
OG0000055	ESY2_g33667_DN3_SP0_c0.t1, ESY1_g11935_DN1_SP0_c0.t1, ESY16_g61941_DN3_SP0_c0.t1, ESY2_g33673_DN3_SP0_c0.t1, ESY4_g25972_DN2_SP0_c0.t1	CARHR049970
OG0000055	ESY3_g31641_DN1_SP0_c0.t1	CARHR050020
OG0000055	ESY2_g33665_DN2_SP0_c0.t1	CARHR050060
OG0000055	ESY2_g33775_DN1_SP0_c0.t1	CARHR049980, CARHR050290, CARHR050280, CARHR050160
OG0000056	ESY1_g10105_DN1_SP0_c0.t1, ESY3_g27528_DN2_SP0_c0.t1, ESY11_g52693_DN2_SP0_c0.t1	CARHR292290
OG0000056	ESY3_g31973_DN1_SP0_c0.t1, ESY3_g29084_DN2_SP0_c0.t1, ESY15_g64467_DN1_SP0_c0.t1	CARHR260200, CARHR119870
OG0000056	ESY9_g44874_DN3_SP0_c0.t1	CARHR219260, CARHR049910
OG0000057	ESY6_g49094_DN1_SP0_c0.t1	CARHR213520
OG0000057	ESY2_g38033_DN2_SP0_c0.t1	CARHR092150
OG0000057	ESY16_g61649_DN2_SP0_c0.t1	CARHR108270
OG0000057	ESY16_g61911_DN3_SP0_c0.t1, ESY3_g30616_DN3_SP0_c0.t1, ESY3_g30019_DN2_SP0_c0.t1	CARHR090170
OG0000057	ESY2_g35826_DN2_SP0_c0.t1	CARHR100810, CARHR192030, CARHR177430, CARHR107470
OG0000057	ESY3_g30252_DN1_SP0_c0.t1	CARHR100820, CARHR222490
OG0000057	ESY9_g45399_DN1_SP0_c0.t1	CARHR100840
OG0000058	ESY11_g53172_DN1_SP0_c0.t1, ESY4_g23739_DN2_SP0_c0.t1	CARHR154060
OG0000058	ESY5_g1710_DN1_SP0_c25.t1, ESY6_g47795_DN2_SP0_c0.t1, ESY26_g42314_DN2_SP0_c0.t1, ESY13_g57122_DN3_SP0_c0.t1	CARHR153550, CARHR071180
OG0000061	ESY4_g22453_DN2_SP0_c7.t1, ESY3_g29563_DN2_SP0_c0.t1	CARHR117010
OG0000061	ESY7_g16987_DN3_SP0_c0.t1, ESY5_g3834_DN3_SP0_c0.t1	CARHR264280
OG0000061	ESY17_g40277_DN2_SP0_c0.t1	CARHR258030
OG0000062	ESY3_g28473_DN1_SP0_c0.t1	CARHR254750
OG0000062	ESY8_g59723_DN2_SP0_c0.t1	CARHR218140, CARHR115840, CARHR100910, CARHR256350
OG0000063	ESY1_g11058_DN3_SP0_c0.t1	CARHR154290
OG0000063	ESY5_g4491_DN3_SP0_c0.t1	CARHR132050
OG0000063	ESY5_g4464_DN2_SP0_c0.t1	CARHR007630
OG0000063	ESY6_g48811_DN3_SP0_c0.t1, ESY8_g58878_DN3_SP0_c0.t1	CARHR121870
OG0000064	ESY4_g26853_DN2_SP0_c0.t1, ESY4_g26855_DN3_SP0_c0.t1	CARHR247830
OG0000064	ESY2_g34030_DN3_SP0_c0.t1	CARHR020490
OG0000065	ESY17_g39007_DN1_SP0_c0.t1	CARHR184170, CARHR117850
OG0000066	ESY2_g34934_DN2_SP0_c58.t1	CARHR096450, CARHR058350
OG0000066	ESY7_g18023_DN3_SP0_c0.t1	CARHR202910
OG0000066	ESY7_g18022_DN3_SP0_c0.t1	CARHR279310
OG0000067	ESY6_g50195_DN3_SP0_c0.t1	CARHR210190
OG0000067	ESY2_g35389_DN2_SP0_c0.t1	CARHR064230
OG0000068	ESY9_g44160_DN2_SP0_c0.t1	CARHR034790, CARHR153260, CARHR182390
OG0000071	ESY4_g24957_DN2_SP0_c25.t1	CARHR082570
OG0000074	ESY5_g5163_DN3_SP0_c0.t1, ESY5_g5206_DN2_SP0_c0.t1, ESY5_g5161_DN3_SP0_c0.t1	CARHR024090
OG0000074	ESY5_g2024_DN3_SP0_c0.t1	CARHR023940, CARHR023950
OG0000075	ESY1_g12309_DN1_SP0_c0.t1	CARHR119930
OG0000075	ESY2_g34553_DN3_SP0_c0.t1	CARHR292150
OG0000075	ESY1_g10852_DN3_SP0_c0.t1, ESY1_g10851_DN1_SP0_c0.t1, ESY2_g33446_DN1_SP0_c0.t1	CARHR011460
OG0000075	ESY5_g3745_DN1_SP0_c33.t1, ESY5_g3568_DN2_SP0_c0.t1, ESY5_g3637_DN2_SP0_c0.t1	CARHR010330
OG0000075	ESY4_g24723_DN3_SP0_c0.t1	CARHR024930
OG0000075	ESY3_g31328_DN1_SP0_c0.t1	CARHR035940
OG0000076	ESY1_g10445_DN3_SP0_c0.t1	CARHR162490
OG0000076	ESY16_g61527_DN1_SP0_c0.t1, ESY2_g35343_DN2_SP0_c0.t1, ESY11_g54151_DN1_SP0_c0.t1	CARHR121130, CARHR148040, CARHR278910
OG0000077	ESY4_g26227_DN3_SP0_c0.t1, ESY4_g26228_DN3_SP0_c0.t1, ESY4_g26226_DN3_SP0_c0.t1	CARHR105240
OG0000077	ESY4_g26388_DN2_SP0_c0.t1	CARHR146390, CARHR254570, CARHR083750
OG0000077	ESY4_g26061_DN3_SP0_c0.t1, ESY4_g26060_DN2_SP0_c0.t1	CARHR247180
OG0000077	ESY5_g3131_DN2_SP0_c0.t1	CARHR247150
OG0000077	ESY6_g46488_DN2_SP0_c0.t1, ESY8_g60763_DN2_SP0_c0.t1, ESY4_g25989_DN2_SP0_c16.t1, ESY11_g54736_DN2_SP0_c70.t1, ESY20_g13256_DN2_SP0_c23.t1, ESY8_g60740_DN3_SP0_c0.t1	CARHR221070
OG0000078	ESY13_g56185_DN2_SP0_c0.t1	CARHR151660
OG0000080	ESY3_g29585_DN1_SP0_c98.t1	CARHR039590
OG0000080	ESY10_g14355_DN2_SP0_c0.t1	CARHR123150, CARHR123070
OG0000081	ESY3_g32181_DN3_SP0_c0.t1	CARHR121110
OG0000084	ESY7_g19283_DN2_SP0_c13.t1, ESY7_g19278_DN2_SP0_c40.t1, ESY3_g31038_DN1_SP0_c0.t1	CARHR117870, CARHR117890, CARHR116980
OG0000084	ESY7_g19285_DN2_SP0_c0.t1, ESY7_g17327_DN3_SP0_c0.t1, ESY7_g19280_DN2_SP0_c0.t1, ESY7_g18924_DN3_SP0_c58.t1, ESY7_g19282_DN3_SP0_c38.t1, ESY7_g19279_DN2_SP0_c34.t1	CARHR116870
OG0000084	ESY3_g31037_DN3_SP0_c0.t1, ESY3_g31041_DN2_SP0_c0.t1	CARHR117030
OG0000085	ESY3_g29295_DN1_SP0_c68.t1	CARHR187570
OG0000085	ESY15_g65319_DN1_SP0_c38.t1	CARHR259820
OG0000086	ESY16_g62560_DN2_SP0_c0.t1	CARHR050760, CARHR273290, CARHR054410, CARHR289710, CARHR289730, CARHR289690, CARHR054420, CARHR250760, CARHR201430, CARHR201440, CARHR250740, CARHR250750, CARHR289680, CARHR289700, CARHR289720
OG0000087	ESY6_g50131_DN3_SP8_c0.t1	CARHR189700
OG0000087	ESY8_g58767_DN3_SP0_c0.t1, ESY8_g58764_DN3_SP8_c0.t1, ESY8_g58770_DN3_SP0_c0.t1	CARHR122890
OG0000087	ESY7_g18326_DN3_SP8_c0.t1	CARHR200860
OG0000087	ESY7_g16559_DN3_SP8_c0.t1	CARHR178800
OG0000087	ESY9_g43361_DN3_SP8_c0.t1	CARHR227450
OG0000087	ESY5_g3995_DN3_SP3_c0.t1	CARHR020480
OG0000087	ESY2_g34829_DN3_SP8_c0.t1	CARHR069200
OG0000090	ESY1_g11987_DN2_SP0_c87.t1, ESY16_g62036_DN3_SP0_c0.t1, ESY16_g62316_DN3_SP0_c41.t1	CARHR288810
OG0000090	ESY3_g32095_DN2_SP0_c41.t1	CARHR145500, CARHR145480
OG0000090	ESY10_g14297_DN3_SP0_c35.t1	CARHR010350
OG0000091	ESY21_g55841_DN2_SP0_c0.t1, ESY4_g25923_DN2_SP0_c0.t1, ESY5_g659_DN1_SP0_c0.t1	CARHR149850, CARHR055460, CARHR118410, CARHR263280, CARHR179050
OG0000091	ESY13_g56077_DN3_SP0_c0.t1	CARHR221560
OG0000093	ESY1_g11462_DN3_SP0_c0.t1	CARHR168740
OG0000093	ESY1_g11458_DN3_SP0_c0.t1	CARHR168730
OG0000093	ESY1_g11494_DN3_SP0_c0.t1, ESY1_g10742_DN3_SP0_c0.t1	CARHR168630, CARHR103160, CARHR103150, CARHR219320
OG0000093	ESY1_g11463_DN3_SP0_c0.t1	CARHR168710
OG0000093	ESY1_g11516_DN3_SP0_c0.t1	CARHR168600
OG0000093	ESY1_g11493_DN3_SP0_c41.t1	CARHR168590, CARHR259860, CARHR168580
OG0000096	ESY7_g18827_DN2_SP0_c0.t1	CARHR145650
OG0000096	ESY7_g16698_DN1_SP0_c0.t1	CARHR177190, CARHR158180, CARHR054500
