Orthogroup	Arabidopsis_lyrata_NCBI	Alyssum_gmelinii
OG0000000	XP_020887823.1	Ag031G3405800, Ag046G4528700, Ag013G1557700, Ag033G3510800, Ag004G0752300, Ag037G4141800, Ag048G4661000, Ag034G3877500, Ag017G2425100
OG0000000	XP_020885673.1	Ag036G4123700
OG0000000	XP_020883444.1	Ag054G4887300
OG0000000	XP_020867739.1	Ag013G1386400, Ag033G3486500
OG0000000	XP_020872418.1, XP_020889487.1	Ag020G2571600, Ag013G1635500
OG0000000	XP_020874113.1	Ag031G3406900
OG0000003	XP_020881895.1	Ag005G0787400
OG0000003	XP_020889841.1	Ag022G2672700, Ag014G2084900
OG0000003	XP_020887717.1	Ag011G1183800
OG0000004	XP_020870151.1, XP_020870162.1, XP_020886397.1, XP_020866436.1	Ag014G1801700, Ag035G4075300, Ag012G1323700, Ag071G5244600, Ag012G1283500, Ag054G4887800, Ag042G4418600, Ag014G2066300, Ag034G4033900, Ag038G4153200, Ag024G2851700, Ag068G5218800, Ag004G0700600
OG0000004	XP_020870326.1, XP_020890321.1, XP_020887182.1, XP_020891399.1	Ag014G1774700
OG0000004	XP_020889539.1	Ag050G4758900
OG0000004	XP_020878681.1	Ag038G4178200, Ag004G0763800
OG0000004	XP_020865758.1	Ag066G5158800
OG0000008	XP_020876690.1, XP_020867861.1	Ag014G2109900
OG0000008	XP_020881885.1, XP_020881611.1, XP_020881699.1, XP_020881700.1, XP_020879836.1	Ag001G0025300
OG0000008	XP_020879665.1, XP_020882645.1, XP_020879646.1, XP_020872716.1, XP_020874196.1	Ag033G3526400
OG0000009	XP_020887659.1	Ag034G3970500, Ag034G3983500
OG0000009	XP_020884776.1	Ag014G2149700
OG0000009	XP_020877155.1, XP_020876055.1	Ag016G2319900, Ag025G2919200
OG0000011	XP_020881814.1, XP_020878850.1	Ag015G2211300
OG0000011	XP_020878589.1, XP_020869090.1	Ag019G2529100, Ag039G4286000
OG0000011	XP_020881858.1	Ag013G1448000, Ag039G4298900, Ag021G2607700, Ag004G0775500, Ag011G1129700
OG0000011	XP_020885819.1, XP_020866216.1, XP_020885594.1, XP_020870692.1, XP_020889856.1, XP_020872445.1, XP_020875855.1, XP_020877678.1	Ag027G3007700
OG0000015	XP_020865814.1	Ag034G3936100
OG0000015	XP_020890755.1, XP_020889910.1	Ag012G1294500
OG0000018	XP_020876240.1	Ag007G0926800, Ag014G2174700, Ag054G4876900, Ag021G2605500, Ag075G5287400, Ag011G1256400, Ag025G2901700, Ag033G3478600, Ag014G1898500, Ag004G0480500, Ag004G0446600, Ag004G0716400, Ag024G2890600, Ag016G2280700, Ag004G0729200, Ag004G0729400, Ag004G0775100, Ag002G0196500, Ag014G2112900, Ag034G4006200, Ag014G2046300, Ag048G4699400, Ag031G3375000, Ag033G3505000, Ag067G5182000, Ag034G3751500, Ag013G1482900, Ag020G2558500, Ag034G3945000, Ag063G5069800, Ag016G2344300, Ag013G1402000, Ag016G2394800, Ag015G2197700, Ag044G4497700, Ag036G4103800, Ag001G0002700, Ag054G4885000, Ag020G2572000, Ag016G2390500, Ag031G3400200, Ag014G2174600, Ag004G0769100, Ag034G3891500
OG0000020	XP_020887777.1	Ag016G2337300
OG0000020	XP_002862745.2, XP_020874187.1	Ag068G5227400
OG0000020	XP_020879010.1, XP_020874114.1, XP_002883754.2	Ag060G5002800, Ag014G2139700, Ag001G0002100, Ag013G1354100, Ag034G3996700, Ag078G5375900, Ag036G4119800, Ag019G2511100, Ag025G2915300, Ag017G2430400, Ag041G4354300, Ag013G1396100, Ag067G5206100, Ag022G2668600, Ag064G5103400, Ag023G2811600, Ag011G1267500
OG0000021	XP_020872563.1, XP_020870832.1, XP_020872717.1, XP_020874922.1, XP_020879645.1, XP_020889705.1, XP_020876177.1, XP_020889912.1, XP_020882641.1, XP_020879663.1, XP_020876808.1, XP_020879537.1, XP_020888861.1, XP_020872277.1, XP_020871456.1, XP_020872555.1, XP_020886835.1, XP_020867207.1, XP_020876809.1, XP_020887754.1, XP_020885800.1, XP_020871592.1, XP_020879735.1, XP_020879721.1, XP_020887591.1, XP_020885208.1, XP_020885137.1, XP_020886953.1, XP_020886960.1, XP_020890910.1, XP_020885657.1, XP_020879723.1, XP_020874134.1, XP_020871964.1, XP_020874896.1, XP_020872412.1	Ag013G1488900, Ag031G3408800
OG0000022	XP_020869509.1	Ag034G3829100
OG0000022	XP_020869233.1, XP_020865918.1, XP_020890021.1	Ag024G2896000
OG0000022	XP_002868609.1	Ag006G0805800, Ag058G4977300, Ag022G2695300
OG0000022	XP_002883021.2	Ag014G2040000
OG0000023	XP_020870611.1	Ag013G1378800
OG0000024	XP_020888987.1, XP_020881113.1, XP_020879759.1, XP_020879758.1, XP_002875716.2, XP_002893654.2	Ag013G1754200
OG0000025	XP_020877486.1, XP_020889652.1	Ag015G2255100
OG0000025	XP_020876192.1	Ag002G0276000, Ag054G4878700, Ag011G1115100, Ag066G5134600, Ag066G5170900
OG0000026	XP_020879791.1	Ag063G5074400, Ag063G5074600, Ag020G2577200, Ag030G3131700, Ag002G0272200, Ag055G4904800, Ag003G0347700, Ag014G2059100, Ag016G2402300, Ag016G2403500, Ag053G4869800, Ag287G5488300, Ag015G2272200, Ag023G2829200, Ag013G1736700, Ag015G2272100, Ag016G2403600, Ag025G2906900, Ag031G3406200, Ag063G5074500, Ag063G5074300, Ag016G2402400
OG0000027	XP_020878446.1, XP_020878445.1	Ag021G2619200
OG0000027	XP_002872592.1	Ag021G2619800
OG0000027	XP_020877175.1, XP_002872595.1	Ag021G2619900
OG0000027	XP_020878447.1, XP_020878438.1	Ag077G5325000, Ag033G3496200
OG0000027	XP_020873367.1	Ag077G5325100, Ag033G3496300, Ag033G3642400
OG0000027	XP_020867640.1	Ag021G2620200
OG0000027	XP_002867727.1	Ag093G5459100, Ag033G3498600, Ag002G0200100, Ag077G5325600
OG0000028	XP_020877991.1, XP_020873006.1	Ag078G5387500
OG0000029	XP_020869142.1, XP_020881896.1, XP_020874317.1, XP_020879925.1, XP_020871888.1	Ag002G0180900, Ag022G2648100
OG0000030	XP_020871692.1, XP_020871677.1, XP_020888510.1, XP_002885337.1	Ag014G2144800, Ag014G2145600, Ag014G2146200, Ag014G2146400, Ag014G2146900, Ag014G2147100, Ag014G2147000, Ag014G2146700, Ag014G2145800, Ag014G2145100, Ag014G2144300, Ag014G2147700
OG0000030	XP_002893415.1, XP_002890504.1, XP_002893432.1, XP_020866580.1	Ag014G1952600, Ag014G1958800, Ag014G1958700, Ag014G1965000, Ag042G4396900, Ag042G4397700, Ag042G4398200, Ag014G1952300, Ag014G1952400
OG0000030	XP_020879678.1, XP_020881930.1, XP_020880910.1, XP_020889857.1	Ag014G2099300, Ag027G3062200, Ag014G1975300
OG0000030	XP_020888486.1	Ag013G1357800
OG0000030	XP_002877463.1	Ag014G1839700, Ag014G1840100
OG0000031	XP_020870253.1	Ag030G3130300
OG0000034	XP_002869784.2	Ag093G5459200, Ag033G3498700
OG0000034	XP_020873360.1, XP_002867849.1	Ag048G4579800
OG0000034	XP_020873356.1, XP_020873366.1	Ag033G3500200, Ag093G5460400
OG0000034	XP_020872543.1	Ag033G3498800, Ag093G5459400
OG0000035	XP_020883112.1, XP_020887195.1, XP_020871214.1, XP_020875318.1, XP_020870256.1, XP_020884941.1, XP_020875756.1, XP_020887746.1, XP_020877165.1	Ag061G5042200, Ag007G0851700, Ag007G0851600, Ag015G2256800, Ag031G3385600
OG0000040	XP_020891386.1	Ag031G3415700
OG0000040	XP_020884682.1, XP_020887780.1	Ag038G4173200
OG0000041	XP_020876966.1	Ag011G1187400
OG0000042	XP_020872945.1	Ag007G0876900, Ag096G5474100
OG0000042	XP_020876174.1	Ag011G1070700, Ag015G2214400, Ag011G1070600
OG0000043	XP_020871723.1	Ag022G2736700, Ag016G2284200
OG0000044	XP_002865187.1	Ag016G2313400
OG0000046	XP_020871374.1, XP_020877131.1	Ag019G2498100
OG0000046	XP_020877167.1, XP_020871406.1, XP_002883785.1, XP_020880655.1, XP_020876919.1, XP_020882740.1, XP_002893924.2, XP_020870337.1, XP_020887727.1, XP_020867102.1, XP_020874078.1, XP_020866165.1, XP_020872615.1, XP_020878672.1, XP_020882823.1, XP_020877149.1, XP_020879796.1, XP_020872313.1, XP_020883604.1, XP_020876127.1	Ag004G0691700
OG0000048	XP_002881223.2, XP_002879361.2	Ag013G1657300, Ag013G1657200, Ag013G1657100, Ag013G1657000, Ag013G1657400, Ag013G1658600, Ag013G1658500, Ag013G1651500, Ag013G1657700, Ag022G2632300
OG0000048	XP_002886496.1, XP_002886498.2	Ag032G3445200, Ag048G4573000
OG0000051	XP_020868191.1	Ag034G3687900
OG0000051	XP_020885498.1	Ag003G0386300, Ag003G0378700, Ag003G0386600
OG0000051	XP_002881850.2	Ag003G0386800
OG0000051	XP_020883122.1	Ag003G0386200
OG0000051	XP_020890130.1	Ag003G0387300
OG0000051	XP_020883307.1	Ag003G0385100, Ag003G0385000, Ag003G0384900
OG0000052	XP_020886942.1	Ag032G3434200, Ag032G3433000
OG0000055	XP_020889173.1	Ag034G4065400
OG0000055	XP_002885221.2, XP_020889148.1, XP_002862289.1	Ag014G2041700
OG0000055	XP_020877906.1	Ag014G2041600
OG0000055	XP_020886503.1, XP_020887842.1	Ag014G2046500, Ag014G2046000, Ag014G2045800, Ag001G0027100
OG0000056	XP_002886466.1	Ag002G0158500
OG0000056	XP_020880767.1	Ag002G0180000
OG0000058	XP_020868066.1	Ag001G0033300, Ag033G3511000, Ag006G0820100
OG0000058	XP_020883504.1, XP_020877514.1	Ag027G3040100, Ag048G4695000, Ag056G4940000
OG0000061	XP_020868372.1, XP_020870753.1, XP_020869081.1, XP_020868711.1	Ag025G2916200, Ag025G2916400, Ag025G2916000, Ag025G2915500, Ag025G2917200, Ag025G2915700, Ag025G2913000, Ag002G0098300
OG0000061	XP_020867733.1	Ag007G0932800, Ag024G2852400, Ag002G0098400, Ag025G2913600
OG0000061	XP_020878246.1, XP_020879494.1	Ag025G2914700
OG0000061	XP_020870702.1	Ag013G1477400, Ag013G1477100, Ag013G1476800
OG0000061	XP_020884191.1	Ag034G4019600, Ag002G0211100, Ag048G4647300, Ag013G1624000, Ag013G1628000, Ag013G1629700, Ag013G1630400, Ag013G1630000, Ag013G1629500, Ag013G1629400, Ag013G1628500, Ag013G1600300, Ag013G1627700, Ag013G1626500, Ag013G1627000
OG0000061	XP_020888256.1	Ag056G4940400
OG0000062	XP_020871212.1, XP_020876453.1	Ag033G3580500, Ag033G3643400, Ag090G5454300, Ag043G4453100, Ag023G2814500, Ag045G4510200
OG0000062	XP_020886023.1, XP_020874814.1, XP_020871169.1, XP_020878799.1	Ag035G4080000, Ag066G5159400, Ag002G0144600, Ag003G0364100, Ag011G1174400
OG0000065	XP_020865823.1, XP_020865819.1	Ag016G2372900, Ag016G2372400
OG0000065	XP_020865724.1	Ag016G2372600
OG0000066	XP_002873454.1, XP_020867896.1, XP_002877046.2, XP_002894648.1, XP_020876762.1	Ag004G0438400, Ag013G1525900, Ag013G1525800, Ag016G2348500, Ag034G3765900, Ag034G3780100
OG0000066	XP_020875249.1, XP_020875248.1, XP_020876760.1	Ag048G4702700
OG0000067	XP_020891542.1	Ag031G3153400, Ag034G4009600
OG0000067	XP_020865924.1	Ag007G0854100, Ag013G1533000
OG0000068	XP_020876030.1, XP_020876026.1, XP_020889396.1, XP_020889441.1	Ag011G1073300, Ag011G1073200, Ag014G1989500, Ag011G1073900
OG0000069	XP_020886063.1, XP_020871771.1	Ag048G4574700, Ag048G4708100, Ag034G3920200, Ag048G4553800, Ag048G4563500
OG0000069	XP_020880445.1	Ag048G4644300, Ag048G4643100
OG0000070	XP_020867590.1, XP_002883942.1, XP_002875195.1, XP_002875194.1	Ag039G4215000
OG0000070	XP_020885789.1, XP_002890373.1, XP_002887052.2	Ag034G3976800
OG0000070	XP_020891141.1	Ag048G4685000
OG0000070	XP_002878309.1	Ag025G2960200, Ag025G2959800, Ag025G2962600, Ag025G2962700, Ag025G2947000, Ag025G2946300, Ag025G2959700, Ag025G2959400, Ag025G2974100, Ag025G2973400, Ag025G2973600, Ag025G2946200, Ag025G2946900
OG0000072	XP_020891370.1, XP_002865523.2, XP_020876164.1, XP_020889278.1	Ag039G4320700
OG0000072	XP_020891624.1	Ag067G5173800, Ag020G2570900, Ag011G1215000, Ag022G2752500, Ag011G1246100, Ag001G0081500, Ag033G3527000, Ag011G1215100, Ag039G4238000, Ag055G4918900, Ag039G4305000, Ag068G5225100
OG0000074	XP_020874556.1	Ag025G2969700
OG0000075	XP_002868913.1	Ag011G1157100, Ag011G1157200, Ag011G1157900, Ag011G1158100, Ag011G1157500, Ag011G1157400, Ag011G1157700, Ag011G1157800, Ag011G1157600, Ag048G4682200, Ag011G1050300, Ag011G1158000
OG0000075	XP_002891313.1, XP_002891316.2, XP_020875509.1	Ag011G1133100, Ag022G2654400
OG0000075	XP_020874617.1	Ag011G1119800, Ag011G1120100, Ag011G1120000
OG0000076	XP_020872718.1	Ag011G1037000
OG0000076	XP_002886268.1	Ag031G3285200, Ag031G3285100, Ag031G3285000, Ag011G1144200, Ag011G1144100, Ag006G0793600, Ag011G1036500, Ag011G1036300, Ag006G0792700, Ag034G3899200, Ag034G3899100
OG0000076	XP_020887308.1	Ag013G1400700
OG0000077	XP_020869035.1	Ag033G3566700
OG0000077	XP_020880678.1	Ag034G3937600, Ag034G3937000, Ag001G0019700, Ag025G2944900
OG0000077	XP_020890121.1	Ag002G0173900
OG0000078	XP_002884413.1	Ag014G1810600
OG0000078	XP_020887050.1	Ag014G1809300, Ag014G1810300
OG0000078	XP_020887049.1	Ag014G1810400
OG0000079	XP_020866196.1, XP_020866590.1, XP_020884659.1, XP_020866719.1, XP_020869681.1, XP_020880717.1, XP_020866201.1, XP_020881865.1, XP_020878083.1	Ag013G1457500, Ag048G4621400, Ag034G3932500, Ag057G4952600, Ag031G3220200, Ag096G5473600, Ag004G0591700, Ag013G1365900, Ag011G1219700, Ag013G1389800, Ag004G0767900, Ag066G5147300, Ag018G2444300, Ag022G2658800
OG0000081	XP_020879148.1, XP_020865942.1, XP_020889237.1, XP_002874062.1, XP_020882894.1	Ag019G2512100, Ag066G5159500, Ag002G0249600, Ag043G4447600, Ag014G2017300
OG0000082	XP_020880759.1, XP_020867402.1, XP_020878439.1	Ag066G5133800
OG0000082	XP_020875863.1, XP_020875624.1, XP_020887797.1	Ag014G2015500
OG0000084	XP_020886029.1, XP_020876858.1, XP_020886073.1	Ag087G5426100
OG0000086	XP_020872358.1, XP_002868822.1, XP_002868821.2	Ag039G4314100, Ag014G2067200, Ag014G2064700, Ag012G1307900, Ag014G2067300
OG0000086	XP_002868577.1	Ag025G2922800
OG0000086	XP_020889890.1, XP_020889891.1	Ag036G4084000
OG0000089	XP_020879374.1	Ag004G0519800
OG0000089	XP_020880680.1	Ag055G4906500, Ag004G0479400
OG0000089	XP_020883550.1	Ag013G1621300
OG0000089	XP_002873559.1	Ag013G1488000
OG0000089	XP_002863588.1	Ag016G2360800
OG0000089	XP_020872103.1	Ag033G3591100
OG0000089	XP_002881356.1	Ag023G2824600
OG0000089	XP_020890671.1	Ag048G4693300
OG0000090	XP_020868126.1	Ag013G1764600, Ag056G4937000, Ag003G0343600, Ag068G5212400, Ag002G0264300, Ag048G4621900, Ag019G2531000, Ag006G0823200, Ag013G1384300
OG0000091	XP_002880903.1	Ag039G4278700, Ag006G0816700
OG0000091	XP_020878730.1	Ag004G0570300
