Orthogroup	Arabidopsis_lyrata_NCBI	Arabidopsis_lyrata_Rawat
OG0000000	XP_020890704.1, XP_020869115.1	AL7G44730
OG0000000	XP_020887909.1	AL3G23500, AL3G28120, AL7G39870
OG0000000	XP_020885673.1	AL5G18640
OG0000000	XP_020885936.1	AL7G35240
OG0000000	XP_020867739.1	AL5G12810
OG0000000	XP_020872418.1, XP_020889487.1	AL6G49130
OG0000000	XP_020874113.1	AL8G13780, AL5G13370, AL3G47190, AL8G30500, AL1G48610, AL7G43930, AL4G15390, AL5G12120, AL5G12320, AL5G21300, AL2G19780, AL6G42260, AL4G14060, AL7G38790, AL5G30910, AL5G11100, AL8G22530, AL6G50660, AL110U10010, AL2G18100
OG0000003	XP_020889841.1	AL1G64130, AL5G19200, AL5G16490, AL6G17120, AL3G42610, AL1G59200, AL3G47980, AL6G47170, AL3G48090, AL6G41430, AL1G46060, AL4G47110, AL6G10850, AL8G41490, AL4G39950, AL363U10020, AL7G48880
OG0000003	XP_020887717.1	AL7G34100
OG0000004	XP_020870151.1, XP_020870162.1, XP_020886397.1, XP_020866436.1, XP_020870326.1, XP_020890321.1, XP_020887182.1, XP_020891399.1, XP_020866272.1, XP_020871264.1, XP_020886308.1, XP_020882759.1, XP_020875043.1, XP_020881970.1, XP_020889966.1, XP_020875528.1, XP_020871434.1, XP_020869121.1, XP_020871489.1, XP_020869697.1, XP_020880754.1, XP_020873125.1, XP_020887737.1	AL7G43300
OG0000004	XP_020889539.1	AL8G19530
OG0000004	XP_020881080.1, XP_020874109.1	AL70U10050
OG0000004	XP_020866323.1, XP_020871267.1, XP_020874412.1	AL7G51790, AL1G64940
OG0000004	XP_020878681.1	AL6G45170
OG0000004	XP_020865758.1	AL1G65200
OG0000005	XP_020877200.1	AL63U10040
OG0000005	XP_020872641.1, XP_020866154.1, XP_020872381.1, XP_020877193.1	AL7G13490
OG0000005	XP_020871957.1, XP_020866342.1, XP_020887113.1	AL97U10030, AL8G11290
OG0000005	XP_020880760.1, XP_020877199.1	AL6G48210, AL2G19230
OG0000007	XP_020870157.1, XP_020870555.1	AL1G53130
OG0000007	XP_020873755.1	AL8G18310
OG0000007	XP_020876409.1, XP_020866331.1	AL1G37680
OG0000007	XP_020872053.1, XP_020879940.1, XP_020872382.1	AL3G20440
OG0000007	XP_020871008.1	AL2G22610
OG0000007	XP_020880934.1	AL5G31160
OG0000007	XP_020866419.1	AL5G15300
OG0000007	XP_002893144.2	AL1G34010
OG0000007	XP_020870776.1, XP_020871034.1	AL8G16470
OG0000007	XP_002875947.2	AL1G61810, AL6G29050, AL5G28660
OG0000007	XP_002868379.2	AL7G43440
OG0000007	XP_020879876.1, XP_020883895.1, XP_020866620.1, XP_020873499.1	AL5G42560
