Orthogroup	Arabidopsis_lyrata_NCBI	Arabidopsis_thaliana
OG0000003	XP_020881895.1	AT1G43760.1
OG0000008	XP_020881699.1	AT3G51690.1
OG0000008	XP_020881700.1	AT3G51700.1
OG0000009	XP_020867197.1	AT2G06845.1
OG0000011	XP_020881814.1, XP_020878850.1	AT3G30370.1, AT1G18050.1
OG0000011	XP_020889569.1	AT5G15685.1
OG0000012	XP_020891087.1	AT3G47680.1
OG0000020	XP_020877054.1, XP_020869021.1	AT2G06420.1
OG0000021	XP_020885208.1, XP_020885137.1, XP_020886953.1, XP_020886960.1, XP_020890910.1, XP_020885657.1	AT1G52950.1
OG0000021	XP_020879723.1, XP_020874134.1, XP_020871964.1, XP_020874896.1, XP_020872412.1	AT3G31925.1
OG0000022	XP_020873422.1	AT4G26800.2
OG0000022	XP_020878202.1	AT5G16640.1
OG0000022	XP_020865991.1, XP_020890510.1, XP_020865986.1	AT1G62914.1
OG0000022	XP_002886463.2, XP_020865982.1	AT1G62670.1
OG0000022	XP_002886462.1	AT1G62680.1
OG0000022	XP_020891718.1	AT1G63400.1, AT1G62590.1
OG0000022	XP_020891198.1	AT1G62910.1, AT1G63150.1
OG0000022	XP_020865844.1	AT1G63080.1
OG0000022	XP_020890513.1	AT1G62930.1
OG0000022	XP_020865987.1, XP_020865810.1	AT1G63070.1
OG0000022	XP_020890773.1	AT1G62720.1
OG0000022	XP_002885504.2	AT3G22470.1
OG0000022	XP_020869509.1	AT1G12700.2
OG0000022	XP_020868327.1, XP_020870640.1, XP_020868325.1	AT1G12620.1
OG0000022	XP_020869508.1, XP_020870927.1	AT1G12300.1, AT1G12775.1
OG0000022	XP_020869233.1	AT1G06580.1
OG0000022	XP_020865918.1	AT1G64583.1
OG0000022	XP_020890021.1	AT1G64580.1
OG0000022	XP_002868609.1	AT5G41170.1
OG0000022	XP_002883021.2	AT3G16710.1
OG0000024	XP_002891475.2	AT1G60370.1
OG0000024	XP_020869784.1, XP_020870297.1, XP_020870502.1, XP_020866340.1, XP_002890925.2	AT1G30925.1
OG0000024	XP_020869389.1, XP_020869783.1, XP_020866486.1, XP_020866487.1, XP_002893661.2, XP_020869388.1	AT1G30930.1
OG0000024	XP_002890930.2, XP_002890933.2	AT1G31090.1
OG0000024	XP_002888578.2	AT1G67130.1
OG0000024	XP_002890934.2, XP_002890931.2	AT5G42430.1
OG0000024	XP_020866613.1	AT1G33020.1
OG0000024	XP_002893705.2, XP_002893704.2	AT1G33010.1
OG0000024	XP_020881113.1	AT3G56890.1
OG0000024	XP_020879759.1	AT3G57580.1
OG0000024	XP_020879758.1	AT3G57590.1
OG0000027	XP_020878446.1	AT4G11480.1
OG0000027	XP_020878445.1	AT4G11470.2
OG0000027	XP_020878438.1	AT4G11460.1
OG0000027	XP_020873367.1	AT4G23260.1
OG0000027	XP_020873341.1	AT4G23250.2
OG0000027	XP_020873363.1	AT4G23220.1
OG0000027	XP_020867640.1	AT4G11530.1
OG0000027	XP_002872599.2	AT4G11521.1
OG0000027	XP_002867727.1	AT4G23190.1
OG0000027	XP_020873349.1	AT4G23210.3
OG0000028	XP_020874778.1	AT4G13680.1
OG0000028	XP_002864330.1	AT5G55870.1, AT5G54330.1
OG0000028	XP_002864331.1	AT5G54320.1
OG0000028	XP_002864388.2	AT5G55270.1
OG0000028	XP_020872014.1	AT5G55880.1, AT5G55890.1
OG0000028	XP_020877991.1	AT5G54450.1
OG0000028	XP_020865869.1	AT5G52930.1
OG0000028	XP_020865879.1	AT5G52940.1
OG0000028	XP_020877806.1	AT5G54560.1, AT5G54550.1
OG0000029	XP_020874317.1	AT5G36225.1
OG0000029	XP_020879925.1, XP_020871888.1	AT2G17905.1
OG0000030	XP_020871692.1	AT3G20030.1
OG0000030	XP_002893432.1, XP_020866580.1	AT1G25150.1, AT1G25055.1, AT1G25211.1, AT1G24800.1, AT1G24881.1
OG0000030	XP_020879678.1	AT3G49510.1
OG0000030	XP_020881930.1, XP_020880910.1	AT3G49520.1
OG0000030	XP_020889857.1	AT1G66490.1
OG0000030	XP_020885911.1	AT3G14030.1
OG0000030	XP_002884981.1	AT3G13680.1
OG0000034	XP_002869784.2	AT4G23180.1
OG0000034	XP_020873361.1	AT4G23150.1
OG0000034	XP_020873360.1	AT4G21400.1
OG0000034	XP_002867849.1	AT4G21410.3
OG0000034	XP_020873368.1	AT4G23140.2
OG0000034	XP_002877439.2	AT3G45860.1
OG0000034	XP_020873366.1	AT4G23130.2
OG0000035	XP_020883112.1, XP_020887195.1, XP_020871214.1, XP_020875318.1, XP_020870256.1, XP_020884941.1, XP_020875756.1, XP_020887746.1, XP_020877165.1	AT2G07240.1
OG0000035	XP_020883624.1, XP_020882782.1, XP_020891219.1, XP_020872062.1, XP_020889582.1, XP_020883599.1, XP_020884365.1, XP_020876202.1, XP_020876425.1	AT4G04957.1
OG0000040	XP_020870158.1	AT3G25720.1, AT4G10613.1
OG0000040	XP_020884682.1, XP_020887780.1	AT2G19146.1
OG0000044	XP_020877446.1	AT4G08450.1
OG0000044	XP_020881042.1	AT5G46470.1
OG0000044	XP_020879725.1	AT5G46450.1
OG0000044	XP_020878609.1	AT5G46260.1
OG0000044	XP_002865186.1	AT1G31540.2, AT5G46490.2
OG0000044	XP_002873864.1	AT5G17970.1
OG0000044	XP_020875361.1	AT4G16890.1, AT4G16957.1, AT4G16857.2, AT4G16920.2, AT4G16860.1, AT4G16950.1
OG0000046	XP_020877167.1, XP_020871406.1, XP_002883785.1, XP_020880655.1, XP_020876919.1, XP_020882740.1, XP_002893924.2, XP_020870337.1	AT3G31910.1, AT5G28810.1, AT2G10260.1
OG0000046	XP_020887727.1	AT1G37020.1
OG0000046	XP_020867102.1, XP_020874078.1	AT5G45570.1, AT4G08430.1
OG0000048	XP_002864982.2	AT5G65850.1
OG0000048	XP_020886243.1	AT3G10990.1
OG0000051	XP_002881850.2	AT2G42460.1
OG0000051	XP_020883122.1	AT2G42470.1
OG0000051	XP_020890130.1	AT2G42455.1
OG0000051	XP_020883307.1	AT2G42480.1
OG0000052	XP_020882518.1	AT3G26930.2
OG0000052	XP_020882260.1	AT3G26920.1
OG0000052	XP_020881407.1, XP_020881410.1, XP_020881406.1	AT3G26922.1
OG0000052	XP_002894621.2	AT1G55030.2
OG0000052	XP_020881409.1	AT4G13965.1
OG0000052	XP_020881212.1	AT3G52690.1
OG0000052	XP_020880077.1	AT3G51530.1
OG0000052	XP_020882208.1	AT2G04230.1
OG0000052	XP_020879882.1	AT3G49030.1
OG0000052	XP_020879883.1	AT3G49040.1
OG0000052	XP_020876149.1, XP_020879879.1	AT3G49020.1
OG0000052	XP_020879992.1	AT3G49045.1
OG0000055	XP_020889173.1	AT3G19470.1
OG0000055	XP_002883536.1, XP_020888450.1	AT3G24580.1
OG0000055	XP_020886775.1, XP_020888382.1, XP_020888884.1	AT3G23420.1
OG0000055	XP_002885221.2, XP_020889148.1	AT3G17620.1
OG0000055	XP_020877906.1	AT3G16820.1
OG0000055	XP_020889167.1	AT3G16740.1
OG0000055	XP_020886503.1, XP_020887842.1	AT2G18780.1
OG0000055	XP_020886512.1	AT2G17830.1, AT5G42460.1
OG0000055	XP_020889170.1	AT3G17320.1
OG0000056	XP_002886488.1	AT1G62150.1
OG0000056	XP_020865627.1	AT1G62110.1, AT1G62085.1
OG0000056	XP_020890625.1, XP_002888056.1	AT1G62120.1
OG0000056	XP_002888053.1	AT1G61980.1
OG0000056	XP_020891223.1	AT1G61970.1
OG0000056	XP_020880767.1	AT3G46950.1
OG0000059	XP_020889554.1, XP_020890752.1, XP_020876125.1	AT2G07800.1
OG0000061	XP_020867733.1	AT1G48400.1
OG0000061	XP_020879494.1	AT5G12450.1
OG0000061	XP_020873461.1	AT4G27050.1
OG0000061	XP_020870702.1	AT1G21990.1
OG0000061	XP_020885088.1	AT2G29930.1
OG0000061	XP_020891333.1	AT1G64540.1
OG0000064	XP_020865905.1, XP_020865795.1, XP_020869663.1, XP_002886749.1, XP_002886745.1, XP_002862361.1, XP_002886746.1, XP_002886752.2, XP_002886744.1, XP_020891241.1, XP_002886750.1, XP_002886748.1, XP_002862362.1, XP_002894696.1, XP_020891452.1, XP_002886747.1, XP_002862360.1	AT4G08025.1
OG0000064	XP_002862386.1, XP_002863710.1, XP_002862438.1, XP_002862385.1, XP_002863711.1, XP_020879695.1, XP_002863799.1, XP_020885190.1, XP_002863708.1, XP_002863709.1, XP_002863706.1, XP_002863707.1, XP_002865487.1	AT5G42567.1, AT5G34883.1, AT5G34885.1, AT5G34905.1, AT5G34881.1, AT5G34887.1, AT5G42955.1, AT5G42957.1, AT5G34882.1, AT3G30383.1, AT3G30385.1, AT3G30387.1
OG0000065	XP_020865823.1	AT1G67000.1
OG0000065	XP_020865819.1	AT1G66930.2
OG0000065	XP_020865825.1	AT1G66920.2
OG0000065	XP_020873883.1	AT5G38260.1
OG0000065	XP_020872917.1	AT5G39030.1
OG0000065	XP_020872918.1	AT5G39020.1
OG0000066	XP_002873454.1, XP_020867896.1, XP_002877046.2, XP_002894648.1, XP_020876762.1	AT5G10390.1, AT3G27360.1, AT5G10400.1, AT5G65360.1, AT1G09200.1, AT5G65350.1
OG0000066	XP_020891413.1, XP_020877536.1	AT1G13370.1
OG0000066	XP_020891414.1, XP_020886001.1	AT1G75600.1
OG0000066	XP_020875249.1, XP_020875248.1, XP_020876760.1	AT5G10980.1
OG0000066	XP_020869687.1	AT1G19890.1
OG0000068	XP_020889441.1	AT3G09160.1
OG0000068	XP_020871868.1, XP_002864221.1	AT5G53700.1
OG0000068	XP_020879355.1	AT5G03480.1
OG0000069	XP_020880445.1	AT3G62850.1
OG0000069	XP_020870187.1	AT5G35640.1, AT1G01355.1
OG0000069	XP_002878041.1	AT5G39640.1
OG0000070	XP_020867590.1	AT1G10230.1
OG0000070	XP_002883942.1	AT2G20160.1
OG0000070	XP_002875195.1	AT2G03190.1
OG0000070	XP_002875194.1	AT3G25650.1, AT2G03170.1
OG0000070	XP_020885789.1, XP_002890373.1	AT1G20140.1, AT2G25700.1
OG0000070	XP_020891141.1	AT1G75950.1
OG0000070	XP_002863814.1	AT5G42190.1
OG0000070	XP_002878309.1	AT3G60010.1
OG0000070	XP_002867118.1	AT4G34210.1
OG0000072	XP_020891370.1, XP_002865523.2	AT3G42140.1
OG0000075	XP_002868913.1	AT4G39550.1
OG0000075	XP_020875509.1	AT4G39570.1
OG0000075	XP_002868917.2	AT4G39580.1
OG0000075	XP_020874617.1	AT4G39560.1
OG0000075	XP_020875017.1, XP_002863944.2	AT5G49000.2
OG0000075	XP_020865611.1	AT1G60570.1
OG0000076	XP_020872718.1	AT4G38940.1
OG0000077	XP_020884560.1	AT5G44900.1
OG0000077	XP_020869035.1	AT5G45220.1
OG0000077	XP_002894680.1	AT1G57670.1
OG0000077	XP_020891276.1	AT1G57850.1
OG0000077	XP_020890791.1	AT1G47370.1
OG0000077	XP_020881582.1, XP_020881188.1	AT2G03030.1, AT2G03300.1
OG0000077	XP_020868196.1	AT1G09665.1
OG0000077	XP_020890121.1	AT1G60320.1
OG0000078	XP_002884413.1	AT3G03820.1
OG0000078	XP_020887050.1	AT3G03830.1
OG0000078	XP_020887049.1	AT3G03840.1
OG0000078	XP_020877812.1, XP_002873872.1	AT5G18050.1, AT5G18060.1
OG0000078	XP_002873870.1	AT5G18020.1
OG0000078	XP_020877813.1	AT5G18080.1, AT5G18010.1
OG0000079	XP_020866196.1, XP_020866590.1, XP_020884659.1, XP_020866719.1, XP_020869681.1, XP_020880717.1, XP_020866201.1, XP_020881865.1, XP_020878083.1	AT2G07190.1
OG0000081	XP_020879148.1, XP_020865942.1, XP_020889237.1, XP_002874062.1, XP_020882894.1	AT3G30165.1
OG0000086	XP_002864819.1	AT5G62800.1
OG0000086	XP_002870579.2	AT5G37890.1
OG0000086	XP_020872358.1	AT5G37870.1
OG0000086	XP_002868822.1	AT5G37900.1, AT5G37910.1
OG0000086	XP_020865653.1	AT1G66610.1
OG0000086	XP_020889890.1	AT1G66620.1
OG0000086	XP_020889891.1	AT1G66630.1
OG0000089	XP_020879374.1	AT5G23860.1
OG0000089	XP_020871804.1	AT5G62700.1, AT5G62690.1
OG0000089	XP_020883550.1	AT2G29550.1
OG0000089	XP_002873559.1	AT5G12250.1
OG0000089	XP_002863588.1	AT5G44340.1
OG0000089	XP_020872103.1	AT4G20890.1
OG0000089	XP_020866480.1	AT1G20010.1
OG0000089	XP_020890671.1	AT1G75780.1
OG0000091	XP_002877545.1	AT3G47090.1
OG0000091	XP_020880186.1	AT3G47580.1
OG0000091	XP_002875847.2	AT3G47570.1
OG0000091	XP_020878730.1	AT5G20480.1
OG0000091	XP_002864053.1	AT5G39390.1
OG0000091	XP_020880184.1	AT3G47110.1
OG0000095	XP_020883521.1, XP_020884655.1, XP_002878787.2	AT1G64840.1
OG0000095	XP_002880565.1, XP_020884335.1	AT2G24250.1
OG0000096	XP_002885709.2	AT3G25460.1
OG0000096	XP_020871755.1	AT5G47300.1
OG0000096	XP_002885251.1	AT3G18320.1
OG0000096	XP_020886661.1, XP_020889300.1	AT3G18330.1
OG0000096	XP_020886742.1	AT3G18910.1
OG0000096	XP_002883180.1, XP_002884070.2	AT3G19410.1
OG0000096	XP_002872691.1	AT1G25141.1
OG0000096	XP_020888942.1	AT4G09870.1
OG0000098	XP_002893476.1	AT1G27550.1
OG0000098	XP_020885549.1	AT2G24080.1
OG0000098	XP_020876145.1	AT4G10820.1
OG0000098	XP_020879189.1	AT5G25300.1
OG0000098	XP_002874257.1	AT5G25290.1
OG0000100	XP_020867631.1	AT1G56510.1
OG0000100	XP_020867629.1	AT1G56540.1
OG0000100	XP_002887938.1	AT1G63730.1
OG0000100	XP_020891283.1	AT1G63740.2
OG0000100	XP_020875192.1	AT4G14370.2
OG0000100	XP_002886080.1	AT2G16870.1
OG0000100	XP_002886379.1	AT1G63860.1
OG0000102	XP_020876465.1	AT4G03635.1
OG0000102	XP_002874669.1, XP_020877173.1, XP_020876443.1, XP_002862572.1	AT4G05470.1, AT4G05475.1
OG0000102	XP_002863972.2, XP_002874850.1	AT4G05497.1
OG0000102	XP_020876795.1, XP_002865915.2	AT5G52480.1
OG0000102	XP_002874842.1	AT4G05460.1
OG0000105	XP_020870827.1, XP_020886025.1, XP_020868736.1	AT1G57630.1
OG0000106	XP_020871478.1	AT2G07760.1
OG0000107	XP_002863839.1	AT5G47990.1
OG0000107	XP_002870247.1	AT4G15350.1
OG0000107	XP_020887921.1	AT3G20140.1
OG0000107	XP_002883228.1	AT3G20080.1
OG0000107	XP_002883226.2	AT3G20100.1
OG0000107	XP_020888430.1	AT3G20960.2
OG0000107	XP_020886789.1	AT3G20090.2
OG0000107	XP_002870246.2	AT4G15360.1
OG0000107	XP_020887923.1	AT3G20110.1
OG0000107	XP_020887918.1	AT3G20120.4
OG0000108	XP_002879684.1, XP_020880453.1, XP_020883890.1	AT3G53750.1, AT2G37620.1
OG0000108	XP_020882238.1, XP_020871933.1	AT3G46520.1, AT5G59370.1
OG0000108	XP_020888275.1	AT3G12110.1
OG0000108	XP_020876820.1	AT5G09810.1
OG0000108	XP_020867828.1, XP_002883150.1	AT3G18780.2
OG0000108	XP_002879968.1	AT2G42100.1
OG0000110	XP_020870662.1, XP_002879052.1, XP_002886934.1, XP_020866137.1, XP_002872380.1, XP_020876048.1, XP_002876861.2, XP_002886930.1, XP_002886812.1, XP_002894139.1, XP_002865673.1, XP_002866863.2	AT1G36510.1, AT3G32260.1
OG0000111	XP_002874511.1, XP_002874510.1, XP_002862417.1, XP_002874973.1, XP_002874975.1, XP_002862418.1	AT1G45063.1
OG0000111	XP_002876201.1	AT3G53330.1
OG0000111	XP_002875482.1	AT4G01380.1
OG0000114	XP_020885335.1, XP_020881794.1, XP_020882022.1	AT1G36970.1, AT4G05555.1, AT3G31560.1, AT1G36230.1, AT2G07280.1
OG0000115	XP_020878531.1	AT1G34070.1
OG0000116	XP_002893409.1	AT1G14800.1
OG0000117	XP_020866886.1	AT1G23670.2
OG0000117	XP_020869256.1	AT1G23520.1
OG0000117	XP_002893298.1	AT1G23640.1
OG0000117	XP_020866884.1	AT1G23645.1
OG0000117	XP_002893302.1	AT1G23690.1
OG0000117	XP_002893290.1	AT1G23570.2
OG0000118	XP_020882923.1	AT2G38590.1
OG0000118	XP_020875172.1	AT5G41490.1
OG0000118	XP_020891300.1	AT1G65990.1
OG0000118	XP_020877537.1	AT4G10740.1
OG0000118	XP_002885502.1	AT3G22940.1, AT3G22421.1
OG0000118	XP_020886930.1	AT3G22870.1
OG0000118	XP_020886515.1	AT3G04250.1
OG0000118	XP_002885586.1	AT3G23685.1
OG0000118	XP_020887711.1	AT3G23680.1
OG0000119	XP_020882357.1	AT3G43180.1
OG0000119	XP_020881724.1	AT3G45540.1
OG0000119	XP_002878927.2	AT2G26135.1
OG0000119	XP_020885607.1, XP_002878925.2	AT2G26130.1
OG0000119	XP_002875622.2	AT3G43750.1
OG0000119	XP_020881834.1, XP_020876007.1	AT2G16520.1
OG0000119	XP_020881747.1	AT3G45460.1
OG0000119	XP_002877410.2, XP_020881729.1	AT3G45480.1
OG0000119	XP_020881748.1	AT3G45570.1, AT3G45580.1
OG0000119	XP_020881738.1	AT3G45555.1
OG0000122	XP_020866960.1	AT5G56390.1
OG0000123	XP_002864096.1	AT5G51105.1
OG0000123	XP_020886106.1, XP_002863573.2, XP_002863574.1, XP_020878125.1, XP_020877257.1, XP_002863571.1, XP_020871983.1, XP_020871973.1, XP_020877545.1	AT5G44495.1
OG0000123	XP_002864712.1	AT5G42895.1, AT4G09545.1
OG0000123	XP_002884106.1	AT5G36739.1, AT5G36662.1, AT5G36460.1, AT5G36450.1, AT5G36400.1, AT5G36390.1, AT5G36430.1, AT5G36350.1, AT5G36380.1, AT5G36420.1, AT5G36360.1, AT5G36500.1, AT5G36490.1, AT5G36330.1, AT5G36340.1, AT5G36310.1, AT5G36540.1, AT5G36550.1, AT5G36520.1, AT5G36410.1, AT5G36440.1, AT5G36470.1, AT5G36370.1, AT5G36738.1, AT5G36480.1, AT5G36320.1, AT5G36658.1, AT5G36661.1, AT5G36659.1
OG0000123	XP_002878578.1	AT3G42565.1
OG0000125	XP_020870885.1	AT1G07560.1
OG0000125	XP_020866497.1	AT1G49100.1
OG0000125	XP_020870264.1	AT1G51820.1
OG0000125	XP_020870260.1	AT1G51850.2
OG0000125	XP_020870269.1	AT1G51830.2
OG0000125	XP_020870262.1	AT1G51805.1
OG0000125	XP_020886046.1	AT2G04300.2
OG0000125	XP_020886058.1	AT3G21340.1
OG0000125	XP_020870266.1	AT1G51810.1
OG0000126	XP_020882685.1	AT3G29794.1
OG0000126	XP_020871413.1	AT2G19960.3
OG0000127	XP_002874101.1	AT5G22880.1
OG0000127	XP_020885803.1	AT2G37470.1
OG0000127	XP_002873061.1	AT5G02570.1
OG0000127	XP_020887259.1	AT3G09480.1
OG0000127	XP_020880339.1	AT1G07790.1
OG0000127	XP_020872447.1, XP_002864658.2	AT5G59910.1
OG0000127	XP_020880863.1	AT3G45980.1
OG0000127	XP_002877451.1	AT3G46030.1
OG0000127	XP_002879182.1	AT2G28720.1
OG0000128	XP_020879745.1	AT3G59270.1
OG0000128	XP_020879608.1	AT3G59230.1
OG0000128	XP_020879609.1	AT3G59250.1
OG0000128	XP_020879607.1	AT3G59240.1
OG0000128	XP_020880511.1	AT3G59200.1
OG0000128	XP_020880525.1	AT3G59210.1
OG0000128	XP_020891638.1	AT1G58310.1
OG0000128	XP_002870336.2	AT4G14103.2
OG0000128	XP_020880503.1	AT4G14096.1
OG0000129	XP_020890882.1	AT1G65120.2
OG0000129	XP_020890886.1	AT1G65130.1
OG0000129	XP_020890883.1	AT1G65200.1
OG0000129	XP_020867988.1	AT1G52450.1, AT1G52430.1
OG0000129	XP_002864761.1	AT5G61950.1
OG0000129	XP_020871006.1	AT5G61940.2
OG0000129	XP_020885823.1	AT2G27630.1
OG0000129	XP_002879145.1	AT2G27650.1
OG0000129	XP_020889363.1	AT5G51530.1
OG0000129	XP_020890885.1	AT1G65110.2
OG0000130	XP_020866264.1	AT3G09510.1
OG0000130	XP_020870431.1	AT2G13980.1
OG0000130	XP_002878891.2	AT3G25270.1, AT2G04420.1, AT1G50160.1
OG0000130	XP_020866161.1	AT5G43755.1
OG0000130	XP_002884887.2	AT1G04625.1
OG0000132	XP_020880888.1	AT3G54910.1
OG0000132	XP_020878937.1	AT4G10420.1
OG0000132	XP_020877053.1	AT4G10400.1
OG0000132	XP_020871248.1, XP_020872039.1	AT5G38590.2
OG0000132	XP_020873181.1, XP_020875462.1	AT5G38570.1
OG0000134	XP_020866269.1	AT1G57650.1
OG0000134	XP_020865886.1	AT1G65850.2
OG0000134	XP_020880962.1	AT5G38340.1, AT5G38350.1
OG0000134	XP_020882189.1	AT5G44510.1
OG0000137	XP_002866093.1	AT5G55380.1
OG0000137	XP_020872432.1, XP_020871893.1	AT5G55330.1
OG0000137	XP_020881819.1	AT5G55320.1
OG0000137	XP_002891107.2	AT1G34490.1, AT1G34520.1
OG0000137	XP_020870474.1	AT5G55360.1
OG0000137	XP_002866092.1	AT5G55350.1
OG0000137	XP_020872008.1	AT5G55340.1
OG0000138	XP_020880953.1, XP_020865702.1	AT3G62440.1
OG0000138	XP_020880550.1	AT3G58980.1
OG0000138	XP_020880529.1	AT3G58960.1
OG0000138	XP_020889594.1, XP_020880950.1	AT3G62430.1
OG0000138	XP_002876243.1	AT3G54160.1
OG0000138	XP_020876585.1	AT5G15620.1
OG0000141	XP_020869968.1	AT1G12290.1
OG0000141	XP_020867361.1	AT1G12280.1
OG0000141	XP_020867542.1	AT1G12220.1
OG0000141	XP_002889921.2	AT1G12210.1
OG0000141	XP_020891049.1	AT1G62630.1, AT1G63360.1
OG0000148	XP_020886427.1	AT3G10240.1
OG0000148	XP_020866202.1	AT1G50870.1
OG0000151	XP_002878020.1	AT3G55130.1
OG0000151	XP_020881605.1	AT3G55110.1
OG0000151	XP_002878017.1	AT3G55100.1
OG0000151	XP_002881649.1	AT2G39350.1
OG0000151	XP_002878016.1	AT3G55090.1
OG0000151	XP_020880621.1	AT3G53510.1
OG0000151	XP_020884903.1	AT2G37360.1
OG0000151	XP_002871574.1	AT5G13580.1
OG0000153	XP_020885350.1	AT2G29330.1
OG0000153	XP_002881123.1	AT2G30670.1
OG0000153	XP_020885363.1	AT2G29340.1
OG0000153	XP_020885362.1	AT2G29310.1
OG0000153	XP_020866558.1	AT1G07450.1
OG0000154	XP_020866593.1	AT1G50830.1
OG0000154	XP_020879595.1, XP_020877958.1	AT5G18510.1
OG0000154	XP_020874310.1	AT4G16050.1
OG0000154	XP_020869438.1	AT1G51538.1
OG0000154	XP_020867950.1, XP_020867947.1	AT1G50790.1
