Orthogroup	Arabidopsis_lyrata_NCBI	Cochlearia_excelsa
OG0000000	XP_020890704.1, XP_020869115.1	g23875, g4482
OG0000000	XP_020887909.1	g15642
OG0000000	XP_020872418.1, XP_020889487.1	g23493
OG0000003	XP_020881895.1	g14063
OG0000003	XP_020889841.1	g18622, g25137, g6810, g1448, g45682, g1467, g38320, g49844, g25134, g35681, g14225, g41636, g18621, g47160, g49473, g40050, g26165
OG0000003	XP_020883515.1	g46643, g3725, g24106
OG0000004	XP_020870151.1, XP_020870162.1	g52367, g20888, g21409, g43220
OG0000004	XP_020870326.1, XP_020890321.1, XP_020887182.1, XP_020891399.1	g30215, g8478, g34832, g22569, g21980, g3591, g32844, g52627, g21889
OG0000004	XP_020866272.1, XP_020871264.1, XP_020886308.1, XP_020882759.1, XP_020875043.1, XP_020881970.1, XP_020889966.1, XP_020875528.1, XP_020871434.1, XP_020869121.1, XP_020871489.1, XP_020869697.1	g49066, g15473, g48262, g4602, g48198, g44460, g26367, g33388, g52326, g8598, g21125, g22323
OG0000004	XP_020880754.1, XP_020873125.1, XP_020887737.1	g3515, g25767, g15746, g47598, g30366, g30371, g48085, g4721, g53669, g21500, g25180, g52738, g21847
OG0000004	XP_020889539.1	g42564
OG0000004	XP_020886399.1	g26364, g35195, g3554, g33447, g33443, g52439
OG0000004	XP_020881080.1, XP_020874109.1	g15980, g52602, g15019
OG0000004	XP_020878681.1	g15895, g33141, g34291, g3426, g6262
OG0000004	XP_020865758.1	g53542
OG0000005	XP_020872641.1, XP_020866154.1, XP_020872381.1, XP_020877193.1	g3007
OG0000005	XP_020871957.1, XP_020866342.1, XP_020887113.1	g52866, g10483, g26067, g34544, g15875, g33596, g14065, g35068, g53526, g19913, g53525, g15922, g34539, g43208, g6103, g1720, g25223, g41973
OG0000005	XP_020880760.1, XP_020877199.1	g36376, g3918, g46047, g53689
OG0000007	XP_020882643.1	g24723, g1457, g35540
OG0000007	XP_020866419.1	g47006, g45886, g50470
OG0000008	XP_020881833.1	g27995
OG0000008	XP_020881734.1	g49593
OG0000008	XP_020876690.1, XP_020867861.1	g25873
OG0000008	XP_020879836.1	g11343
OG0000008	XP_020879665.1, XP_020882645.1, XP_020879646.1, XP_020872716.1, XP_020874196.1	g39484, g13991
OG0000009	XP_020887659.1	g1267, g50707, g54239, g22012, g2983, g47996, g6090, g43671, g9847, g53582
OG0000009	XP_020889795.1	g36085, g14872, g26760
OG0000009	XP_020884776.1	g2982
OG0000009	XP_020877155.1, XP_020876055.1	g11275, g53238, g41488, g4401, g4394, g44957
OG0000009	XP_020867197.1	g23979, g28647, g29131, g1512
OG0000011	XP_020881814.1, XP_020878850.1	g6794, g51199, g2482, g2714, g11450, g46138, g50714
OG0000011	XP_020873638.1	g18071, g2721, g42559, g4725, g47538
OG0000011	XP_020878589.1, XP_020869090.1	g16592, g1020
OG0000011	XP_020876758.1, XP_020889800.1, XP_020881514.1	g41576
OG0000011	XP_020881858.1	g24216, g17795
OG0000011	XP_020889856.1, XP_020872445.1, XP_020875855.1	g450, g26627, g32634
OG0000011	XP_020875848.1	g24975
OG0000011	XP_020881813.1, XP_020866193.1, XP_020870462.1	g2713, g18942
OG0000014	XP_020871367.1	g30542, g32573, g14586, g26651, g3784, g17508, g35072, g19854, g17344, g52328, g4565, g8823
OG0000014	XP_020871369.1	g19840
OG0000015	XP_020865814.1	g35711, g1865, g12584, g7633, g12284, g26669, g5447, g48096, g4042, g4014, g39164, g21912, g30179, g14948, g12283, g35471, g16154, g26107, g17276, g2986, g25292, g34684, g35217, g7329, g39702
OG0000015	XP_020890755.1, XP_020889910.1	g26256, g5557, g43592, g35813, g36776
OG0000018	XP_020876240.1	g16177, g16042, g30020, g19811, g42269
OG0000020	XP_002862745.2, XP_020874187.1	g32689, g14805
OG0000020	XP_020873825.1, XP_020878844.1, XP_020877054.1, XP_020869021.1, XP_020872420.1, XP_020884768.1	g4186
OG0000021	XP_020887754.1, XP_020885800.1, XP_020871592.1, XP_020879735.1, XP_020879721.1, XP_020887591.1	g43760, g4386, g34956, g53077, g43442, g33130, g45148, g29629, g14568, g25751, g49590, g27681, g2213, g37069, g2331
OG0000021	XP_020879723.1, XP_020874134.1, XP_020871964.1, XP_020874896.1, XP_020872412.1	g33125, g14567, g25750
OG0000022	XP_020873422.1	g17118
OG0000022	XP_020878202.1	g5030
OG0000022	XP_020889844.1, XP_002886462.1	g40889
OG0000022	XP_020890773.1	g40888
OG0000022	XP_020865918.1	g40751
OG0000022	XP_020890021.1	g40752
OG0000022	XP_002868609.1, XP_002883021.2	g13269
OG0000023	XP_020870611.1	g14801, g15067
OG0000023	XP_020875036.1	g42217
OG0000023	XP_020871051.1	g52731, g52732
OG0000023	XP_020881510.1, XP_020874804.1, XP_020872198.1	g15121
OG0000023	XP_020890011.1	g3443, g34449, g34444
OG0000024	XP_020881113.1, XP_020879759.1, XP_020879758.1, XP_002875716.2	g2269
OG0000024	XP_002893654.2	g28294
OG0000025	XP_020877486.1, XP_020889652.1	g17280, g46637, g25246, g50791
OG0000026	XP_020879791.1	g36073, g28599
OG0000027	XP_002872592.1	g25723
OG0000027	XP_002872595.1	g25717, g25713, g48941, g48949
OG0000027	XP_020867640.1	g40374
OG0000030	XP_002893415.1, XP_002890504.1, XP_002893432.1, XP_020866580.1	g38367, g38376, g38372, g38380
OG0000030	XP_020879678.1, XP_020881930.1, XP_020880910.1	g13799, g13797
OG0000030	XP_020889857.1	g13193, g13194
OG0000030	XP_020869589.1, XP_020885911.1, XP_020890322.1	g44631
OG0000031	XP_020872075.1, XP_020890956.1, XP_020882438.1, XP_020870253.1	g39351, g7244, g17718, g41293
OG0000034	XP_002869784.2	g23911
OG0000034	XP_020873360.1, XP_002867849.1	g24014
OG0000034	XP_020873356.1	g23912
OG0000034	XP_020872543.1	g23905
OG0000038	XP_020876468.1	g41377, g32262, g25866
OG0000038	XP_020880729.1	g16819, g41305
OG0000040	XP_020891386.1	g49152
OG0000040	XP_020888726.1	g17325, g27760, g45782, g40051, g35119, g45600, g54029, g3973, g3980
OG0000040	XP_020872994.1, XP_020882425.1	g32821, g17388
OG0000040	XP_020870158.1	g28310, g1466, g41711, g22786
OG0000041	XP_020876966.1	g147, g45167, g24813, g2502, g53420, g1493, g39805, g10790, g44228, g51916, g7666, g10267, g43788, g43772, g13437
OG0000042	XP_020872945.1	g44522, g52187, g7355, g38829, g20859, g48552, g53555, g47921
OG0000042	XP_020876174.1	g43790, g5736, g43774, g44909, g43791
OG0000043	XP_020871723.1	g53399, g13162, g50196, g46746, g14780, g13371
OG0000044	XP_020886914.1	g10944
OG0000044	XP_020880043.1, XP_020867167.1	g18482
OG0000044	XP_002884747.1, XP_020890887.1, XP_002863747.1, XP_002873864.1, XP_020875361.1	g28154
OG0000046	XP_020871374.1, XP_020877131.1	g3382, g2931
OG0000046	XP_020872615.1, XP_020878672.1, XP_020882823.1, XP_020877149.1, XP_020879796.1, XP_020872313.1, XP_020883604.1, XP_020876127.1	g26196, g11589
OG0000047	XP_020883415.1	g20823, g3147
OG0000048	XP_002886496.1, XP_002886498.2	g29294, g52069, g52073, g52064
OG0000049	XP_020866728.1	g25569
