Orthogroup	Arabidopsis_lyrata_NCBI	Noccaea_praecox
OG0000000	XP_020887823.1	Np001G0039000, Np003G1298000, Np005G3158100, Np003G1529800, Np005G3074100
OG0000000	XP_020885673.1	Np003G1708100, Np006G3568800
OG0000000	XP_020874113.1	Np005G3087900, Np001G0546600, Np007G4183100, Np006G3224700
OG0000003	XP_020881895.1	Np005G3039000
OG0000004	XP_020891399.1	Np003G1676800
OG0000004	XP_020866272.1, XP_020871264.1, XP_020886308.1, XP_020882759.1, XP_020875043.1, XP_020881970.1, XP_020889966.1, XP_020875528.1, XP_020871434.1, XP_020869121.1, XP_020871489.1, XP_020869697.1	Np002G1072700
OG0000004	XP_020878681.1	Np004G2093200, Np007G3994400, Np005G2976000, Np005G3035100, Np002G0985300
OG0000005	XP_020874036.1	Np002G1043100
OG0000007	XP_020870157.1, XP_020870555.1	Np008G4270000, Np002G0921200
OG0000007	XP_020873755.1, XP_020876409.1, XP_020866331.1, XP_020872053.1, XP_020879940.1, XP_020872382.1, XP_020871008.1, XP_020880934.1, XP_020868816.1, XP_020866419.1, XP_002893144.2, XP_020870776.1, XP_020871034.1, XP_002875947.2, XP_002868379.2, XP_020879876.1, XP_020883895.1, XP_020866620.1, XP_020873499.1, XP_020887609.1, XP_020874852.1	Np003G1457500
OG0000008	XP_020881833.1, XP_020881734.1, XP_020882642.1, XP_020879664.1, XP_020882276.1	Np002G0964800
OG0000008	XP_020881885.1, XP_020881611.1, XP_020881699.1, XP_020881700.1	Np001G0535300
OG0000009	XP_020887659.1	Np005G2652900, Np004G2035600
OG0000009	XP_020884776.1	Np002G0805000
OG0000009	XP_020883429.1	Np004G2021700
OG0000009	XP_020877155.1, XP_020876055.1	Np003G1663900, Np001G0129200, Np003G1783000
OG0000009	XP_020881689.1	Np006G3566400
OG0000009	XP_020867197.1	Np002G0744000
OG0000011	XP_020873638.1	Np001G0276300
OG0000011	XP_020878589.1, XP_020869090.1	Np004G2119600
OG0000011	XP_020872379.1, XP_020877201.1, XP_020879405.1, XP_020871455.1	Np002G1062300, Np003G1667700
OG0000011	XP_020881858.1	Np001G0298900, Np004G2255700, Np001G0314400
OG0000011	XP_020875848.1	Np001G0276200
OG0000011	XP_020875471.1, XP_020876980.1, XP_002888416.2	Np007G4050800, Np001G0276100
OG0000015	XP_020865814.1	Np001G0295000, Np001G0361200
OG0000020	XP_020887777.1	Np003G1663000
