Orthogroup	Eutrema_salsugineum	Raphanus_sativus
OG0000000	XP_024014264.1, XP_024013215.1, XP_024004991.1	XP_018479586.1, XP_018479587.1, XP_018443691.1, XP_018473623.1, XP_018477037.1, XP_018479597.1
OG0000000	XP_024004899.1	XP_018462157.1
OG0000000	XP_024006886.1, XP_024011324.1	XP_018479790.1, XP_018487667.1, XP_018488079.1, XP_018473662.1
OG0000000	XP_024006398.1	XP_018461626.1
OG0000000	XP_024004414.1	XP_018479791.1, XP_018435819.1, XP_018463807.1, XP_018479254.1, XP_018474361.1, XP_018458945.1, XP_018463519.1, XP_018461587.1, XP_018479550.1, XP_018473616.1
OG0000000	XP_024013148.1	XP_018466708.1, XP_018454128.1
OG0000000	XP_024014707.1	XP_018453573.1, XP_018462059.1
OG0000000	XP_024004047.1, XP_024008096.1, XP_024016872.1, XP_024014000.1, XP_024010207.1	XP_018463022.1
OG0000002	XP_024016369.1	XP_018436084.1
OG0000002	XP_024004011.1	XP_018443656.1, XP_018473782.1, XP_018488094.1, XP_018463388.1
OG0000002	XP_024011378.1, XP_024009474.1, XP_024005004.1, XP_024016543.1, XP_024006422.1, XP_024013731.1, XP_024014482.1, XP_024013994.1, XP_024016829.1, XP_024004771.1, XP_024007242.1, XP_024009437.1, XP_024016221.1, XP_024016325.1, XP_024006459.1, XP_024010365.1, XP_024006657.1, XP_024004145.1, XP_024013154.1, XP_024004829.1	XP_018435987.1, XP_018466031.1, XP_018465756.1
OG0000003	XP_024005010.1	XP_018473970.1
OG0000003	XP_024016553.1	XP_018474062.1
OG0000003	XP_024006452.1	XP_018453894.1
OG0000003	XP_024004072.1	XP_018435394.1
OG0000003	XP_024007280.1, XP_024009246.1	XP_018436038.1
OG0000003	XP_024010659.1, XP_024010914.1	XP_018479479.1, XP_018458947.1
OG0000003	XP_024016317.1, XP_024013151.1, XP_024003873.1	XP_018460607.1
OG0000003	XP_024014348.1, XP_024011850.1, XP_024010650.1	XP_018458309.1, XP_018477029.1
OG0000003	XP_024014527.1	XP_018462918.1, XP_018474005.1, XP_018435481.1, XP_018443265.1
OG0000003	XP_024011300.1, XP_024006615.1, XP_024014246.1	XP_018462893.1
OG0000003	XP_024011306.1	XP_018459248.1
OG0000003	XP_024014231.1	XP_018488271.1
OG0000003	XP_024007996.1	XP_018467654.1, XP_018473851.1, XP_018453891.1, XP_018443595.1, XP_018453583.1, XP_018479683.1, XP_018473762.1
OG0000003	XP_024009434.1, XP_024015940.1	XP_018435547.1
OG0000003	XP_024013347.1	XP_018473666.1
OG0000003	XP_024009969.1	XP_018436465.1
OG0000003	XP_024004985.1	XP_018473849.1
OG0000003	XP_024004030.1	XP_018479089.1
OG0000004	XP_024007302.1	XP_018467378.1, XP_018461339.1, XP_018458452.1, XP_018479562.1
OG0000004	XP_024009381.1, XP_024016564.1, XP_024011370.1	XP_018459921.1, XP_018454350.1
OG0000005	XP_006404995.2	XP_018473854.1, XP_018453823.1, XP_018459047.1
OG0000005	XP_024013903.1	XP_018459385.1
OG0000005	XP_006402217.2	XP_018436209.1, XP_018454154.1
OG0000005	XP_024013358.1	XP_018462540.1, XP_018460030.1, XP_018459967.1, XP_018479006.1, XP_018460312.1, XP_018448667.1
OG0000005	XP_024013775.1	XP_018460938.1
OG0000005	XP_024013099.1	XP_018443683.1
OG0000005	XP_024016242.1, XP_024013377.1, XP_024015852.1	XP_018448581.1
OG0000005	XP_024009493.1, XP_024016342.1, XP_024010922.1, XP_024006399.1, XP_024014499.1, XP_024014528.1, XP_024009400.1, XP_024011296.1, XP_024014507.1	XP_018462024.1, XP_018463630.1
OG0000005	XP_024014001.1, XP_024015858.1	XP_018479521.1
OG0000005	XP_024015023.1	XP_018458647.1
OG0000007	XP_024009204.1, XP_024014376.1, XP_024006867.1, XP_024007289.1	XP_018462223.1
OG0000007	XP_024010444.1	XP_018462910.1, XP_018443719.1, XP_018463971.1, XP_018453920.1, XP_018453600.1, XP_018453608.1
OG0000007	XP_024014464.1, XP_024016297.1, XP_024010253.1, XP_024009329.1, XP_024006490.1	XP_018464726.1, XP_018465240.1, XP_018435826.1
OG0000007	XP_024014636.1, XP_024004080.1, XP_024013187.1	XP_018479518.1, XP_018479614.1
OG0000007	XP_024014172.1	XP_018473766.1
OG0000007	XP_024004172.1, XP_024013856.1	XP_018466154.1, XP_018479922.1, XP_018482702.1
OG0000007	XP_024015025.1, XP_024013606.1, XP_024006104.1	XP_018485455.1, XP_018483196.1
