Orthogroup	Eutrema_salsugineum	Camelina_sativa
OG0000000	XP_024004899.1	XP_010507236.1, XP_010513760.1, XP_010495271.1
OG0000000	XP_024011347.1	XP_010419043.1, XP_019092333.1
OG0000000	XP_024006886.1, XP_024011324.1	XP_010472251.1, XP_019099588.1, XP_010474031.1, XP_010472440.1, XP_010451797.1, XP_010507264.1, XP_010468426.1
OG0000000	XP_024016239.1	XP_010424208.1
OG0000000	XP_024004414.1	XP_010473903.1, XP_010512944.1, XP_019099570.1
OG0000000	XP_024013148.1	XP_010419021.1, XP_010490159.1, XP_010474601.1, XP_019095662.1
OG0000000	XP_024014707.1	XP_010495165.1, XP_010495244.1
OG0000000	XP_024006491.1	XP_019099765.1, XP_010468701.1
OG0000002	XP_024013294.1	XP_010451318.1, XP_019089215.1, XP_010468898.1, XP_010451603.1, XP_010424741.1, XP_010495427.1, XP_010480610.1, XP_010451602.1, XP_010451170.2, XP_010496006.1, XP_010496846.1, XP_010456559.1, XP_010424499.1, XP_010480911.1, XP_019089153.1, XP_019085481.1, XP_010451667.1, XP_019089100.1
OG0000002	XP_024016289.1, XP_024016302.1, XP_024016271.1, XP_024010360.1, XP_024015836.1	XP_010495428.1, XP_010518553.1, XP_010481019.1, XP_010474084.2
OG0000002	XP_024010711.1, XP_024016369.1	XP_010513476.1, XP_010484771.1
OG0000002	XP_024006401.1, XP_024015242.1, XP_024007240.1, XP_024013349.1	XP_010413056.1, XP_010501936.1, XP_019082648.1, XP_010445318.1, XP_019096392.1, XP_010462569.1, XP_010412811.1, XP_010495640.1, XP_019086824.1
OG0000002	XP_024011378.1, XP_024009474.1, XP_024005004.1, XP_024016543.1, XP_024006422.1, XP_024013731.1, XP_024014482.1, XP_024013994.1, XP_024016829.1, XP_024004771.1, XP_024007242.1, XP_024009437.1, XP_024016221.1, XP_024016325.1, XP_024006459.1, XP_024010365.1, XP_024006657.1, XP_024004145.1, XP_024013154.1, XP_024004829.1	XP_010495465.1, XP_010513345.1
OG0000003	XP_024004423.1	XP_019085419.1
OG0000003	XP_024016553.1	XP_019095265.1, XP_010468638.1, XP_019085542.1, XP_019096508.1, XP_019082748.1
OG0000003	XP_024006452.1	XP_019082654.1, XP_010489852.1
OG0000003	XP_024009427.1	XP_010419362.1, XP_019094392.1, XP_010507045.1, XP_010490042.1, XP_010412489.1
OG0000003	XP_024004072.1	XP_010418577.1, XP_010501871.1, XP_010501997.1
OG0000003	XP_024004813.1, XP_024004020.1	XP_010445721.1
OG0000003	XP_024007280.1, XP_024009246.1	XP_019094476.1
OG0000003	XP_024010658.1	XP_010501806.1
OG0000003	XP_024010659.1, XP_024010914.1	XP_019089122.1, XP_010436801.1, XP_010424388.1, XP_010445682.1, XP_010422568.1, XP_010445926.1
OG0000003	XP_024016317.1	XP_010496100.1, XP_010474339.1
OG0000003	XP_024013151.1, XP_024003873.1	XP_010418675.1
OG0000003	XP_024011850.1	XP_010445963.1, XP_010418736.1
OG0000003	XP_024010650.1	XP_010425414.1, XP_010430719.1
OG0000003	XP_024010600.1	XP_010463243.1
OG0000003	XP_024014297.1	XP_010495605.1, XP_010474252.1, XP_010423438.1, XP_019087502.1, XP_010462838.1
OG0000003	XP_024004974.1	XP_019089261.1
OG0000003	XP_024009942.1	XP_019100972.1
OG0000003	XP_024014527.1	XP_010435962.1, XP_010513407.1
OG0000003	XP_024011300.1	XP_019087435.1
OG0000003	XP_024006615.1	XP_010481038.1
OG0000003	XP_024014231.1	XP_019092278.1
OG0000003	XP_024007996.1	XP_019089220.1, XP_010473894.1, XP_010431475.1, XP_019095868.1, XP_010495447.1
OG0000003	XP_024009434.1, XP_024015940.1	XP_010419047.1, XP_019087294.1
OG0000003	XP_024013347.1	XP_019089103.1
OG0000003	XP_024004030.1	XP_010495645.1
OG0000004	XP_024010229.1	XP_010446038.1
OG0000004	XP_024011293.1	XP_010428128.2, XP_010473884.1, XP_010438349.1
OG0000004	XP_024007302.1	XP_019096716.1, XP_010488713.1, XP_019098283.1, XP_019097715.1, XP_010479590.1, XP_019094707.1, XP_019096757.1, XP_019096480.1, XP_010424301.1
OG0000004	XP_024009381.1, XP_024016564.1, XP_024011370.1	XP_010518461.1, XP_019096689.1, XP_010478337.2, XP_010495705.2, XP_010476476.1, XP_010462917.1
OG0000004	XP_024014847.1, XP_024016570.1	XP_010451293.2
OG0000005	XP_024003648.1	XP_019098106.1, XP_010468824.1
OG0000005	XP_006402217.2	XP_019085415.1, XP_010450321.1
OG0000005	XP_024016125.1, XP_024013775.1	XP_010445703.1, XP_010497063.1
OG0000005	XP_024013099.1	XP_010430868.1, XP_010495615.1, XP_019094583.1
OG0000005	XP_024013377.1, XP_024015852.1	XP_010412462.1, XP_010451773.2
OG0000005	XP_024009771.1, XP_024007306.1	XP_019082606.1, XP_019086332.1
OG0000005	XP_024009493.1	XP_019098316.1, XP_019094600.1, XP_019097484.1, XP_019086811.1, XP_019091104.1, XP_019089272.1, XP_019085539.1
OG0000005	XP_024016342.1, XP_024010922.1, XP_024006399.1, XP_024014499.1, XP_024014528.1, XP_024009400.1, XP_024011296.1, XP_024014507.1	XP_019089029.1
OG0000005	XP_024016094.1	XP_019096023.1, XP_010418873.1, XP_019092325.1
OG0000005	XP_024004015.1, XP_024010544.1	XP_010470568.1
OG0000007	XP_024009204.1, XP_024014376.1, XP_024006867.1, XP_024007289.1	XP_010495651.1
OG0000007	XP_024007896.1, XP_024005305.1, XP_024004058.1, XP_024010431.1	XP_010469447.1
OG0000007	XP_024004804.1, XP_024006809.1, XP_024010444.1, XP_024014464.1, XP_024016297.1, XP_024010253.1, XP_024009329.1, XP_024006490.1	XP_010456919.1, XP_019096427.1
OG0000007	XP_024011120.1	XP_010507307.1
OG0000007	XP_024008018.1, XP_024006274.1, XP_024010318.1	XP_010511600.1, XP_010507587.1
OG0000007	XP_024006492.1, XP_024006841.1	XP_010451880.1
OG0000007	XP_024014636.1, XP_024004080.1, XP_024013187.1	XP_010485281.1
OG0000007	XP_024004172.1, XP_024013856.1	XP_019087471.1
OG0000007	XP_024007990.1	XP_010468495.1, XP_010445987.1, XP_010463082.1, XP_010507576.1, XP_010436436.1, XP_019091129.1, XP_019094477.1, XP_019097408.1, XP_019094446.1, XP_010480912.1
OG0000007	XP_024016256.1, XP_024013573.1, XP_024016234.1	XP_010485291.1, XP_010478660.1, XP_010500080.1
OG0000007	XP_024007956.1, XP_024014249.1	XP_019082601.1, XP_019090940.1, XP_019094917.1, XP_019093341.1, XP_019087695.1, XP_010470530.1, XP_019089183.1
OG0000007	XP_024011210.1	XP_019101696.1, XP_019087470.1, XP_010513731.1, XP_010495913.1, XP_010507724.1, XP_010424263.1, XP_010501166.1, XP_019093691.1
OG0000007	XP_024013959.1, XP_024008092.1	XP_019083796.1, XP_010469173.1, XP_010444914.1
OG0000007	XP_024016262.1, XP_024004096.1	XP_010428435.1
OG0000007	XP_024016848.1, XP_024013889.1, XP_024007769.1	XP_019099816.1, XP_010463256.1
OG0000008	XP_024004796.1, XP_024004794.1, XP_024014490.1	XP_010451669.1
OG0000008	XP_024009261.1	XP_010484914.2
OG0000008	XP_024015912.1	XP_019085413.1
OG0000008	XP_024013171.1, XP_024010288.1, XP_024007970.1	XP_019100927.1, XP_010480868.1, XP_010497028.1, XP_010445013.1, XP_010507052.1, XP_010490195.1, XP_019089099.1, XP_010497042.1, XP_010419054.1, XP_019093233.1, XP_010490230.2, XP_010468775.1, XP_019095563.1, XP_010419092.1
OG0000008	XP_024013997.1, XP_024010682.1, XP_024009322.1, XP_024015209.1, XP_024009407.1, XP_024014486.1, XP_024013969.1, XP_024004792.1, XP_024006454.1, XP_024009495.1, XP_024009967.1, XP_024013989.1, XP_024014489.1	XP_010490304.1, XP_010468439.1, XP_019096470.1, XP_010451611.1, XP_019092291.1, XP_010451476.1, XP_010484870.1, XP_019092275.1, XP_010496514.1, XP_010490409.1, XP_019085184.1, XP_010507505.1, XP_010445057.1, XP_010495644.1, XP_010424378.1, XP_010496603.1, XP_010480905.1
OG0000008	XP_024014429.1, XP_024004767.1, XP_024016281.1, XP_024015907.1, XP_024010446.1, XP_024004910.1, XP_024006484.1, XP_024007711.1, XP_024006634.1, XP_024014150.1, XP_024011400.1, XP_024010291.1, XP_024006405.1	XP_010468434.1, XP_019086304.1, XP_010496023.1, XP_010484923.1, XP_010474067.1, XP_019094615.1, XP_010484960.1, XP_010473823.2, XP_010506903.1
