Orthogroup	Eutrema_salsugineum	Noccaea_praecox
OG0000000	XP_024004414.1	Np001G0404400, Np005G3184700, Np001G0462400
OG0000000	XP_024013148.1	Np002G1103800, Np006G3557600, Np002G0968700, Np001G0205900
OG0000000	XP_024014707.1	Np002G1002000
OG0000002	XP_024013097.1	Np002G1057700, Np008G4275500
OG0000002	XP_024006551.1	Np008G4260500
OG0000002	XP_024014438.1	Np009G4293000
OG0000002	XP_024009451.1, XP_024013993.1, XP_024016193.1, XP_024013954.1, XP_024016116.1, XP_024013210.1, XP_024015869.1, XP_024011258.1, XP_024010357.1, XP_024015134.1, XP_024014549.1, XP_024010591.1, XP_024010553.1, XP_024009251.1, XP_024010604.1, XP_024014521.1, XP_024006130.1, XP_024009464.1	Np001G0430400
OG0000002	XP_024009904.1, XP_024010307.1, XP_024013058.1, XP_024015923.1, XP_024011338.1, XP_024007318.1	Np007G4054400
OG0000003	XP_024004423.1	Np007G3935700
OG0000003	XP_024006573.1, XP_024005010.1, XP_024016553.1	Np005G3039000
OG0000003	XP_024010659.1, XP_024010914.1	Np003G1537900
OG0000003	XP_024016317.1	Np004G2165300
OG0000003	XP_024014348.1, XP_024011850.1, XP_024010650.1, XP_024010600.1, XP_024014297.1, XP_024004974.1, XP_024015880.1, XP_024014004.1, XP_024009942.1, XP_024014527.1	Np006G3523600
OG0000003	XP_024007996.1	Np003G1349400
OG0000003	XP_024009434.1, XP_024015940.1	Np004G1991500, Np007G4180900
OG0000003	XP_024004985.1	Np004G1991400
OG0000004	XP_024007302.1	Np004G2079000, Np003G1676800, Np002G1072700, Np004G2202000
OG0000004	XP_024009381.1, XP_024016564.1, XP_024011370.1	Np005G2935100
OG0000004	XP_024010464.1, XP_024010442.1, XP_024015847.1, XP_024014224.1, XP_024009247.1	Np005G2935000
OG0000005	XP_024016833.1	Np001G0309600, Np006G3467000, Np003G1728300
OG0000005	XP_024013099.1	Np002G1022400, Np007G4025000
OG0000005	XP_024016242.1, XP_024013377.1, XP_024015852.1	Np006G3465300
OG0000005	XP_024009771.1	Np003G1689900
OG0000005	XP_024007306.1	Np005G2966500
OG0000005	XP_024009449.1, XP_024013376.1, XP_024007271.1, XP_024007283.1, XP_024009480.1, XP_024013095.1, XP_024009250.1, XP_024016376.1, XP_024010624.1, XP_024014001.1, XP_024015858.1, XP_024015023.1	Np012G4370200, Np004G2223900
OG0000005	XP_024010905.1, XP_024015845.1	Np003G1685100
OG0000007	XP_024015267.1, XP_024013221.1, XP_024016233.1, XP_024004172.1, XP_024013856.1, XP_024015025.1, XP_024013606.1, XP_024006104.1, XP_024007990.1, XP_024004157.1, XP_024010052.1, XP_024008043.1, XP_024004924.1, XP_024004856.1, XP_024004074.1, XP_024014006.1, XP_024012322.1, XP_024012910.1, XP_024010245.1, XP_024016256.1, XP_024013573.1, XP_024016234.1, XP_024007956.1, XP_024014249.1, XP_024011210.1, XP_024004167.1, XP_024004498.1, XP_024016181.1, XP_024013999.1, XP_024004407.1, XP_024006094.1, XP_024004777.1, XP_024013813.1, XP_024012279.1, XP_024010251.1, XP_024008087.1, XP_024007934.1, XP_024013544.1, XP_024008877.1, XP_024004851.1, XP_024009378.1, XP_024009383.1, XP_024015931.1, XP_024004816.1, XP_024014990.1, XP_024008056.1, XP_024008023.1, XP_024013959.1, XP_024008092.1, XP_024004051.1, XP_024016262.1, XP_024004096.1, XP_024006097.1, XP_024011350.1, XP_024004963.1, XP_024013926.1, XP_024004117.1, XP_024013935.1, XP_024016848.1, XP_024013889.1, XP_024007769.1, XP_024013556.1, XP_024014247.1, XP_024016122.1	Np003G1457500
OG0000007	XP_006397474.2, XP_024004398.1, XP_024011387.1, XP_024013912.1, XP_024004241.1, XP_024005863.1, XP_024004112.1	Np005G3131700
OG0000008	XP_024013171.1, XP_024010288.1, XP_024007970.1	Np005G2918600, Np002G1026800
OG0000008	XP_024007971.1, XP_024011354.1	Np002G0964800
OG0000008	XP_024013173.1	Np001G0535300
OG0000009	XP_024007257.1, XP_024009950.1	Np006G3566400
OG0000009	XP_024011403.1, XP_024016212.1	Np002G0744000, Np002G0917100, Np003G1736600, Np001G0291400, Np001G0374300, Np001G0414900
OG0000011	XP_024003759.1, XP_024004876.1, XP_024016548.1	Np001G0276300
OG0000011	XP_024014025.1, XP_024013301.1, XP_024010379.1, XP_024013975.1, XP_024006589.1, XP_024006532.1, XP_024010647.1, XP_024011223.1, XP_024013321.1	Np002G1062300, Np003G1667700
OG0000011	XP_024013228.1	Np001G0276200
OG0000011	XP_024012731.1, XP_024004844.1, XP_024004832.1	Np007G4050800, Np001G0276100
OG0000012	XP_024013517.1	Np003G1639500
OG0000012	XP_024010663.1, XP_024004111.1, XP_024013978.1, XP_024006076.1, XP_024004769.1, XP_024016352.1, XP_006390305.1, XP_024008034.1, XP_024006880.1, XP_024004313.1, XP_024007964.1, XP_024013590.1, XP_024004088.1, XP_024013911.1, XP_024004169.1, XP_024005329.1, XP_024014256.1, XP_024004751.1, XP_024015027.1, XP_024011205.1, XP_024007772.1, XP_024013764.1, XP_024008044.1, XP_024010049.1, XP_024004131.1, XP_024006429.1, XP_024004872.1, XP_024011320.1, XP_024004073.1, XP_024004925.1, XP_024007953.1, XP_024015281.1, XP_024006278.1, XP_024006105.1, XP_024005001.1, XP_024006611.1, XP_024010628.1, XP_024009442.1, XP_024004156.1, XP_024011358.1, XP_024016363.1, XP_024009190.1, XP_024004052.1, XP_024010680.1, XP_024007768.1, XP_024004173.1	Np005G2960400, Np001G0263300, Np005G2658400
OG0000012	XP_024011250.1, XP_024011270.1, XP_024013668.1, XP_024016101.1, XP_024013382.1, XP_024010432.1, XP_024006682.1, XP_024016577.1, XP_024004056.1, XP_024005228.1, XP_024015282.1, XP_024013555.1, XP_024014250.1, XP_024006510.1, XP_024004043.1, XP_024016298.1, XP_024008037.1, XP_024013925.1	Np002G0797700, Np008G4276800
OG0000012	XP_024009752.1, XP_024004034.1, XP_024014463.1, XP_024013982.1, XP_024007975.1, XP_024004037.1, XP_024016238.1	Np001G0263200
OG0000014	XP_024013115.1, XP_024014009.1, XP_024005602.1, XP_024005000.1, XP_024015955.1	Np002G0952400
OG0000014	XP_024013164.1, XP_024015893.1, XP_024007899.1, XP_024010463.1	Np004G2216700
OG0000014	XP_024006470.1	Np001G0275400, Np002G0982600
OG0000015	XP_024006143.1	Np001G0295000
OG0000015	XP_024014590.1, XP_024006904.1	Np001G0486700
OG0000015	XP_024009420.1	Np008G4270200
OG0000016	XP_024010588.1	Np002G0990700, Np002G0970700, Np006G3586500, Np007G3998400
OG0000016	XP_024013310.1	Np002G1106400, Np002G0990200
OG0000016	XP_024009219.1	Np002G0990500
OG0000016	XP_024010546.1	Np007G3999600
OG0000016	XP_024011334.1, XP_024013809.1	Np002G1011300
OG0000018	XP_024010601.1	Np007G3967900
OG0000020	XP_024013930.1, XP_024006617.1, XP_024013145.1, XP_024005036.1, XP_024010660.1, XP_024013948.1, XP_024013964.1, XP_024013965.1, XP_006405034.2, XP_024010782.1, XP_024016366.1, XP_024009241.1, XP_024010575.1, XP_024013043.1, XP_024013056.1, XP_024010319.1, XP_024014443.1, XP_024006547.1, XP_024014425.1, XP_024007259.1, XP_024009794.1, XP_024011333.1, XP_024006565.1, XP_024013063.1, XP_024010757.1, XP_024016106.1, XP_024014812.1, XP_024015878.1, XP_024010923.1, XP_024016723.1, XP_024004986.1, XP_024015902.1	Np003G1663000
OG0000022	XP_006417199.1, XP_006417205.1, XP_006417216.1	Np004G2449100
OG0000022	XP_024014798.1	Np005G3189900
OG0000023	XP_024013410.1	Np002G1065700, Np005G3185500
OG0000023	XP_024009473.1	Np002G1180000
OG0000023	XP_024016113.1	Np007G4015700, Np002G1103400
OG0000023	XP_024007961.1, XP_024010549.1, XP_024014546.1, XP_024015958.1	Np006G3543300, Np005G2842200, Np006G3594200, Np004G2178800
OG0000023	XP_024006560.1	Np003G1712400
OG0000023	XP_024009936.1, XP_024006513.1	Np004G2391200, Np010G4349100
OG0000023	XP_024016167.1	Np005G3091400
OG0000024	XP_006393242.1, XP_006393240.1, XP_006393292.2, XP_006393291.1, XP_006393290.1, XP_006393293.1	Np004G1980700
OG0000024	XP_006393224.2	Np004G1980500
OG0000024	XP_024004275.1, XP_006402766.1	Np001G0579500, Np001G0579400
OG0000025	XP_024013062.1	Np006G3544700
