Orthogroup	Aethionema_saxatile	Arabidopsis_lyrata_Rawat
OG0000004	As007G177100	AL3G48680, AL5G22440, AL6G44150, AL1G56670, AL3G22550, AL5G26100, AL7G39190, AL3G46930, AL2G10670, AL5G14470, AL8G16780, AL1G59080, AL4G28670, AL4G26210, AL8G17990, AL4G17570
OG0000004	As009G212350	AL7G47010
OG0000004	As010G231160	AL5G12810
OG0000005	As001G006250	AL6G49130
OG0000006	As011G261190	AL1G53130
OG0000006	As010G228090	AL3G47390, AL7G43440, AL1G34010, AL8G16470, AL1G61810, AL6G29050, AL5G28660, AL4G23130, AL5G15300, AL1G46310, AL5G42560, AL6G17970, AL4G15130, AL1G41850, AL7G40730, AL2G22610, AL5G31160, AL8G17620, AL8G24640, AL9U10810, AL4G23810, AL4G24120, AL1G37680, AL3G20440, AL8G18310
OG0000010	As002G038660, As004G091490, As006G148670, As002G039770, As010G231130, As011G259140, As002G039560, As002G039570	AL8G19810
OG0000011	As002G041210	AL8G16700
OG0000012	As007G176710	AL7G44260
OG0000014	As007G177950	AL1G56800
OG0000015	As007G166610	AL1G15850, AL3G42230
OG0000015	As007G163280, As004G091800, As011G257210, As008G195330, As004G086610	AL1G20970, AL792U10020, AL429U10010, AL8G27740, AL4G24660, AL3G28900, AL4G16120, AL8G24680
OG0000015	As010G225860	AL3G46060
OG0000015	As011G260400	AL5G11190, AL1G65620, AL7G47990, AL2G21990, AL5G11720, AL615U10010, AL1G54160
OG0000015	As011G262470	AL3G46050
OG0000017	As006G147350	AL7G11240, AL7G16690, AL4G42290
OG0000017	As001G010690	AL189U10020
OG0000019	As010G228190	AL8G40930
OG0000020	As009G211210, As012G277620, As011G260540, As001G015300, As002G039920, As009G211220	AL4G17980
OG0000021	As005G111040	AL8G10060
OG0000021	As001G005040	AL3G42620
OG0000021	As003G071480, As010G232120	AL1G46090, AL5G10040, AL5G25470, AL96U10010
OG0000023	As004G084560, As004G084580, As004G084570	AL1G66280, AL6G46070
OG0000023	As003G061270	AL7G30280
OG0000026	As001G006500, As007G166710	AL460U10010
