Orthogroup	Aethionema_saxatile	Erysimum_linariifolium
OG0000000	As001G006630, As006G147610	El001G044760, El004G210980, El005G262990, El005G263050, El005G264050, El003G177780
OG0000000	As011G257780	El003G182470, El006G298040, El001G044720, El001G051780
OG0000002	As004G091160	El002G130310
OG0000004	As007G177100	El006G291650, El007G350510, El002G127280, El005G255260
OG0000004	As009G212350	El001G079820
OG0000005	As001G006250	El002G123530
OG0000005	As007G177090, As005G111430	El003G183090, El002G106850, El007G348140, El004G202650
OG0000006	As011G261190	El004G209180
OG0000006	As010G228090	El006G316810, El001G046690, El007G324910, El001G079730
OG0000010	As005G110910, As011G258980, As010G231140, As004G091500, As010G230230, As010G226790, As005G110530, As010G230410, As011G260030, As011G260080	El007G350710
OG0000011	As002G041210	El004G200940
OG0000011	As012G276770, As007G163680, As002G041220, As004G093340	El002G082610
OG0000012	As007G176710	El006G310180, El001G048000, El003G154210, El007G344400, El007G350120
OG0000013	As008G192150, As010G226760, As001G010890	El006G310400
OG0000013	As003G066310, As007G165470, As003G067330, As002G039360, As005G111230, As002G039700, As011G257240, As010G228560, As003G066630, As002G039780, As001G012770, As007G167080, As012G280310, As007G176700, As002G039000, As012G279120, As001G006220, As010G228600, As001G010900, As002G042370, As007G165620, As007G165630, As001G013310	El007G350800
OG0000015	As007G163280, As004G091800, As011G257210, As008G195330, As004G086610	El001G070750, El003G167160
OG0000015	As010G225860	El060G376140, El053G375740
OG0000017	As006G147350	El007G356670
OG0000017	As006G144790, As012G280790	El004G210020
OG0000019	As009G203070	El002G122780
OG0000019	As004G091650	El006G281410
OG0000020	As007G165150, As001G010310, As001G015320	El005G264160
OG0000020	As009G211210, As012G277620, As011G260540, As001G015300	El001G045330, El001G045300, El001G045270
OG0000021	As003G071480, As010G232120	El005G277430, El007G325630, El001G045050
OG0000023	As003G061280	El003G162000
OG0000023	As003G061270	El003G162130
OG0000026	As008G188870	El004G210040, El002G122340, El004G232830, El002G140810, El005G251640, El006G294370
OG0000029	As001G005440	El006G302870, El002G125750, El008G368530
OG0000029	As004G091740, As005G109110	El003G179090, El007G348030, El008G371400, El008G371420, El008G371370, El008G371360, El001G044810
OG0000029	As008G192170	El006G307470
OG0000030	As011G260570, As011G260600, As010G228030, As011G258250	El007G358700, El008G371380, El007G349640
OG0000030	As001G013350	El003G181960
OG0000031	As001G032000	El004G197790, El004G197660
OG0000031	As006G134510	El003G192370, El005G253470, El003G157520
OG0000033	As003G061230, As003G061200, As003G061190, As003G061240	El003G162140, El003G162150
OG0000033	As003G059410, As003G059430, As003G059400	El003G164670
OG0000033	As003G061210, As003G061160	El003G162180, El003G162220, El001G014890
OG0000033	As004G086230	El001G004730
OG0000034	As011G258840	El006G311550
OG0000036	As010G230940, As008G183620, As012G280180, As011G261090	El003G178170
OG0000036	As012G279790, As002G038510, As005G109970, As010G231320, As003G065720, As012G280900	El006G309110
OG0000036	As008G192160	El006G312180
OG0000038	As009G211050, As009G210990, As009G210820	El006G281890, El006G282510
OG0000038	As007G157540	El006G282520
OG0000043	As010G230440, As005G110900	El007G350700
OG0000048	As006G137090, As006G137040, As006G137120, As006G137000	El005G238400, El005G238360
OG0000048	As006G136970	El003G193700
OG0000048	As001G017720, As001G017740, As001G017730, As001G017710	El006G321480
OG0000049	As007G177650, As001G000050	El001G020690
OG0000055	As001G022050	El001G016330, El001G016310, El001G016300
OG0000055	As001G022060	El004G198020
OG0000063	As006G129610	El001G014950
OG0000063	As010G224630	El002G090480
OG0000063	As006G129480, As005G114650	El006G292790
OG0000065	As012G279540, As012G279660	El002G116640, El002G116630
OG0000065	As002G040810	El003G166430, El007G349160
OG0000066	As010G237910	El003G143700
OG0000066	As002G052230	El004G228220, El004G228230, El002G122920
OG0000066	As002G052910	El002G091950, El001G042280, El001G071590, El001G071600, El007G324790
OG0000066	As005G118450	El007G324780
OG0000067	As011G256070, As011G256050	El001G050000
OG0000070	As006G149230, As011G259300	El002G125720
OG0000073	As006G137430	El002G132380, El007G343060, El004G214500
OG0000078	As004G095030	El008G368270, El008G368260
OG0000079	As012G285110	El005G237320, El005G272390, El005G237310, El004G213350, El004G213320, El004G213370, El005G273970, El004G207470, El001G030540, El007G357730, El003G187300, El003G187270, El003G187260, El003G187360, El003G187320, El003G187370, El003G187350, El003G187330, El003G187280, El004G196920
OG0000083	As006G138550	El007G352220, El007G352210, El005G265380, El004G223260, El005G262880, El005G263710, El005G263680, El005G263720, El005G262910, El005G271190, El005G271150, El005G271260, El005G271250, El005G271160, El005G265390, El006G317480, El006G317520, El006G317460, El006G317530, El006G317470, El006G317450, El006G313440, El005G240260
OG0000086	As009G216030, As009G216300, As009G216040	El002G123600, El004G210560
OG0000087	As010G222260	El001G056180
OG0000087	As006G128780	El006G303330
OG0000087	As002G051000	El001G069260
OG0000087	As012G274980	El006G296420
OG0000087	As004G086530	El007G360740
OG0000087	As003G058850	El003G165170
OG0000087	As010G237710	El004G228430
OG0000088	As010G225400, As010G225450, As010G225490, As010G225520, As010G223920	El001G013540, El007G357210, El001G017100, El005G272510, El001G016960, El001G016980, El001G017010
OG0000088	As010G223910	El001G016470
OG0000089	As002G053510	El001G072250
