Orthogroup	Aethionema_saxatile	Noccaea_praecox
OG0000000	As006G148660, As007G164610, As002G036700, As010G230770	Np002G098530, Np005G303500, Np004G209310, Np005G297590, Np007G399430
OG0000000	As011G257780	Np003G178670
OG0000002	As004G091170	Np006G346800, Np002G102950
OG0000003	As008G191470	Np006G346520, Np007G404330, Np005G296980, Np008G429060, Np001G031010, Np002G099380, Np001G029010
OG0000003	As003G066710	Np009G429960, Np003G168500
OG0000003	As010G230320	Np009G429910
OG0000003	As012G280070	Np003G172810
OG0000004	As007G177100	Np002G100200
OG0000004	As009G212350	Np002G096870, Np002G110370, Np001G020590
OG0000005	As012G278720	Np006G355750, Np002G110360
OG0000006	As011G261190	Np002G092120
OG0000006	As010G228090	Np003G145740, Np005G313160, Np008G427000
OG0000008	As007G166140	Np005G291850
OG0000011	As007G165830, As002G041210	Np001G009230, Np006G351190
OG0000011	As011G266350, As011G266360	Np006G351200, Np005G282850, Np003G155300, Np004G199380, Np001G031320, Np007G398170, Np004G218590, Np007G395120, Np007G375140, Np006G340490, Np002G120850, Np007G415950, Np004G191040, Np004G237170, Np007G414490, Np003G184190, Np004G197460, Np003G163790
OG0000011	As002G042220	Np001G018210
OG0000013	As010G228550, As010G230420, As010G230620, As001G011830, As003G066230, As001G010630, As007G166800, As001G010860, As002G040060, As006G147900, As012G279880, As010G230200	Np002G102600, Np003G173130
OG0000015	As010G225860	Np005G274380, Np007G402630, Np008G427030
OG0000017	As011G261070, As010G227380	Np003G171300
OG0000017	As003G065780	Np005G282110, Np005G282180, Np007G396400
OG0000019	As010G228470, As001G007070	Np001G027620
OG0000019	As012G281430, As001G013530	Np004G239770
OG0000021	As002G035760, As001G004280	Np005G303890
OG0000021	As011G259540, As001G012170, As001G005040	Np004G199140
OG0000021	As003G071480, As010G232120	Np007G402490, Np003G147560, Np002G120150, Np002G109960, Np003G148260
OG0000023	As003G061350	Np005G284010
OG0000026	As007G165250	Np003G171320
OG0000027	As003G071520, As009G213600, As009G213690, As003G069630, As008G195350, As003G071510, As003G071530, As003G071500, As003G071450, As007G154190, As004G087790, As010G224770, As010G236950, As010G241770, As010G241150, As009G213720, As009G213770, As009G213640, As009G213620, As009G216140, As003G071490, As007G178010, As004G090610	Np002G093210
OG0000029	As001G005440	Np011G435770, Np011G435790, Np004G206740, Np004G225200, Np001G048900
OG0000029	As001G005430	Np002G073630
OG0000029	As004G091740, As005G109110	Np003G169850, Np001G030650, Np001G034960, Np004G225420, Np001G003630, Np001G034950
OG0000029	As004G091750, As003G064310	Np003G167270
