Orthogroup	Cardamine_hirsuta	Noccaea_praecox
OG0000000	CARHR219240, CARHR166210	Np003G1298000, Np005G3158100, Np003G1529800, Np005G3074100
OG0000007	CARHR115290, CARHR256390, CARHR262640	Np002G0921200
OG0000007	CARHR150730, CARHR052510, CARHR024460, CARHR221620, CARHR060220, CARHR271650, CARHR286510, CARHR054390, CARHR099640, CARHR266880, CARHR029270, CARHR156020, CARHR055800, CARHR216040, CARHR051840, CARHR032440, CARHR057030	Np003G1457500
OG0000008	CARHR183140	Np005G2918600
OG0000008	CARHR293430, CARHR035430, CARHR217860, CARHR215010, CARHR103540, CARHR118900	Np002G0964800
OG0000008	CARHR161310, CARHR161290, CARHR161300, CARHR161340, CARHR161350	Np001G0535300
OG0000009	CARHR160220	Np004G1970100
OG0000009	CARHR114650	Np006G3566400
OG0000009	CARHR153540	Np002G0744000
OG0000009	CARHR055780	Np002G0917100, Np003G1736600, Np001G0291400, Np001G0374300, Np001G0414900
OG0000011	CARHR259400	Np001G0276300
OG0000015	CARHR258200, CARHR258330	Np001G0486700, Np005G2743900
OG0000015	CARHR110600	Np007G4092100, Np007G4161100
OG0000020	CARHR113350, CARHR034150, CARHR049310	Np005G2821900, Np005G2821200
OG0000020	CARHR213120	Np003G1713100
OG0000022	CARHR213210	Np005G3189900
OG0000024	CARHR030400	Np002G0932100
OG0000024	CARHR030420	Np004G2007800
OG0000024	CARHR062310	Np004G2150800
OG0000024	CARHR168020, CARHR167830	Np001G0579500, Np001G0579400
OG0000024	CARHR030470, CARHR148710, CARHR030440, CARHR030410, CARHR045190	Np004G2148800, Np004G2148600, Np005G2717400
OG0000025	CARHR288360	Np006G3544700
OG0000026	CARHR104160	Np002G1023700, Np003G1714900, Np004G2296200, Np002G1036400, Np006G3505400, Np002G0982000, Np002G0982200, Np004G2241900, Np002G1073000, Np002G1127100, Np004G2249100, Np002G1005400, Np001G0243300, Np002G0966100, Np004G2247000, Np001G0260700, Np002G1000900, Np004G2249200, Np006G3466700, Np001G0460600, Np001G0205400, Np002G1009300, Np006G3527300, Np001G0460700, Np003G1715000
OG0000027	CARHR264010, CARHR255080, CARHR255070, CARHR255050	Np003G1806500
OG0000027	CARHR055330	Np005G2840800
OG0000027	CARHR230440	Np005G2838800
OG0000028	CARHR285330, CARHR220000, CARHR100780	Np003G1643200
OG0000028	CARHR267520, CARHR267660	Np003G1814100, Np006G3583400, Np006G3684500, Np006G3583600, Np006G3583100, Np003G1813800, Np003G1813300
