Orthogroup	Cardamine_hirsuta	Rorippa_islandica
OG0000000	CARHR219900, CARHR034550	Roisl.0046s1371.1.p, Roisl.0091s0126.1.p
OG0000000	CARHR228880, CARHR142010	Roisl.0012s0255.1.p, Roisl.0053s0040.1.p
OG0000000	CARHR153350	Roisl.0020s0162.1.p, Roisl.0213s0727.1.p
OG0000007	CARHR051840	Roisl.0064s0008.1.p
OG0000008	CARHR288670	Roisl.0006s0140.1.p
OG0000008	CARHR257900, CARHR038360, CARHR181300, CARHR104250, CARHR286450, CARHR035440, CARHR117390, CARHR218770, CARHR031010	Roisl.0008s0117.1.p
OG0000008	CARHR159360	Roisl.0082s0661.1.p
OG0000008	CARHR217630	Roisl.0036s0059.1.p
OG0000008	CARHR258310, CARHR217850	Roisl.0029s0057.1.p, Roisl.0043s0001.1.p
OG0000008	CARHR183140	Roisl.0025s0028.1.p
OG0000008	CARHR293430	Roisl.0213s0742.1.p, Roisl.0188s0051.1.p
OG0000008	CARHR035430, CARHR217860	Roisl.0066s0428.1.p, Roisl.0066s0426.1.p, Roisl.0008s0018.1.p
OG0000008	CARHR215010	Roisl.0082s0006.1.p
OG0000008	CARHR103540	Roisl.0214s0198.1.p
OG0000008	CARHR118900	Roisl.0189s0008.1.p
OG0000008	CARHR115010	Roisl.0037s0001.1.p, Roisl.0041s0027.1.p, Roisl.0213s0638.1.p
OG0000008	CARHR291920, CARHR221030, CARHR117380	Roisl.0208s0049.1.p, Roisl.0065s0019.1.p, Roisl.0209s0203.1.p
OG0000008	CARHR161310, CARHR161290, CARHR161300	Roisl.0046s1128.1.p
OG0000008	CARHR161340	Roisl.0046s1132.1.p, Roisl.0046s1119.1.p
OG0000008	CARHR103530	Roisl.0027s0062.1.p, Roisl.0058s0016.1.p
OG0000008	CARHR257810, CARHR218380, CARHR259120	Roisl.0022s0261.1.p
OG0000008	CARHR119350, CARHR214330	Roisl.0053s0125.1.p
OG0000008	CARHR118910, CARHR216990, CARHR111800	Roisl.0014s0136.1.p, Roisl.0214s0127.1.p, Roisl.0179s0096.1.p, Roisl.0033s0081.1.p, Roisl.0005s0371.1.p, Roisl.0020s0039.1.p, Roisl.0189s0101.1.p
OG0000011	CARHR218510	Roisl.0008s0052.1.p
OG0000012	CARHR130420	Roisl.0031s0101.1.p, Roisl.0213s0834.1.p
OG0000012	CARHR032710	Roisl.0013s0173.1.p, Roisl.0046s1019.1.p
OG0000012	CARHR256470	Roisl.0214s0631.1.p
OG0000014	CARHR287490	Roisl.0214s0137.1.p
OG0000015	CARHR258200, CARHR258330	Roisl.0209s0284.1.p
OG0000015	CARHR110600	Roisl.0214s0740.1.p, Roisl.0082s0057.1.p, Roisl.0006s0132.1.p, Roisl.0053s0047.1.p, Roisl.0032s0105.1.p
OG0000020	CARHR113350, CARHR034150, CARHR049310	Roisl.0025s0020.1.p, Roisl.0204s0053.1.p, Roisl.0066s0088.1.p, Roisl.0036s0054.1.p, Roisl.0040s0004.1.p, Roisl.0214s0552.1.p, Roisl.0194s0048.1.p
OG0000020	CARHR213120	Roisl.0210s2188.1.p, Roisl.0083s0053.1.p
OG0000021	CARHR146600	Roisl.0082s0017.1.p
OG0000022	CARHR234420	Roisl.0022s0346.1.p
OG0000022	CARHR196550	Roisl.0210s1365.1.p
OG0000022	CARHR048190	Roisl.0010s0089.1.p, Roisl.0010s0086.1.p
OG0000022	CARHR051050, CARHR048810	Roisl.0010s0095.1.p
