Orthogroup	Cardamine_hirsuta	Euclidium_syriacum
OG0000000	CARHR219900, CARHR034550	ESY7_g16535_DN2_SP0_c0.t1, ESY20_g12791_DN2_SP0_c0.t1
OG0000007	CARHR183870, CARHR128840, CARHR216900, CARHR184100, CARHR117490, CARHR293410, CARHR057560, CARHR111840, CARHR100700, CARHR258710, CARHR180780, CARHR182530, CARHR055190, CARHR182520, CARHR257960, CARHR183200, CARHR262650, CARHR128850, CARHR121710, CARHR180980, CARHR287750, CARHR115290, CARHR256390, CARHR262640, CARHR216870, CARHR058800, CARHR052910, CARHR152010, CARHR154010, CARHR144660, CARHR100290, CARHR221610, CARHR060230, CARHR133710, CARHR271640, CARHR058320, CARHR054400, CARHR257440, CARHR060330, CARHR216050, CARHR266890, CARHR096020, CARHR029260, CARHR156010, CARHR051850, CARHR151410, CARHR214530, CARHR150730, CARHR052510, CARHR024460, CARHR221620, CARHR060220, CARHR271650, CARHR286510, CARHR054390, CARHR099640, CARHR266880, CARHR029270, CARHR156020, CARHR055800, CARHR216040, CARHR051840, CARHR032440, CARHR057030	ESY9_g43616_DN3_SP0_c12.t1
OG0000009	CARHR034640, CARHR017910	ESY23_g520_DN2_SP0_c0.t1, ESY2_g33779_DN2_SP0_c0.t1, ESY4_g25202_DN1_SP0_c0.t1
OG0000009	CARHR217600, CARHR160220	ESY7_g19643_DN1_SP0_c0.t1, ESY4_g23742_DN2_SP0_c0.t1, ESY7_g17772_DN2_SP0_c0.t1
OG0000009	CARHR059740	ESY13_g56734_DN1_SP0_c0.t1
OG0000011	CARHR218510	ESY12_g51066_DN2_SP0_c0.t1, ESY1_g9462_DN1_SP0_c0.t1
OG0000011	CARHR259400	ESY5_g2565_DN1_SP0_c0.t1
OG0000015	CARHR258200, CARHR258330	ESY14_g21116_DN2_SP0_c1.t1
OG0000015	CARHR110600	ESY13_g56277_DN2_SP0_c0.t1, ESY17_g40192_DN2_SP0_c0.t1, ESY13_g57357_DN1_SP0_c0.t1, ESY5_g676_DN2_SP0_c0.t1, ESY4_g23838_DN1_SP0_c0.t1, ESY3_g29176_DN1_SP0_c0.t1, ESY3_g28799_DN2_SP0_c0.t1, ESY3_g29490_DN1_SP0_c0.t1, ESY8_g60679_DN2_SP0_c0.t1, ESY11_g52487_DN1_SP0_c0.t1, ESY2_g38598_DN3_SP0_c0.t1, ESY4_g23101_DN1_SP0_c72.t1, ESY6_g46006_DN2_SP0_c14.t1, ESY10_g15713_DN2_SP0_c0.t1, ESY10_g14906_DN2_SP0_c0.t1, ESY4_g24528_DN1_SP0_c0.t1, ESY13_g56278_DN1_SP0_c1.t1, ESY11_g53315_DN2_SP0_c0.t1
OG0000020	CARHR113350, CARHR034150, CARHR049310	ESY18_g63699_DN3_SP0_c0.t1, ESY9_g44479_DN2_SP0_c0.t1, ESY17_g39372_DN3_SP0_c44.t1, ESY11_g52417_DN3_SP0_c0.t1
OG0000020	CARHR213120	ESY6_g46671_DN2_SP0_c83.t1
OG0000021	CARHR146600	ESY2_g36897_DN3_SP0_c0.t1, ESY1_g8553_DN3_SP0_c0.t1, ESY2_g36889_DN2_SP0_c0.t1, ESY5_g1040_DN3_SP0_c0.t1, ESY4_g26006_DN3_SP0_c0.t1, ESY7_g17537_DN3_SP0_c0.t1, ESY1_g9704_DN3_SP0_c0.t1, ESY6_g48613_DN3_SP0_c0.t1, ESY6_g47610_DN3_SP0_c0.t1, ESY4_g25933_DN3_SP0_c0.t1, ESY9_g43848_DN3_SP0_c0.t1, ESY10_g15845_DN3_SP0_c0.t1, ESY1_g8552_DN3_SP0_c0.t1, ESY3_g30023_DN2_SP0_c0.t1, ESY19_g41697_DN3_SP0_c0.t1, ESY6_g45922_DN3_SP0_c0.t1, ESY5_g1354_DN3_SP0_c0.t1, ESY6_g47609_DN3_SP0_c0.t1, ESY6_g48612_DN3_SP0_c0.t1, ESY11_g54587_DN3_SP0_c0.t1, ESY6_g47608_DN3_SP0_c0.t1, ESY9_g43847_DN3_SP0_c0.t1, ESY15_g65477_DN3_SP0_c0.t1
OG0000024	CARHR030400	ESY4_g26389_DN2_SP0_c0.t1, ESY7_g18150_DN2_SP0_c0.t1, ESY1_g10652_DN1_SP0_c0.t1, ESY11_g54749_DN3_SP0_c0.t1, ESY8_g58303_DN2_SP0_c0.t1
OG0000024	CARHR030450	ESY12_g51217_DN2_SP0_c0.t1
OG0000024	CARHR030420	ESY12_g51909_DN2_SP0_c0.t1, ESY2_g33351_DN3_SP0_c0.t1, ESY5_g1897_DN2_SP0_c0.t1, ESY12_g51218_DN3_SP0_c0.t1, ESY20_g13272_DN2_SP0_c0.t1
OG0000026	CARHR104160	ESY4_g24970_DN3_SP0_c0.t1, ESY11_g52546_DN2_SP0_c0.t1, ESY15_g65549_DN2_SP0_c0.t1, ESY13_g56315_DN1_SP0_c55.t1, ESY18_g64157_DN2_SP0_c0.t1, ESY21_g55910_DN1_SP0_c17.t1, ESY13_g56316_DN1_SP0_c0.t1, ESY1_g7853_DN1_SP0_c0.t1, ESY2_g36322_DN3_SP0_c0.t1, ESY1_g8855_DN3_SP0_c0.t1, ESY14_g20612_DN2_SP0_c0.t1, ESY11_g52547_DN2_SP0_c0.t1, ESY13_g56165_DN1_SP0_c0.t1, ESY1_g9068_DN2_SP0_c0.t1, ESY13_g56166_DN2_SP0_c0.t1, ESY8_g58625_DN1_SP0_c0.t1
OG0000027	CARHR254990	ESY9_g42764_DN3_SP0_c0.t1
OG0000027	CARHR230560	ESY23_g71_DN1_SP0_c28.t1
OG0000027	CARHR230280, CARHR230310, CARHR055330, CARHR230350, CARHR230440, CARHR230330, CARHR230640, CARHR230340	ESY9_g42607_DN2_SP0_c68.t1
OG0000027	CARHR230580	ESY7_g17001_DN1_SP0_c0.t1
OG0000028	CARHR104940	ESY3_g32495_DN3_SP0_c95.t1
OG0000028	CARHR285330, CARHR220000, CARHR100780	ESY3_g32269_DN2_SP0_c54.t1
OG0000028	CARHR028780, CARHR203520	ESY4_g24911_DN2_SP0_c50.t1, ESY7_g18156_DN1_SP0_c46.t1
OG0000029	CARHR056480, CARHR153130	ESY1_g6329_DN2_SP0_c0.t1
