Orthogroup	Cardamine_hirsuta	Arabidopsis_arenosa
OG0000000	CARHR219240, CARHR166210	jg7091
OG0000000	CARHR153350	jg27616
OG0000008	CARHR046080, CARHR116420	jg20324
OG0000008	CARHR101910	jg27185
OG0000008	CARHR161340	jg15054, jg15062, jg15069, jg15057
OG0000009	CARHR145720	jg12452, jg19324, jg23533
OG0000011	CARHR218510	jg33383, jg21637
OG0000011	CARHR259400	jg13840
OG0000012	CARHR032720	jg27079
OG0000015	CARHR258200, CARHR258330	jg11869
OG0000015	CARHR110600	jg32432, jg6861, jg27710, jg6954, jg21086, jg11868, jg21314
OG0000020	CARHR113350, CARHR034150, CARHR049310	jg2142
OG0000020	CARHR213120	jg11780, jg21044, jg32221, jg11614, jg1479, jg1901, jg6982, jg14690, jg6883
OG0000021	CARHR146600	jg32225, jg20321, jg1978, jg701
OG0000022	CARHR234420	jg9770
OG0000022	CARHR196550	jg5495
OG0000022	CARHR048190	jg643, jg617, jg616, jg618, jg613
OG0000022	CARHR051050, CARHR048810	jg645, jg586, jg583, jg572
OG0000022	CARHR049170	jg642
OG0000022	CARHR048480, CARHR048800	jg612, jg610, jg644
OG0000022	CARHR048220	jg29675
OG0000022	CARHR049120	jg638
OG0000022	CARHR013000	jg29724
OG0000022	CARHR012910	jg29711
OG0000022	CARHR046360	jg372
OG0000022	CARHR213210	jg12744
OG0000022	CARHR091960	jg25741
OG0000024	CARHR030400	jg18272
OG0000024	CARHR030420	jg31712
OG0000024	CARHR126510, CARHR030870	jg31673
OG0000024	CARHR174240	jg31713
OG0000024	CARHR113190	jg31953, jg31952, jg31856, jg31855
OG0000024	CARHR213730	jg33003, jg33002
OG0000024	CARHR031540	jg31708
OG0000024	CARHR062310	jg27402, jg18984
OG0000024	CARHR167830	jg14278
OG0000026	CARHR104160	jg6878
OG0000027	CARHR255070	jg7517, jg7516
OG0000027	CARHR255040	jg7521
OG0000027	CARHR255010, CARHR263990, CARHR255060, CARHR254990	jg7523
OG0000027	CARHR057450	jg10174
OG0000027	CARHR230470, CARHR230480	jg10184
OG0000027	CARHR230450	jg10183
OG0000027	CARHR230510	jg10181
OG0000027	CARHR230400, CARHR230390	jg10191
OG0000027	CARHR254870	jg7537, jg7533, jg7530
OG0000027	CARHR230560	jg9025
OG0000027	CARHR230300	jg10192
OG0000027	CARHR055330	jg10199
OG0000027	CARHR230350	jg10187
OG0000027	CARHR230440	jg10190
OG0000028	CARHR220000	jg22443, jg22441
OG0000028	CARHR100780	jg22952
OG0000028	CARHR242640, CARHR242590	jg8944, jg8946
OG0000028	CARHR269260	jg22236
OG0000028	CARHR269250	jg22237
OG0000028	CARHR268630	jg22427, jg22428
OG0000028	CARHR267660	jg22219, jg12583, jg12582
OG0000028	CARHR242050	jg8750
OG0000028	CARHR244240	jg8748
OG0000028	CARHR028780, CARHR203520	jg14605, jg28212
OG0000028	CARHR267840	jg22445
OG0000028	CARHR267700	jg22278, jg22269, jg22270, jg22279, jg22262
OG0000029	CARHR116610, CARHR153140	jg21311
OG0000030	CARHR060010, CARHR059990	jg2274
OG0000030	CARHR162370	jg30787
OG0000030	CARHR260760, CARHR260790	jg25536
OG0000030	CARHR158520, CARHR158510, CARHR158530	jg1537, jg14799, jg17824, jg14802, jg14804
OG0000030	CARHR088850	jg11085
OG0000030	CARHR088860, CARHR095910, CARHR026350	jg25272
