Orthogroup	Cardamine_hirsuta	Capsella_rubella
OG0000000	CARHR228880, CARHR142010	XP_023644510.1, XP_023644490.1
OG0000000	CARHR153350	XP_023636065.1, XP_023634315.1, XP_023640349.1, XP_023633451.1, XP_023633818.1
OG0000007	CARHR057560, CARHR111840, CARHR100700, CARHR258710, CARHR180780, CARHR182530, CARHR055190	XP_023640317.1
OG0000007	CARHR058800, CARHR052910, CARHR152010, CARHR154010	XP_023635039.1
OG0000007	CARHR150730	XP_023643663.1
OG0000007	CARHR054390, CARHR099640, CARHR266880, CARHR029270, CARHR156020	XP_023643356.1
OG0000007	CARHR216040	XP_023634292.1
OG0000007	CARHR032440, CARHR057030	XP_023634518.1, XP_023644418.1
OG0000008	CARHR183140	XP_023641963.1
OG0000008	CARHR056560, CARHR114970, CARHR150550	XP_023644475.1, XP_023640337.1, XP_023633664.1, XP_023642844.1, XP_006279329.2, XP_006300347.2, XP_023644459.1, XP_006304508.2, XP_023634290.1
OG0000008	CARHR293430	XP_006282156.2
OG0000008	CARHR035430, CARHR217860	XP_023641902.1
OG0000008	CARHR161340	XP_023638567.1
OG0000008	CARHR051890, CARHR217020, CARHR131120, CARHR164530, CARHR288680, CARHR103530, CARHR257810, CARHR218380, CARHR259120	XP_023633352.1
OG0000008	CARHR118910, CARHR216990, CARHR111800	XP_023633344.1
OG0000009	CARHR059740	XP_023639614.1, XP_023644435.1, XP_023644436.1
OG0000009	CARHR114650	XP_006292284.1
OG0000011	CARHR218510	XP_023638113.1, XP_023633028.1
OG0000011	CARHR259400	XP_023644226.1
OG0000012	CARHR130420	XP_023644370.1, XP_023634858.1, XP_023636049.1
OG0000014	CARHR287490	XP_023638462.1, XP_023634279.1
OG0000015	CARHR110600	XP_023638902.1, XP_023636914.1, XP_023638085.1
OG0000020	CARHR113350, CARHR034150, CARHR049310	XP_023644500.1, XP_023642646.1, XP_023644234.1, XP_023636041.1, XP_023633702.1, XP_023633829.1, XP_023644232.1
OG0000021	CARHR146600	XP_023637954.1
OG0000022	CARHR234420	XP_006283550.1
OG0000022	CARHR196550	XP_023636761.1
OG0000022	CARHR051050, CARHR048810	XP_006301194.2, XP_006300860.1
OG0000022	CARHR049170	XP_006302102.1
OG0000022	CARHR049120	XP_006301814.1
OG0000022	CARHR013000	XP_006306232.1
OG0000022	CARHR046360	XP_023643559.1
OG0000022	CARHR046370	XP_006302132.1
OG0000022	CARHR213210	XP_023635463.1
OG0000022	CARHR091960	XP_006297483.1
OG0000024	CARHR174240	XP_023632988.1
OG0000024	CARHR213730	XP_023644529.1
OG0000025	CARHR288360	XP_023636962.1
OG0000027	CARHR255070	XP_023635858.1, XP_006289355.2, XP_006286462.1
OG0000027	CARHR255040	XP_006287218.1
OG0000027	CARHR255010, CARHR263990, CARHR255060, CARHR254990	XP_023635866.1
OG0000027	CARHR057450	XP_006284983.1
OG0000027	CARHR230510	XP_023634683.1
OG0000027	CARHR230500	XP_006283253.1
OG0000027	CARHR230410	XP_023638659.1
OG0000027	CARHR254910, CARHR254920	XP_006289052.2
OG0000027	CARHR254880	XP_023635860.1
OG0000027	CARHR055330	XP_006282816.1
OG0000027	CARHR230350	XP_023634698.1
OG0000027	CARHR230440	XP_023634685.1
OG0000028	CARHR285330, CARHR220000, CARHR100780	XP_023634475.1
OG0000028	CARHR030090	XP_006304936.1, XP_023644946.1
OG0000028	CARHR267520	XP_006281712.1
OG0000028	CARHR242050	XP_006285133.1
OG0000028	CARHR028780, CARHR203520	XP_023633414.1
OG0000030	CARHR060010, CARHR059990	XP_023644289.1
OG0000030	CARHR158520, CARHR158510, CARHR158530	XP_006293126.1
OG0000030	CARHR088860, CARHR095910, CARHR026350	XP_006297854.1, XP_006297862.1, XP_006300177.2
OG0000032	CARHR289940	XP_023634318.1
OG0000032	CARHR287070, CARHR115000, CARHR258320, CARHR152520, CARHR154280, CARHR217870, CARHR103550, CARHR183020, CARHR149880	XP_023632591.1
OG0000034	CARHR230270, CARHR230290	XP_006283285.1
OG0000034	CARHR055320, CARHR230240	XP_006285944.1
OG0000034	CARHR289950	XP_023634856.1
OG0000034	CARHR230230, CARHR230200	XP_023635576.1
OG0000035	CARHR120350	XP_023633542.1, XP_023633652.1, XP_023639706.1
OG0000035	CARHR216710, CARHR153260, CARHR182390	XP_023640381.1, XP_023634177.1
OG0000042	CARHR258550, CARHR154720, CARHR116060, CARHR260310, CARHR285900	XP_023634283.1
OG0000043	CARHR288090	XP_006299187.2
OG0000044	CARHR175060	XP_023634755.1
OG0000044	CARHR175260	XP_006282385.2
OG0000044	CARHR290500, CARHR222990, CARHR223540	XP_023635630.1
OG0000046	CARHR273180, CARHR286710, CARHR217190	XP_023641942.1, XP_023640348.1, XP_023636067.1, XP_006289233.2, XP_023638196.1
OG0000048	CARHR126120	XP_023641959.1
OG0000048	CARHR126110	XP_023643230.1, XP_023643229.1, XP_023636083.1, XP_006289868.2
OG0000051	CARHR002800	XP_006304062.1
OG0000051	CARHR137510	XP_023640868.1
OG0000051	CARHR137550, CARHR137540	XP_023640424.1
OG0000051	CARHR260850	XP_023640455.1, XP_023640454.1
OG0000052	CARHR148030	XP_023639087.1
OG0000052	CARHR065210, CARHR065340	XP_006301891.2, XP_006301896.2
OG0000052	CARHR278910, CARHR148040	XP_023638056.1, XP_023639204.1
OG0000052	CARHR150860	XP_006293172.2
OG0000052	CARHR162490	XP_006291114.1, XP_006291129.1
OG0000052	CARHR162550	XP_006293230.1, XP_006290348.2
OG0000052	CARHR162560	XP_023638945.1
OG0000052	CARHR162510	XP_023638946.1
OG0000052	CARHR162570	XP_023639178.1
OG0000052	CARHR157840	XP_006291102.1
OG0000054	CARHR218450	XP_023640334.1
OG0000054	CARHR153240	XP_023634647.1
OG0000055	CARHR100810, CARHR107470, CARHR177430, CARHR192030	XP_006299228.1, XP_006300113.1
OG0000055	CARHR092560, CARHR092720	XP_023641570.1
OG0000055	CARHR094260	XP_023642764.1
OG0000055	CARHR149840	XP_006286657.2
OG0000055	CARHR108730, CARHR108330, CARHR108320, CARHR107820, CARHR108260, CARHR135370	XP_023641561.1
OG0000055	CARHR092630, CARHR092620, CARHR213520	XP_006299379.1
OG0000056	CARHR050320	XP_006302241.1
OG0000056	CARHR049970	XP_006302237.1
OG0000056	CARHR049990, CARHR050000	XP_006302243.1
OG0000056	CARHR050280, CARHR049980, CARHR050290	XP_006301193.1
OG0000056	CARHR050160	XP_006301052.1
OG0000056	CARHR155600	XP_006292456.1
OG0000059	CARHR293330, CARHR148640, CARHR151940, CARHR118340	XP_023633548.1, XP_023644244.1, XP_023634277.1
OG0000061	CARHR228580	XP_006307356.2, XP_023645797.1
OG0000061	CARHR215660	XP_023634933.1
OG0000061	CARHR123070	XP_023640829.1
OG0000061	CARHR151510, CARHR219570	XP_023635299.1
OG0000064	CARHR054420, CARHR289730, CARHR289690	XP_006301177.1, XP_006279224.1, XP_006279222.1, XP_006301148.1, XP_006300412.1, XP_006279227.1, XP_006301373.1, XP_006301746.1, XP_006301302.1, XP_006279223.1, XP_006301675.1, XP_006301967.1, XP_006281741.1
OG0000065	CARHR059090, CARHR059230, CARHR059320, CARHR124320	XP_023644442.1
OG0000065	CARHR059130, CARHR059070, CARHR059140	XP_023644283.1
OG0000065	CARHR059270, CARHR059250	XP_023643067.1
OG0000065	CARHR059080	XP_006300887.1
OG0000065	CARHR059200	XP_023644284.1
OG0000065	CARHR214430	XP_023637822.1
OG0000065	CARHR214400	XP_006290268.1
OG0000065	CARHR214340, CARHR214350	XP_006290703.1
OG0000065	CARHR263400	XP_006286236.1
OG0000066	CARHR202910, CARHR279310, CARHR279320, CARHR202900, CARHR009160	XP_006301260.2, XP_006304637.1, XP_006292533.1
OG0000066	CARHR202310	XP_006284727.1, XP_006288773.2, XP_006284722.1, XP_006302978.1
OG0000068	CARHR210960	XP_006289028.2
OG0000068	CARHR210190	XP_006289558.2, XP_023637635.1, XP_006286541.1
OG0000070	CARHR010350	XP_006305612.2
OG0000070	CARHR145510, CARHR145520, CARHR286680, CARHR145480, CARHR145500	XP_006292236.1, XP_006292951.2, XP_006290298.1, XP_006292400.1, XP_006291986.1, XP_006292823.1, XP_006292249.1, XP_006292597.1, XP_006291940.1
OG0000070	CARHR020650	XP_006304273.1
OG0000070	CARHR069500	XP_006302938.1
OG0000070	CARHR284690	XP_023637791.1
OG0000070	CARHR052170, CARHR288810	XP_006299005.1, XP_023638023.1, XP_006286731.1, XP_006289176.1, XP_006285109.1
OG0000072	CARHR153090	XP_006282913.2, XP_023638967.1
OG0000075	CARHR247180	XP_006285279.1
OG0000075	CARHR247150	XP_006283916.1
OG0000075	CARHR247140	XP_023635518.1
OG0000075	CARHR247160	XP_023634488.1
OG0000075	CARHR286190, CARHR286200, CARHR286160	XP_023633364.1, XP_006281030.1, XP_006280653.1, XP_006281848.1
OG0000075	CARHR105240	XP_006282335.1, XP_023638987.1
OG0000076	CARHR247830	XP_023634774.1
OG0000076	CARHR127180	XP_006295567.2
OG0000077	CARHR288740	XP_006292566.2, XP_006292626.2
OG0000077	CARHR145630	XP_006300965.2
OG0000077	CARHR145650	XP_006292432.2
OG0000077	CARHR145640	XP_006292790.1, XP_006293218.1
OG0000078	CARHR077950	XP_006300074.1
OG0000078	CARHR077940	XP_006296650.2
OG0000078	CARHR077910	XP_006298992.1
OG0000078	CARHR195040	XP_006286674.1, XP_006289917.1
OG0000078	CARHR194990, CARHR195030, CARHR195060, CARHR195010	XP_006289130.1, XP_006290038.2, XP_023636207.1, XP_006289391.1, XP_006286648.1, XP_006289998.1
OG0000079	CARHR151670, CARHR119610	XP_023644218.1, XP_023645325.1
