Orthogroup	Cardamine_hirsuta	Cochlearia_excelsa
OG0000000	CARHR228880, CARHR142010, CARHR214930, CARHR254290	g15642
OG0000000	CARHR153350	g14424, g36335, g24433, g25323, g18049, g47718, g34709, g4497, g26082, g48927, g1710, g51108, g47070, g43826, g49581, g54001, g52927, g54256, g38083, g2287, g14237, g42083, g4557, g53247, g34457, g4555, g49069, g36273, g5773, g24974, g35002, g51196, g51906, g42028, g26236, g5187, g16421, g2957, g32683, g38285, g41764, g11448, g14009, g53488, g24758, g37816, g4647, g16228, g1650, g4603, g33021, g53553, g474, g53928, g43468, g31046, g45106, g24897, g34861, g52921, g13894, g26632, g16472, g53084, g17875, g36758, g23493
OG0000007	CARHR128840, CARHR216900, CARHR184100, CARHR117490, CARHR293410	g23854
OG0000007	CARHR057560, CARHR111840, CARHR100700, CARHR258710, CARHR180780, CARHR182530, CARHR055190	g4635
OG0000007	CARHR266890	g24723, g1457, g35540
OG0000007	CARHR151410	g9677
OG0000007	CARHR214530	g32471, g52712
OG0000007	CARHR054390, CARHR099640, CARHR266880, CARHR029270, CARHR156020, CARHR055800, CARHR216040, CARHR051840	g47006, g45886, g50470
OG0000008	CARHR046080, CARHR116420	g49591
OG0000008	CARHR159360	g5353, g35020, g27856, g27175, g1942
OG0000008	CARHR217630	g52586
OG0000008	CARHR114980	g24450, g27833
OG0000008	CARHR183140	g26783
OG0000008	CARHR056560, CARHR114970, CARHR150550	g36094, g12608, g25554, g19408
OG0000008	CARHR293430	g27995
OG0000008	CARHR035430, CARHR217860	g37068, g26784, g43729
OG0000008	CARHR217020, CARHR131120, CARHR164530, CARHR288680	g4392
OG0000008	CARHR103530	g11343
OG0000008	CARHR259120	g33123
OG0000008	CARHR118910, CARHR216990, CARHR111800	g39484, g13991
OG0000009	CARHR034640, CARHR017910	g36085, g14872, g26760
OG0000009	CARHR077050	g53845
OG0000009	CARHR059740	g35969
OG0000009	CARHR153540, CARHR055780	g23979, g28647, g29131, g1512
OG0000011	CARHR218510	g6794, g51199, g2482, g2714, g11450, g46138, g50714
OG0000011	CARHR259400	g18071, g2721, g42559, g4725, g47538
OG0000012	CARHR032720	g24724
OG0000012	CARHR256470	g6006, g41912
OG0000012	CARHR032700	g26075
OG0000014	CARHR287490	g48054, g53564, g43041
OG0000015	CARHR258200, CARHR258330	g14679, g39566, g3152, g14756, g32935, g42908, g43716, g41967, g26998, g24843, g14643, g12672, g5446, g48095, g26670, g53567, g21949, g3755, g43029, g24634, g3313
OG0000015	CARHR110600	g30476, g8572, g24862, g53814, g952, g32985, g12170, g24863, g14880, g26256, g5557, g43592, g35813, g36776, g27727, g24865, g6380, g17786, g42099, g47632, g3363, g40591, g43089, g38797, g43577, g47913, g47480, g25009, g43580, g47633, g11559, g47481, g16302, g12630, g40592, g47122, g6105, g38798, g8683, g11560, g16301, g35858, g12631, g47121, g34363, g41971, g39565, g4758, g26125, g35684, g3315, g8210, g24633, g8709, g3775, g53218, g42134, g3753, g42171, g26614, g16377, g12285, g43718, g40286, g1778, g26035, g11220, g23998, g2048, g25181, g50053, g44770, g53467, g40288, g5196, g37977
OG0000020	CARHR113350, CARHR034150, CARHR049310	g33390, g4583, g39315, g14557, g17020, g24610, g21115, g9914, g35675, g23910, g6802, g46328, g31759, g51013, g17279, g1555, g19143, g35267, g34284, g46224, g6170, g31341, g4158, g25001, g4232, g46949, g53154, g2974, g49408, g25430, g25192, g31804, g43284, g49587, g36899, g2975, g3672, g27829, g32994, g1556, g34853, g4345, g51012, g19142, g14558, g53153, g29187, g49407, g42003, g43352, g14036, g52007, g15607, g14750, g7898, g33120, g4343, g3057, g52970, g51052, g47797, g32655, g44074, g50650, g43479, g2953, g41998, g23595, g2979, g33121, g41997, g6214, g3359, g14581
OG0000020	CARHR213120	g4186
OG0000022	CARHR234420	g17118
OG0000022	CARHR196550	g5030
OG0000022	CARHR051050, CARHR048810, CARHR047980, CARHR049170	g40889
OG0000022	CARHR048840	g45205, g45149, g24844
OG0000022	CARHR049120	g40888
OG0000022	CARHR046360	g40751
OG0000022	CARHR046370	g40752
OG0000022	CARHR213210, CARHR091960	g13269
OG0000024	CARHR030400	g22601
OG0000024	CARHR030450	g53087, g43467
OG0000024	CARHR030420	g43469
OG0000024	CARHR168020, CARHR167830	g2269
OG0000024	CARHR030470, CARHR148710, CARHR030440, CARHR030410, CARHR045190	g28294
OG0000025	CARHR288360	g46637, g25246, g50791
OG0000026	CARHR104160	g36073, g28599
OG0000027	CARHR264010, CARHR255080	g43193, g48946
OG0000027	CARHR255040	g25723
OG0000027	CARHR263990, CARHR255060	g48941
OG0000027	CARHR254990	g48949
OG0000027	CARHR254870	g40374
OG0000027	CARHR230560	g23101
OG0000028	CARHR242960	g972
OG0000028	CARHR028790	g12012
OG0000028	CARHR267690	g24597, g39418
OG0000030	CARHR025790, CARHR162370, CARHR260760, CARHR260790	g38367, g38376, g38372, g38380
OG0000030	CARHR158520, CARHR158510, CARHR158530	g13799, g13797
OG0000030	CARHR223790, CARHR088850	g44631
OG0000032	CARHR114460	g41784, g34309, g35282
OG0000032	CARHR159330	g25262
OG0000032	CARHR158150, CARHR057520, CARHR108030, CARHR217640	g8719, g35299, g5355, g32774, g16031, g31992, g27854, g8229, g4385, g15955, g34339, g35327, g35065, g32781
OG0000032	CARHR284230	g13754, g16096
OG0000032	CARHR289940	g29531
OG0000032	CARHR284240	g25263, g35283, g34310
OG0000032	CARHR115000, CARHR258320, CARHR152520, CARHR154280, CARHR217870, CARHR103550	g49592
OG0000032	CARHR266460	g4129, g3254, g35284
OG0000034	CARHR230270, CARHR230290	g23911
OG0000034	CARHR228000, CARHR228050, CARHR228010, CARHR228060, CARHR228080, CARHR228070, CARHR289950	g24014
OG0000034	CARHR106160	g50699
OG0000034	CARHR230230, CARHR230200	g23912
OG0000034	CARHR230540, CARHR230590, CARHR230570, CARHR230620, CARHR230650	g23905
OG0000038	CARHR187570	g15804, g27140, g23925, g51223, g44428, g9976, g51224, g38104
OG0000038	CARHR259820	g14210, g42047, g25209, g47747, g6734, g25615, g24420, g4774, g23626, g25696, g39882, g12326, g11412, g40957, g32434, g14573, g41376, g31882, g40136, g45253, g37419, g28612, g6446, g6725, g47748, g41947, g41005, g50686, g35996, g4260, g4263, g41786, g23625
OG0000039	CARHR117850	g30058, g19679, g3538, g30024, g34069, g15290, g33828, g33832, g48859, g33774, g26506, g34577, g38840, g15451, g8891, g35369
OG0000042	CARHR154720	g43790, g5736, g43774
OG0000042	CARHR260310	g44909, g43791
OG0000042	CARHR181500	g40104, g13786, g31186, g8826, g30544
OG0000043	CARHR220690	g32581, g25935, g6093
OG0000043	CARHR104870	g50828
OG0000043	CARHR145030	g37824, g17258, g53614, g49526, g36920, g23518
OG0000043	CARHR098760	g53495, g823, g9695, g7844, g12264
OG0000043	CARHR124520	g1397, g32976
OG0000043	CARHR288090	g31367, g38501, g7845, g6015, g50701
OG0000043	CARHR105380, CARHR035340	g14419
OG0000043	CARHR181910, CARHR111550, CARHR213150	g52052, g38502, g20449
OG0000043	CARHR118730	g13019
OG0000043	CARHR216370	g41214, g17678
OG0000043	CARHR121910	g48334
OG0000044	CARHR116350	g10944
OG0000044	CARHR116330, CARHR195110, CARHR223530, CARHR222980, CARHR290490, CARHR223500, CARHR290500, CARHR222990, CARHR223540, CARHR222470	g28154
OG0000046	CARHR159300, CARHR215510, CARHR037550, CARHR118760, CARHR104690, CARHR258020, CARHR150330	g3382, g2931
OG0000046	CARHR273180, CARHR286710, CARHR217190	g26196, g11589
OG0000046	CARHR117470	g33267
OG0000047	CARHR257880	g52952, g32980, g35708, g41922, g52704, g49046, g17789, g53468, g32719, g26176, g41624, g24203, g6965, g4623, g51888, g23943, g53874, g8174, g27898, g7014, g41621, g22371, g32817, g20824, g2573, g13889, g36360, g16589, g15986, g31363, g31930, g28207, g17439, g13543, g17255, g42785, g3145, g3176, g32951, g4540, g32755, g4562, g3738, g34925, g26172, g9204, g7013, g46294, g36204, g22170, g52845, g52827, g52953, g53253, g3120, g26684, g26774, g33014, g4289, g43014, g52389, g3625, g42749, g4222, g43518, g53610, g3146, g20823, g3147, g29255, g51007, g43600, g13036, g22171, g29247, g44943, g39409, g42786, g29246, g4560, g52374, g53624, g52388, g28206, g17256, g36732, g16465, g16464, g51006, g36203, g13544, g33250, g33281, g33287, g43013, g4288, g3177, g53505, g49130, g34774, g26169, g43232, g4221, g49129, g26173, g10874, g43519, g3479, g34451, g52846, g52828, g52839, g3624, g53822, g39938, g46293, g3737, g32568, g29256, g19401, g44942, g26771, g13890, g6966, g4624, g32714, g53873, g44165, g53254, g3119, g15987, g33359, g30235, g33013, g36953, g26773
OG0000048	CARHR054750	g51285
OG0000048	CARHR125110	g39852, g39841
OG0000048	CARHR207670	g3814
OG0000048	CARHR126120	g51286
OG0000048	CARHR126110	g29294, g52069, g52073, g52064
OG0000050	CARHR071180, CARHR153550	g30921, g53630, g4397, g10583, g5874
OG0000051	CARHR137550	g53934
OG0000051	CARHR137540	g37450
OG0000052	CARHR278910, CARHR148040	g10535
OG0000052	CARHR162490	g19225
OG0000054	CARHR218450	g25225, g3036
OG0000054	CARHR259190	g15787, g35421
OG0000054	CARHR153240	g14337, g24011, g30442, g52428, g32562, g48023, g2616, g35754, g20877, g16232, g25038, g8779, g34409, g14810, g30055, g34238, g13738, g11527, g14381, g4607, g48037, g52357, g16667, g22195, g30461
OG0000054	CARHR288230	g53175
OG0000055	CARHR100810, CARHR107470, CARHR177430, CARHR192030	g27361
OG0000055	CARHR092560, CARHR092720	g700
OG0000055	CARHR149840	g50182, g50184, g50186
OG0000056	CARHR155600	g44206, g40901
OG0000059	CARHR044830	g2480, g46139, g19260, g24166, g14493, g2184, g16902, g51200, g2153, g3380, g49418, g1735, g51079, g36530, g42562, g2712, g50347
OG0000059	CARHR293330, CARHR148640, CARHR151940, CARHR118340	g1329
OG0000059	CARHR104020	g43705, g16122
OG0000060	CARHR007630, CARHR121870, CARHR273260, CARHR273610, CARHR132050, CARHR154290, CARHR163630, CARHR154770	g37221, g2918, g28784, g49595, g27015, g1296, g28756, g31080, g39226, g51647
OG0000061	CARHR123140	g50013
OG0000061	CARHR123070	g23667
OG0000065	CARHR214320	g17485
OG0000065	CARHR059090	g46719
OG0000065	CARHR059270, CARHR059250	g18042
OG0000065	CARHR257300, CARHR257310, CARHR263400, CARHR263410	g46717
OG0000066	CARHR279310	g9719
OG0000066	CARHR279320, CARHR202900, CARHR009160	g29501, g45535
OG0000066	CARHR246630, CARHR202310, CARHR246640	g5393
OG0000068	CARHR210960, CARHR210190, CARHR064230	g27956, g25385, g25390, g46783
OG0000069	CARHR264460	g1465, g1180, g34298
OG0000070	CARHR010350, CARHR145510, CARHR145520, CARHR286680, CARHR145480, CARHR145500	g10675
OG0000070	CARHR020650	g50123
OG0000070	CARHR069500	g46242
OG0000070	CARHR284690	g44417
OG0000073	CARHR119500	g17549, g12998
OG0000075	CARHR247180	g1450
OG0000075	CARHR247150, CARHR221070, CARHR247140	g25975, g22716
OG0000075	CARHR164670, CARHR164660, CARHR174400	g46525
OG0000076	CARHR260300	g32307, g51190
OG0000077	CARHR177040, CARHR176890, CARHR177190, CARHR158180	g18473
OG0000077	CARHR176910, CARHR176920, CARHR177280, CARHR112190, CARHR254980, CARHR254940, CARHR177080	g18408
OG0000077	CARHR112200	g32644
OG0000077	CARHR176420, CARHR288740, CARHR145630, CARHR145650, CARHR145640	g1538, g1535
OG0000077	CARHR145620	g1569
OG0000078	CARHR077930, CARHR077950, CARHR077940, CARHR077910	g4945
OG0000079	CARHR151670, CARHR119610	g53126
OG0000081	CARHR217030	g45295, g49162, g32135, g50796, g11094, g25177
OG0000081	CARHR117010	g15781, g11373, g584, g48347
OG0000081	CARHR264280	g33350, g4665
OG0000082	CARHR184640	g18239
OG0000086	CARHR214810	g14687
OG0000086	CARHR272990	g25067, g25040
OG0000086	CARHR214870	g22657, g15074
OG0000086	CARHR214790, CARHR214760	g46770, g46768, g46769, g43995
OG0000089	CARHR189700	g9991
OG0000089	CARHR200860	g5316
OG0000089	CARHR178800	g11055, g40485
OG0000089	CARHR227450	g24042
OG0000089	CARHR020480, CARHR069200	g46232
OG0000091	CARHR192340, CARHR192330	g28934, g28933
OG0000092	CARHR216170	g18062
OG0000092	CARHR225740	g49146, g15729
OG0000092	CARHR292670, CARHR261170	g32984, g46682
OG0000092	CARHR286110	g17352, g17357, g1801, g17341, g25289
OG0000092	CARHR150900	g2110
OG0000092	CARHR216160	g32983
OG0000092	CARHR035160	g53648, g33297, g45424
OG0000092	CARHR150890	g50000
OG0000092	CARHR286120	g18063, g14574
OG0000092	CARHR152920	g39323, g26668, g53726
OG0000092	CARHR180590	g17664, g37838, g27054
OG0000092	CARHR261190	g1402, g24886
OG0000092	CARHR293270	g26535
OG0000095	CARHR116960, CARHR117230, CARHR116990, CARHR116870, CARHR117030, CARHR118620, CARHR117020, CARHR116980, CARHR117870, CARHR117890, CARHR116700, CARHR116940, CARHR117880, CARHR117220, CARHR117860	g51024
OG0000096	CARHR084920	g6393
OG0000098	CARHR103960	g41770
OG0000098	CARHR000040, CARHR188170	g50862, g50863, g50857, g5925, g25316, g5924
OG0000100	CARHR047470, CARHR047430	g35259, g34277
OG0000100	CARHR047580, CARHR047440, CARHR261260, CARHR047450	g40795
OG0000100	CARHR047730, CARHR047100	g13563
OG0000101	CARHR287350	g3304, g41853
OG0000101	CARHR183060	g31822, g37851
OG0000101	CARHR099970, CARHR036950	g37850, g28202
OG0000102	CARHR252050	g40477, g40479, g40476, g40480, g1561
OG0000102	CARHR252130	g45182
OG0000105	CARHR077960, CARHR181190, CARHR228760, CARHR106060, CARHR104310	g11211
OG0000105	CARHR175270	g14267
OG0000105	CARHR222460	g17560
OG0000105	CARHR256490, CARHR256450, CARHR288500	g43820
OG0000105	CARHR108280, CARHR054220	g53975
OG0000105	CARHR047220	g35258
OG0000105	CARHR263770, CARHR047550	g14463
OG0000107	CARHR095660	g6757
OG0000107	CARHR095650	g11936
OG0000108	CARHR131960	g37225, g38077, g2333, g51658
OG0000108	CARHR203590	g29544
OG0000108	CARHR094190	g13323
OG0000111	CARHR148290	g14348, g14347, g14394, g45247, g45220, g37032, g50081, g11628, g45028, g45096, g45031, g36890, g45092, g45097, g11625, g45033, g17566, g17551, g17567, g17750, g24578
OG0000114	CARHR258830	g50797
OG0000114	CARHR118270	g15992
OG0000115	CARHR155450	g16651, g17473, g31783
OG0000116	CARHR217650	g48680, g15046, g14763, g43457, g1389, g17894
OG0000116	CARHR101930	g43452
OG0000118	CARHR101240, CARHR101220, CARHR133050, CARHR115930, CARHR115940, CARHR115970, CARHR133070, CARHR133060	g35294, g50762, g6146, g12640
OG0000118	CARHR099660, CARHR133040, CARHR180020	g12809
OG0000118	CARHR102680	g1395
OG0000119	CARHR059580, CARHR150110	g11441, g11440
OG0000119	CARHR114850	g38299, g38298
OG0000122	CARHR269760	g1065
OG0000122	CARHR129080, CARHR031770, CARHR269910, CARHR269890	g1066
OG0000124	CARHR259840	g51625, g52915, g53579
OG0000125	CARHR122140	g51118
OG0000125	CARHR007350	g31072
OG0000125	CARHR041970	g18497
OG0000125	CARHR097260	g6675
OG0000125	CARHR258870, CARHR041960	g54236
OG0000126	CARHR048790, CARHR257160	g27940
OG0000126	CARHR034350, CARHR144860	g24771, g30546
OG0000126	CARHR217430, CARHR184740	g41907
OG0000126	CARHR293480	g1666
OG0000126	CARHR252010, CARHR117440	g11646
OG0000127	CARHR190650	g41348
OG0000127	CARHR163570	g19182
OG0000127	CARHR273520, CARHR154340, CARHR154390	g2919, g1294, g28781
OG0000127	CARHR121850	g39998
OG0000128	CARHR169620	g18900
OG0000128	CARHR169580, CARHR169600	g2009
OG0000129	CARHR038520, CARHR038560	g45131
OG0000129	CARHR056680, CARHR056760, CARHR056690	g24222, g24219
OG0000129	CARHR275720, CARHR275710, CARHR120250, CARHR120240, CARHR120610, CARHR275730	g9880
OG0000132	CARHR256230	g51066
OG0000134	CARHR202050	g18420
OG0000136	CARHR253210	g37683, g24093
OG0000137	CARHR268710	g1010
OG0000137	CARHR268720	g1011
OG0000140	CARHR116590	g24428
OG0000141	CARHR220970, CARHR220990	g49817
OG0000143	CARHR116230, CARHR285000	g42790, g48961, g14200
OG0000143	CARHR181670, CARHR183500	g52356, g52620, g4139, g16474
OG0000148	CARHR040920	g36469
OG0000150	CARHR217380, CARHR294480	g34628
OG0000151	CARHR165130	g19127
OG0000151	CARHR165120	g19128
OG0000151	CARHR134140	g51765
OG0000151	CARHR165110	g2235
OG0000151	CARHR163410	g2346
OG0000151	CARHR132240	g51633
OG0000151	CARHR199860	g29346
OG0000153	CARHR124170, CARHR124160, CARHR124140	g51155, g51154, g51130, g51156
OG0000153	CARHR007210, CARHR007190, CARHR122550	g37875, g37876
OG0000154	CARHR040870, CARHR121480	g36466, g36467
OG0000154	CARHR040760, CARHR040790, CARHR041510	g54212, g36163, g36472
OG0000159	CARHR059430	g43119
OG0000159	CARHR184120	g14659, g33594, g26152, g43872, g14817, g4106, g53756, g26059, g19681, g43464, g35132
OG0000160	CARHR109500	g5985
OG0000160	CARHR238090	g23426
OG0000160	CARHR271150	g1105
OG0000160	CARHR104060	g6339
OG0000160	CARHR153650	g11547
OG0000160	CARHR073860	g46563
OG0000160	CARHR117520	g50994
OG0000162	CARHR162850	g11480
OG0000162	CARHR102790, CARHR102800, CARHR102820	g28290
OG0000162	CARHR145920	g11479
OG0000165	CARHR180370, CARHR180470	g28137
OG0000166	CARHR067330	g46162
OG0000166	CARHR067380	g46166
OG0000169	CARHR149530, CARHR116790	g32507
